"_phrase_","value"
"('lööbimine',)","nahalööve"
"('lööve',)","nahalööve"
"('luksumine',)","luksumine"
"('luulumõte',)","hallutsinatsioon"
"('luuvalu',)","luuvalu"
"('madal', 'vererõhk')","madal vererõhk"
"('maitsetundlikkus', 'häire')","maitsetundlikkuse häired"
"('maksafunktsioon', 'häire')","hepatiit"
"('maksapõletik',)","hepatiit"
"('maksatsirroos',)","hepatiit"
"('mäluhäire',)","segasus"
"('meeleoluhäire',)","depressioon"
"('meelepete',)","hallutsinatsioon"
"('meelepetteline',)","hallutsinatsioon"
"('meteorism',)","puhitus"
"('mi',)","südameinfarkt"
"('migreen',)","peavalu"
"('migreenihoog',)","peavalu"
"('migrenoosne',)","peavalu"
"('minestamine',)","minestus"
"('minestus',)","minestus"
"('minestustunne',)","minestus"
"('müalgia',)","lihasvalu"
"('müokardiinfarkt',)","südameinfarkt"
"('müokardiit',)","südameinfarkt"
"('muretsemine',)","ärevus"
"('nägemine', 'ähmastumine')","nägemishäired"
"('nägemine', 'hägustumine')","nägemishäired"
"('nägemishäire',)","nägemishäired"
"('nägemismeelepete',)","hallutsinatsioon"
"('nägu', 'turse')","turse"
"('nahakahjustus',)","nahamuutus"
"('nahalööve',)","nahalööve"
"('nahamuutus',)","nahamuutus"
"('nahanäht',)","nahamuutus"
"('nahaõhetus',)","punetus"
"('nahapõletik',)","nahamuutus"
"('nahapunetus',)","punetus"
"('nahareaktsioon',)","nahamuutus"
"('nahasügelemine',)","sügelus"
"('nahasügelus',)","sügelus"
"('nahk', 'kuivus')","nahamuutus"
"('nahk', 'punetus')","punetus"
"('närvilisus',)","närvilisus"
"('närvipinge',)","ärevus"
"('närvivalu',)","närvivalu"
"('neelamishäire',)","neelamisraskus"
"('neelamisraskus',)","neelamisraskus"
"('neelamistakistus',)","neelamisraskus"
"('neelamisvalulikkus',)","kurguvalu"
"('nimmevalu',)","seljavalu"
"('ninahingamistakistus',)","nohu"
"('ninakinnisus',)","nohu"
"('ninasõõre', 'põletik')","nohu"
"('ninaverejooks',)","ninaverejooks"
"('nõgeslööve',)","nahalööve"
"('nõgestõbi',)","nahalööve"
"('nohu',)","nohu"
"('nohune',)","nohu"
"('nõrkus',)","nõrkus"
"('nõrkustunne',)","nõrkus"
"('õhetav',)","nahamuutus"
"('õhupuudus',)","hingamisraskus"
"('õhupuudustunne',)","hingamisraskus"
"('okse',)","iiveldus"
"('oksendama',)","iiveldus"
"('oksendamine',)","iiveldus"
"('oksendanu',)","iiveldus"
"('oksendus',)","iiveldus"
"('õlavalu',)","kaelavalu"
"('õudusunenägu',)","unehäire"
"('paanikahäire',)","ärevus"
"('paanikahoog',)","ärevus"
"('paapul',)","nahalööve"
"('pahur',)","agressiivsus"
"('päikesepõletus',)","nahamuutus"
"('paiste',)","turse"
"('paistes',)","turse"
"('paistetama',)","turse"
"('paistetus',)","turse"
"('pakitsus',)","valu"
"('pakitsustunne',)","valu"
"('palavik',)","palavik"
"('palavikutõus',)","palavik"
"('pankreatiit',)","kõhunäärme põletik"
"('papuloosne',)","nahalööve"
"('pastoosne',)","turse"
"('pastoossus',)","turse"
"('pea', 'kumisemine')","tinnitus"
"('peapööritus',)","pearinglus"
"('pearinglus',)","pearinglus"
"('pearinglushoog',)","pearinglus"
"('peauimasus',)","väsimus"
"('peavalu',)","peavalu"
"('peenpapuloosne',)","nahalööve"
"('pingepeavalu',)","peavalu"
"('pingetunne',)","lihasvalu"
"('pingevalu',)","lihasvalu"
"('pingutusstenokardia',)","stenokardia"
"('pneumoonia',)","kopsuhaigus"
"('põieprobleem',)","kusepidamatus"
"('põlvevalu',)","liigesvalu"
"('psühhootiline',)","hallutsinatsioon"
"('puhituma',)","puhitus"
"('puhitunu',)","puhitus"
"('puhitus',)","puhitus"
"('punetama',)","punetus"
"('punetav',)","punetus"
"('punetus',)","punetus"
"('pupill', 'laienemine')","pupillide laienemine"
"('puusavalu',)","liigesvalu"
"('rahulolematus',)","rahutus"
"('rahutu',)","rahutus"
"('rahutus',)","rahutus"
"('rappuma',)","värin"
"('raske', 'allergiline', 'reaktsioon')","ülitundlikkus"
"('raske', 'nahareaktsioon')","nahamuutus"
"('rauapuudus',)","aneemia"
"('rauavaegus',)","aneemia"
"('rauavaegusaneemia',)","aneemia"
"('ravimallergia',)","ülitundlikkus"
"('refluks',)","kõrvetised"
"('reflukshaigus',)","kõrvetised"
"('reumokardiit',)","südameinfarkt"
"('rind', 'suurenemine')","günekomastia"
"('riniit',)","nohu"
"('röga',)","köha"
"('rögaeritus',)","köha"
"('rögane',)","köha"
"('röhatis',)","kõrvetised"
"('röhitis',)","kõrvetised"
"('röhitsus',)","kõrvetised"
"('rütmihäire',)","südameprobleemid"
"('seedehäire',)","seedehäire"
"('seedeprobleem',)","seedehäire"
"('seeninfektsioon',)","infektsioonid"
"('segasus',)","segasus"
"('segasusseisund',)","segasus"
"('seksuaalfunktsioon', 'häire')","seksuaalfunktsiooni häired"
"('seljavalu',)","seljavalu"
"('sensibiliseerumine',)","ülitundlikkus"
"('sensorineuraalne',)","kuulmislangus"
"('silm', 'kuivus')","silmade kuivus"
"('söögiisu', 'kadumine')","isutus"
"('söögiisu', 'kaotus')","isutus"
"('söögiisu', 'suurenemine')","söögiisu suurenemine"
"('soor',)","soor"
"('steno',)","stenokardia"
"('stenokardia',)","stenokardia"
"('stenokardiline',)","stenokardia"
"('stress',)","ärevus"
"('subfebr',)","palavik"
"('subfebriilne',)","palavik"
"('süda', 'rütmihäire')","südameprobleemid"
"('südamehaigus',)","südameprobleemid"
"('südameinfarkt',)","südameprobleemid"
"('südameisheemiatõbi',)","südameprobleemid"
"('südamekloppimine',)","südameprobleemid"
"('südamelihaseinfarkt',)","südameprobleemid"
"('südameprobleem',)","südameprobleemid"
"('südamerütmihäire',)","südameprobleemid"
"('sügelema',)","sügelus"
"('sügelemine',)","sügelus"
"('sügelev',)","sügelus"
"('sügelus',)","sügelus"
"('sügelustunne',)","sügelus"
"('sumin',)","tinnitus"
"('suremine',)","värin"
"('suremistunne',)","värin"
"('surin',)","värin"
"('surisema',)","värin"
"('surisemine',)","värin"
"('suuhaavand',)","soor"
"('suukuivus',)","janu"
"('suurenenud', 'higistamine')","palavik"
"('suurenenud', 'söögiisu')","söögiisu suurenemine"
"('tahhükardia',)","südameprobleemid"
"('tahhükardiline',)","südameprobleemid"
"('tasakaaluhäire',)","pearinglus"
"('tasakaalutus',)","pearinglus"
"('teadvusehäire',)","hallutsinatsioon"
"('teadvusekadu',)","minestus"
"('teadvusekaotus',)","minestus"
"('teadvuskadu',)","minestus"
"('teadvuskaotus',)","minestus"
"('tinnitus',)","tinnitus"
"('toiduallergia',)","ülitundlikkus"
"('tõmblus',)","krambid"
"('topeltnägemine',)","nägemishäired"
"('torge',)","valu"
"('torkimistunne',)","valu"
"('treemor',)","värin"
"('tremor',)","värin"
"('tromboflebiid',)","veresoonte põletik"
"('tromboflebiit',)","veresoonte põletik"
"('tservikalgia',)","lihasvalu"
"('tsüanoos',)","turse"
"('tsüanootiline',)","turse"
"('tuim',)","tuimus"
"('tuimus',)","tuimus"
"('tuimustunne',)","tuimus"
"('tume', 'uriin')","tume uriin"
"('turse',)","turse"
"('turseline',)","turse"
"('tursuma',)","turse"
"('tursumine',)","turse"
"('udune',)","nägemishäired"
"('udusem',)","nägemishäired"
"('uimasus',)","väsimus"
"('uinumisraskus',)","unehäire"
"('ülakõhuvalu',)","kõhuvalu"
"('üldine', 'halb', 'enesetunne')","halb enesetunne"
"('ülekaal',)","kehakaalu suurenemine"
"('ülitundlikkus',)","ülitundlikkus"
"('ülitundlikkusreaktsioon',)","ülitundlikkus"
"('undama',)","tinnitus"
"('undamine',)","tinnitus"
"('unehäire',)","unehäire"
"('unetus',)","unehäire"
"('unisus',)","unehäire"
"('urineerimishäire',)","kusepidamatus"
"('urineerimiskaebus',)","kusepidamatus"
"('urineerimisraskus',)","kusepidamatus"
"('uroinfektsioon',)","kusepidamatus"
"('urtikaaria',)","nahalööve"
"('vahelöök',)","südameprobleemid"
"('valguskartus',)","nägemishäired"
"('valgustundlikkus',)","nägemishäired"
"('valu', 'rind')","valu rinnus"
"('valu', 'rindkere')","valu rinnus"
"('valu',)","valu"
"('valuaisting',)","valu"
"('valuepisood',)","valu"
"('valuhoog',)","valu"
"('valulik',)","valu"
"('valulikkus',)","valu"
"('valus',)","valu"
"('valusööst',)","valu"
"('valusündroom',)","valu"
"('valusus',)","valu"
"('valutama',)","valu"
"('valutamine',)","valu"
"('valutorge',)","valu"
"('valutunne',)","valu"
"('vappekülm',)","külmavärin"
"('värin',)","värin"
"('värisema',)","värin"
"('värisemine',)","värin"
"('väsimine',)","väsimus"
"('väsimus',)","väsimus"
"('väsimustunne',)","väsimus"
"('vedelikupeetus',)","vedelikupeetus"
"('veenilaiend',)","veresoonte põletik"
"('veenipõletik',)","veresoonte põletik"
"('verejooks',)","ninaverejooks"
"('vererõhuhaigus',)","kõrge vererõhk"
"('veresoon', 'põletik')","veresoonte põletik"
"('veresuhkur', 'tase', 'langus')","veresuhkru taseme langus"
"('veresuhkur', 'tase', 'tõus')","veresuhkru taseme tõus"
"('verevalum',)","turse"
"('veri', 'uriin')","tume uriin"
"('veri', 'valgelible', 'esinemine', 'uriin')","vere valgeliblede esinemine uriinis"
"('vertiigo',)","pearinglus"
"('vesivedel',)","seedehäire"
"('vibratsioon',)","värisemine"
"('viirus',)","infektsioonid"
"('viirushaigus',)","infektsioonid"
"('viirushepatiit',)","hepatiit"
"('viirusinfektsioon',)","infektsioonid"
"('vilin',)","tinnitus"
"('vilistama',)","tinnitus"
"('vill',)","nahalööve"
"('villike',)","nahalööve"
"('villiline',)","nahalööve"
"('vistrik',)","nahalööve"
"('anafülaksia',)","ülitundlikkus"
