analysis_name,parameter_name,parameter_unit,elabor_t_lyhend
Alaniini aminotransferaas seerumis,S-ALAT HK:66106,U/L,"S,P-ALAT"
ALAT,"S-ALAT, P-ALAT",U/L,"S,P-ALAT"
ALAT,"S-ALAT,_P-ALAT",U/L,"S,P-ALAT"
ALAT Alaniini aminotransferaas seerumis,"S-ALAT, P-ALAT",ng/mL,"S,P-ALAT"
ALAT Alaniini aminotransferaas seerumis,"S-ALAT,_P-ALAT",ng/mL,"S,P-ALAT"
Albumiini ja kreatiniini suhe uriinis,Alb/Crea,mgalb/mmol kreat,U-Alb/U-Crea
Albumiini-kreatiniini suhe uriinis,Alb/Crea,mg/mmol,U-Alb/U-Crea
Albumiini-kreatiniini suhe uriinis,Kreatiniin,mmol/L,U-Crea
Albumiini-kreatiniini suhe uriinis,U-Alb/Crea,mg/mmol,U-Alb/U-Crea
Albumiini/kreatiniini suhe uriinis,Alb/Crea,mgalb/mmol kreat,U-Alb/U-Crea
Albumiini/kreatiniini suhe uriinis,Crea,umol/L,"S,P-Crea"
Albumiin juhuslikus uriinis,Albumiin uriinis HK:66117,mg/L,U-Alb
Albumiin juhuslikus uriinis,Kreatiniin uriinis HK:66102,mmol/L,U-Crea
Albumiin/kreatiniin uriinis,Alb/Crea,mg/mmol,U-Alb/U-Crea
Albumiin/kreatiniin uriinis,Kreatiniin,mmol/L,U-Crea
Albumiin/kreatiniin uriinis,U-Alb/Crea,mgAlb/mmol/Cre,U-Alb/U-Crea
ANA tüpiseerimine (Immunoblot),ANA tüpiseerimine,pmol/L,"S,P-CTD IgG panel IB"
anti TSH-R retseptorite vastased ak,S-antiTSH-R,U/L,"S,P-TSH"
anti TSH-R retseptorite vastased ak,TSH retseptorite vastased ak,U/L,"S,P-TSH"
ASAT,"S-ASAT, P-ASAT",U/L,"S,P-ASAT"
ASAT,"S-ASAT,_P-ASAT",U/L,"S,P-ASAT"
ASAT Aspartaadi aminotransferaas seerumis,Aspartaadi aminotransferaas seerumis,U/L,"S,P-ASAT"
ASAT Aspartaadi aminotransferaas seerumis,"S-ASAT, P-ASAT",ng/mL,"S,P-ASAT"
ASAT Aspartaadi aminotransferaas seerumis,"S-ASAT,_P-ASAT",ng/mL,"S,P-ASAT"
ASAT Aspartaadi aminotransferaas seerumisa1,Aspartaadi aminotransferaas seerumis,U/L,"S,P-ASAT"
Aspartaadi aminotransferaas seerumis,S-ASAT HK:66106,U/L,"S,P-ASAT"
Autoimmuundiagnostika,S-ANA Ig,S/CO,"S,P-ANA IgG"
Autoimmuundiagnostika,S-ANA IgG,S/CO,"S,P-ANA IgG"
Autoimmuunuuringud,ANA - Tuumavastane IgG,tiiter,"S,P-ANA IgG titr"
Automaat uuring 3 osalise leukogrammiga,LYM,%,B-Lymph%
Automaat uuring 3 osalise leukogrammiga,RDWa,fL,B-RDW-SD
Automaatuuring 3 osalise leukogrammiga (polikliinik),RDW,fL,B-RDW-SD
Automaatuuring 3 osalise leukogrammiga (polikliinik),RDWa,fL,B-RDW-SD
Autom. settega,B-LYMPH,10E9/L,B-Lymph#
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Alaniini amin Alaniini aminotransferaas,U/L,"S,P-ALAT"
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Aspartaadi am Aspartaadi aminotransferaas,U/L,"S,P-ASAT"
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Aspartaadi aminotransferaas seerumis,U/L,"S,P-ASAT"
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Baso# Baso#,10E9/L,B-Baso#
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Baso% Baso%,%,B-Baso%
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Eo# Eo#,10E9/L,B-Eo#
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Eo% Eo%,%,B-Eo%
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Hct Hct,%,B-Hct
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Kepptuumsed n Kepptuumsed neutrofiilid,%,B-Kepptuumsed neutrofiilid %
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,LYMPH# LYMPH#,10E9/L,B-Lymph#
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,LYMPH% LYMPH%,%,B-Lymph%
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Lymph# Lymph#,10E9/L,B-Lymph#
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Lymph% Lymph%,%,B-Lymph%
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,MCHC MCHC,g/L,B-MCHC
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,MCH MCH,pg,B-MCH
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,MCV MCV,fL,B-MCV
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Mono# Mono#,10E9/L,B-Mono#
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Mono% Mono%,%,B-Mono%
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,MPV MPV,fL,B-MPV
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Pct Pct,%,B-Pct
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,PDW PDW,fL,B-PDW
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Plt Plt,10E9/L,B-Plt
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Prokaltsitoni Prokaltsitoniin seerumis,ug/L,"S,P-PCT"
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,RDW RDW,%,B-RDW-CV
B-autom5diff,BASO HK:0000,E9/L,B-Baso#
B-autom5diff,BASO HK:0000,10E9/L,B-Baso#
B-autom5diff,BASO HK:0000,%,B-Baso%
B-autom5diff,EOS,10E9/L,B-Eo#
B-autom5diff,EOS,%,B-Eo%
B-autom5diff,EOS HK:0000,E9/L,B-Eo#
B-autom5diff,EOS HK:0000,%,B-Eo%
B-autom5diff,EOS HK:0000,10E9/L,B-Eo#
B-autom5diff,HCT HK:0000,L/L,B-Hct
B-autom5diff,HCT HK:0000,%,B-Hct
B-autom5diff,HGB HK:0000,g/L,B-Hb
B-autom5diff,LYM,%,B-Lymph%
B-autom5diff,LYM,10E9/L,B-Lymph#
B-autom5diff,LYM HK:0000,10E9/L,B-Lymph#
B-autom5diff,LYM HK:0000,%,B-Lymph%
B-autom5diff,LYM HK:0000,E9/L,B-Lymph#
B-autom5diff,MCHC HK:0000,g/L,B-MCHC
B-autom5diff,MCH HK:0000,pg,B-MCH
B-autom5diff,MCV HK:0000,fL,B-MCV
B-autom5diff,MONO HK:0000,E9/L,B-Mono#
B-autom5diff,MONO HK:0000,10E9/L,B-Mono#
B-autom5diff,MONO HK:0000,%,B-Mono%
B-autom5diff,MPV HK:0000,fL,B-MPV
B-autom5diff,NEU,%,B-Neut%
B-autom5diff,NEU,10E9/L,B-Neut#
B-autom5diff,NEU HK:0000,E9/L,B-Neut#
B-autom5diff,NEU HK:0000,10E9/L,B-Neut#
B-autom5diff,NEU HK:0000,%,B-Neut%
B-autom5diff,PCT HK:0000,%,B-Pct
B-autom5diff,PDW HK:0000,%,B-PDW-CV
B-autom5diff,PLT HK:0000,10E9/L,B-Plt
B-autom5diff,PLT HK:0000,E9/L,B-Plt
B-autom5diff,RBC HK:0000,E12/L,B-RBC
B-autom5diff,RDW-SD HK:0000,fL,B-RDW-SD
B-autom5diff,WBC HK:0000,10E9/L,B-WBC
B-autom5diff,WBC HK:0000,E9/L,B-WBC
Biokeemia,ALAT,U/L,"S,P-ALAT"
Biokeemia,ASAT,U/L,"S,P-ASAT"
Biokeemia,HDL-kolesteroo,mmol/L,"S,P-HDL-Chol"
Biokeemia,HDL-kolesterool,mmol/L,"S,P-HDL-Chol"
Biokeemia,Kolesteroo,mmol/L,"S,P-Chol"
Biokeemia,Kolesterool,mmol/L,"S,P-Chol"
Biokeemia,Kreatiniin,umol/L,"S,P-Crea"
Biokeemia,LDL-kolesteroo,mmol/L,"S,P-LDL-Chol"
Biokeemia,LDL-kolesterool,mmol/L,"S,P-LDL-Chol"
Biokeemia,Triglütseriidi,mmol/L,"fS,fP-Trigl"
Biokeemia,Triglütseriidid,mmol/L,"fS,fP-Trigl"
Biokeemia,Uurea,mmol/L,"S,P-Urea"
Biokeemia labor,Alaniini aminotransferaa,U/L,"S,P-ALAT"
Biokeemia labor,Aspartaadi aminotransferaa,U/L,"S,P-ASAT"
Biokeemia labor,cB-Gluc,mmol/L,cB-Gluc POCT
Biokeemia labor,Kolesteroo,mmol/L,"S,P-Chol"
Biokeemia labor,Kõrge tihedusega lipoproteiini kolester,mmol/L,"S,P-HDL-Chol"
Biokeemia labor,Madala tihedusega lipoproteiini koleste,mmol/L,"S,P-LDL-Chol"
Biokeemia labor,Triglütseriidi,mmol/L,"fS,fP-Trigl"
Biokeemia labor (haigla),Alaniini aminotransferaa,U/L,"S,P-ALAT"
Biokeemia labor (haigla),Aspartaadi aminotransferaa,U/L,"S,P-ASAT"
Biokeemia labor (haigla),Kolesteroo,mmol/L,"S,P-Chol"
Biokeemia labor (haigla),Kõrge tihedusega lipoproteiini kolester,mmol/L,"S,P-HDL-Chol"
Biokeemia labor (haigla),Uurea seerumi,mmol/L,"S,P-Urea"
Biokeemia labori analüüsid,Alaniini aminotransferaa,U/L,"S,P-ALAT"
Biokeemia labori analüüsid,Aspartaadi aminotransferaa,U/L,"S,P-ASAT"
Biokeemia labori analüüsid,Kolesteroo,mmol/L,"S,P-Chol"
Biokeemia labori analüüsid,Kõrge tihedusega lipoproteiini kolester,mmol/L,"S,P-HDL-Chol"
Biokeemia labori analüüsid,Kõrge tihedusega lipoproteiini kolestero,mmol/L,"S,P-HDL-Chol"
Biokeemia labori analüüsid,Madala tihedusega lipoproteiini koleste,mmol/L,"S,P-LDL-Chol"
Biokeemia labori analüüsid,Madala tihedusega lipoproteiini kolester,mmol/L,"S,P-LDL-Chol"
Biokeemia labori analüüsid,Triglütseriidi,mmol/L,"fS,fP-Trigl"
Biokeemia labori analüüsid,Uurea seerumi,mmol/L,"S,P-Urea"
Biokeemilised uuringud,B-Gluc,mmol/L,cB-Gluc POCT
Biokeemilised uuringud,B-HbA1c,%,B-HbA1c
Biokeemilised uuringud,B-HbA1c%,%,B-HbA1c
Biokeemilised uuringud,B-HbA1c (Glükeeritud hemoglobiini fraktsioon A1c),%,B-HbA1c
Biokeemilised uuringud,B-HbA1c (Glükeeritud hemoglobiini fraktsioon A1c mmol/mol),mmol/mol,B-HbA1c (IFCC)
Biokeemilised uuringud,B-HbA1c (Glükohemoglobiin protsentides),%,B-HbA1c
Biokeemilised uuringud,B-HbA1c-IFC,mmol/mol,B-HbA1c (IFCC)
Biokeemilised uuringud,B-HbA1c-IFCC,mmol/mol,B-HbA1c (IFCC)
Biokeemilised uuringud,cB-Gluc,mmol/L,cB-Gluc POCT
Biokeemilised uuringud,e-GF,mL/min/1.73m2,eGFR
Biokeemilised uuringud,eGFR (MDRD,mL/min/1.73m2,eGFR
Biokeemilised uuringud,fB-Gluc,mmol/L,fcB-Gluc
Biokeemilised uuringud,fS-HDL-Cho,mmol/L,"S,P-HDL-Chol"
Biokeemilised uuringud,fS-HDL-Chol,mmol/L,"S,P-HDL-Chol"
Biokeemilised uuringud,fS-HDL-Chol 1,mmol/L,"S,P-HDL-Chol"
Biokeemilised uuringud,fS-HDL-Chol 2,mmol/L,"S,P-HDL-Chol"
Biokeemilised uuringud,fS-LDL-Cho,mmol/L,"S,P-LDL-Chol"
Biokeemilised uuringud,fS-LDL-Chol,mmol/L,"S,P-LDL-Chol"
Biokeemilised uuringud,fS-LDL-Chol 1,mmol/L,"S,P-LDL-Chol"
Biokeemilised uuringud,fS-LDL-Chol 2,mmol/L,"S,P-LDL-Chol"
Biokeemilised uuringud,fs-Urea 1,mmol/L,"S,P-Urea"
Biokeemilised uuringud,fs-Urea 2,mmol/L,"S,P-Urea"
Biokeemilised uuringud,HbA1c,%,B-HbA1c
Biokeemilised uuringud,HbA1c (IFCC,mmol/mol,B-HbA1c (IFCC)
Biokeemilised uuringud,HgbA1,%,B-HbA1c
Biokeemilised uuringud,HgbA1c,%,B-HbA1c
Biokeemilised uuringud,Kreat. kliirens,mL/min/1.73m2,eGFR
Biokeemilised uuringud,LDL kolesterool,mmol/L,"S,P-LDL-Chol"
Biokeemilised uuringud,S-ALAT 1,U/L,"S,P-ALAT"
Biokeemilised uuringud,S-ALAT 2,U/L,"S,P-ALAT"
Biokeemilised uuringud,S-ALAT 3,U/L,"S,P-ALAT"
Biokeemilised uuringud,S-ALAT 4,U/L,"S,P-ALAT"
Biokeemilised uuringud,S-ALAT 5,U/L,"S,P-ALAT"
Biokeemilised uuringud,S-ASAT 1,U/L,"S,P-ASAT"
Biokeemilised uuringud,S-ASAT 2,U/L,"S,P-ASAT"
Biokeemilised uuringud,S-ASAT 3,U/L,"S,P-ASAT"
Biokeemilised uuringud,S-ASAT 4,U/L,"S,P-ASAT"
Biokeemilised uuringud,S-ASAT 5,U/L,"S,P-ASAT"
Biokeemilised uuringud,S-Chol 1,mmol/L,"S,P-Chol"
Biokeemilised uuringud,S-Chol 2,mmol/L,"S,P-Chol"
Biokeemilised uuringud,S-Chol 3,mmol/L,"S,P-Chol"
Biokeemilised uuringud,S-HDL-Cho,mmol/L,"S,P-HDL-Chol"
B-Vere �igepreparaadi mikroskoopia,Segmenttuumsed neutrofiilid,%,B-Segmenttuumsed neutrofiilid %
B-Vere äigepreparaadi mikroskoopia,Basofiilid HK:0000,%,B-Basofiilid %
B-Vere äigepreparaadi mikroskoopia,Eosinofiilid HK:0000,%,B-Eo%
B-Vere äigepreparaadi mikroskoopia,Kepptuumsed neutrofiilid HK:0000,%,B-Kepptuumsed neutrofiilid %
B-Vere äigepreparaadi mikroskoopia,Monotsüüdid HK:0000,%,B-Monotsüüdid %
B-Vere äigepreparaadi mikroskoopia,Segmenttuumsed neutrofiilid,%,B-Segmenttuumsed neutrofiilid %
B-Vere äigepreparaadi mikroskoopia,Segmenttuumsed neutrofiilid HK:0000,%,B-Segmenttuumsed neutrofiilid %
CK Kreatiini kinaas seerumis,Kreatiini kinaas seerumis,U/L,"S,P-CK"
CK MB isoensüümi aktiivsus,Kreatiini kinaasi MB isoensüümi aktiivsus,U/L,"S,P-CK-MB"
CK-MBm,Kreatiini kinaasi MB isoensüümi mass,ug/L,"S,P-CK-MBm"
CK-MBm,Kreatiini kinaasi MB isoensüümi mass,ng/mL,"S,P-CK-MBm"
C-reaktiivne valk seerumis,C-reaktiivne valk,mg/L,"S,P-CRP"
CRP - C-reaktiivne valk,C-reaktiivne valk,mg/L,"S,P-CRP"
eGFR,33914-3,mL/min/1.73m2,eGFR
eGFR,Hinnanguline glomerulaarfiltratsooni kiirus,mL/min/1.73m2,eGFR
eGFR hinnanguline glomerulaarfiltratsiooni kiirus,S2-Crea-eGFR,mL/min/1.73m2,eGFR
FT4,02-FT4,pmol/L,"S,P-fT4"
FT4,Vaba türoksiin,pmol/L,"S,P-fT4"
FT4,Vaba türoksiin,ng/dL,"S,P-fT4"
fT4,Vaba türoksiin,pmol/L,"S,P-fT4"
fT4,Vaba türoksiin,ng/dL,"S,P-fT4"
fT4 Vaba türoksiin plasmas,Vaba türoksiin plasmas,pmol/L,"S,P-fT4"
FT4 Vaba türoksiin seerumis,Vaba türoksiin seerumis,pmol/L,"S,P-fT4"
fT4 - Vaba türoksiin seerumis,Vaba türoksiin seerumis,pmol/L,"S,P-fT4"
fT4 Vaba türoksiin seerumis,Vaba türoksiin,pmol/L,"S,P-fT4"
Glomerulaarfiltratiooni kiirus MDRD valemiga,Glomerulaarfiltratsioon MDRD valemiga,mL/min/1.73m2,eGFR
glükeeritud hemoglobiin,6513 HbA1c,%,B-HbA1c
Glükohemoglobii,Glükohemoglobii,%,B-HbA1c
Glükohemoglobii,Glükohemoglobii,mmol/mol,B-HbA1c (IFCC)
Glükohemoglobiin,HbA1c IFCC,mmol/mol,B-HbA1c (IFCC)
Glükohemoglobiin (IFCC),Glükohemoglobiin,mmol/mol,B-HbA1c (IFCC)
Glükohemoglobiin veres,Glükohemoglobiin veres,%,B-HbA1c
Glükohemoglobiin veres,HbA1c %,%,B-HbA1c
Glükohemoglobiin veres,HbA1c HK:0000,mmol/mol,B-HbA1c (IFCC)
Glükohemoglobiin veres (DCA),HbA1c %,%,B-HbA1c
Glükohemoglobiin veres (IFCC),B-HbA1c_,mmol/mol,B-HbA1c (IFCC)
Glükohemoglobiin veres (IFCC),B-HbA1c_,%,B-HbA1c
Glükohemoglobiin veres (IFCC),B-HbA1c_,mmol/L,B-HbA1c (IFCC)
Glükohemoglobiin veres (IFCC),Hinnatud keskmine glükoosi kontsentratsioon,mmol/L,B-HbA1c (IFCC)
Glükohemoglobiin veres (SI),HbA1c %,%,B-HbA1c
Glükoos,Glükoos seerumis,mmol/L,"S,P-Gluc"
Glükoos arteriaalses veres,aB-Gluc,mmol/L,"S,P-Gluc"
Glükoosi profiil kapillaarverest,cB-Gluco-P,mmol/L,fcB-Gluc
Glükoosi profiil kapillaarverest,Glükoos,mmol/L,cB-Gluc POCT
Glükoosi profiil kapillaarverest,Glükoos 12.00,mmol/L,cB-Gluc POCT
Glükoosi profiil kapillaarverest,Glükoos 16.00,mmol/L,cB-Gluc POCT
Glükoosi profiil kapillaarverest,Glükoos 21.00,mmol/L,cB-Gluc POCT
Glükoosi profiil kapillaarverest,Glükoos 6.00,mmol/L,cB-Gluc POCT
Glükoosi profiil kapillaarverest,Glükoos 7.00,mmol/L,cB-Gluc POCT
Glükoosi profiil kapillaarverest POCT,Glükoos 12.00,mmol/L,cB-Gluc POCT
Glükoosi profiil kapillaarverest POCT,Glükoos 16.00,mmol/L,cB-Gluc POCT
Glükoosi profiil kapillaarverest POCT,Glükoos 21.00,mmol/L,cB-Gluc POCT
Glükoosi profiil kapillaarverest POCT,Glükoos 7.00,mmol/L,cB-Gluc POCT
Glükoosi profiil kapillaarverest (POCT),Glükoos,mmol/L,cB-Gluc POCT
Glükoosi profiil kapillaarverest (POCT),Glükoos 12.00,mmol/L,cB-Gluc POCT
Glükoosi profiil kapillaarverest (POCT),Glükoos 16.00,mmol/L,cB-Gluc POCT
Glükoosi profiil kapillaarverest (POCT),Glükoos 21.00,mmol/L,cB-Gluc POCT
Glükoosi profiil kapillaarverest (POCT),Glükoos 7.00,mmol/L,cB-Gluc POCT
Glükoos kapillaarses veres,Glükoos kapillaarses veres,mmol/L,cB-Gluc POCT
Glükoos kapillaarses veres (POCT),Glükoos kapillaarverest,mmol/L,cB-Gluc POCT
Glükoos kapillaarveres,cB-Gluc,mmol/L,cB-Gluc POCT
Glükoos kapillaarveres,cB-Gluc-PA,mmol/L,fcB-Gluc
Glükoos paastuplasmas,Glükoos pastuplasmas,mmol/L,"fS,fP-Gluc"
Glükoos paastuseerumis/-plasmas,Glükoos paastuseerumis,mmol/L,"fS,fP-Gluc"
Glükoos paastuseerumis/-plasmas,Glükoos pastuseerumis/-plasmas,mmol/L,"fS,fP-Gluc"
Glükoos paastuseerumis/-plasmas,Glükoos seerumis,mmol/L,"fS,fP-Gluc"
glükoos paastuveres,fB-Gluc,mmol/L,fcB-Gluc
Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
Glükoos uriinis,Glükoos uriinis %,%,U-Gluc strip
GTT,Glükoos 0 min gluc HK:66101,mmol/L,"fS,P-Gluc 0 min (pre 75 g Gluc PO)"
GTT,Glükoos 120 min gluc HK:66101,mmol/L,"S,P-Gluc 120 min (post 75g Gluc PO)"
GTT rasedad,Glükoos 0 min gluc HK:66101,mmol/L,"fS,P-Gluc 0 min (pre 75 g Gluc PO)"
GTT rasedad,Glükoos 120 min gluc HK:66101,mmol/L,"S,P-Gluc 120 min (post 75g Gluc PO)"
GTT rasedad,Glükoos 60 min gluc HK:66101,mmol/L,"S,P-Gluc 60 min (post 75 g Gluc PO)"
Happe-aluse tasakaal,B-Hct calc),%,B-Hct calc
Happe-aluse tasakaal,Gluc,mmol/L,"S,P-Gluc"
Happe-aluse tasakaal,Hctc,%,B-Hct calc
Happe- aluse tasakaal kapillaarveres,Hct hematokrit,%,B-Hct calc
Happe- aluse tasakaal kapillaarverest,Hct hematokrit,%,B-Hct calc
Happe-aluse tasakaal vastsündinul nabaväädiverest,Hct hematokrit,%,B-Hct calc
Happe-alus tasakaal,1 Hctc,%,B-Hct calc
Happe-alus tasakaal,2 Hctc,%,B-Hct calc
Happe-alus tasakaal,3 Hctc,%,B-Hct calc
Happe-alus tasakaal,AAV1 Hctc,%,B-Hct calc
Happe-alus tasakaal,Hctc,%,B-Hct calc
HbA1C,HbA1C,%,B-HbA1c
HbA1c,HbA1c IFCC,mmol/mol,B-HbA1c (IFCC)
HbA1c (IFCC),HbA1c IFCC,mmol/mol,B-HbA1c (IFCC)
HDL,HDL-kolesterool,mmol/L,"S,P-HDL-Chol"
HDL,Kõrge tihedusega lipoproteiini kolesterool,mmol/L,"S,P-HDL-Chol"
HDL kolest.,HDL Kolest.,mmol/L,"S,P-HDL-Chol"
HDL kolesterool,"fS-HDL-Chol, fP-HDL-",mmol/L,"S,P-HDL-Chol"
HDL kolesterool,"fS-HDL-Chol, fP-HDL-Chol",mmol/L,"S,P-HDL-Chol"
HDL kolesterool,"fS-HDL-Chol,_fP-HDL-Chol",mmol/L,"S,P-HDL-Chol"
HDL -kolesterool,HDL-Chol,mmol/L,"S,P-HDL-Chol"
HDL- kolesterool,Kõrge tihedusega lipoproteiini kolesterool,mmol/L,"S,P-HDL-Chol"
HDL- kolesterool paastuseerumis,"fS-HDL-Chol, fP-HDL-",ng/mL,"S,P-HDL-Chol"
HDL- kolesterool paastuseerumis,"fS-HDL-Chol, fP-HDL-Chol",ng/mL,"S,P-HDL-Chol"
HDL- kolesterool paastuseerumis,"fS-HDL-Chol,_fP-HDL-Chol",ng/mL,"S,P-HDL-Chol"
HDL-kolesterool paastuseerumis,fS-HDL-Chol HK:66105,mmol/L,"S,P-HDL-Chol"
HDL-kolesterool paastuseerumis,HDL-kolesterool,mmol/L,"S,P-HDL-Chol"
HDL- kolesterool seerumis,HDL- kolesterool paastuseerumis,mmol/L,"S,P-HDL-Chol"
HDL-kolesterool seerumis/plasmas,"S,P-HDL.Chol",mmol/L,"S,P-HDL-Chol"
HDL - Kõrge tihedusega lipoproteiini kolesterool,Kõrge tihedusega lipoproteiini kolesterool,mmol/L,"S,P-HDL-Chol"
HDL Kõrge tihedusega lipoproteiini kolesterool seerumis,Kõrge tihedusega lipoproteiini kolesterool,mmol/L,"S,P-HDL-Chol"
Hematocrit,Hematocrit,%,B-Hct
hematokrit,hematokrit,%,B-Hct
Hematoloogia,Eosinofiile,%,B-Eo%
Hematoloogia,Kepptuumsei,%,B-Kepptuumsed neutrofiilid %
Hematoloogia,Kepptuumseid,%,B-Kepptuumsed neutrofiilid %
Hematoloogia,Segmenttuumseid,%,B-Segmenttuumsed neutrofiilid %
Hematoloogilised ja uriini uuringud,EO,%,B-Eo%
Hematoloogilised ja uriini uuringud,IG,%,B-IG%
Hematoloogilised ja uriini uuringud,Kepptuumsed neutrofiili,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised ja uriini uuringud,Ketoonid,mmol/L,U-Ket strip
Hematoloogilised ja uriini uuringud,Leukotsüüdid,/uL,U-WBC strip
Hematoloogilised ja uriini uuringud,MCH,g/L,B-MCH
Hematoloogilised ja uriini uuringud,RDW- C,%,B-RDW-CV
Hematoloogilised ja uriini uuringud,RDW- CV,%,B-RDW-CV
Hematoloogilised ja uriini uuringud,Segmenttuumsed neutrofiili,%,B-Segmenttuumsed neutrofiilid %
Hematoloogilised ja uriini uuringud,Segmenttuumsed neutrofiilid,%,B-Segmenttuumsed neutrofiilid %
Hematoloogilised uuringud,10 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,10 B-Eo#,/nL,B-Eo#
Hematoloogilised uuringud,10 B-Eo%,%,B-Eo%
Hematoloogilised uuringud,10 B-Hct,%,B-Hct
Hematoloogilised uuringud,10 B-IG#,/nL,B-IG#
Hematoloogilised uuringud,10 B-IG%,%,B-IG%
Hematoloogilised uuringud,10 B-Lymph%,%,B-Lymph%
Hematoloogilised uuringud,10 B-MCH,pg,B-MCH
Hematoloogilised uuringud,10 B-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,10 B-MCV,fL,B-MCV
Hematoloogilised uuringud,10 B-MPV,fL,B-MPV
Hematoloogilised uuringud,10 B-PLT,10L,B-Plt
Hematoloogilised uuringud,10 B-Plt,/nL,B-Plt
Hematoloogilised uuringud,10 B-RDW,%,B-RDW-CV
Hematoloogilised uuringud,10 E-MCH,pg,B-MCH
Hematoloogilised uuringud,10 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,10 E-MCV,fL,B-MCV
Hematoloogilised uuringud,10 MPV,fL,B-MPV
Hematoloogilised uuringud,10 PDW,fL,B-PDW
Hematoloogilised uuringud,10 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,11 B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,11 B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,11 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,11 B-Eo#,/nL,B-Eo#
Hematoloogilised uuringud,11 B-Eo%,%,B-Eo%
Hematoloogilised uuringud,11 B-Hct,%,B-Hct
