,ORG,PER,LOC
"('Rimess',)",2.0,,
"('AS', 'Audit', 'EA')",1.0,,
"('Eesti', 'Sõltumatu', 'Televisiooni')",1.0,,
"('Rootsi',)",2.0,,1.0
"('Soome',)",2.0,,
"('Telenori', 'ja')",1.0,,
"('Dagens',)",2.0,,
"('TDC', 'Mobile')",1.0,,
"('TeleDanmark',)",1.0,,
"('Deutsche',)",3.0,,
"('NetCom',)",1.0,,
"('HK',)",2.0,,
"('Rakvere',)",3.0,,
"('Pärnu',)",7.0,,1.0
"('Haapsalu',)",4.0,1.0,1.0
"('Lääne',)",1.0,,
"('Läänemaa', 'Talupidajate')",1.0,,
"('New',)",9.0,2.0,5.0
"('Media',)",6.0,3.0,
"('Avenue', 'A')",1.0,,
"('America', 'Montgomery')",1.0,,
"('Rahvusvahelise', 'Sotsiaalteaduste', 'Kõrgkooli')",1.0,,
"('Maastrichti',)",1.0,,
"('Tallinna', 'Koolidevahelises')",1.0,,
"('Saue',)",1.0,,1.0
"('Sunday',)",1.0,,
"('Nippon', 'Credit')",1.0,,
"('Rahandusliku', 'Rekonstruktsiooni')",1.0,,
"('Chiyoda', 'Mutual')",1.0,,
"('Hansapanga',)",7.0,,
"('Unidanmark',)",1.0,,
"('Hansabanka', 'Läti')",1.0,,
"('Poliitikauuringute', 'Keskuses')",1.0,,
"('Rahvusvahelise', 'Valuutafondi', 'Eesti')",1.0,,
"('NG',)",5.0,,
"('Norma',)",1.0,,
"('Kunila',)",2.0,,
"('Selverite',)",1.0,,
"('Mere', 'puiestee')",1.0,,
"('Taani', 'mänguasjadetootja')",1.0,,
"('Suurbritannia',)",2.0,,
"('Skandinaviska', 'Enskilda')",1.0,,
"('Hispaania',)",1.0,,
"('Gussinski', 'Madridi')",1.0,,
"('Suurbritannia', 'Regional', 'Property', 'Developments')",1.0,,
"('Saules',)",1.0,,
"('VEF',)",1.0,,
"('AS', 'Sampo')",1.0,,
"('AS-i', 'Tallinna')",5.0,,
"('International', 'Water', 'United')",1.0,,
"('International', 'Water')",3.0,,
"('UU',)",1.0,,
"('International',)",1.0,,
"('Ameerika', 'Ühendriikide')",1.0,,
"('Rõuge',)",5.0,,
"('Pro',)",5.0,,
"('Tallinnas',)",4.0,,3.0
"('RAS',)",1.0,,
"('Kesko',)",1.0,,
"('Kesklinna',)",2.0,,
"('ASi', 'Emajõe')",1.0,,
"('Emajõe',)",1.0,,
"('ASi', 'Tallinna')",1.0,,
"('Tallinna', 'Järve')",1.0,,
"('OÜ',)",4.0,,
"('AS', 'SL')",1.0,,
"('AS-i', 'SL')",1.0,,
"('SL', 'Bussiliinid')",2.0,,
"('SL',)",14.0,,
"('Soome', 'Savolinja')",1.0,,
"('Tallinna', 'linnakohtu')",1.0,,
"('Intrum',)",4.0,,
"('Neste', 'Eesti')",1.0,,
"('Viimsi',)",4.0,,1.0
"('Estonia',)",1.0,,
"('Ruma',)",1.0,,
"('Saksamaa', 'Hypo')",1.0,,
"('Jesus', 'Christ')",1.0,,
"('Bns', '/')",1.0,,
"('Martin', 'Luther')",1.0,,
"('Ferus', 'Gallerys', 'Los')",1.0,,
"('De',)",1.0,,
"('Timo',)",1.0,,
"('Hamburgi', 'Moodsa', 'Kunsti', 'Muuseumis')",1.0,,
"('Tallinnas', 'Rotermanni', 'Soolalaos', 'USA')",1.0,,
"('New', 'Yorgi')",1.0,,
"('NRC',)",1.0,,
"('Luure',)",1.0,,
"('Nordic', 'Art')",1.0,,
"('Viljandi',)",2.0,,1.0
"('The',)",2.0,2.0,
"('Will',)",1.0,,
"('Lauri',)",1.0,7.0,
"('Kremerata',)",1.0,,
"('Dinu',)",1.0,,
"('Colorado',)",1.0,,
"('San', 'Jose')",1.0,,
"('Minnesota',)",1.0,1.0,
"('New', 'Jersey')",1.0,,
"('Phoenix',)",1.0,,
"('Atlanta',)",1.0,,
"('Tampa',)",3.0,,
"('Toronto', 'Maple')",1.0,,
"('Boston',)",2.0,,
"('TAMPA',)",1.0,,
"('BOSTON',)",1.0,,
"('Chad',)",1.0,,
"('NEW',)",1.0,,
"('Brad',)",2.0,,
"('Petr',)",1.0,2.0,
"('COLORADO',)",1.0,,
"('Chris',)",1.0,4.0,
"('NASHVILLE',)",1.0,,
"('OTTAWA',)",1.0,,
"('Vancouver', ':')",1.0,,
"('ST',)",1.0,,
"('Al',)",1.0,2.0,
"('NY',)",2.0,,
"('San',)",1.0,,1.0
"('Klubi', 'Mänge')",1.0,,
"('Mahhatshkala',)",1.0,1.0,
"('FC',)",7.0,,
"('Ipswich',)",1.0,,
"('Derby', 'Pride')",1.0,,
"('Birminghami', 'Villa')",1.0,,
"('Portland',)",1.0,,
"('Sacramento', 'Kingsi', 'Chris')",1.0,,
"('Cleveland',)",1.0,,
"('LA',)",1.0,,
"('Kristiine',)",1.0,,
"('Tallinn', 'CUP')",1.0,,
"('Kiviõli', 'FC', 'Shtrommi', 'Tarvastu', 'JK', 'Atli', 'Rapla')",1.0,,
"('Päästeamet',)",1.0,,
"('Keila',)",3.0,,
"('Põltsamaa', 'Kernu')",1.0,,
"('SK', 'Tapa')",1.0,,
"('Võru', 'Atli', 'Rapla')",1.0,,
"('SK', 'Trummi', 'Lootos', 'Põlva', 'FC')",1.0,,
"('RSK', 'Loksa', 'JK', 'Saue', 'SK', 'Kirm', 'FC', 'Mõigu')",1.0,,
"('JK', 'Voka', 'FC', 'Concordia', 'SK', 'Koeru', 'FC')",1.0,,
"('MS',)",1.0,,
"('Kehra',)",1.0,,
"('FC', 'Warrior', 'Valga', 'FC')",1.0,,
"('Tartu', 'FC')",1.0,,
"('Eesti', 'Telefoni', 'SK')",1.0,,
"('SK',)",1.0,,
"('SK', 'FC', 'Hansa')",1.0,,
"('JK', 'Roosna-Alliku', 'Emmaste')",1.0,,
"('JK',)",1.0,,
"('K', 'Kristiine', 'JK', 'Tartu', 'JK', 'KPMG')",1.0,,
"('JK', 'Vana')",1.0,,
"('FC', 'Reaal', 'Raasiku', 'JK', 'FC')",1.0,,
"('Ateena',)",1.0,,
"('Zagrebi', 'Cibona')",1.0,,
"('Bologna',)",1.0,,
"('Charleroi', ""'"")",1.0,,
"('Vitoria', 'TAU')",1.0,,
"('Peterburi',)",1.0,,
"('Treviso',)",1.0,,
"('Madridi',)",1.0,,
"('Verona',)",1.0,,
"('Saloniki',)",1.0,,
"('Podgorica', 'KK')",1.0,,
"('Salt', 'Lake')",2.0,,1.0
"('Eesti', 'Bowlingu')",5.0,,
"('Folger', 'Art')",1.0,,
"('Jajaa',)",1.0,,
"('Triip', 'Grupp')",1.0,,
"('Hansaprint',)",1.0,,
"('Bowling', 'European')",1.0,,
"('Soome', 'Bowlingu')",2.0,,1.0
"('Baltic',)",2.0,,
"('Uponor',)",1.0,,
"('Rank',)",1.0,,
"('ISKU',)",1.0,,
"('Kone',)",1.0,,
"('Lemminkäinen',)",1.0,,
"('Valio',)",1.0,,
"('Soome', 'Firmabowlingu')",1.0,,
"('Aleksander',)",1.0,2.0,
"('Eesti', 'Rahva')",1.0,,
"('Anži', 'FC')",1.0,,
"('Maardu',)",1.0,,
"('Dundee',)",1.0,,
"('Itaalia',)",1.0,,
"('Oostende',)",2.0,,
"('FIBA',)",1.0,,
"('Efes',)",1.0,,
"('Virginijus',)",1.0,,
"('Mariine',)",3.0,,
"('Monte',)",3.0,,1.0
"('Kristiansandi',)",1.0,,
"('Tor',)",1.0,,
"('KK',)",3.0,,
"('Le',)",1.0,5.0,
"('KK', 'Rakvere')",1.0,,
"('Petter',)",1.0,,
"('Reuters', '/')",2.0,,
"('Pai',)",1.0,,
"('Elite',)",1.0,,
"('Reval', 'Hotels')",1.0,,
"('Raadio',)",1.0,1.0,
"('ASi', 'ESS')",1.0,,
"('Pankade', 'Kaardikeskuse')",2.0,,
"('Tallinnna',)",1.0,,
"('Harju',)",3.0,,
"('Magnum',)",1.0,,
"('Rahvaerakond',)",1.0,,
"('Eestimaa',)",5.0,,
"('Sotsiaaldemokraatlik',)",3.0,,
"('Ühendatud',)",2.0,,
"('Põllumeeste',)",2.0,,
"('Vene',)",4.0,,1.0
"('Kristlik',)",2.0,,
"('Eesti', 'Kohtunike')",1.0,,
"('Eesti', 'Rahvusliku', 'Sõltumatuse')",1.0,,
"('Lissaboni',)",1.0,,
"('Göteborgi',)",1.0,,
"('Euroopa', 'Liidu')",1.0,,
"('Elvis',)",1.0,,
"('Järvamaa',)",1.0,,
"('Justiistministeeriumi',)",1.0,,
"('Murru',)",1.0,,
"('ETAle',)",5.0,,
"('Norimasa',)",1.0,,
"('Rahvaerakonna',)",1.0,,
"('Eesti', 'Teadlaste')",1.0,,
"('Riigikogu',)",1.0,,
"('Paikuse',)",1.0,,
"('Mustamäe',)",3.0,,
"('AS-idele', 'Hansa')",1.0,,
"('Hoiupanga',)",1.0,,
"('Valga',)",1.0,,
"('Küllike',)",1.0,,
"('Nõmme',)",1.0,,
"('AS', 'Eesti')",1.0,,
"('Pankade',)",1.0,,
"('Riigikogu', 'Eestimaa')",1.0,,
"('Vanemõe',)",1.0,,
"('Sirje', 'Rõõmu')",1.0,,
"('kapo', 'ja')",1.0,,
"('Anonüümsete',)",1.0,,
"('Tervis',)",2.0,,
"('Jämejala',)",1.0,,
"('Kashpirovski',)",1.0,,
"('Palupera', 'Räbi')",1.0,,
"('Otepää',)",1.0,,
"('Otepääl',)",1.0,,
"('Kääriku-Tehvandi',)",1.0,,
"('Räbi',)",1.0,,
"('Tartu', 'Ülikooli')",1.0,,
"('Tbilisi',)",1.0,,
"('McDonald', ""'"")",1.0,6.0,
"('Mustamäe', 'McDonald', ""'"")",1.0,,
"(""McDonald's"",)",1.0,,
"('Kanal',)",2.0,,
"('""',)",2.0,,
"('GB',)",4.0,1.0,
"('Rahvuslik-Demokraatlike', 'Jõudude')",1.0,,
"('Osaühingu', 'Forniks')",1.0,,
"('TOP',)",1.0,,
"('Vaivara',)",1.0,,1.0
"('Kaitseliidu',)",1.0,,
"('Piirivalve', 'Narva-Jõesuu')",1.0,,
"('BC',)",1.0,,
"('Põllumajanduse',)",1.0,,
"('Informatsiooni',)",1.0,,
"('Moskva', 'Rahvusvaheliste', 'Suhete')",1.0,,
"('Konstantin', 'Provalov', 'Venemaa')",1.0,,
"('AS-iga',)",1.0,,
"('Saar',)",1.0,1.0,
"('Galsgow',)",1.0,,
"('Epl',)",2.0,,
"('Väike',)",1.0,,
"('Milvi',)",1.0,2.0,
"('EE', 'Teeninduse')",1.0,,
"('Ettevõtluse', 'Arendamise')",1.0,,
"('Eckerö',)",1.0,,
"('ESS',)",1.0,,
"('Eesti', 'Kirikute')",2.0,,
"('Palestiina',)",1.0,,
"('Prantsuse',)",2.0,,1.0
"('Demokraatlik',)",1.0,,
"('RIA',)",1.0,,
"('Demokraatlikku',)",1.0,,
"('Podgorica',)",1.0,,
"('Föderaalse',)",1.0,,
"('USA',)",3.0,,2.0
"('Rahvuslikus',)",1.0,,
"('Pentagoni',)",1.0,,
"('Nezavissimaja',)",2.0,,
"('Johns', ""Hopkins'i"")",1.0,,
"('Lao',)",2.0,2.0,
"('Briti',)",1.0,,
"('Colombia',)",1.0,,
"('Medellini', 'El', 'Tesoro')",1.0,,
"('Colombia', 'Revolutsioonilised')",1.0,,
"('Rahvusliku',)",1.0,,
"('Haagi',)",1.0,,
"('Serbia', 'Demokraatliku')",1.0,,
"('Washington',)",2.0,,
"('Likud',)",1.0,,
"('NTV',)",1.0,,
"('Little',)",1.0,,
"('Associated', 'Press')",1.0,,
"('Grünstein', 'Product')",1.0,,
"('Oikeutta',)",1.0,1.0,
"('Hanoi',)",1.0,,
"('In',)",1.0,,
"('Ameerika', 'Sõjakuritegude')",1.0,,
"('War', 'Remnants')",1.0,,
"('Vietnami', 'Demokraatliku')",1.0,,
"('Põhja-Atlandi',)",1.0,,
"('ÜRO', 'Keskkonnaprogrammi')",1.0,,
"('Maailma',)",1.0,,
"('Cable', 'News')",1.0,,
"('America',)",1.0,,
"('Iisraeli', 'parempoolse', 'Likud')",1.0,,
"('Obštšaja',)",1.0,,
"('Abu', 'Hafas')",1.0,,
"('Linda',)",1.0,5.0,
"('Üleriigilise', 'Arvamusuuringute')",1.0,,
"('Demokraat', 'Al')",1.0,,
"('The', 'New', 'York')",1.0,,
"('Wall', 'Street')",2.0,,
"('The', 'Washington')",1.0,,
"('Associated',)",2.0,,
"('St',)",4.0,1.0,
"('Petersburg',)",2.0,,
"('Palm', 'Beach')",2.0,,
"('Tribune',)",1.0,1.0,
"('Los', 'Angeles')",3.0,,
"('Chicago',)",2.0,,
"('Orlando',)",2.0,1.0,
"('Simon', 'Wiesenthali')",1.0,,
"('Reuters', '/', 'ap', '/')",1.0,,
"('New', 'York')",1.0,,
"('Los', 'Angeles', 'Timesi', 'Washingtoni')",1.0,,
"('Miami',)",2.0,,
"('riigikogu', 'Reformierakonna')",2.0,,
"('N',)",1.0,,3.0
"('Regionaalarengu',)",1.0,,
"('Ttü',)",1.0,,
"('Saksamaa',)",1.0,,
"('HomePlug', 'Powerline')",1.0,,
"('DiAx', 'Holding')",1.0,,
"('Bsa', 'Eesti', 'Komitee')",1.0,,
"('Microsofti',)",1.0,,
"('ID', 'Software')",1.0,,
"('Unreal', 'Tournamenti')",1.0,,
"('Kellit',)",1.0,,
"('Audentese',)",1.0,,
"('Eesti', 'Vedurijuhtide', 'Ametiühingute')",1.0,,
"('Rakvere', 'haiglasse')",1.0,,
"('Põhja',)",1.0,,
"('Inglismaa',)",1.0,,
"('Irvine',)",1.0,,
"('Audi',)",2.0,,
"('Plymouth',)",1.0,,
"('Infiniti',)",1.0,,
"('DOHC',)",1.0,,
"('Nissan', 'Balti', 'ASist')",1.0,,
"('France',)",1.0,,
"('Toyota', 'Land')",1.0,,
"('Motor',)",1.0,,
"('GMC', 'Sierra')",1.0,,
"('S-',)",1.0,,
"('Merko',)",1.0,,
"('AS', 'Mariine')",2.0,,
"('Cadillac',)",1.0,,
"('GMC', 'Yukon')",1.0,,
"('Hyunday', 'Motor')",1.0,,
"('Hyundai', 'Motor')",1.0,,
"('Sao',)",1.0,,1.0
"('S-Type',)",1.0,,
"('Land',)",1.0,,
"('Mmairele',)",1.0,,
"('Sovetskii',)",1.0,,
"('EKP',)",1.0,,
"('Kuku',)",2.0,,
"('Radio',)",1.0,,
"('Lehe',)",1.0,,
"('Sõktõvkari',)",1.0,,
"('I', 'Did', 'it')",1.0,,
"('New', 'Straits')",1.0,,
"('New', 'Yorgi', 'Carnegie')",1.0,,
"('Epic',)",1.0,,
"('Modern',)",1.0,,
"('Valge',)",2.0,,
"('Valgesse',)",1.0,,
"('Stanfordi',)",1.0,,
"('P. S.', 'Eesti')",1.0,,
"('Tallinn', 'Inna')",1.0,,
"('Kreegiga',)",1.0,,
"('Ervin',)",1.0,7.0,
"('""', 'Elukooli')",1.0,,
"('TRA',)",1.0,,
"('ENSV', 'Riiklikus')",1.0,,
"('Annabel',)",1.0,14.0,
"('Lõuna-California',)",1.0,,
"('General',)",2.0,,
"('International', 'Herald')",2.0,,
"('Marriotti',)",1.0,,
"('News',)",1.0,,
"('Kohtualune',)",1.0,,
"('AT', '&')",1.0,,
"('Saku',)",1.0,,
"('Microsoft',)",1.0,,
"('Oracle',)",1.0,,
"('Tokyo',)",1.0,,
"('Helsingi',)",2.0,,
"('Frankfurdi', 'Xetra')",1.0,,
"('Vene', 'Ühtse')",1.0,,
"('Ventspils',)",1.0,,
"('Litin',)",1.0,,
"('Vilniaus',)",1.0,,
"('""', 'New')",1.0,,
"('Art', '-')",1.0,,
"('Annabel', 'Chongi')",1.0,,
"('Anatole', ""France'i"")",1.0,,
"('Vt', 'Linnar')",1.0,,
"('Vigala',)",1.0,,
"('Kuressaare',)",1.0,,
"('Elu',)",1.0,,
"('Glori',)",1.0,,
"('Just', 'Knud')",1.0,,
"('Tartu', 'Miina', 'Härma')",1.0,,
"('Tartu', 'Maarjamõisa')",1.0,,
"('Inglise',)",1.0,,
"('Eurocops',)",1.0,,
"('DELAWARE', ""'"")",1.0,,
"('Royal',)",1.0,,
"('rohelises',)",1.0,,
"('Fun', '&')",4.0,,
"('Hinnad', 'Sebra')",1.0,,
"('Bill',)",,7.0,
"('Aivo',)",,8.0,
"('Jüri',)",,35.0,
"('Rein',)",,12.0,
"('Ivar',)",,1.0,
"('Heiki',)",,9.0,
"('Mihkel',)",,5.0,
"('Jaana',)",,1.0,
"('Märten',)",,1.0,
"('Andres',)",,21.0,
"('Aivar',)",,8.0,
"('Karin',)",,7.0,
"('Kristjan-Erik',)",,3.0,
"('Vambola',)",,2.0,
"('Üllar',)",,3.0,
"('Kolbakov', 'Üllar')",,1.0,
"('Eha',)",,2.0,
"('Indrek',)",,13.0,
"('Latvijas',)",,3.0,
"('Maris',)",,1.0,
"('Kuno',)",,1.0,
"('Arnaud',)",,1.0,
"('Marko',)",,3.0,
"('Henri',)",,3.0,
"('Mladen',)",,2.0,
"('Gallup',)",,1.0,
"('Vaclovas',)",,1.0,
"('Arturas',)",,1.0,
"('Vytautas',)",,1.0,
"('Piret',)",,6.0,
"('Ahti',)",,2.0,
"('Arvi',)",,5.0,
"('Ain',)",,4.0,
"('Toivi',)",,1.0,
"('Suure-Jaani',)",,2.0,
"('Gintaras',)",,1.0,
"('Kazimieras',)",,1.0,
"('Gundars',)",,1.0,
"('Aigars',)",,1.0,
"('Leonids',)",,1.0,
"('Svenska',)",,1.0,
"('Akmenes',)",,3.0,
"('Pranas',)",,1.0,
"('Einars',)",,2.0,
"('Mart',)",,8.0,
"('John',)",,11.0,
"('Aleksandras',)",,1.0,
"('Jonas',)",,1.0,
"('Valdas',)",,2.0,
"('Rolandas',)",,1.0,
"('Erki',)",,5.0,
"('Inge',)",,1.0,
"('Audit',)",,1.0,
"('Kristjan',)",,8.0,
"('Lemmi',)",,1.0,
"('Aule',)",,1.0,
"('Tõnis',)",,7.0,
"('Björn',)",,2.0,
"('Erkki',)",,1.0,
"('Enskilda',)",,1.0,
"('Kenneth',)",,1.0,
"('Aavik',)",,1.0,
"('Leino',)",,1.0,
"('DoubleClick',)",,1.0,
"('ValueClick',)",,1.0,
"('Mediaplex',)",,1.0,
"('Siim',)",,5.0,
"('Garth', 'Alexander')",,1.0,
"('Tadayo',)",,1.0,
"('Sinine',)",,1.0,
"('Honma',)",,1.0,
"('Yoshiro',)",,1.0,
"('Hikari',)",,1.0,
"('Kyoei',)",,1.0,
"('Merrill',)",,2.0,
"('Kiichi',)",,1.0,
"('Michael',)",,5.0,
"('Tiit',)",,10.0,
"('PAAVO',)",,1.0,
"('Tiina',)",,6.0,
"('Aare',)",,6.0,
"('Daniel',)",,3.0,
"('Ülle',)",,5.0,
"('Kadri',)",,3.0,
"('Kalle',)",,6.0,
"('Veikko',)",,1.0,
"('Margus',)",,6.0,
"('Paavo',)",,1.0,
"('Enn',)",,4.0,
"('Kapitalist',)",,1.0,
"('Kännu',)",,1.0,
"('Eva',)",,1.0,
"('Jack',)",,1.0,
"('Phil',)",,1.0,
"('Andrei',)",,2.0,
"('Leonid',)",,10.0,
"('Vladimir',)",,10.0,
"('Balthasar',)",,1.0,
"('Garzon',)",,1.0,
"('Gazprom',)",,4.0,2.0
"('Ted',)",,4.0,
"('Mihhail',)",,5.0,
"('Edzus',)",,1.0,
"('Juri',)",,3.0,
"('Gints',)",,1.0,
"('Kinnistud',)",,1.0,
"('Tim',)",,1.0,
"('Gordon',)",,1.0,
"('Patrick',)",,4.0,
"('Water',)",,1.0,
"('Sarah',)",,1.0,
"('Dolores',)",,1.0,
"('Suprema',)",,1.0,
"('Jaak',)",,4.0,
"('Tanel',)",,1.0,
"('Ene',)",,2.0,
"('Sirje',)",,4.0,
"('Priit',)",,13.0,
"('Riho',)",,4.0,
"('Aap',)",,4.0,
"('Urmas',)",,7.0,
"('Tuomo',)",,2.0,
"('Savonlinja',)",,2.0,
"('Connex',)",,2.0,
"('Edgar',)",,2.0,
"('Jakko',)",,9.0,
"('Risto',)",,1.0,
"('Marchel',)",,1.0,
"('Henrik',)",,3.0,
"('Katrin',)",,5.0,
"('Raul',)",,7.0,
"('Kaljo',)",,2.0,
"('Jevgeni',)",,3.0,
"('Johnny',)",,1.0,
"('Clint',)",,1.0,
"('Signe',)",,2.0,
"('Pomerants',)",,1.0,
"('KIRVED',)",,1.0,
"('Ago',)",,2.0,
"('Romi',)",,1.0,
"('Eve',)",,4.0,
"('Andy',)",,15.0,
"('Julia',)",,4.0,
"('Andrew',)",,3.0,
"('Pat',)",,3.0,
"('Warhol',)",,1.0,
"('Warholi',)",,1.0,
"('José',)",,2.0,
"('Marilyn',)",,1.0,
"('John', 'Peter')",,1.0,
"('Max',)",,3.0,
"('Igor',)",,6.0,
"('Peeter',)",,10.0,
"('Vadim',)",,3.0,
"('Triinu',)",,1.0,
"('Andero',)",,1.0,
"('Anne', 'Reemann')",,1.0,
"('Margot',)",,1.0,
"('Kama',)",,1.0,
"('Daniil',)",,1.0,
"('Katerina', 'Ivanovna')",,1.0,
"('Katerina',)",,3.0,
"('Oksana',)",,1.0,
"('Usk', 'Katerina')",,1.0,
"('Avo',)",,1.0,
"('Benjamin',)",,2.0,
"('Ilmar',)",,2.0,
"('Kelli',)",,1.0,
"('Jaan',)",,12.0,
"('Arthur',)",,1.0,
"('Fidel',)",,1.0,
"('Lennoni',)",,1.0,
"('Ricardo',)",,2.0,
"('Jossif',)",,1.0,
"('Boriss',)",,2.0,
"('Tarmo',)",,7.0,
"('Hanno',)",,1.0,
"('Edgar', 'Johan')",,1.0,
"('Nora',)",,1.0,
"('Triin',)",,1.0,
"('Eugen',)",,1.0,
"('Nikolai',)",,1.0,
"(""Duchamp'i"",)",,1.0,
"('Heie',)",,2.0,
"('Roy',)",,1.0,
"('Inessa',)",,1.0,
"('Leonhard',)",,1.0,
"('Kadi',)",,1.0,
"('Ede',)",,2.0,
"('Urve',)",,1.0,
"('Paul',)",,6.0,
"('Tiiu',)",,5.0,
"('George',)",,10.0,
"('Susan', 'Kleckner')",,1.0,
"('Linnar',)",,3.0,
"('Lapper',)",,1.0,
"('Horst',)",,1.0,
"('Thomas',)",,1.0,
"('Eric-Emmanuel',)",,1.0,
"('Hannes',)",,2.0,
"('Tarvo',)",,1.0,
"('Ülle', 'Lichtfeldt')",,1.0,
"('Karl',)",,2.0,
"('Ruta',)",,1.0,
"('Arvo',)",,1.0,
"('Agatha',)",,1.0,
"('TUNDED',)",,1.0,
"('Maria',)",,4.0,
"('Siiri',)",,1.0,
"('Anastassia',)",,1.0,
"('Alanis',)",,1.0,
"('Heili',)",,1.0,
"('Toivo',)",,6.0,
"('Alfred',)",,1.0,
"('Tulevi-plokk',)",,1.0,
"('Gidon',)",,2.0,
"('Gia',)",,1.0,
"('Columbus', 'Blue')",,1.0,
"('Marc',)",,1.0,
"('Adam',)",,2.0,
"('Joe',)",,4.0,
"('Marty',)",,2.0,
"('Ed',)",,1.0,
"('Ron',)",,3.0,
"('Jacques',)",,1.0,
"('Steve',)",,2.0,
"('Dan',)",,1.0,
"('Ryan',)",,1.0,
"('Vincent',)",,3.0,
"('Brian',)",,2.0,
"('Aleksandr',)",,4.0,
"('Fredrik',)",,1.0,
"('Yanic',)",,1.0,
"('Dave',)",,1.0,
"('Sergei',)",,7.0,
"('Don',)",,1.0,
"('Mikko',)",,1.0,
"('Arron',)",,1.0,
"('Bobby',)",,1.0,
"('Randy',)",,3.0,
"('Mika',)",,1.0,
"('Ossi',)",,1.0,
"('Patrik',)",,2.0,
"('Scott',)",,7.0,
"('Jason',)",,2.0,
"('Brett',)",,1.0,
"('Darryl',)",,1.0,
"('Donald',)",,3.0,
"('Ray',)",,2.0,
"('Yannick',)",,1.0,
"('Brenden',)",,1.0,
"('Grant',)",,1.0,
"('Derian',)",,1.0,
"('Peter',)",,2.0,
"('Geoff',)",,1.0,
"('Espen',)",,1.0,
"('Martin',)",,4.0,
"('Alex',)",,1.0,
"('Greg',)",,1.0,
"('Bruce',)",,1.0,
"('Lyle',)",,1.0,
"('Aaron',)",,2.0,
"('Cam',)",,1.0,
"('Curtis',)",,1.0,
"('Stacy',)",,1.0,
"('Lubomir',)",,1.0,
"('David',)",,3.0,
"('Tom',)",,3.0,
"('Anson',)",,1.0,
"('Doug',)",,1.0,
"('Denis',)",,1.0,
"('Mike',)",,3.0,
"('Georges',)",,1.0,
"('Rob',)",,1.0,
"('Karlis',)",,1.0,
"('Marian',)",,2.0,
"('Harold',)",,1.0,
"('Shawn',)",,1.0,
"('Wade',)",,1.0,
"('Magnus',)",,1.0,
"('Karel',)",,1.0,
"('Radek',)",,1.0,
"('Aleksei',)",,2.0,
"('Niklas',)",,1.0,
"('Oleg',)",,3.0,
"('Bryce',)",,1.0,
"('Pierre',)",,2.0,
"('Jochen',)",,1.0,
"('Craig',)",,1.0,
"('Tyson',)",,1.0,
"('Teemu',)",,1.0,
"('Joe', 'Sakic')",,1.0,
"('Donald', 'Audette')",,1.0,
"('Jaromir', 'Jagr')",,1.0,
"('Doug', 'Weight')",,1.0,
"('Allison',)",,1.0,
"('Brian', 'Leetch')",,1.0,
"('Sergei', 'Fjodorov')",,1.0,
"('Aleksei', 'Kovaljov')",,1.0,
"('Marian', 'Hossa')",,1.0,
"('Peter', 'Bondra')",,1.0,
"('Martin', 'Straka')",,1.0,
"('Ferraro',)",,1.0,
"('Brett', 'Hull')",,1.0,
"('Markus', 'Näslund')",,1.0,
"('Steve', 'Sullivan')",,1.0,
"('Radek', 'Bonk')",,1.0,
"('Bill', 'Guerin')",,1.0,
"('Toomas',)",,22.0,
"('Mark',)",,7.0,
"('Pavel',)",,2.0,
