analysis_name,parameter_name,parameter_unit,t_lyhend,loinc_code,substrate,evidence
24356-8 Uriini Sademe Mikroskoopia,34366-5 Valk/kreatiniin uriinis,g/mol,U-Prot/U-Crea,34366-5,Urine,manual
50556-0 Uriini Ribaanalüüs,14683-7 Kreatiniin uriinis,mmol/L,U-Crea,14683-7,Urine,manual
50556-0 Uriini Ribaanalüüs,14683-7 Kreatiniin uriinis,umol/L,U-Crea,14683-7,Urine,manual
50556-0 Uriini Ribaanalüüs,14957-5 Albumiin uriinis,mg/L,U-Alb,14957-5,Urine,manual
50556-0 Uriini Ribaanalüüs,1746-7 Albumiin liikvoris,mg/L,CSF-Alb,1746-7,CSF,manual
50556-0 Uriini Ribaanalüüs,30000-4 Albumiin/kreatiniin uriinis,g/mol,U-Alb/U-Crea,30000-4,Urine,manual
50556-0 Uriini Ribaanalüüs,30000-4 Albumiin/kreatiniin uriinis,mg/mmol,U-Alb/U-Crea,30000-4,Urine,manual
50556-0 Uriini Ribaanalüüs,34366-5 Valk/kreatiniin uriinis,g/mol,U-Prot/U-Crea,34366-5,Urine,manual
50556-0 Uriini Ribaanalüüs,61151-7 Albumiin,g/L,"S,P-Alb",61151-7,Ser/Plas,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,13980-8 Albumiin %,%,S-Alb-Fr%,13980-8,Ser/Plas,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,14338-8 Prealbumiin,g/L,"S,P-PreAlb",14338-8,Ser/Plas,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,14682-9 Kreatiniin,umol/L,"S,P-Crea",14682-9,Ser/Plas,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,14683-7 Kreatiniin uriinis,mmol/L,U-Crea,14683-7,Urine,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,14956-7 Albumiin ööpäevases uriinis,mg/d,dU-Alb,14956-7,Urine,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,14957-5 Albumiin uriinis,mg/L,U-Alb,14957-5,Urine,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,1746-7 Albumiin liikvoris,mg/L,CSF-Alb,1746-7,CSF,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,1751-7 Albumiin,g/L,"S,P-Alb-hs",1751-7,Ser/Plas,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,2862-1 Albumiin Fr,g/L,S-Alb-Fr,2862-1,Ser/Plas,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,30000-4 Albumiin/kreatiniin uriinis,g/mol,U-Alb/U-Crea,30000-4,Urine,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,33914-3 eGFR,mL/min/1.73m2,eGFR,33914-3,Ser/Plas,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,50210-4 eGFR,mL/min/1.73m2,"S,P-eGFR (CysC)",50210-4,Ser/Plas,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,59826-8 Kreatiniin,umol/L,B-Crea (POCT),59826-8,Bld,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,61151-7 Albumiin,g/L,"S,P-Alb",61151-7,Ser/Plas,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,62238-1 eGFR,mL/min/1.73m2,eGFR (CKD-EPI),62238-1,Ser/Plas,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,62238-1 eGFR,ml/min/1.73m2,eGFR (CKD-EPI),62238-1,Ser/Plas,manual
57021-8 Hemogramm 5-Osalise Leukogrammiga,A-4823 eGFR,mL/min/1.73m2,"eGFR (CKD-EPI, POCT)",A-4823,,manual
58410-2 Hemogramm,14338-8 Prealbumiin,g/L,"S,P-PreAlb",14338-8,Ser/Plas,manual
58410-2 Hemogramm,14682-9 Kreatiniin,umol/L,"S,P-Crea",14682-9,Ser/Plas,manual
58410-2 Hemogramm,14957-5 Albumiin uriinis,mg/L,U-Alb,14957-5,Urine,manual
58410-2 Hemogramm,2862-1 Albumiin Fr,g/L,S-Alb-Fr,2862-1,Ser/Plas,manual
58410-2 Hemogramm,50210-4 eGFR,mL/min/1.73m2,"S,P-eGFR (CysC)",50210-4,Ser/Plas,manual
58410-2 Hemogramm,59826-8 Kreatiniin,umol/L,B-Crea (POCT),59826-8,Bld,manual
58410-2 Hemogramm,61151-7 Albumiin,g/L,"S,P-Alb",61151-7,Ser/Plas,manual
58410-2 Hemogramm,62238-1 eGFR,mL/min/1.73m2,eGFR (CKD-EPI),62238-1,Ser/Plas,manual
58410-2 Hemogramm,A-4823 eGFR,mL/min/1.73m2,"eGFR (CKD-EPI, POCT)",A-4823,,manual
Alaniini aminotransferaas,Alaniini amonitrasferaas,U/L,"S,P-ALAT",1744-2,Ser/Plas,manual
Alaniini aminotransferaas seerumis,S-ALAT HK:66106,U/L,"S,P-ALAT",1744-2,Ser/Plas,manual
ALAT,"S-ALAT, P-ALAT",U/L,"S,P-ALAT",1744-2,Ser/Plas,manual
ALAT,"S-ALAT,_P-ALAT",U/L,"S,P-ALAT",1744-2,Ser/Plas,manual
ALAT Alaniini aminotransferaas seerumis,"S-ALAT, P-ALAT",ng/mL,"S,P-ALAT",1744-2,Ser/Plas,manual
ALAT Alaniini aminotransferaas seerumis,"S-ALAT,_P-ALAT",ng/mL,"S,P-ALAT",1744-2,Ser/Plas,manual
Alb - Albumiin Seerumis,Albumiin seerumis,g/L,"S,P-Alb",61151-7,Ser/Plas,manual
Albumiin,61151-7 Albumiin,g/L,"S,P-Alb",61151-7,Ser/Plas,manual
Albumiini Ja Kreatiniini Suhe Uriinis,30000-4,g/mol,U-Alb/U-Crea,30000-4,Urine,manual
Albumiini Ja Kreatiniini Suhe Uriinis,Alb,mg/L,U-Alb,14957-5,Urine,manual
Albumiini Ja Kreatiniini Suhe Uriinis,albumiini/kreatiniini suhe,mg/mmol,U-Alb/U-Crea,30000-4,Urine,manual
Albumiini Ja Kreatiniini Suhe Uriinis,Crea,umol/L,U-Crea,14683-7,Urine,manual
Albumiini Ja Kreatiniini Suhe Uriinis,kreatiniin,mmol/L,U-Crea,14683-7,Urine,manual
Albumiini Ja Kreatiniini Suhe Uriinis,Mikroalbuminuuria,mg/L,U-Alb,14957-5,Urine,manual
Albumiini ja kreatiniini suhe uriinis,Alb/Crea,mgalb/mmol kreat,U-Alb/U-Crea,30000-4,Urine,manual
Albumiini-Kreatiniini Suhe Uriinis,Albumiin,mg/L,U-Alb,14957-5,Urine,manual
Albumiini/Kreatiniini Suhe Uriinis,µAlb,mg/L,U-Alb,14957-5,Urine,manual
Albumiini/Kreatiniini Suhe Uriinis,Crea,mmol/L,U-Crea,14683-7,Urine,manual
Albumiini-kreatiniini suhe uriinis,Alb/Crea,mg/mmol,U-Alb/U-Crea,30000-4,Urine,manual
Albumiini-kreatiniini suhe uriinis,Kreatiniin,mmol/L,U-Crea,14683-7,Urine,manual
Albumiini-kreatiniini suhe uriinis,U-Alb/Crea,mg/mmol,U-Alb/U-Crea,30000-4,Urine,manual
Albumiini/kreatiniini suhe uriinis,Alb/Crea,mgalb/mmol kreat,U-Alb/U-Crea,30000-4,Urine,manual
Albumiini/kreatiniini suhe uriinis,Crea,umol/L,"S,P-Crea",14682-9,Ser/Plas,manual
Albumiin Juhuslikus Uriinis,Albumiin uriinis7,mg/L,U-Alb,14957-5,Urine,manual
Albumiin Juhuslikus Uriinis,Kreatiniin uriinis2,mmol/L,U-Crea,14683-7,Urine,manual
Albumiin juhuslikus uriinis,Albumiin uriinis HK:66117,mg/L,U-Alb,14957-5,Urine,manual
Albumiin juhuslikus uriinis,Kreatiniin uriinis HK:66102,mmol/L,U-Crea,14683-7,Urine,manual
Albumiin/Kreatiniin Uriinis,30000-4 Albumiin/kreatiniin uriinis,g/mol,U-Alb/U-Crea,30000-4,Urine,manual
Albumiin/Kreatiniin Uriinis,30000-4 Albumiin/kreatiniin uriinis,mg/mmol,U-Alb/U-Crea,30000-4,Urine,manual
Albumiin/Kreatiniin Uriinis,Albumiin,mg/L,U-Alb,14957-5,Urine,manual
Albumiin/Kreatiniin Uriinis,U-Mikroalb,mg/d,dU-Alb,14956-7,Urine,manual
Albumiin/kreatiniin uriinis,Alb/Crea,mg/mmol,U-Alb/U-Crea,30000-4,Urine,manual
Albumiin/kreatiniin uriinis,Kreatiniin,mmol/L,U-Crea,14683-7,Urine,manual
Albumiin/kreatiniin uriinis,U-Alb/Crea,mgAlb/mmol/Cre,U-Alb/U-Crea,30000-4,Urine,manual
Albumiin Liikvoris,1746-7,mg/L,CSF-Alb,1746-7,CSF,manual
Albumiin Plasmas,61151-7,g/L,"S,P-Alb",61151-7,Ser/Plas,manual
Albumiin Seerumis,61151-7,g/L,"S,P-Alb",61151-7,Ser/Plas,manual
Albumiin Seerumis,66100 S-Albumiin seerumis,g/L,"S,P-Alb",61151-7,Ser/Plas,manual
Albumiin Seerumis,Albumiin seerumis,g/L,"S,P-Alb",61151-7,Ser/Plas,manual
Albumiin Seerumis,"S-Alb, P-Alb",ng/mL,"S,P-Alb",61151-7,Ser/Plas,manual
Albumiin Uriinis,14957-5,mg/L,U-Alb,14957-5,Urine,manual
Albumiin Uriinis,14957-5 Albumiin uriinis,mg/L,U-Alb,14957-5,Urine,manual
Albumiin Uriinis,mikroalbuminuuria,mg/L,U-Alb,14957-5,Urine,manual
Albumiin Uriinis ( Mikroalbumiin ),U-Alb-2,mg/L,U-Alb,14957-5,Urine,manual
Albumiin Ööpäevases Uriinis,Albumiin ööpäeva uriinis,mg/d,dU-Alb,14956-7,Urine,manual
Albumiin Ööpäevases Uriinis,Mikroalbumiin nefelomeetriliselt,mg/L,U-Alb,14957-5,Urine,manual
ANA tüpiseerimine (Immunoblot),ANA tüpiseerimine,pmol/L,"S,P-CTD IgG panel IB",43119-7,Bld,manual
anti TSH-R retseptorite vastased ak,S-antiTSH-R,U/L,"S,P-TSH",3016-3,Ser/Plas,manual
anti TSH-R retseptorite vastased ak,TSH retseptorite vastased ak,U/L,"S,P-TSH",3016-3,Ser/Plas,manual
ASAT,"S-ASAT, P-ASAT",U/L,"S,P-ASAT",1920-8,Ser/Plas,manual
ASAT,"S-ASAT,_P-ASAT",U/L,"S,P-ASAT",1920-8,Ser/Plas,manual
ASAT Aspartaadi aminotransferaas seerumis,Aspartaadi aminotransferaas seerumis,U/L,"S,P-ASAT",1920-8,Ser/Plas,manual
ASAT Aspartaadi aminotransferaas seerumis,"S-ASAT, P-ASAT",ng/mL,"S,P-ASAT",1920-8,Ser/Plas,manual
ASAT Aspartaadi aminotransferaas seerumis,"S-ASAT,_P-ASAT",ng/mL,"S,P-ASAT",1920-8,Ser/Plas,manual
ASAT Aspartaadi aminotransferaas seerumisa1,Aspartaadi aminotransferaas seerumis,U/L,"S,P-ASAT",1920-8,Ser/Plas,manual
Aspartaadi aminotransferaas seerumis,S-ASAT HK:66106,U/L,"S,P-ASAT",1920-8,Ser/Plas,manual
Autoimmuundiagnostika,S-ANA Ig,S/CO,"S,P-ANA IgG",29950-3,Bld,manual
Autoimmuundiagnostika,S-ANA IgG,S/CO,"S,P-ANA IgG",29950-3,Bld,manual
Autoimmuunuuringud,ANA - Tuumavastane IgG,tiiter,"S,P-ANA IgG titr",56634-9,Bld,manual
Automaat uuring 3 osalise leukogrammiga,LYM,%,B-Lymph%,736-9,Bld,manual
Automaat uuring 3 osalise leukogrammiga,RDWa,fL,B-RDW-SD,21000-5,Bld,manual
Automaatuuring 3 osalise leukogrammiga (polikliinik),RDW,fL,B-RDW-SD,21000-5,Bld,manual
Automaatuuring 3 osalise leukogrammiga (polikliinik),RDWa,fL,B-RDW-SD,21000-5,Bld,manual
Autom. settega,B-LYMPH,10E9/L,B-Lymph#,731-0,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Alaniini amin Alaniini aminotransferaas,U/L,"S,P-ALAT",1744-2,Ser/Plas,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Aspartaadi am Aspartaadi aminotransferaas,U/L,"S,P-ASAT",1920-8,Ser/Plas,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Aspartaadi aminotransferaas seerumis,U/L,"S,P-ASAT",1920-8,Ser/Plas,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Baso# Baso#,10E9/L,B-Baso#,704-7,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Baso% Baso%,%,B-Baso%,706-2,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Eo# Eo#,10E9/L,B-Eo#,711-2,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Eo% Eo%,%,B-Eo%,713-8,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Hct Hct,%,B-Hct,4544-3,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Kepptuumsed n Kepptuumsed neutrofiilid,%,B-Kepptuumsed neutrofiilid %,26508-2,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,LYMPH# LYMPH#,10E9/L,B-Lymph#,731-0,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,LYMPH% LYMPH%,%,B-Lymph%,736-9,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Lymph# Lymph#,10E9/L,B-Lymph#,731-0,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Lymph% Lymph%,%,B-Lymph%,736-9,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,MCHC MCHC,g/L,B-MCHC,786-4,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,MCH MCH,pg,B-MCH,785-6,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,MCV MCV,fL,B-MCV,787-2,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Mono# Mono#,10E9/L,B-Mono#,742-7,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Mono% Mono%,%,B-Mono%,5905-5,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,MPV MPV,fL,B-MPV,32623-1,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Pct Pct,%,B-Pct,51637-7,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,PDW PDW,fL,B-PDW,32207-3,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Plt Plt,10E9/L,B-Plt,777-3,Bld,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,Prokaltsitoni Prokaltsitoniin seerumis,ug/L,"S,P-PCT",33959-8,Ser/Plas,manual
B1-CBC-5Diff Hemogramm viieosalise leukogrammiga,RDW RDW,%,B-RDW-CV,788-0,Bld,manual
B-autom5diff,BASO HK:0000,%,B-Baso%,706-2,Bld,manual
B-autom5diff,BASO HK:0000,10E9/L,B-Baso#,704-7,Bld,manual
B-autom5diff,BASO HK:0000,E9/L,B-Baso#,704-7,Bld,manual
B-autom5diff,EOS,%,B-Eo%,713-8,Bld,manual
B-autom5diff,EOS,10E9/L,B-Eo#,711-2,Bld,manual
B-autom5diff,EOS HK:0000,%,B-Eo%,713-8,Bld,manual
B-autom5diff,EOS HK:0000,10E9/L,B-Eo#,711-2,Bld,manual
B-autom5diff,EOS HK:0000,E9/L,B-Eo#,711-2,Bld,manual
B-autom5diff,HCT HK:0000,%,B-Hct,4544-3,Bld,manual
B-autom5diff,HCT HK:0000,L/L,B-Hct,4544-3,Bld,manual
B-autom5diff,HGB HK:0000,g/L,B-Hb,718-7,Bld,manual
B-autom5diff,LYM,%,B-Lymph%,736-9,Bld,manual
B-autom5diff,LYM,10E9/L,B-Lymph#,731-0,Bld,manual
B-autom5diff,LYM HK:0000,%,B-Lymph%,736-9,Bld,manual
B-autom5diff,LYM HK:0000,10E9/L,B-Lymph#,731-0,Bld,manual
B-autom5diff,LYM HK:0000,E9/L,B-Lymph#,731-0,Bld,manual
B-autom5diff,MCHC HK:0000,g/L,B-MCHC,786-4,Bld,manual
B-autom5diff,MCH HK:0000,pg,B-MCH,785-6,Bld,manual
B-autom5diff,MCV HK:0000,fL,B-MCV,787-2,Bld,manual
B-autom5diff,MONO HK:0000,%,B-Mono%,5905-5,Bld,manual
B-autom5diff,MONO HK:0000,10E9/L,B-Mono#,742-7,Bld,manual
B-autom5diff,MONO HK:0000,E9/L,B-Mono#,742-7,Bld,manual
B-autom5diff,MPV HK:0000,fL,B-MPV,32623-1,Bld,manual
B-autom5diff,NEU,%,B-Neut%,770-8,Bld,manual
B-autom5diff,NEU,10E9/L,B-Neut#,751-8,Bld,manual
B-autom5diff,NEU HK:0000,%,B-Neut%,770-8,Bld,manual
B-autom5diff,NEU HK:0000,10E9/L,B-Neut#,751-8,Bld,manual
B-autom5diff,NEU HK:0000,E9/L,B-Neut#,751-8,Bld,manual
B-autom5diff,PCT HK:0000,%,B-Pct,51637-7,Bld,manual
B-autom5diff,PDW HK:0000,%,B-PDW-CV,51631-0,Bld,manual
B-autom5diff,PLT HK:0000,10E9/L,B-Plt,777-3,Bld,manual
B-autom5diff,PLT HK:0000,E9/L,B-Plt,777-3,Bld,manual
B-autom5diff,RBC HK:0000,E12/L,B-RBC,789-8,Bld,manual
B-autom5diff,RDW-SD HK:0000,fL,B-RDW-SD,21000-5,Bld,manual
B-autom5diff,WBC HK:0000,10E9/L,B-WBC,6690-2,Bld,manual
B-autom5diff,WBC HK:0000,E9/L,B-WBC,6690-2,Bld,manual
Biokeemia,ALAT,U/L,"S,P-ALAT",1744-2,Ser/Plas,manual
Biokeemia,Albumiin,g/L,"S,P-Alb",61151-7,Ser/Plas,manual
Biokeemia,ASAT,U/L,"S,P-ASAT",1920-8,Ser/Plas,manual
Biokeemia,HDL-kolesteroo,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
Biokeemia,HDL-kolesterool,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
Biokeemia,Kolesteroo,mmol/L,"S,P-Chol",14647-2,Ser/Plas,manual
Biokeemia,Kolesterool,mmol/L,"S,P-Chol",14647-2,Ser/Plas,manual
Biokeemia,Kreatiniin,umol/L,"S,P-Crea",14682-9,Ser/Plas,manual
Biokeemia,LDL-kolesteroo,mmol/L,"S,P-LDL-Chol",22748-8,Ser/Plas,manual
Biokeemia,LDL-kolesterool,mmol/L,"S,P-LDL-Chol",22748-8,Ser/Plas,manual
Biokeemia,Triglütseriidi,mmol/L,"fS,fP-Trigl",14927-8,Ser/Plas,manual
Biokeemia,Triglütseriidid,mmol/L,"fS,fP-Trigl",14927-8,Ser/Plas,manual
Biokeemia,Uurea,mmol/L,"S,P-Urea",22664-7,Ser/Plas,manual
Biokeemia Labor,Kreatiniin seerumi,umol/L,"S,P-Crea",14682-9,Ser/Plas,manual
Biokeemia labor,Alaniini aminotransferaa,U/L,"S,P-ALAT",1744-2,Ser/Plas,manual
Biokeemia labor,Aspartaadi aminotransferaa,U/L,"S,P-ASAT",1920-8,Ser/Plas,manual
Biokeemia labor,cB-Gluc,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Biokeemia labor,Kolesteroo,mmol/L,"S,P-Chol",14647-2,Ser/Plas,manual
Biokeemia labor,Kõrge tihedusega lipoproteiini kolester,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
Biokeemia labor,Madala tihedusega lipoproteiini koleste,mmol/L,"S,P-LDL-Chol",22748-8,Ser/Plas,manual
Biokeemia labor,Triglütseriidi,mmol/L,"fS,fP-Trigl",14927-8,Ser/Plas,manual
Biokeemia Labor (Haigla),Kreatiniin seerumi,umol/L,"S,P-Crea",14682-9,Ser/Plas,manual
Biokeemia labor (haigla),Alaniini aminotransferaa,U/L,"S,P-ALAT",1744-2,Ser/Plas,manual
Biokeemia labor (haigla),Aspartaadi aminotransferaa,U/L,"S,P-ASAT",1920-8,Ser/Plas,manual
Biokeemia labor (haigla),Kolesteroo,mmol/L,"S,P-Chol",14647-2,Ser/Plas,manual
Biokeemia labor (haigla),Kõrge tihedusega lipoproteiini kolester,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
Biokeemia labor (haigla),Uurea seerumi,mmol/L,"S,P-Urea",22664-7,Ser/Plas,manual
Biokeemia Labori Analüüsid,Kreatiniin seerumi,umol/L,"S,P-Crea",14682-9,Ser/Plas,manual
Biokeemia labori analüüsid,Alaniini aminotransferaa,U/L,"S,P-ALAT",1744-2,Ser/Plas,manual
Biokeemia labori analüüsid,Aspartaadi aminotransferaa,U/L,"S,P-ASAT",1920-8,Ser/Plas,manual
Biokeemia labori analüüsid,Kolesteroo,mmol/L,"S,P-Chol",14647-2,Ser/Plas,manual
Biokeemia labori analüüsid,Kõrge tihedusega lipoproteiini kolester,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
Biokeemia labori analüüsid,Kõrge tihedusega lipoproteiini kolestero,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
Biokeemia labori analüüsid,Madala tihedusega lipoproteiini koleste,mmol/L,"S,P-LDL-Chol",22748-8,Ser/Plas,manual
Biokeemia labori analüüsid,Madala tihedusega lipoproteiini kolester,mmol/L,"S,P-LDL-Chol",22748-8,Ser/Plas,manual
Biokeemia labori analüüsid,Triglütseriidi,mmol/L,"fS,fP-Trigl",14927-8,Ser/Plas,manual
Biokeemia labori analüüsid,Uurea seerumi,mmol/L,"S,P-Urea",22664-7,Ser/Plas,manual
Biokeemilised Uuringud,fS-Crea 1,umol/L,"S,P-Crea",14682-9,Ser/Plas,manual
Biokeemilised Uuringud,fS-Crea 2,umol/L,"S,P-Crea",14682-9,Ser/Plas,manual
Biokeemilised Uuringud,fS-Crea 3,umol/L,"S,P-Crea",14682-9,Ser/Plas,manual
Biokeemilised Uuringud,fS-Crea 4,umol/L,"S,P-Crea",14682-9,Ser/Plas,manual
Biokeemilised Uuringud,fS-Crea 5,umol/L,"S,P-Crea",14682-9,Ser/Plas,manual
Biokeemilised Uuringud,fS-Crea 6,umol/L,"S,P-Crea",14682-9,Ser/Plas,manual
Biokeemilised Uuringud,S-Creat,umol/L,"S,P-Crea",14682-9,Ser/Plas,manual
Biokeemilised Uuringud,U-Crea 2,mmol/L,U-Crea,14683-7,Urine,manual
Biokeemilised uuringud,B-Gluc,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Biokeemilised uuringud,B-HbA1c,%,B-HbA1c,4548-4,Bld,manual
Biokeemilised uuringud,B-HbA1c%,%,B-HbA1c,4548-4,Bld,manual
Biokeemilised uuringud,B-HbA1c (Glükeeritud hemoglobiini fraktsioon A1c),%,B-HbA1c,4548-4,Bld,manual
Biokeemilised uuringud,B-HbA1c (Glükeeritud hemoglobiini fraktsioon A1c mmol/mol),mmol/mol,B-HbA1c (IFCC),59261-8,Bld,manual
Biokeemilised uuringud,B-HbA1c (Glükohemoglobiin protsentides),%,B-HbA1c,4548-4,Bld,manual
Biokeemilised uuringud,B-HbA1c-IFC,mmol/mol,B-HbA1c (IFCC),59261-8,Bld,manual
Biokeemilised uuringud,B-HbA1c-IFCC,mmol/mol,B-HbA1c (IFCC),59261-8,Bld,manual
Biokeemilised uuringud,cB-Gluc,mmol/L,cB-Gluc POCT,14743-9,Bld,manual
Biokeemilised uuringud,e-GF,mL/min/1.73m2,eGFR,33914-3,Ser/Plas,manual
Biokeemilised uuringud,eGFR (MDRD,mL/min/1.73m2,eGFR,33914-3,Ser/Plas,manual
Biokeemilised uuringud,fB-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
Biokeemilised uuringud,fS-HDL-Cho,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
Biokeemilised uuringud,fS-HDL-Chol,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
Biokeemilised uuringud,fS-HDL-Chol 1,mmol/L,"S,P-HDL-Chol",14646-4,Ser/Plas,manual
