_phrase_,grammar_symbol,value
"('leukotrieeniretseptorite', 'antagonistid')",drug_name,drug_name
"('metildigoxinum',)",drug_name,drug_name
"('letrozole',)",drug_name,drug_name
"('cilostazolum',)",drug_name,drug_name
"('blemaren',)",drug_name,drug_name
"('pectin',)",drug_name,drug_name
"('monoklonaalsed', 'antikehad')",drug_name,drug_name
"('bamethanum',)",drug_name,drug_name
"('difluprednate',)",drug_name,drug_name
"('rasagiline',)",drug_name,drug_name
"('erytromycini',)",drug_name,drug_name
"('penester',)",drug_name,drug_name
"('atropen', 'auto-injector')",drug_name,drug_name
"('linola-h', 'n')",drug_name,drug_name
"('fluconazole', 'sandoz', '150mg')",drug_name,drug_name
"('hiconcil', '125', 'mg/5', 'ml')",drug_name,drug_name
"('mitomycin', 'hexal')",drug_name,drug_name
"('brolene',)",drug_name,drug_name
"('teised', 'seenevastased', 'ained', 'süsteemseks', 'kasutamiseks')",drug_name,drug_name
"('moxestrol',)",drug_name,drug_name
"('flunitrazepam',)",drug_name,drug_name
"('delapril',)",drug_name,drug_name
"('octanate', '500')",drug_name,drug_name
"('allupurinol',)",drug_name,drug_name
"('dobuject',)",drug_name,drug_name
"('sulprostone',)",drug_name,drug_name
"('benzydaminum+cetylpyridinii', 'chloridum')",drug_name,drug_name
"('cardura', 'xl', '8mg')",drug_name,drug_name
"('13c-urea',)",drug_name,drug_name
"('kaltsiumi', 'homöostaas')",drug_name,drug_name
"('hexetidinum',)",drug_name,drug_name
"('levodopa', '+carbidopa+entacapone')",drug_name,drug_name
"('prasteroon+östradiool',)",drug_name,drug_name
"('ticlatone',)",drug_name,drug_name
"('remifentanilum',)",drug_name,drug_name
"('miltefosinum',)",drug_name,drug_name
"('sertralin', 'actavis', '100', 'mg')",drug_name,drug_name
"('other', 'anticestodals')",drug_name,drug_name
"('repaglinide', 'krka')",drug_name,drug_name
"('bupivacaine-grindeks',)",drug_name,drug_name
"('fenotriin',)",drug_name,drug_name
"('dorzolamide', 'actavis')",drug_name,drug_name
"('dichloroacetamide', 'derivatives')",drug_name,drug_name
"('furosemide+triamterene',)",drug_name,drug_name
"('latanoprost/timolol', 'ranbaxy')",drug_name,drug_name
"('rifaksimiin',)",drug_name,drug_name
"('podophyllotoxin', 'derivatives')",drug_name,drug_name
"('apo-quinidine',)",drug_name,drug_name
"('bicalutamid', 'actavis', '50mg')",drug_name,drug_name
"('cladribinum',)",drug_name,drug_name
"('tetrazepam',)",drug_name,drug_name
"('exenatide',)",drug_name,drug_name
"('corticosteroids,', 'combinations', 'for', 'treatment', 'of', 'acne')",drug_name,drug_name
"('acidum', 'undecylenicum')",drug_name,drug_name
"('ipreziv',)",drug_name,drug_name
"('glisoksepiid',)",drug_name,drug_name
"('antimony', 'compounds')",drug_name,drug_name
"('lartokaz', '150', 'mg/12,5', 'mg')",drug_name,drug_name
"('tocilizumab',)",drug_name,drug_name
"('trametinib',)",drug_name,drug_name
"('palivizumabum',)",drug_name,drug_name
"('difetarsone',)",drug_name,drug_name
"('gastricumeel',)",drug_name,drug_name
"('glucagen', '1mg', 'hypokit')",drug_name,drug_name
"('naftifine',)",drug_name,drug_name
"('regadenoson',)",drug_name,drug_name
"('lunaldin',)",drug_name,drug_name
"('talbutal',)",drug_name,drug_name
"('asatadiin',)",drug_name,drug_name
"('mineralocorticoids',)",drug_name,drug_name
"('ozurdex',)",drug_name,drug_name
"('halazepamum',)",drug_name,drug_name
"('acilesol',)",drug_name,drug_name
"('olanzapine',)",drug_name,drug_name
"('taflotan',)",drug_name,drug_name
"('parsabiv',)",drug_name,drug_name
"('l-thyroxhexal', '75')",drug_name,drug_name
"('eremfat', 'i.v.', '300')",drug_name,drug_name
"('antibiotics',)",drug_name,drug_name
"('demecarium', 'bromide')",drug_name,drug_name
"('terbinafinum',)",drug_name,drug_name
"('sulfonamides', 'and', 'trimethoprim')",drug_name,drug_name
"('spirokast', '4mg')",drug_name,drug_name
"('insulinum', 'degludecum+liraglutidum')",drug_name,drug_name
"('clioquinolum',)",drug_name,drug_name
"('valaciclovir',)",drug_name,drug_name
"('other', 'drugs', 'used', 'in', 'diabetes')",drug_name,drug_name
"('pravahexal', '30')",drug_name,drug_name
"('nebacumab',)",drug_name,drug_name
"('yasnal', 'q-tab')",drug_name,drug_name
"('ledipin',)",drug_name,drug_name
"('anesteetikumid',)",drug_name,drug_name
"('vinorelbine',)",drug_name,drug_name
"('cloxazolamum',)",drug_name,drug_name
"('hepatiit', 'a', 'koguviirus,', 'inaktiveeritud')",drug_name,drug_name
"('betaserc',)",drug_name,drug_name
"('teised', 'günekoloogilised', 'preparaadid')",drug_name,drug_name
"('triasikvoon',)",drug_name,drug_name
"('moeksipriil',)",drug_name,drug_name
"('repitend',)",drug_name,drug_name
"('eurartesim',)",drug_name,drug_name
"('tamsulosin', 'lannacher')",drug_name,drug_name
"('nahaparasiitide', 'vastased', 'ained,', 'k.a', 'sügelistevastased', 'ained,', 'insektitsiidid', 'ja', 'repellendid')",drug_name,drug_name
"('micafungin',)",drug_name,drug_name
"('rizatriptan',)",drug_name,drug_name
"('nebivololum',)",drug_name,drug_name
"('diazepamum',)",drug_name,drug_name
"('linaclotidum',)",drug_name,drug_name
"('asentra',)",drug_name,drug_name
"('verpamil',)",drug_name,drug_name
"('methylenblau',)",drug_name,drug_name
"('panadol', 'rapide')",drug_name,drug_name
"('metformin+rosiglitazone',)",drug_name,drug_name
"('acidum', 'ursodeoxycholicum')",drug_name,drug_name
"('ibr502',)",drug_name,drug_name
"('axumin',)",drug_name,drug_name
"('norditropin', 'penset', '12')",drug_name,drug_name
"('penitsillin',)",drug_name,drug_name
"('zopitin', '7,5mg')",drug_name,drug_name
"('methohexital',)",drug_name,drug_name
"('mao', 'inhibitors')",drug_name,drug_name
"('technescan', 'sestamibi')",drug_name,drug_name
"('espumisan', '100', 'mg/ml')",drug_name,drug_name
"('propanorm', '150', 'mg')",drug_name,drug_name
"('losartan', 'accord', '50', 'mg')",drug_name,drug_name
"('innohep', '3500', 'anti-xa', 'iu/0,35', 'ml', 'syringes')",drug_name,drug_name
"('venomenhal', 'biene')",drug_name,drug_name
"('subjektiivseid',)",drug_name,drug_name
"('plegisol',)",drug_name,drug_name
"('tertensif',)",drug_name,drug_name
"('metformin', 'aurobindo')",drug_name,drug_name
"('depreotide',)",drug_name,drug_name
"('kaolin',)",drug_name,drug_name
"('ucedane',)",drug_name,drug_name
"('atsetofenasiin',)",drug_name,drug_name
"('fentiasak',)",drug_name,drug_name
"('cyclopenthiazidum',)",drug_name,drug_name
"('ropinirole', 'sandoz', '0,25mg')",drug_name,drug_name
"('oncaspar',)",drug_name,drug_name
"('fosfoonhappe', 'derivaadid')",drug_name,drug_name
"('azromite',)",drug_name,drug_name
"('proksüfülliin',)",drug_name,drug_name
"('ethyl', 'esters', 'of', 'iodised', 'fatty', 'acids')",drug_name,drug_name
"('zutectra',)",drug_name,drug_name
"('mycophenolic', 'acid')",drug_name,drug_name
"('ümarusside', 'vastased', 'ained')",drug_name,drug_name
"('dicycloverinum',)",drug_name,drug_name
"('promethazine',)",drug_name,drug_name
"('piretaniid',)",drug_name,drug_name
"('nicopass', 'fresh', 'mint')",drug_name,drug_name
"('batsitratsiin+neomütsiin+polümüksiin', 'b')",drug_name,drug_name
"('seenevastased', 'ained', 'süsteemseks', 'kasutamiseks')",drug_name,drug_name
"('lhrh',)",drug_name,drug_name
"('teised', 'antipsühhootilised', 'ained')",drug_name,drug_name
"('zonisamide', 'mylan')",drug_name,drug_name
"('topical', 'products', 'for', 'joint', 'and', 'muscular', 'pain')",drug_name,drug_name
"('metoclopramide', 'alpharma', 'tablets', '10', 'mg')",drug_name,drug_name
"('irbesartanum+hydrochlorothiazidum',)",drug_name,drug_name
"('meditsiiniline', 'hingamisõhk')",drug_name,drug_name
"('octreotidum',)",drug_name,drug_name
"('penitsillamiin', 'ja', 'sarnased', 'ained')",drug_name,drug_name
"('ropivacainum',)",drug_name,drug_name
"('ramitren',)",drug_name,drug_name
"('flumedroksoon',)",drug_name,drug_name
"('pridinol',)",drug_name,drug_name
"('anticholium',)",drug_name,drug_name
"('xylometazolinum',)",drug_name,drug_name
"('eucreas',)",drug_name,drug_name
"('metoprololum+ivabradinum',)",drug_name,drug_name
"('emla',)",drug_name,drug_name
"('multivitamiinid+mineraalid+panax', 'ginseng')",drug_name,drug_name
"('epinastinum',)",drug_name,drug_name
"('glucose', '50%')",drug_name,drug_name
"('aptamil', 'soya', '(nutrilon', 'soya)')",drug_name,drug_name
"('pristinamycinum',)",drug_name,drug_name
"('capastat', 'sulfate')",drug_name,drug_name
"('lekoklar', '250', 'mg')",drug_name,drug_name
"('qlaira',)",drug_name,drug_name
"('bumadisoon',)",drug_name,drug_name
"('magnesium', 'hydroxide')",drug_name,drug_name
"('i.v.', 'solution', 'additives')",drug_name,drug_name
"('prilocainum+felypressinum',)",drug_name,drug_name
"('vitiron', 'suscaps')",drug_name,drug_name
"('frovatriptan',)",drug_name,drug_name
"('amoxapinum',)",drug_name,drug_name
"('ibuprofen+pseudoephedrine',)",drug_name,drug_name
"('benzalkonii', 'chloridum+eucalypti', 'aetheroleum+levomentholum+menthae', 'piperitae', 'aetheroleum+thymolum')",drug_name,drug_name
"('antihidrotics',)",drug_name,drug_name
"('pentifylline',)",drug_name,drug_name
"('dmsa', 'agent')",drug_name,drug_name
"('isoniazid+pyridoxine',)",drug_name,drug_name
"('sodium', 'fluoride')",drug_name,drug_name
"('bismuth', 'subnitrate')",drug_name,drug_name
"('visine', 'classic')",drug_name,drug_name
"('psühholeptikumide', 'ja', 'psühhoanaleptikumide', 'kombinatsioonid')",drug_name,drug_name
"('rasilamlo',)",drug_name,drug_name
"('rasitrio',)",drug_name,drug_name
"('2-amino-1-fenüületanooli', 'derivaadid')",drug_name,drug_name
"('klodantoiin',)",drug_name,drug_name
"('stannum', 'comp.')",drug_name,drug_name
"('sturiban',)",drug_name,drug_name
"('brinzolamide', 'pharmathen')",drug_name,drug_name
"('votumumabum',)",drug_name,drug_name
"('insuman', 'comb', '50')",drug_name,drug_name
"('telmisartan', 'teva')",drug_name,drug_name
"('noliterax', '10', 'mg/2,5', 'mg')",drug_name,drug_name
"('dolol',)",drug_name,drug_name
"('nicotinyl', 'alcohol')",drug_name,drug_name
"('pevaryl',)",drug_name,drug_name
"('dormicum',)",drug_name,drug_name
"('kreon', '10', '000', 'u')",drug_name,drug_name
"('maalox', '(suhkruvaba)')",drug_name,drug_name
"('preparations', 'containing', 'sulfur')",drug_name,drug_name
"('diamilla',)",drug_name,drug_name
"('blood', 'transfusion,', 'auxiliary', 'products')",drug_name,drug_name
"('chondrocelect',)",drug_name,drug_name
"('other', 'throat', 'preparations')",drug_name,drug_name
"('rosuvastatin', 'tiefenbacher', '20mg')",drug_name,drug_name
"('vancocin',)",drug_name,drug_name
"('masoprocolum',)",drug_name,drug_name
"('mcp-ratiopharm', '10')",drug_name,drug_name
"('venlagamma', '75', 'mg')",drug_name,drug_name
"('leucovorin',)",drug_name,drug_name
"('lidocaine-grindeks',)",drug_name,drug_name
"('tacrolimus', 'pharmaswiss', '0,5mg')",drug_name,drug_name
"('equisetum', 'arvense', 'silicea', 'cultum', 'rh', 'd3')",drug_name,drug_name
"('tsinhokaiin',)",drug_name,drug_name
"('metanoolkinoliinid',)",drug_name,drug_name
"('nordasepaam',)",drug_name,drug_name
"('efavirenz/emtricitabine/tenofovir', 'disoproxil', 'krka')",drug_name,drug_name
"('morphine', '10', 'mg/ml')",drug_name,drug_name
"('algeldratum+magnesii', 'trisilicas')",drug_name,drug_name
"('methoxy', 'polyethylene', 'glycol-epoetin', 'beta')",drug_name,drug_name
"('aethylmorphini', 'hcl')",drug_name,drug_name
"('miokamütsiin',)",drug_name,drug_name
"('isoetarine',)",drug_name,drug_name
"('suprax', 'film-coated', 'tablets')",drug_name,drug_name
"('natrii', 'citras+natrii', 'chloridum')",drug_name,drug_name
"('hyoscyamine',)",drug_name,drug_name
"('haemocomplettan',)",drug_name,drug_name
"('guanethidine',)",drug_name,drug_name
"('movymia',)",drug_name,drug_name
"('naclof',)",drug_name,drug_name
"('metindol', 'retard')",drug_name,drug_name
"('rivastigmine', '3m', 'health', 'care', 'ltd.')",drug_name,drug_name
"('gemcitabine',)",drug_name,drug_name
"('doxofylline',)",drug_name,drug_name
"('ibrutinib',)",drug_name,drug_name
"('thiopentone',)",drug_name,drug_name
"('ziprasidone', 'actavis')",drug_name,drug_name
"('provirsan',)",drug_name,drug_name
"('tofisopam',)",drug_name,drug_name
"('enahexal', '5', 'mg')",drug_name,drug_name
"('suktsinüülsulfatiasool',)",drug_name,drug_name
"('fenofibrate',)",drug_name,drug_name
"('seedimist', 'soodustavad', 'ained,', 'k.a', 'ensüümid')",drug_name,drug_name
"('citalopram', 'pliva', '20mg')",drug_name,drug_name
"('other', 'drugs', 'for', 'bile', 'therapy')",drug_name,drug_name
"('dextranomer',)",drug_name,drug_name
"('rupatadinum',)",drug_name,drug_name
"('mifepristone', 'linepharma')",drug_name,drug_name
"('nutropinaq',)",drug_name,drug_name
"('eucarbon', 'herbal')",drug_name,drug_name
"('amobarbitalum',)",drug_name,drug_name
"('exemestane',)",drug_name,drug_name
"('bortezomib',)",drug_name,drug_name
"('fenoldopamum',)",drug_name,drug_name
"('epanolool',)",drug_name,drug_name
"('arketis', '30', 'mg')",drug_name,drug_name
"('calcipotriolum',)",drug_name,drug_name
"('sotalex', 'i.v.', '40', 'mg')",drug_name,drug_name
"('apydan', '600', 'mg')",drug_name,drug_name
"('steglujan',)",drug_name,drug_name
"('nintedanibum',)",drug_name,drug_name
"('cerucal',)",drug_name,drug_name
"('alfaadrenoretseptorite', 'antagonistid')",drug_name,drug_name
"('other', 'antihypertensives', 'and', 'diuretics')",drug_name,drug_name
"('azapropazone',)",drug_name,drug_name
"('landiolool',)",drug_name,drug_name
"('amstadin',)",drug_name,drug_name
"('espumisan', 'l')",drug_name,drug_name
"('vizidor',)",drug_name,drug_name
"('tocopherol',)",drug_name,drug_name
"('other', 'anterior', 'pituitary', 'lobe', 'hormones', 'and', 'analogues')",drug_name,drug_name
"('ichtasolum',)",drug_name,drug_name
"('kvasepaam',)",drug_name,drug_name
"('innohep', '14000', 'anti-xa', 'iu/0,7', 'ml', 'syringes')",drug_name,drug_name
"('soft', 'paraffin', 'and', 'fat', 'products')",drug_name,drug_name
"('phenazocinum',)",drug_name,drug_name
"('bms-734016',)",drug_name,drug_name
"('bortezomib', 'accord')",drug_name,drug_name
"('ovaleap',)",drug_name,drug_name
"('oksandroloon',)",drug_name,drug_name
"('valnoctamidum',)",drug_name,drug_name
"('dexamethasone+gramicidin+framycetin',)",drug_name,drug_name
"('humalog', 'mix50', 'humaject')",drug_name,drug_name
"('macitentanum',)",drug_name,drug_name
"('iodine+potassium', 'iodide+glycerol')",drug_name,drug_name
"('humulin', 'm3')",drug_name,drug_name
"('viride', 'nitens')",drug_name,drug_name
"('adrenaline', '(epinephrine)')",drug_name,drug_name
"('heparinum', 'natricum+aescinum')",drug_name,drug_name
"('tauriin',)",drug_name,drug_name
"('irbesartanum',)",drug_name,drug_name
"('synflorix',)",drug_name,drug_name
"('brinaf', '250')",drug_name,drug_name
"('roxardio',)",drug_name,drug_name
"('lercanidipine', 'actavis', '10mg')",drug_name,drug_name
"('proctosedyl',)",drug_name,drug_name
"('protsüklidiin',)",drug_name,drug_name
"('nortivan', '160', 'mg')",drug_name,drug_name
"('lasolvan',)",drug_name,drug_name
"('bleo-kyowa',)",drug_name,drug_name
"('suprax', 'powder', 'for', 'oral', 'suspension')",drug_name,drug_name
"('nycapril', '50', 'mg')",drug_name,drug_name
"('risset', '4mg')",drug_name,drug_name
"('conbriza',)",drug_name,drug_name
"('enypril', '20', 'mg')",drug_name,drug_name
"('ramirace', '5mg')",drug_name,drug_name
"('riamet',)",drug_name,drug_name
"('high-ceiling', 'diuretics', 'and', 'potassium-sparing', 'agents')",drug_name,drug_name
"('promethazine', 'caduceus')",drug_name,drug_name
"('beta', 'blocking', 'agents')",drug_name,drug_name
"('rosuvastatinum+valsartanum',)",drug_name,drug_name
"('diabeedi', 'raviks', 'kasutatavad', 'ained')",drug_name,drug_name
"('cichorium', 'rh', 'd3')",drug_name,drug_name
"('zaltsitabiin',)",drug_name,drug_name
"('dasabuvirum',)",drug_name,drug_name
"('fotodünaamilises', 'ja', 'kiiritusravis', 'kasutatavad', 'sensibiliseerivad', 'ained')",drug_name,drug_name
"('prostavitas',)",drug_name,drug_name
"('theraflu', 'nd')",drug_name,drug_name
"('sevorane',)",drug_name,drug_name
"('sulfamoksool',)",drug_name,drug_name
"('phthalylsulfathiazolum',)",drug_name,drug_name
"('isokit', 'tinn-kolloid', 'tc.32s')",drug_name,drug_name
"('somatostatiin', 'ja', 'selle', 'analoogid')",drug_name,drug_name
