_regex_pattern_,grammar_symbol,value,_group_,_priority_
(^|[^A-ZÜÕÖÄa-züõöä])ameluz($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
pulpomixine,drug_name,drug_name,0,0
tanakan,drug_name,drug_name,0,0
clozapine sandoz 25mg,drug_name,drug_name,0,0
samaarium\(153sm\)leksidronaam,drug_name,drug_name,0,0
taurolidinum,drug_name,drug_name,0,0
aluminii clofibras,drug_name,drug_name,0,0
glautsiin\+efedriin,drug_name,drug_name,0,0
benzylpenicillinum procainum,drug_name,drug_name,0,0
patent blue v,drug_name,drug_name,0,0
ixempra,drug_name,drug_name,0,0
digoxine,drug_name,drug_name,0,0
mycosyst,drug_name,drug_name,0,0
leucomax,drug_name,drug_name,0,0
kalii iodidum,drug_name,drug_name,0,0
axastrol,drug_name,drug_name,0,0
doripenem,drug_name,drug_name,0,0
guanfacinum,drug_name,drug_name,0,0
vandetanibum,drug_name,drug_name,0,0
"ovulation stimulants, synthetic",drug_name,drug_name,0,0
koksiibid,drug_name,drug_name,0,0
levomitsesiin,drug_name,drug_name,0,0
zolinza,drug_name,drug_name,0,0
eletriptanum,drug_name,drug_name,0,0
"platelet aggregation inhibitors, excl\. heparin",drug_name,drug_name,0,0
cefazolin hospira 2g,drug_name,drug_name,0,0
xylometazolinum\+dexpanthenolum,drug_name,drug_name,0,0
lidaprim,drug_name,drug_name,0,0
levetiracetam gsk 750 mg,drug_name,drug_name,0,0
jenetten,drug_name,drug_name,0,0
augumentin,drug_name,drug_name,0,0
carbetocin pharmidea,drug_name,drug_name,0,0
dimedrol-ubf,drug_name,drug_name,0,0
zitazonium 30 mg,drug_name,drug_name,0,0
cabergolinum,drug_name,drug_name,0,0
diclofenacum,drug_name,drug_name,0,0
"iron bivalent, oral preparations",drug_name,drug_name,0,0
ryzodeg,drug_name,drug_name,0,0
prasteronum\+estradiolum,drug_name,drug_name,0,0
kloorfenamiin,drug_name,drug_name,0,0
gadoversetamide,drug_name,drug_name,0,0
ekspektorandid,drug_name,drug_name,0,0
dropropizine,drug_name,drug_name,0,0
parcilect,drug_name,drug_name,0,0
milrinone,drug_name,drug_name,0,0
alminoprofen,drug_name,drug_name,0,0
aprotininum,drug_name,drug_name,0,0
sibutril,drug_name,drug_name,0,0
semustine,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])teduva($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
carvedilolum,drug_name,drug_name,0,0
cefazolinile,drug_name,drug_name,0,0
leukotrieeniretseptorite antagonistid,drug_name,drug_name,0,0
metildigoxinum,drug_name,drug_name,0,0
letrozole,drug_name,drug_name,0,0
cilostazolum,drug_name,drug_name,0,0
blemaren,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])pectin($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
monoklonaalsed antikehad,drug_name,drug_name,0,0
bamethanum,drug_name,drug_name,0,0
difluprednate,drug_name,drug_name,0,0
rasagiline,drug_name,drug_name,0,0
erytromycini,drug_name,drug_name,0,0
penester,drug_name,drug_name,0,0
atropen auto-injector,drug_name,drug_name,0,0
linola-h n,drug_name,drug_name,0,0
fluconazole sandoz 150mg,drug_name,drug_name,0,0
hiconcil 125 mg/5 ml,drug_name,drug_name,0,0
mitomycin hexal,drug_name,drug_name,0,0
brolene,drug_name,drug_name,0,0
teised seenevastased ained süsteemseks kasutamiseks,drug_name,drug_name,0,0
moxestrol,drug_name,drug_name,0,0
flunitrazepam,drug_name,drug_name,0,0
delapril,drug_name,drug_name,0,0
octanate 500,drug_name,drug_name,0,0
allupurinol,drug_name,drug_name,0,0
dobuject,drug_name,drug_name,0,0
sulprostone,drug_name,drug_name,0,0
benzydaminum\+cetylpyridinii chloridum,drug_name,drug_name,0,0
cardura xl 8mg,drug_name,drug_name,0,0
13c-urea,drug_name,drug_name,0,0
hexetidinum,drug_name,drug_name,0,0
levodopa \+carbidopa\+entacapone,drug_name,drug_name,0,0
prasteroon\+östradiool,drug_name,drug_name,0,0
ticlatone,drug_name,drug_name,0,0
remifentanilum,drug_name,drug_name,0,0
miltefosinum,drug_name,drug_name,0,0
sertralin actavis 100 mg,drug_name,drug_name,0,0
other anticestodals,drug_name,drug_name,0,0
repaglinide krka,drug_name,drug_name,0,0
bupivacaine-grindeks,drug_name,drug_name,0,0
fenotriin,drug_name,drug_name,0,0
dorzolamide actavis,drug_name,drug_name,0,0
dichloroacetamide derivatives,drug_name,drug_name,0,0
furosemide\+triamterene,drug_name,drug_name,0,0
latanoprost/timolol ranbaxy,drug_name,drug_name,0,0
rifaksimiin,drug_name,drug_name,0,0
podophyllotoxin derivatives,drug_name,drug_name,0,0
apo-quinidine,drug_name,drug_name,0,0
bicalutamid actavis 50mg,drug_name,drug_name,0,0
cladribinum,drug_name,drug_name,0,0
tetrazepam,drug_name,drug_name,0,0
exenatide,drug_name,drug_name,0,0
"corticosteroids, combinations for treatment of acne",drug_name,drug_name,0,0
acidum undecylenicum,drug_name,drug_name,0,0
ipreziv,drug_name,drug_name,0,0
glisoksepiid,drug_name,drug_name,0,0
antimony compounds,drug_name,drug_name,0,0
"lartokaz 150 mg/12,5 mg",drug_name,drug_name,0,0
tocilizumab,drug_name,drug_name,0,0
trametinib,drug_name,drug_name,0,0
palivizumabum,drug_name,drug_name,0,0
difetarsone,drug_name,drug_name,0,0
gastricumeel,drug_name,drug_name,0,0
glucagen 1mg hypokit,drug_name,drug_name,0,0
naftifine,drug_name,drug_name,0,0
regadenoson,drug_name,drug_name,0,0
lunaldin,drug_name,drug_name,0,0
talbutal,drug_name,drug_name,0,0
asatadiin,drug_name,drug_name,0,0
mineralocorticoids,drug_name,drug_name,0,0
ozurdex,drug_name,drug_name,0,0
halazepamum,drug_name,drug_name,0,0
acilesol,drug_name,drug_name,0,0
olanzapine,drug_name,drug_name,0,0
taflotan,drug_name,drug_name,0,0
parsabiv,drug_name,drug_name,0,0
l-thyroxhexal 75,drug_name,drug_name,0,0
eremfat i\.v\. 300,drug_name,drug_name,0,0
antibiotics,drug_name,drug_name,0,0
demecarium bromide,drug_name,drug_name,0,0
terbinafinum,drug_name,drug_name,0,0
spirokast 4mg,drug_name,drug_name,0,0
insulinum degludecum\+liraglutidum,drug_name,drug_name,0,0
clioquinolum,drug_name,drug_name,0,0
valaciclovir,drug_name,drug_name,0,0
pravahexal 30,drug_name,drug_name,0,0
nebacumab,drug_name,drug_name,0,0
yasnal q-tab,drug_name,drug_name,0,0
ledipin,drug_name,drug_name,0,0
vinorelbine,drug_name,drug_name,0,0
cloxazolamum,drug_name,drug_name,0,0
"hepatiit a koguviirus, inaktiveeritud",drug_name,drug_name,0,0
betaserc,drug_name,drug_name,0,0
teised günekoloogilised preparaadid,drug_name,drug_name,0,0
triasikvoon,drug_name,drug_name,0,0
moeksipriil,drug_name,drug_name,0,0
repitend,drug_name,drug_name,0,0
eurartesim,drug_name,drug_name,0,0
tamsulosin lannacher,drug_name,drug_name,0,0
micafungin,drug_name,drug_name,0,0
rizatriptan,drug_name,drug_name,0,0
nebivololum,drug_name,drug_name,0,0
diazepamum,drug_name,drug_name,0,0
linaclotidum,drug_name,drug_name,0,0
asentra,drug_name,drug_name,0,0
verpamil,drug_name,drug_name,0,0
methylenblau,drug_name,drug_name,0,0
panadol rapide,drug_name,drug_name,0,0
metformin\+rosiglitazone,drug_name,drug_name,0,0
acidum ursodeoxycholicum,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])ibr502($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])axumin($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
norditropin penset 12,drug_name,drug_name,0,0
penitsillin,drug_name,drug_name,0,0
"zopitin 7,5mg",drug_name,drug_name,0,0
methohexital,drug_name,drug_name,0,0
mao inhibitors,drug_name,drug_name,0,0
technescan sestamibi,drug_name,drug_name,0,0
espumisan 100 mg/ml,drug_name,drug_name,0,0
propanorm 150 mg,drug_name,drug_name,0,0
losartan accord 50 mg,drug_name,drug_name,0,0
"innohep 3500 anti-xa iu/0,35 ml syringes",drug_name,drug_name,0,0
venomenhal biene,drug_name,drug_name,0,0
plegisol,drug_name,drug_name,0,0
tertensif,drug_name,drug_name,0,0
metformin aurobindo,drug_name,drug_name,0,0
depreotide,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])kaolin($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
ucedane,drug_name,drug_name,0,0
atsetofenasiin,drug_name,drug_name,0,0
fentiasak,drug_name,drug_name,0,0
cyclopenthiazidum,drug_name,drug_name,0,0
"ropinirole sandoz 0,25mg",drug_name,drug_name,0,0
oncaspar,drug_name,drug_name,0,0
fosfoonhappe derivaadid,drug_name,drug_name,0,0
azromite,drug_name,drug_name,0,0
proksüfülliin,drug_name,drug_name,0,0
ethyl esters of iodised fatty acids,drug_name,drug_name,0,0
zutectra,drug_name,drug_name,0,0
mycophenolic acid,drug_name,drug_name,0,0
dicycloverinum,drug_name,drug_name,0,0
promethazine,drug_name,drug_name,0,0
piretaniid,drug_name,drug_name,0,0
nicopass fresh mint,drug_name,drug_name,0,0
batsitratsiin\+neomütsiin\+polümüksiin b,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])lhrh($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
teised antipsühhootilised ained,drug_name,drug_name,0,0
zonisamide mylan,drug_name,drug_name,0,0
metoclopramide alpharma tablets 10 mg,drug_name,drug_name,0,0
irbesartanum\+hydrochlorothiazidum,drug_name,drug_name,0,0
meditsiiniline hingamisõhk,drug_name,drug_name,0,0
octreotidum,drug_name,drug_name,0,0
penitsillamiin ja sarnased ained,drug_name,drug_name,0,0
ropivacainum,drug_name,drug_name,0,0
ramitren,drug_name,drug_name,0,0
flumedroksoon,drug_name,drug_name,0,0
pridinol,drug_name,drug_name,0,0
anticholium,drug_name,drug_name,0,0
xylometazolinum,drug_name,drug_name,0,0
eucreas,drug_name,drug_name,0,0
metoprololum\+ivabradinum,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])emla($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
multivitamiinid\+mineraalid\+panax ginseng,drug_name,drug_name,0,0
epinastinum,drug_name,drug_name,0,0
glucose 50%,drug_name,drug_name,0,0
aptamil soya \(nutrilon soya\),drug_name,drug_name,0,0
pristinamycinum,drug_name,drug_name,0,0
capastat sulfate,drug_name,drug_name,0,0
lekoklar 250 mg,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])qlaira($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
bumadisoon,drug_name,drug_name,0,0
magnesium hydroxide,drug_name,drug_name,0,0
prilocainum\+felypressinum,drug_name,drug_name,0,0
vitiron suscaps,drug_name,drug_name,0,0
frovatriptan,drug_name,drug_name,0,0
amoxapinum,drug_name,drug_name,0,0
ibuprofen\+pseudoephedrine,drug_name,drug_name,0,0
benzalkonii chloridum\+eucalypti aetheroleum\+levomentholum\+menthae piperitae aetheroleum\+thymolum,drug_name,drug_name,0,0
antihidrotics,drug_name,drug_name,0,0
pentifylline,drug_name,drug_name,0,0
dmsa agent,drug_name,drug_name,0,0
isoniazid\+pyridoxine,drug_name,drug_name,0,0
sodium fluoride,drug_name,drug_name,0,0
bismuth subnitrate,drug_name,drug_name,0,0
visine classic,drug_name,drug_name,0,0
rasilamlo,drug_name,drug_name,0,0
rasitrio,drug_name,drug_name,0,0
2-amino-1-fenüületanooli derivaadid,drug_name,drug_name,0,0
klodantoiin,drug_name,drug_name,0,0
stannum comp\.,drug_name,drug_name,0,0
sturiban,drug_name,drug_name,0,0
brinzolamide pharmathen,drug_name,drug_name,0,0
votumumabum,drug_name,drug_name,0,0
insuman comb 50,drug_name,drug_name,0,0
telmisartan teva,drug_name,drug_name,0,0
"noliterax 10 mg/2,5 mg",drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])dolol($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
nicotinyl alcohol,drug_name,drug_name,0,0
pevaryl,drug_name,drug_name,0,0
dormicum,drug_name,drug_name,0,0
kreon 10 000 u,drug_name,drug_name,0,0
maalox \(suhkruvaba\),drug_name,drug_name,0,0
preparations containing sulfur,drug_name,drug_name,0,0
diamilla,drug_name,drug_name,0,0
"blood transfusion, auxiliary products",drug_name,drug_name,0,0
chondrocelect,drug_name,drug_name,0,0
other throat preparations,drug_name,drug_name,0,0
rosuvastatin tiefenbacher 20mg,drug_name,drug_name,0,0
vancocin,drug_name,drug_name,0,0
masoprocolum,drug_name,drug_name,0,0
mcp-ratiopharm 10,drug_name,drug_name,0,0
venlagamma 75 mg,drug_name,drug_name,0,0
leucovorin,drug_name,drug_name,0,0
lidocaine-grindeks,drug_name,drug_name,0,0
"tacrolimus pharmaswiss 0,5mg",drug_name,drug_name,0,0
equisetum arvense silicea cultum rh d3,drug_name,drug_name,0,0
tsinhokaiin,drug_name,drug_name,0,0
metanoolkinoliinid,drug_name,drug_name,0,0
nordasepaam,drug_name,drug_name,0,0
efavirenz/emtricitabine/tenofovir disoproxil krka,drug_name,drug_name,0,0
morphine 10 mg/ml,drug_name,drug_name,0,0
algeldratum\+magnesii trisilicas,drug_name,drug_name,0,0
methoxy polyethylene glycol-epoetin beta,drug_name,drug_name,0,0
aethylmorphini hcl,drug_name,drug_name,0,0
miokamütsiin,drug_name,drug_name,0,0
isoetarine,drug_name,drug_name,0,0
suprax film-coated tablets,drug_name,drug_name,0,0
natrii citras\+natrii chloridum,drug_name,drug_name,0,0
hyoscyamine,drug_name,drug_name,0,0
haemocomplettan,drug_name,drug_name,0,0
guanethidine,drug_name,drug_name,0,0
movymia,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])naclof($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
metindol retard,drug_name,drug_name,0,0
rivastigmine 3m health care ltd\.,drug_name,drug_name,0,0
gemcitabine,drug_name,drug_name,0,0
doxofylline,drug_name,drug_name,0,0
ibrutinib,drug_name,drug_name,0,0
thiopentone,drug_name,drug_name,0,0
ziprasidone actavis,drug_name,drug_name,0,0
provirsan,drug_name,drug_name,0,0
tofisopam,drug_name,drug_name,0,0
enahexal 5 mg,drug_name,drug_name,0,0
suktsinüülsulfatiasool,drug_name,drug_name,0,0
fenofibrate,drug_name,drug_name,0,0
citalopram pliva 20mg,drug_name,drug_name,0,0
other drugs for bile therapy,drug_name,drug_name,0,0
dextranomer,drug_name,drug_name,0,0
rupatadinum,drug_name,drug_name,0,0
mifepristone linepharma,drug_name,drug_name,0,0
nutropinaq,drug_name,drug_name,0,0
eucarbon herbal,drug_name,drug_name,0,0
amobarbitalum,drug_name,drug_name,0,0
exemestane,drug_name,drug_name,0,0
bortezomib,drug_name,drug_name,0,0
fenoldopamum,drug_name,drug_name,0,0
epanolool,drug_name,drug_name,0,0
arketis 30 mg,drug_name,drug_name,0,0
calcipotriolum,drug_name,drug_name,0,0
sotalex i\.v\. 40 mg,drug_name,drug_name,0,0
apydan 600 mg,drug_name,drug_name,0,0
steglujan,drug_name,drug_name,0,0
nintedanibum,drug_name,drug_name,0,0
cerucal,drug_name,drug_name,0,0
alfaadrenoretseptorite antagonistid,drug_name,drug_name,0,0
other antihypertensives and diuretics,drug_name,drug_name,0,0
azapropazone,drug_name,drug_name,0,0
landiolool,drug_name,drug_name,0,0
amstadin,drug_name,drug_name,0,0
espumisan l,drug_name,drug_name,0,0
vizidor,drug_name,drug_name,0,0
tocopherol,drug_name,drug_name,0,0
other anterior pituitary lobe hormones and analogues,drug_name,drug_name,0,0
ichtasolum,drug_name,drug_name,0,0
kvasepaam,drug_name,drug_name,0,0
"innohep 14000 anti-xa iu/0,7 ml syringes",drug_name,drug_name,0,0
soft paraffin and fat products,drug_name,drug_name,0,0
phenazocinum,drug_name,drug_name,0,0
bms-734016,drug_name,drug_name,0,0
bortezomib accord,drug_name,drug_name,0,0
ovaleap,drug_name,drug_name,0,0
oksandroloon,drug_name,drug_name,0,0
valnoctamidum,drug_name,drug_name,0,0
dexamethasone\+gramicidin\+framycetin,drug_name,drug_name,0,0
humalog mix50 humaject,drug_name,drug_name,0,0
macitentanum,drug_name,drug_name,0,0
iodine\+potassium iodide\+glycerol,drug_name,drug_name,0,0
humulin m3,drug_name,drug_name,0,0
viride nitens,drug_name,drug_name,0,0
adrenaline \(epinephrine\),drug_name,drug_name,0,0
heparinum natricum\+aescinum,drug_name,drug_name,0,0
tauriin,drug_name,drug_name,0,0
irbesartanum,drug_name,drug_name,0,0
synflorix,drug_name,drug_name,0,0
brinaf 250,drug_name,drug_name,0,0
roxardio,drug_name,drug_name,0,0
lercanidipine actavis 10mg,drug_name,drug_name,0,0
proctosedyl,drug_name,drug_name,0,0
protsüklidiin,drug_name,drug_name,0,0
nortivan 160 mg,drug_name,drug_name,0,0
lasolvan,drug_name,drug_name,0,0
bleo-kyowa,drug_name,drug_name,0,0
suprax powder for oral suspension,drug_name,drug_name,0,0
nycapril 50 mg,drug_name,drug_name,0,0
risset 4mg,drug_name,drug_name,0,0
conbriza,drug_name,drug_name,0,0
enypril 20 mg,drug_name,drug_name,0,0
ramirace 5mg,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])riamet($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
high-ceiling diuretics and potassium-sparing agents,drug_name,drug_name,0,0
promethazine caduceus,drug_name,drug_name,0,0
rosuvastatinum\+valsartanum,drug_name,drug_name,0,0
cichorium rh d3,drug_name,drug_name,0,0
zaltsitabiin,drug_name,drug_name,0,0
dasabuvirum,drug_name,drug_name,0,0
fotodünaamilises ja kiiritusravis kasutatavad sensibiliseerivad ained,drug_name,drug_name,0,0
prostavitas,drug_name,drug_name,0,0
theraflu nd,drug_name,drug_name,0,0
sevorane,drug_name,drug_name,0,0
sulfamoksool,drug_name,drug_name,0,0
phthalylsulfathiazolum,drug_name,drug_name,0,0
isokit tinn-kolloid tc\.32s,drug_name,drug_name,0,0
somatostatiin ja selle analoogid,drug_name,drug_name,0,0
amülaas,drug_name,drug_name,0,0
moxisylytum,drug_name,drug_name,0,0
klebopriid,drug_name,drug_name,0,0
abilify maintena,drug_name,drug_name,0,0
oleum ricini,drug_name,drug_name,0,0
teised ümarusside vastased ained,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])alexan($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
phlexy-10 drink mix,drug_name,drug_name,0,0
valdecoxibum,drug_name,drug_name,0,0
lesinurad,drug_name,drug_name,0,0
serum antidiphterique,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])cirrus($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
encephalitis vaccines,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])yarina($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])senade($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
