,0,1
412,Diabeetiline,16
413,vasem,16
414,nihe,16
415,nädalal,16
416,Ajuinfarkt,16
417,põhjustatud,16
418,2013.,16
419,4.,16
420,Sõrme,16
421,emakakael,15
422,põletikuta,15
423,Spordi-,15
424,Tööstus-,15
425,emaka,15
426,Keskmine,15
427,osade,15
428,Raskekujuline,15
429,ajamiga,15
430,mootoriga,15
431,tööriistade,15
432,majapidamisseadmetega,15
433,tegevusel,15
434,mõõduka,15
435,Redelile,15
436,epilepsia,15
437,põlveliigesed,15
438,sõitja,15
439,astma,15
440,kontrollitud,15
441,lihase,15
442,sensomotoorne,15
443,2002,15
444,sümptomid,15
445,artriit,15
446,2009.,15
447,rinnas,15
448,alasagaras,15
449,Vasakus,15
450,väljasurve,15
451,haav,15
452,põndapealisepõletik,15
453,akt,15
454,taastatud,15
455,mõlemal,15
456,Aordi,15
457,plastika,15
458,34,15
459,06,15
460,Ortopeediliste,15
461,kehakultuuriväljakud,14
462,asutused,14
463,sünnitamine,14
464,Jälgimine,14
465,muul,14
466,Kaubanduse,14
467,töötamisel,14
468,teenistusel,14
469,Kodade,14
470,genotüüp,14
471,koljusisese,14
472,eluavaldustega,14
473,puhkamine,14
474,magamine,14
475,söömine,14
476,sarvkestas,14
477,Traumaatilisena,14
478,tuhmumised,14
479,kuulmislangus,14
480,Paremas,14
481,negatiivne,14
482,Auraga,14
483,klassikaline,14
484,kahepoolne,14
485,Õlavarre,14
486,pöörajalihaste,14
487,säär,14
488,arterite,14
489,neer,14
490,all,14
491,perioodi,14
492,mitraalklapi,14
493,alaäge,14
494,säärel,14
495,Ema,14
496,hooldamine,14
497,südamehaigus,14
498,sulgused,14
499,esmased,14
500,Karpaaltunneli,14
501,1997,14
502,30,14
503,2008a,14
504,15,14
505,unearteri,14
506,halvatus,14
507,liigeseimplantaatide,14
508,külgmise,13
509,kliiniliselt,13
510,osaliselt,13
511,Kool,13
512,dermatiit,13
513,silmal,13
514,pärast,13
515,Liiklusõnnetuses,13
516,klassifitseeritud,13
517,limapaunade-kõõluste-liigesekihnude,13
518,koosesinevad,13
519,Rasedust,13
520,gastriit,13
521,lahtise,13
522,riskiaste,13
523,nagu,13
524,alumise,13
525,randme,13
526,kollateraalsideme,13
527,Lülisamba,13
528,soone,13
529,Sekundaarne,13
530,ok,13
531,mitte,13
532,päevas,13
533,müokardi,13
534,indutseeritud,13
535,sulgus,13
536,18,13
537,hapnikravil,13
538,Mittereumaatiline,13
539,haavand,13
540,sünnitusjärgset,13
541,taastunud,13
542,Meditsiiniline,13
543,kombineeritud,13
544,21,13
545,Külgmine,13
546,faasis,13
547,ebaselge,13
548,peale,13
549,diabeetiline,13
550,22,13
551,alates,13
552,parees,13
553,põletik,13
554,09,13
555,14a,13
556,köha,13
557,Tänav,12
558,herpes,12
559,Lateraalse,12
560,Kliiniliselt,12
561,hulgimurd,12
562,murrud,12
563,läbipõetud,12
564,kui,12
565,raskus,12
566,ranne,12
567,Mitraalklapi,12
568,Hoonelt,12
569,(-st,12
570,läbi,12
571,hoone,12
572,ehitise,12
573,reie,12
574,kass,12
575,mõlema,12
576,Remissioonis,12
577,obstruktiivne,12
578,Emakakaela,12
579,kompressioonmurd,12
580,Mõlemal,12
581,veritsus,12
582,ka,12
583,kompenseeritud,12
584,eesmine,12
585,tagumine,12
586,hüppeliigese,12
587,bilateraalne,12
588,allergiline,12
589,eemaldamine,12
590,asendusravil,12
591,2000,12
592,0.,12
593,19,12
594,6.,12
595,tekitaja,12
596,munasarja,12
597,küün,12
598,närvi,12
599,12a,12
600,marrastus,11
601,Sääre,11
602,neuropaatia,11
603,fokaalne,11
604,ajamita,11
605,mootorita,11
606,tööriistaga,11
607,perifeerne,11
608,tuumor,11
609,mao,11
610,haiguse,11
611,ravimite,11
612,Läbipõetud,11
613,kõrv,11
614,Allergiline,11
615,1999,11
616,sõlm,11
617,isheemiline,11
618,ravitud,11
619,tase,11
620,läätsetus,11
621,reiearteri,11
622,hematoom,11
623,2012a,11
624,kodusel,11
625,hüpertensioon,11
626,neuralgia,11
627,trauma,11
628,sekundaarne,11
629,stentimine,11
630,1996,11
631,KATE,11
632,2003,11
633,tuharate,11
634,mistahes,11
635,08,11
636,kopsus,11
637,Kodu,10
638,difuusse,10
639,Mittetäielik,10
640,Bakteriaalne,10
641,sagedaste,10
642,operatsioon,10
643,ebaloomuliku,10
644,reaktsiooni,10
645,hilisema,10
646,tüsistuse,10
647,põhjusena,10
648,Herpesviirusnakkused,10
649,Püsivate,10
650,motoorne,10
651,partsiaalne,10
652,pikaajaline,10
653,haavata,10
654,Takistatud,10
655,Inf,10
656,korduvad,10
657,keha,10
658,traumaatiline,10
659,vatsakese,10
660,kesksagaras,10
661,õla,10
662,tuharseisu,10
663,progresseeruv,10
664,verejooks,10
665,kõrva,10
666,11a,10
667,allseina,10
668,müoopia,10
669,endoproteesid,10
670,enneaegne,10
671,praegu,10
672,puusa,10
673,2011.,10
674,sündroomid,10
675,42,10
676,põlvel,10
677,ajuinfarkt,10
678,loomusega,10
679,Et,10
680,poolkeras,10
681,sündroomiga,10
682,Mõlemapoolne,10
683,polaarne,10
684,Võrkkestaveresoonte,10
685,jälgimisel,10
686,geeni,10
687,2011a,10
688,26,10
689,jalad,10
690,meniski,10
691,liiges,10
692,eesasetsuse,10
693,haaratusega,10
694,nõrkus,10
695,valusündroomiga,10
696,heterosügoot,10
697,hetkel,10
698,05,10
699,Viirustüükad,9
700,soolatüükad,9
701,paikmete,9
702,depressioon,9
703,esine,9
704,menetluseaegset,9
705,äpardust,9
706,kahtlustatud,9
707,rohke,9
708,verejooksuga,9
709,õli,9
710,puud,9
711,ala,9
712,pindmine,9
713,Mediaalse,9
714,Funktsionaalne,9
715,ekseem,9
716,kaubanduse,9
717,küünarliiges,9
718,tööstus-,9
719,kuiv,9
720,2014.,9
721,endoproteesi,9
722,male,9
723,allergilise,9
724,Müoopia,9
725,Reumaatiline,9
726,august,9
727,kaasuvad,9
728,rebendi,9
729,labajalg,9
730,puude,9
731,Kiirguskeratoos,9
732,sarvestu,9
733,spastilise,9
734,madal,9
735,kaelaosas,9
736,Diagnoosi,9
737,mai,9
738,kilpnäärme,9
739,tüsistavad,9
740,tõus,9
741,33,9
742,nahk,9
743,leid,9
744,50,9
745,Valikulise,9
746,keisrilõikega,9
747,dilatatsioon,9
748,kõrvas,9
749,mõlemapoolne,9
750,kae,9
751,Ravi,9
752,peaaju,9
753,aordiklapi,9
754,eemaldamist,9
755,ahenemine,9
756,kroonilise,9
757,difuusne,9
758,ateroskleroos,9
759,2008.,9
760,degeneratsioon,9
761,vasempoolne,9
762,Pea,9
763,hemipleegia,9
764,vasemas,9
765,bronhiit,9
766,labakäsi,9
767,verevalumid,9
768,Verekaotus,9
769,üla-,8
770,Vililasestressiga,8
771,põletikuline,8
772,kõõluse,8
773,Risk,8
774,lülisambas,8
775,Akt,8
776,Pärilik,8
777,sümptomaatiline,8
778,osaliste,8
779,liigese,8
780,kõõlusepõletik,8
781,Primaarne,8
782,kontroll,8
783,enam,8
784,mõlemas,8
785,piirkonna,8
786,vormid,8
787,Kuiv,8
788,Võõrkeha,8
789,näärmete,8
790,faas,8
791,väga,8
792,tüsistus,8
793,mutatsiooni,8
794,paraparees,8
795,diabeet,8
796,suurenemine,8
797,TE,8
798,Ravitud,8
799,histoloogiliselt,8
800,Atroofiline,8
801,Kahjustuse,8
802,šunti,8
803,hapnikravi,8
804,2014a,8
805,1998,8
806,märts,8
807,kitsenemine,8
808,pindmise,8
809,taastus,8
810,25,8
811,atroofia,8
812,ÜLIKÕRGE,8
813,sõlmelisus,8
814,sõlmed,8
815,ajast,8
816,23,8
817,ole,8
818,kaelal,8
819,osteoartroos,8
820,20,8
821,eesseina,8
822,tuharal,8
823,1992,8
824,kasutamine,8
825,põlve-,8
826,sõrme,8
827,põlved,8
828,Part,8
829,Ägenemine,8
830,peapööritus,8
831,reiel,8
832,31,8
833,vigastuse,8
834,varba,8
835,kopsudes,8
836,tromboos,8
837,külvis,8
838,labajala,8
839,varvaste,8
840,patoloogia,8
841,pideva,8
842,koksartroos,8
843,vana,8
844,kroonilised,7
845,kilpnäärmepõletik,7
846,autoimmuunne,7
847,tiinea,7
848,primaarne,7
849,kodarluu,7
850,patsiendi,7
851,seisundite,7
852,hilise,7
853,Rinna,7
854,nõustamine,7
855,Vahetult,7
856,näo,7
857,Varem,7
858,elamisasutus,7
859,Hilise,7
860,tõvest,7
861,puus,7
862,Kaasneva,7
863,Silma,7
864,Peaaju,7
865,Maksa,7
866,väikesed,7
867,kas,7
868,ülajäseme,7
869,põletus,7
870,südamepuudulikkus,7
871,müokardiit,7
872,takistus,7
873,alajäseme,7
874,leiu,7
875,pindluumurdu,7
876,mainides,7
877,kuni,7
878,Osaline,7
879,Polüneuropaatia,7
880,vähk,7
881,kaugelenägevus,7
882,sarvkesta,7
883,Kodutolmulest,7
884,mittekontrollitud,7
885,degeneratiivne,7
886,düstroofia,7
887,veres,7
888,Bilateraalselt,7
889,soov,7
890,invasiivne,7
891,diskprotees,7
892,struuma,7
893,põhjus,7
894,Lülisambakanali,7
895,polüartriit,7
896,suur,7
897,virvendus,7
898,epileptilised,7
899,..,7
900,Murru,7
901,üliraske,7
902,endine,7
903,õhkrind,7
904,moonutised,7
905,2012.,7
906,[-põrutus,7
907,Peamiselt,7
908,druusid,7
909,osa,7
910,püsiobstruktsioon,7
911,käesolev,7
912,episood,7
913,pöial,7
914,puusaliigeste,7
915,2007a,7
916,Sarvkesta,7
917,Rasedusaegsed,7
918,järgi,7
919,Healoomu,7
920,südame,7
921,kops,7
922,nädalat,7
923,17,7
924,retsidiiv,7
925,46,7
926,Kinnine,7
927,kõrval,7
928,valgus,7
929,kombin,7
930,2001.,7
931,Kilpnäärme,7
932,rohkem,7
933,Peaajuinfarkti,7
934,2013a,7
935,erosioon,7
936,tagasi,7
937,07,7
938,membraan,7
939,Lampjalg,6
940,jalgade,6
941,regionaalne,6
942,limapaunatsüst,6
943,kohas,6
944,homosügoot,6
945,asutuses,6
946,paigas,6
947,lülimurd,6
948,ehituspiirkonnas,6
949,Kesknärvisüsteemi,6
950,tekitajana,6
951,ärkamised,6
952,2006.,6
953,vaegus,6
954,Segatüüpi,6
955,harvade,6
956,degeneratiivsed,6
957,häirega,6
958,mõlemapoolselt,6
959,kool,6
960,liigtarvitamisest,6
961,tüüp,6
962,Õla,6
963,2006a,6
964,Sekundaarselt,6
965,keratoos,6
966,diagnoositud,6
967,kinnitatud,6
968,rind,6
969,koer,6
970,Mittediferentseerunud,6
971,MIC,6
972,Nimmevalu,6
973,op-i,6
974,konjunktiivikotis,6
975,ühe,6
976,valusündroomi,6
977,funktsiooni,6
978,kilpnäärmes,6
979,eesmise,6
980,tagumise,6
981,hepatiit,6
982,järgsed,6
983,tüsistused,6
984,1994,6
985,Üksikud,6
986,erosioonid,6
987,vahelduv,6
988,emfüseem,6
989,amputeeritud,6
990,ravita,6
991,medikamentoosne,6
992,sage,6
993,operatsiooni,6
994,Elamisasutuses,6
995,mootorsõidukitega,6
996,funktsionaalne,6
997,Siinusrütm,6
998,bilateraalselt,6
999,stenditud,6
1000,tekkeaeg,6
1001,traumajärgne,6
1002,75,6
1003,paranemas,6
1004,varvas,6
1005,sidemete,6
1006,digiti,6
1007,200,6
1008,lobi,6
1009,Astma,6
1010,aeg,6
1011,defitsiit,6
1012,Teisiti,6
1013,TA,6
1014,sinus,6
1015,Kolmiknärvi,6
1016,Ravimite,6
1017,suguliselt,6
1018,levivad,6
1019,seljal,6
1020,Kroonilise,6
1021,ventilaatorravil,6
1022,polüübid,6
1023,sisemised,6
1024,Postoperatiivne,6
1025,Antikoagulantide,6
1026,Värske,6
1027,meniski-,6
1028,võruketta,6
1029,Hälbeline,6
1030,Vasemas,6
1031,varasemalt,6
1032,liiteline,6
1033,32,6
1034,liiklusõnnetuses,6
1035,aneurüsm,6
1036,tupe,6
1037,kaelaosa,6
1038,bronh,6
1039,Totaalne,6
1040,nimme,6
1041,Munajuha,6
1042,isoleeritud,6
1043,maksas,6
1044,metastaas,6
1045,üks,6
1046,üle,6
1047,proteesitud,6
1048,hingamisteede,6
1049,tuvastamata,6
1050,käed,6
1051,non,6
1052,alal,6
1053,Jämesoole,6
1054,kopsupõletik,6
1055,väärtusega,6
1056,Nimmepiirkond,6
1057,sündroomile,6
1058,Tehislik,6
1059,kontrolli,6
1060,mediaalne,6
1061,kolded,6
1062,kaasasündinud,6
1063,Tupe,6
1064,murru,6
1065,Traumaatiline,6
1066,Silmamuna,6
1067,mürgile,6
1068,korrigeeritud,6
1069,verevalum,6
1070,oktoober,6
1071,seedetrakti,6
1072,1995,6
1073,Talumajapidamine,6
1074,Suulae-,5
1075,kurgu-],5
1076,nina-],5
1077,neelumandlite,5
1078,oluline,5
1079,käitlus,5
1080,Õlavarreluu,5
1081,Generaliseerunud,5
1082,avalduv,5
1083,Nimme-ristluu,5
1084,Küünar-,5
1085,peensoolepõletik,5
1086,kodus,5
1087,Põlveõndla,5
1088,Rinnaosa,5
1089,Rangluumurd,5
1090,üksiku,5
1091,kilpnäärmesõlmega,5
1092,Ilma,5
1093,näol,5
1094,pimedus,5
1095,sensoorne,5
1096,reumatoidartriit,5
1097,uni,5
1098,CPAP-ravi,5
1099,vanaeanägevus,5
1100,tikkeljätke,5
1101,kõõlusetupepõletik,5
1102,sarkoom,5
1103,teisene,5
1104,punnsilmsus,5
1105,soovitav,5
1106,Erakorraline,5
1107,Reieluu,5
1108,isheemia,5
1109,Müoopiline,5
1110,klaaskeha,5
1111,meditsiiniabi,5
1112,muus,5
1113,õnnetus,5
1114,Alajäsemete,5
1115,Dementsus,5
1116,teistest,5
1117,haigustest,5
1118,alasagara,5
1119,kolonisatsioon,5
1120,alaseljavalu,5
1121,Kirurgilise,5
1122,hüpertroofia,5
1123,kätel,5
1124,organkahjustuse,5
1125,Sünnitamise,5
1126,nimmeosa,5
1127,Kolmanda,5
1128,1999.,5
1129,Bilateraalsed,5
1130,kuulmisnõrkus,5
1131,lümfisõlmede,5
1132,Ristluu,5
1133,Sõrmusrakuline,5
1134,õietolm,5
1135,kodutolmulest,5
1136,lümfoom,5
1137,KESKMINE,5
1138,õlaliigesed,5
1139,Insuldi,5
1140,2007.,5
1141,katkev,5
1142,Korduvad,5
1143,segu,5
1144,1990,5
1145,deformatsioon,5
1146,menstruatsioon,5
1147,episoodid,5
1148,Munasarja,5
1149,Tõenäoliselt,5
1150,Aju,5
1151,mellitus,5
1152,punkti,5
1153,atakk,5
1154,verekaotus,5
1155,positiivsed,5
1156,keskmises,5
1157,pleuriit,5
1158,muutustest,5
1159,remissioon,5
1160,kandlus,5
1161,reieluu,5
1162,Mõõduka,5
1163,2010.,5
1164,põsel,5
1165,Kaelaosas,5
1166,Raviga,5
1167,situ,5
1168,ühendumatus,5
1169,ebaliiges,5
1170,sõrmeliigesed,5
1171,Uuritud,5
1172,naha,5
1173,Digiti,5
1174,seroosne,5
1175,lõikav,5
1176,Koos,5
1177,püsiva,5
1178,Astigmatism,5
1179,Sage,5
1180,irdumine,5
1181,Vasempoolne,5
1182,ümber,5
1183,jalgadel,5
1184,peanahal,5
1185,sümptomiteta,5
1186,Omandatud,5
1187,neerutsüst,5
1188,seljavalu,5
1189,Post,5
1190,üksikud,5
1191,ESS,5
1192,säärearterite,5
1193,sarvkestaarmid,5
1194,hägusused,5
1195,rasedust,5
1196,Liigese,5
1197,Ajutüve,5
1198,vahemikus,5
1199,iseeneslik,5
1200,osalt,5
1201,kattuvate,5
1202,Munajuharasedus,5
1203,14,5
1204,pars,5
1205,puusad,5
1206,Kopsuarteri,5
1207,ägedat,5
1208,kopssüdant,5
1209,ajutüve,5
1210,7.,5
1211,roide,5
1212,viirusinfektsioon,5
1213,tasemel,5
1214,Histoloogiliselt,5
1215,Spastiline,5
1216,222,5
1217,alustatud,5
1218,esimene,5
1219,emakakaela,5
1220,kopsude,5
1221,sigmasooles,5
1222,tsentraalne,5
1223,osteoporoos,5
1224,kinnitu,5
1225,13,5
1226,Kuuenda,5
1227,eemaldaja-),5
1228,koormusel,5
1229,Parempoolse,5
1230,Kinnitatud,5
1231,45,5
1232,tsüstid,5
1233,tahhükardia,5
1234,ülasagaras,5
1235,süvaveenide,5
1236,koksartroosid,5
1237,mehhaaniline,5
1238,Ülajäseme,5
1239,protsess,5
1240,sagaras,5
1241,Interstitsiaalne,5
1242,Neeruvähi,5
1243,liited,5
1244,kahjustused,5
1245,diagnoos,5
1246,neerus,5
1247,LVI,5
1248,väike,5
1249,lümfiturse,5
1250,Loote,5
1251,toime,5
1252,juuni,5
1253,kerges,5
1254,2015.,5
1255,Kasvajast,5
1256,Tekitaja,5
1257,Eostumist,4
1258,kaasaaitav,4
1259,suguelundite,4
1260,ülaotsa,4
1261,päevane,4
1262,jämesoole,4
1263,vililase,4
1264,südamelöögisageduse,4
1265,Muus,4
1266,peensoole,4
1267,kasutab,4
1268,kaelavalu,4
1269,Ühe,4
1270,Silikoonõli,4
1271,Roiete,4
1272,Ainult,4
1273,pindluumurd,4
1274,lihtne,4
1275,komplekssete,4
1276,mittekosutav,4
1277,sõelluu-urkepõletik,4
1278,jooksul,4
1279,primitiivne,4
1280,isheemiatõbi,4
1281,Sünnitusjärgne,4
1282,Polüartriit,4
1283,sisemise,4
1284,kirurgiline,4
1285,Seroosne,4
1286,suhkurtõbi,4
1287,kirurgilise,4
1288,avalikus,4
1289,administratiivpiirkonnas,4
1290,Liiklusõnnetus,4
1291,reis,4
1292,söövitus,4
1293,teise,4
1294,järgu,4
1295,veresoonte,4
1296,temp,4
1297,keskmise-raske,4
1298,maks,4
1299,vaagna,4
1300,kriis,4
1301,Sigmasoole,4
1302,säärtel,4
1303,kaasneva,4
1304,Tsütoloogiliselt,4
1305,Alumine,4
1306,paralüüs,4
1307,Algus,4
1308,aprill,4
1309,kerge-keskmine,4
1310,karpaalkanali,4
1311,tetraparees,4
1312,tarvitamisest,4
1313,psüühika-,4
1314,haavaga,4
1315,parapareesi,4
1316,põiehäiretega,4
1317,puue,4
1318,transfusiooni-,4
1319,lüli,4
1320,Laserdatud,4
1321,talla,4
1322,Kodusel,4
1323,insuliinravil,4
1324,südamerütmitused,4
1325,Silmalau,4
1326,silmanurga,4
1327,Naha,4
1328,Dieet,4
1329,Rohke,4
1330,turse,4
1331,43,4
1332,tänav,4
1333,kokkupõrkes,4
1334,Söögitoru,4
1335,aktiivsusaste,4
1336,liigespuudulikkus,4
1337,III->,4
1338,Valu,4
1339,loksumine,4
1340,soole,4
1341,spontaanselt,4
1342,väljunud,4
1343,medikamentoosselt,4
1344,degeneratiivsetest,4
1345,kehapoole,4
1346,Emakakeha,4
1347,lihastes,4
1348,distaalne,4
1349,MX,4
1350,nimmes,4
1351,küünarvarre,4
1352,õlal,4
1353,aju,4
1354,neerude,4
1355,põlves,4
1356,Kliiniline,4
1357,veebruar,4
1358,Kesksagaras,4
1359,aastat,4
1360,oodatav,4
1361,kuulmine,4
1362,õlavars,4
1363,100,4
1364,02.2012,4
1365,püsiobstruktsiooniga,4
1366,keskkõrvapõletik,4
1367,taseme,4
1368,Healoomuline,4
1369,Sidemete,4
1370,ligamentide,4
1371,Käte,4
1372,kehatüvel,4
1373,Klaaskehahemorraagia,4
1374,reiearterite,4
1375,perifeersete,4
1376,muutus,4
1377,liighigistus,4
1378,lihaste,4
1379,Sagedaste,4
1380,limapaunapõletik,4
1381,antikoagulantravil,4
1382,üleneva,4
1383,puudulikkusega,4
1384,IV->,4
1385,August,4
1386,troofilised,4
1387,haavandid,4
1388,2004.,4
1389,vasakpoolse,4
1390,üksik-),4
1391,proteesid,4
1392,skolioos,4
1393,Dieetravi,4
1394,kontaktdermatiit,4
1395,111,4
1396,kasvajast,4
1397,mõõdukad,4
1398,stendid,4
1399,nägu,4
1400,elundi,4
1401,te,4
1402,27,4
1403,Ähvardav,4
1404,sidekude,4
1405,tüsistav,4
1406,Täiskasvanute,4
1407,parempoolse,4
1408,šokk,4
1409,gangreen,4
1410,Rasedus,4
1411,Ülasagar,4
1412,Mõlemas,4
1413,reiest,4
1414,koliit,4
1415,hüdrotsefaalia,4
1416,Atüüpiline,4
1417,Primaarselt,4
1418,tsentraalset,4
1419,näonärvi,4
