,0,1,2
45,"Sääre hulgimurd, kinnine",None,21
46,Keskmine raskusaste,G00-G99,21
47,Parem põlveliiges endoproteesitud.,Z00-Z99,20
48,- paroksüsmaalne,I00-I99,19
49,Täpsustamata paik,V01-Y98,19
50,Mõõdukas korduv depressioon,F00-F99,18
51,Ilma olulise käitumishäireta,F00-F99,18
52,Ja kaelavalu,H60-H95,18
53,Hulgipaikmed lülisambas,None,17
54,Wegeneri granulomatoos,M00-M99,17
55,Äge kõripõletik,J00-J99,17
56,Kerge korduv depressioon,F00-F99,17
57,Krooniline lihtlihhen,L00-L99,17
58,Ühe silma pimedus,H00-H59,17
59,Esineb hüperlipideemia,E00-E90,17
60,Silikoonõli tamponaad paremal silmal,H00-H59,16
61,Roiete hulgimurd,S00-T98,16
62,"Ainult pindluumurd, kinnine",None,16
63,Pahaloomuline kasvaja,None,16
64,Täpsustamata vaskulaarne dementsus,F00-F99,16
65,Parem õlaliiges,M00-M99,16
66,"Pingutusstenokardia, stenokardia",I00-I99,16
67,"Torakaal- [rinna]lülimurd, kinnine",S00-T98,15
68,"Põlvekedramurd [patellafraktuur], kinnine",None,15
69,Parem põlveliiges,M00-M99,15
70,Rinna pahaloomuline kasvaja,C00-D48,15
71,Veresugulase nõustamine,Z00-Z99,15
72,Vahetult pärast sünnitust,Z00-Z99,15
73,Osteoporoosi skriining,Z00-Z99,15
74,"Keskmise raskusega
keskmise raskusega",G00-G99,15
75,Lymei tõbi,None,14
76,-muu käitumishäire,F00-F99,14
77,Noorte reumatoidartriit,M00-M99,14
78,-> sanata,I00-I99,14
79,Parema põlveliigese endoprotees.,Z00-Z99,14
80,Fikseerunud kodade virvendusarütmia,I00-I99,14
81,"Elamisasutus, sportlik tegevus",None,14
82,Parem hüppeliiges,M00-M99,13
83,Vasak põlveliiges,M00-M99,13
84,Paige täpsustamata,None,13
85,Vasaku puusaliigese artroos.,M00-M99,13
86,Gonarthrosis bilateralis,M00-M99,13
87,Parem puusaliiges,Z00-Z99,13
88,Kodade fibrillatsioon,I00-I99,12
89,Asthma bronchiale,J00-J99,12
90,Parema puusaliigese artroos.,M00-M99,12
91,Mõlema põlveliigese artroos.,M00-M99,12
92,Krooniline b-viirushepatiit delta-agensita,A00-B99,12
93,- fikseerunud,I00-I99,12
94,Paroksüsmaalne kodade virvendusarütmia,I00-I99,12
95,Täpsustamata dementsus,None,11
96,"Reieluukeha [-diafüüsi] murd, kinnine",S00-T98,11
97,"Roidemurd, kinnine",None,11
98,-  myop.,H00-H59,11
99,Vasak põlv,M00-M99,11
100,Haiguste somatisatsiooniga,N00-N99,11
101,Ruptura mucosae vaginae,O00-O99,11
102,"/täielik või täpsustamata,tüsistusteta/",O00-O99,10
103,Subkortikaalne vaskulaarne dementsus,F00-F99,10
104,Vasak hüppeliiges,M00-M99,10
105,Allergia ei kinnitunud,Z00-Z99,10
106,Varem läbipõetud,I00-I99,10
107,Kaela ja õlavöötmes,M00-M99,10
108,Kaela-rinnaosa piirkond,None,10
109,Spordi- ja kehakultuuriväljakud [asutused],V01-Y98,10
110,Raskekujuline müasteenia,G00-G99,9
111,Täpsustamata sapiteed,C00-D48,9
112,"Primaarne skleroseeriv kolangiit, maksatsirroos",K00-K93,9
113,Vasak õlaliiges,M00-M99,9
114,Nimme-ristluu piirkond,M00-M99,9
115,Funktsionaalne düspepsia,K00-K93,9
116,Kaela- ja nimmeosas,M00-M99,9
117,Sünnitusjärgne kontroll,Z00-Z99,9
118,"Raskekujuline, aPAP ravi testimine",G00-G99,9
119,Tega agorafoobia,None,9
120,Ventrikulaarne ekstrasüstoolia,I00-I99,9
121,Sicca ?,H00-H59,9
122,Aordiklapi bioprotees,Z00-Z99,9
123,- põlveliigesed,M00-M99,9
124,"Fikseerunud, Marevanravil",I00-I99,9
125,Mitraal(klapi) puudulikkus-mõõdukas,I00-I99,9
126,Kitsad hammaskaared,K00-K93,9
127,. Muud kirurgilised menetlused,V01-Y98,9
128,"Abordi-, emakavälise raseduse ja",O00-O99,8
129,Põlvekedramurd [patellafraktuur],S00-T98,8
130,Parem põlveliiges,Z00-Z99,8
131,Takistatud defekatsioon,K00-K93,8
132,Infertilitas primaria,N00-N99,8
133,Olulise käitumishäirega,None,8
134,Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega.,I00-I99,8
135,Taustaretinopaatia mõlemas silmas,None,8
136,Osteoporoosi suhtes,Z00-Z99,8
137,Lyme`i tõbi,A00-B99,8
138,Bursitis subacromialis sinistra,M00-M99,8
139,Venoosne ekseem,L00-L99,8
140,Inf. bilat.,J00-J99,8
141,"Kliiniliselt kahtlus
kliiniliselt kahtlus",A00-B99,8
142,. Muu täpsustatud hüpotüreoos,E00-E90,8
143,Muu hüpotüreoos.,E00-E90,8
144,Liiklusvälises õnnetuses vigastatud erikonstruktsioonig,None,8
145,Subduraalne traumaatiline hemorraagia,S00-T98,7
146,Keskmine raskus,G00-G99,7
147,Parem puus,M00-M99,7
148,Vasak puus,M00-M99,7
149,Vasak puusaliiges,M00-M99,7
150,Artroskoopia järgne seisund,Z00-Z99,7
151,- remissioonis,M00-M99,7
152,"Algav preproliferatiivne,osaliselt laserdatud",None,7
153,. Korduv depressioon remissioonis,F00-F99,7
154,Bakteriaalne vaginoos,A00-B99,7
155,Mõlema põlveliigese endoprotees.,Z00-Z99,7
156,Kaasneva ninaneelunohuga,J00-J99,7
157,Autoimmuunne hüpotüreoos,E00-E90,7
158,Silma sidekest,C00-D48,7
159,Vasak põlveliiges,Z00-Z99,7
160,Bakteriaalne  vaginoos,N00-N99,7
161,Autoimmuunne türeoidiit,O00-O99,7
162,Ruptura labii minores bilateralis,O00-O99,7
163,Vasak põlv,Z00-Z99,7
164,Parema puusaliigese endoprotees,Z00-Z99,7
165,"Hyperkeratosis calcanei
hyperkeratosis calcanei",L00-L99,7
166,Mõõdukas raskusaste,G00-G99,7
167,Erakorraline keisrilõikesünnitu,O00-O99,6
168,"Roiete hulgimurd, kinnine",None,6
169,Sääre hulgimurd,S00-T98,6
170,Multifokaalne motoorne neuropaatia,G00-G99,6
171,Parem küünarliiges,M00-M99,6
172,Seroosne adenokartsinoom,C00-D48,6
173,Ainult pindluumurd,S00-T98,6
174,Äge intoksikatsioon,F00-F99,6
175,Maksa echinococcus granulosus-nakkus,A00-B99,6
176,"Õlavarreluukeha [-diafüüsi] murd, kinnine",S00-T98,6
177,Kuiv sündroom [sjögren],M00-M99,6
178,Raskekujuline  - CPAP-ravi testimine,G00-G99,6
179,Raskekujuline  - aPAP-ravi testimine,G00-G99,6
180,Ägenemiste ja remissioonidega kulg,G00-G99,6
181,Normaalne luutihedus,Z00-Z99,6
182,Vasakul> paremal,H60-H95,6
183,Kerge kulg,J00-J99,6
184,"Philadelphia positiivne, krooniline faas",C00-D48,6
185,"Krooniline migreen
Krooniline migreen",G00-G99,6
186,Vasak põlveliiges endoproteesitud.,Z00-Z99,6
187,Nummularis et inversa,L00-L99,6
188,Mõlema põlveliigese endoprotees,Z00-Z99,6
189,Ja kaelavalu vasakul,H60-H95,6
190,Ruptura vaginae,O00-O99,6
191,"+ konjuktiviit
+ konjuktiviit",J00-J99,6
192,Mõlemad puusaliigesed,Z00-Z99,6
193,. Elamisasutus,V01-Y98,6
194,"Elamisasutus, muu täpsustamata tegevus",None,6
195,Liiklusõnnetuses vigastatud juht,V01-Y98,6
196,"Redelile(-lilt) kukkumine, kodu",V01-Y98,6
197,Täpsustamata äge apendit,K00-K93,5
198,. Äge vertebrobasilaarne puudulikkus.,I00-I99,5
199,Reieluukeha [-diafüüsi] murd,S00-T98,5
200,"Puukentsefaliidid (viirusentsefaliidid), kesk-euroopa puukentsefaliit",A00-B99,5
201,Tupeköndi prolaps,N00-N99,5
202,"Häbemeluumurd, kinnine",None,5
203,Pityriasis amiantacea,L00-L99,5
204,Luu ja liigesekõhr,C00-D48,5
205,Vaagnapiirkond ja reis,None,5
206,Parem ranne,M00-M99,5
207,Mõlema  puusaliigese endoprotees,M00-M99,5
208,"Operatsioonihaava infektsioon.
Operatsioonihaava infektsioon.",S00-T98,5
209,"Bilateraalne, opereeritud",G00-G99,5
210,Eczema microbicum,L00-L99,5
211,Mittespetsiifiline krooniline alaseljavalu.,M00-M99,5
212,: paroksüsmaalne,I00-I99,5
213,"Kehatüvi, suu limaskest",L00-L99,5
214,Kahtlus stenokardiale,Z00-Z99,5
215,Kahtlus köhavariantsele astmale,J00-J99,5
216,Krooniline neuropaatiline valu,None,5
217,Sääre veresoonte allrgiline vaskuliit,I00-I99,5
218,Kõhre-roide ühenduse sündroom [tietze],M00-M99,5
219,Kolangio- e spis,C00-D48,5
220,Intradermaalne neevus,C00-D48,5
221,"Viirustüükad [soolatüükad]
taldadel",A00-B99,5
222,"Herpesviirusnakkused [herpes simplex], herpesviirus-silmahaigus",A00-B99,5
223,Keratosis pilaris,L00-L99,5
224,-kerge kulg,J00-J99,5
225,-käitumishäire märkimata,F00-F99,5
226,"Adenocarcinoma prostatae
Adenocarcinoma prostatae",C00-D48,5
227,Paremas õlas,M00-M99,5
228,Méni?re'i tõbi,None,5
229,Kahtlus isheemiatõvele,Z00-Z99,5
230,"Kahtlus, paremal",H60-H95,5
231,Mõlema puusaliigese endoprotees,Z00-Z99,5
232,Eczema craquele,L00-L99,5
233,Anaemia post partum.,O00-O99,5
234,Krooniline neerupuudulikkus,D50-D89,5
235,Subarahnoidaalne traumaatiline hemorraagia,S00-T98,5
236,Paroksüsmaalne vorm,I00-I99,5
237,Kitsas kõvasuulae kaar,K00-K93,5
238,Mitraalklapi bioprotees,Z00-Z99,5
239,Anamneesis paroksüsmid,I00-I99,5
240,Diabetes gestationalis (dieetravi),O00-O99,5
241,Läbipõetud müokardiit,I00-I99,5
242,"Düstooniate, hüpokineesi ja treemoriga",G00-G99,5
243,Muud reumatoidartriidid.,M00-M99,5
244,. Seronegatiivne reumatoidartriit,M00-M99,5
245,Tööstus- ja ehituspiirkond,V01-Y98,5
246,"Elamisasutus, muu täpsustatud tegevusega",None,5
247,Fibrillatio atriorum,I00-I99,4
248,Täpsustamata maks,C00-D48,4
249,Hulgipaikmed  lülisambas,None,4
250,Paremal käel,G00-G99,4
251,Cholecystitis chronica,K00-K93,4
252,Ägenemiste ja remissioonidega,G00-G99,4
253,Vasaku puusaliigese endoproteesi luksatsioon,S00-T98,4
254,Sekundaarselt progresseeruv,G00-G99,4
255,"Kergekujuline, päevane liigunisus",G00-G99,4
256,Mehhaaniline tüsistus,S00-T98,4
257,Kolmanda astme verejooks,None,4
258,Sigmasoole divertikuloos,K00-K93,4
259,Täpsustamata naissuguelund,C00-D48,4
260,"Esmane generaliseerunud (osteo)artroos
Polüartroos",M00-M99,4
261,Anaemia post partum. Haemotransfusio,O00-O99,4
262,Vasakul endoprotees,M00-M99,4
263,Parem kõrv,H60-H95,4
264,Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusegai,I00-I99,4
265,Valge kitli sündroom,O00-O99,4
266,Kaela -ja nimmeosa,M00-M99,4
267,Keskmine raskusaste aPAP-ravi testimine,G00-G99,4
268,Bilateraalsed fibroadenoomid,C00-D48,4
269,Parem jalg,M00-M99,4
270,. Anamneesis,M00-M99,4
271,Klippeli-feili sündroom,Q00-Q99,4
272,Silikoonõli vasakus silmas,H00-H59,4
273,Sekundaarne erütrotsütoos,D50-D89,4
274,Kaela osteokondroos,M00-M99,4
275,"Reite sisepindadel
reite sisepindadel",L00-L99,4
276,Ilma lahtise koljusisese haavata,None,4
277,. kinnine,S00-T98,4
278,Häbeme piirkond,L00-L99,4
279,Algav sõrmeliigeste artroos,M00-M99,4
280,Autoimmuunne türeoidiit.,O00-O99,4
281,Caries secundaris,K00-K93,4
282,Kahtlus allergilisele riniidile,J00-J99,4
283,Kerge obstruktsioon,J00-J99,4
284,Tekkeaeg teadmata,I00-I99,4
285,Follikulaarne neoplaasia,E00-E90,4
286,"Hüpereosinofiilne sündroom
hüpereosinofiilne sündroom",D50-D89,4
287,Vasem hüppeliiges,M00-M99,4
288,Allergiline bronhioliit,J00-J99,4
289,Paremal käel,M00-M99,4
290,/ türeotoksikoos/,Z00-Z99,4
291,Parem käsi,G00-G99,4
292,Keskmise raskusega;  aCPAP-ravi testimine,G00-G99,4
293,Vasak puusaliiges,Z00-Z99,4
294,/ polypus fibroepithelialis,None,4
295,Enterococcus faecalis,N00-N99,4
296,Sünnitusjärgne kontroll,O00-O99,4
297,Tsütoloogiliselt kinnitatud: eosinofiilid,J00-J99,4
298,? Allergia ?,H00-H59,4
299,"Bilat. gonartroos, sõrmeliigeste artroos.",M00-M99,4
300,Gonarthrosis bilat,M00-M99,4
301,Vasak rind,N00-N99,4
302,Orgaanilised meeleoluhäired,F00-F99,4
303,Allergia mesilasmürgile,Z00-Z99,4
304,Rasunäärmete hüperplaasia,L00-L99,4
305,"Permanentne, rivaroksabaanravil",I00-I99,4
306,Vasak pool,N00-N99,4
307,Kaela ja nimmeosas,M00-M99,4
308,. Vasakpoolne spastiline hemiparees.,G00-G99,4
309,. Parempoolne spastiline hemiparees.,G00-G99,4
310,Alumine spastiline paraparees.,G00-G99,4
311,Ruptura colli uteri,O00-O99,4
312,Ruptura colli uteri.,O00-O99,4
313,. Podagra,M00-M99,4
314,Mõlemad põlveliigesed,Z00-Z99,4
315,Algus teadmata.,I00-I99,4
316,Varem läbipõetud müokardiit,I00-I99,4
317,Kõrgenenud  kolesterool,E00-E90,4
318,Granuloom vasakul jalal,L00-L99,4
319,"Keratosis pilaris
keratosis pilaris",L00-L99,4
320,Parempoolne hüdrotseele,N00-N99,4
321,Parempoolne spastiline hemiparees käsi>jalg,G00-G99,4
322,Dextroscoliosis thoracalis,M00-M99,4
323,"Liiklusõnnetus, muu täpsustatud tegevusega",None,4
324,Kodus sportliku tegevuse juures,None,4
325,Escherichia coli,N00-N99,3
326,"Subtrohhanteerne [pöörlialune] murd, kinnine",S00-T98,3
327,- ägenemine,G00-G99,3
328,Subtrohhanteerne [pöörlialune] murd,S00-T98,3
329,Parem randmeliiges,M00-M99,3
330,Esmane kahepoolne gonartr,M00-M99,3
331,Vana rebendi või vigastu,M00-M99,3
332,Õlavarreluu proksimaalse,S00-T98,3
333,"Polüneuropaatia, retinopaatia koos makulopaatiaga",E00-E90,3
334,Ägenemiste ja remissioonidega vorm.,G00-G99,3
335,Võõrutusseisund deliiriumiga,F00-F99,3
336,Õlavarre pöörajalihaste kõõluskätise [-tanu],S00-T98,3
337,Kerge-keskmine raskus,G00-G99,3
338,"Vasak, parem endopoteesitud",M00-M99,3
339,Parem säär,L00-L99,3
340,Ristluu piirkonnas,L00-L99,3
341,Coxarthrosis bilateralis,M00-M99,3
342,Vasakpoolne kubitaalkanali sündroom,G00-G99,3
343,- paremal,M00-M99,3
344,Parem labajalg,L00-L99,3
345,Retinopaatia ja polüneuropaatia,E00-E90,3
346,Metaboolne sündroom,K00-K93,3
347,"Steatohepatiit, metaboolne sündroom",K00-K93,3
348,"Maovigastus, õõnt avava haavaga",None,3
349,Gonarthrosis deformans dextra,M00-M99,3
350,"Parem põlveliiges, vasak endoproteesitud",M00-M99,3
351,Infertilitas secundaria,N00-N99,3
352,Mittediferentseerunud artriit,M00-M99,3
353,"Võrkkestairdeta rebendid, odex",H00-H59,3
354,Anaemia post partum,O00-O99,3
355,Sõrmusrakuline vähk,C00-D48,3
356,Jäseme luude sisefiksatsiooni seadi,None,3
357,Takistatud defekatsiooni sündroom,K00-K93,3
358,Inf myocardii pristinus,I00-I99,3
359,Nimmevalu (+),M00-M99,3
360,Mujal klassifitseerimata neuropaatiline kusep,None,3
361,Tugevate valudega,M00-M99,3
362,Vasakul op-i järgne,H60-H95,3
363,"Hüpertensioon, rütmihäired",Z00-Z99,3
364,Vasak põlv.,M00-M99,3
365,Diabeetiline retinopaatia ja polüneuropaatia,E00-E90,3
366,Normaalne luutihedus.,Z00-Z99,3
367,Parem labajalg,M00-M99,3
368,Keskmise raskusega;  aCPAP-ravil,G00-G99,3
369,Psoriaasi osas jälgimisele,L00-L99,3
370,Varajane kliimaks,N00-N99,3
371,Raynaud` sündroom,I00-I99,3
372,_Kolangio- e spis,C00-D48,3
373,Kaasneva konjuktiviidiga,J00-J99,3
374,- vasak iliosakr liidused.,M00-M99,3
375,"Erüteem, teleangiektaasiad
erüteem, teleangiektaasiad",L00-L99,3
376,"Parem ranne
parem ranne",M00-M99,3
377,Keskmise raskusega; aPAP-ravi testimine,G00-G99,3
378,Vasakul käel,M00-M99,3
379,- kahepoolselt,M00-M99,3
380,"Küünarluukeha [diafüüsi] murd, kinnine",S00-T98,3
381,Vatsakestevaheseina puue,Q00-Q99,3
382,"Kätel, kliiniliselt",L00-L99,3
383,Morbus Crohn,O00-O99,3
384,Vasak kukekannus,M00-M99,3
385,Kerge vasakpoolne hemiparees.,G00-G99,3
386,- paremal,G00-G99,3
387,"Stenokardiasündroom, isheemiline valu rindkeres",None,3
388,"Püsiobstruktsiooniga, raviga kontrollitud",J00-J99,3
389,Streptococcus agalactiae,N00-N99,3
390,Mõlemad õlaliigesed,M00-M99,3
391,Vasak õlaliiges.,M00-M99,3
392,Atoopiline dermatiit,O00-O99,3
393,Kaasuvalt koormusindutseeritav,J00-J99,3
394,-    myop.,H00-H59,3
395,-  mixt.,H00-H59,3
396,Lõike- ja torkevigastus,Z00-Z99,3
397,Täpsustamata kesknärvisüsteem,C00-D48,3
398,"Intermitteeruva kuluga
intermitteeruva kuluga",J00-J99,3
399,-intermiteeruva kuluga,J00-J99,3
400,Autonoomse närvisüsteemi muud haigusseisundid,G00-G99,3
401,Vasem ranne,M00-M99,3
402,Kahtlus valikulisele antikehapuudulikkusele,Z00-Z99,3
403,Sensibiliseerumine kodutolmulestale,J00-J99,3
404,Tservikogeenne peavalu.,G00-G99,3
405,Diffuusne alopeetsia,L00-L99,3
406,"Varbaküüntel, kliiniliselt",A00-B99,3
407,Menstruatsioonieelne pingesündroom,N00-N99,3
408,Kaltsitoniin normist kõrgem,E00-E90,3
409,Püsivate sümptomitega; mõõduka raskusega,J00-J99,3
410,Allergeeni ei leia,J00-J99,3
411,Vasak> parem,M00-M99,3
412,Reaktiivsed artropaati,M00-M99,3
413,Ekstrasüstolid; ventrikulaarsed,I00-I99,3
414,"Autoimmuunne türeoidiit
autoimmuunne türeoidiit",E00-E90,3
415,Kuperoosne   näonahk,L00-L99,3
416,Arthralgia genus bilateralis,M00-M99,3
417,Emakakaela düsplaasia kahtlus,Z00-Z99,3
418,Muu spondüloos kaelaosas,M00-M99,3
419,Mitraal(klapi) puudulikkus; opereeritud,I00-I99,3
420,Kahtlus neeruhaigusele,Z00-Z99,3
421,"Anamneesis, praegu siinusrütm",I00-I99,3
422,Mao erosioonid,K00-K93,3
423,- kontusioon,G00-G99,3
424,"Erüteem, teleangiektaasiad",L00-L99,3
425,Mõlemad õlad,M00-M99,3
426,Lülisamba kaela- ja nimmeosas,M00-M99,3
427,Polypus fibroglandularis cervicis,N00-N99,3
428,Menstruatsioonitsükli häire,N00-N99,3
429,Bilateraalselt endoproteesitud,M00-M99,3
430,Üks neer,N00-N99,3
431,"Viirustüükad [soolatüükad]
talla all",A00-B99,3
432,Kodusel hapnikravil,J00-J99,3
433,Torakaal ja lumbaalosas,M00-M99,3
434,Müofastsiaalsed valud kaela-õlavöötmes,M00-M99,3
435,Korduvad uroinfektsioonid,N00-N99,3
436,Mõlemad põlveliigesed,M00-M99,3
437,Kodune hapnikravi,J00-J99,3
438,Vasak labajalg,Z00-Z99,3
439,Mõlema käe pöidlad,L00-L99,3
440,Lõhnaainete segu,L00-L99,3
441,Mõlema  puusaliigese endoprotees.,M00-M99,3
442,Vasem õlaliiges,M00-M99,3
443,ILE-järgne seisund,M00-M99,3
444,Spiraali soov,Z00-Z99,3
445,Vasakpoolne spastiline hemiparees,G00-G99,3
446,. Fibrillatio atriorum permanens,I00-I99,3
447,Ruptura labii minores bilateralis.,O00-O99,3
448,. alumine spastiline paraparees,G00-G99,3
449,Ruptura regio clitoris,O00-O99,3
450,Ruptura mucosa vaginae,O00-O99,3
451,Krooniline neerupuudulikkus+rauavaegus,D50-D89,3
452,Parema puusa revisioonprotees,Z00-Z99,3
453,Mitraal(klapi) puudulikkus ( mõõdukas),I00-I99,3
454,Mittereumaatiline trikuspidaal(klapi)puudulikkus ( mõõdukas),I00-I99,3
455,Isheemiline kardiomüopaatia.,I00-I99,3
456,. Erosiivne gastriit.,K00-K93,3
457,- ägenemine,J00-J99,3
458,Hemolüütiline aneemia,D50-D89,3
459,Erosioonid maos,K00-K93,3
460,Osteopeenia kalduvusega osteoporoosile,M00-M99,3
461,Bulloosne emfüseem,J00-J99,3
462,Parema põlveliigese endoprotees,Z00-Z99,3
463,"Dikoriaalsed, diamniaalsed",O00-O99,3
464,Erosiivne gastriit,K00-K93,3
465,Vasem puusaliiges,Z00-Z99,3
466,Supraventrikulaarne bigeminus-tüüpi ekstrasüstoolia,I00-I99,3
467,Vajab jälgimist,I00-I99,3
468,Horror partus,O00-O99,3
469,Emakal .,None,3
470,Rektotseele+seesmine prolaps,K00-K93,3
471,Anaemia gravidarum.,O00-O99,3
472,Vasak jalg amputeeritud,I00-I99,3
473,Posttrombootiline sündroom,I00-I99,3
474,Mõlemad puusaliigesed endoproteesitud,M00-M99,3
475,Kerge intermitteruv,J00-J99,3
476,Kaltsitoniini tõus,E00-E90,3
477,Dermatiit labakätel isotretinoiinist,L00-L99,3
478,Isotretinoiinist lööve kätel,L00-L99,3
479,. Muud täpsustatud südamerütmitused,I00-I99,3
480,Mõõdukas persistentne,J00-J99,3
481,"Kaela-õlavöötmes, kätes",M00-M99,3
482,Lülisamba rinnaosa hulgimurd,S00-T98,3
483,"Emakas amputeeritud, kuumahood",N00-N99,3
484,Naha muud pahaloomulised kasvajad.,C00-D48,3
485,. Mööduv globaalne amneesia,G00-G99,3
486,Dieet+ tablettravi,E00-E90,3
487,Parox -> permanens,I00-I99,3
488,. Muu hüperlipideemia,E00-E90,3
489,"Naevus sebaceus
naevus sebaceus",C00-D48,3
490,Lichen simplex chronicus,Z00-Z99,3
491,"Rindade alusi
rindade alusi",L00-L99,3
492,---- opereeritud,M00-M99,3
493,Sekundaarse aneemiaga,N00-N99,3
494,Insuliinisõltuv suhkurtõbi.,E00-E90,3
495,Küfoskolioos torakaalosas,M00-M99,3
496,. Sõltuvus,F00-F99,3
497,. Küünarliigeste artroos.,M00-M99,3
498,"Eosinofiilne sündroom
eosinofiilne sündroom",C00-D48,3
499,- motoneuronid dist-lt jalgades.,G00-G99,3
500,Valdavalt ventrikulaarne ekstrasüstoolia,I00-I99,3
501,"Follikulaarne sõlm
follikulaarne sõlm",E00-E90,3
502,/ hüpotüreoos/,Z00-Z99,3
503,Paremal põlvel,Z00-Z99,3
504,Streptococcus dysgalactiae,N00-N99,3
505,. Täpsustamata epilepsia,G00-G99,3
506,. Kirurgilise operatsiooni ajal,V01-Y98,3
507,Elamisasutuses muul täpsustamata tegevusel,None,3
508,Liiklusvälises õnnetuses vigastatud sõitja,V01-Y98,3
509,Liiklusõnnetuses vigastatud sõitja,V01-Y98,3
510,Õlavarre pöörajalihaste kõõluskätise sündroo,M00-M99,2
511,Vasakpoolne spastiline hemiparees,I00-I99,2
512,Munasarja endometrioos vasakul,N00-N99,2
513,Valikulise keisrilõikega sünnit,O00-O99,2
514,Mujal klassifitseerimat,None,2
515,Tõenäoliselt streptokokk- meningiit.,G00-G99,2
516,Paremal säärel,A00-B99,2
517,Ema hooldamine emakakae,O00-O99,2
518,Mõlema jala gangreeniga,I00-I99,2
519,Muude paikmete nahaabstsess,L00-L99,2
520,Konkussioon. Commotio cerebri,S00-T98,2
521,Insuliinravil.  ja polüneuropaatia.,E00-E90,2
522,Fibrillatio atriorum persistens,I00-I99,2
523,"Esmane generaliseerunud (osteo)artroos
Osteoarthrosis",M00-M99,2
524,Meningiitiline vorm.,A00-B99,2
525,Parema puusaliigese endoproteesimine.,M00-M99,2
526,"Sääre hulgimurd, lahtine",None,2
527,Diabetes mellitus,E00-E90,2
528,Söögitoru rinnaosa,C00-D48,2
529,/ persisteeriv/,I00-I99,2
530,EP hoog,G00-G99,2
531,Söögitoru teadmata loomusega kasvaja,C00-D48,2
532,"Vasak, paremal endoprotees",M00-M99,2
533,Teleangiektaasiad antrumis,K00-K93,2
534,"Konkussioon, lahtise koljusisese haavaga",S00-T98,2
535,Mittealkohoolne steatohepatiit,K00-K93,2
536,Dekompensatsioon lähianamneesis,I00-I99,2
537,Mõlemal jalasäärel,I00-I99,2
538,Ortostaatiline treemor,G00-G99,2
539,"Et ungium
et ungium",L00-L99,2
540,Siinusrütm taastus elektrilise kardioversiooniga,I00-I99,2
541,Depressiivne faas,F00-F99,2
542,Hernia hiatus oesophagi,K00-K93,2
543,Maksa-kõhunäärmeampull [vateri],C00-D48,2
544,Generaliseerunud ekseem,L00-L99,2
545,Taastus siinusrütm,I00-I99,2
546,Klebsiella oxytoca,J00-J99,2
547,Laproskoopiline steriliseerimine,Z00-Z99,2
548,Cholecystitis chronica calculosa,K00-K93,2
549,Traumatica odex,H00-H59,2
550,Järgne seisund,A00-B99,2
551,Valu vasaku puusaliigese piirkonnas.,S00-T98,2
552,Parem põlve protees,S00-T98,2
553,Parkinsonistliku sündroomiga,G00-G99,2
554,Cysta dermoides ovarii sinistri,C00-D48,2
555,Sapipõie empüeem,K00-K93,2
556,Tonsillektoomia järgne,S00-T98,2
