,0,1
217,pneumonia,10
218,evigastuseta,10
219,ablatio,10
220,Prol,9
221,spondyloarthrosis,9
222,subacromialis,9
223,calcanei,9
224,hilistekkeline,9
225,müofastsiaalsed,9
226,funkts,9
227,IIaste,9
228,vaskuliit,9
229,chronica,9
230,koronaarhaigus,9
231,ossium,9
232,subtalaris,9
233,claviculae,9
234,dist,9
235,endometrioides,9
236,Müofastsiaalsed,9
237,eutüreoos,9
238,paatiad,9
239,Ki67,9
240,Aksonaalne,9
241,dislocatione,9
242,gonartroosid,9
243,genitalis,9
244,Dilateeruv,9
245,femoralis,9
246,hemisfääris,9
247,Gemelli,9
248,fibroos,9
249,hüpokseemia,9
250,retinae,9
251,remiss,9
252,fractura,9
253,Müofastsiaalne,9
254,planus,8
255,segmentaarne,8
256,[-distressiga,8
257,persistens,8
258,patellae,8
259,köhavariantsele,8
260,neuropaatiline,8
261,iliaca,8
262,Fibroadenoma,8
263,Enterococcus,8
264,Adenokartsinoom,8
265,Tendinitis,8
266,depolarisatsioon,8
267,düsplaasia,8
268,Myopia,8
269,Osteopeenia,8
270,Persisteeruv,8
271,supraspinati,8
272,superficialis,8
273,perf,8
274,Palp,8
275,membri,8
276,mirabilis,8
277,Infarctus,8
278,maturus,8
279,multilocularis,8
280,riniit,8
281,preval,8
282,võrkkestairre,8
283,Radicul,8
284,antrumi,8
285,nmol,8
286,Hypotonia,8
287,hüperparatüreoos,7
288,sümptomidega,7
289,Torakaal-,7
290,Asthma,7
291,Infertilitas,7
292,alzheimeri,7
293,Hilistekkeline,7
294,analgeetiliste,7
295,Järelkatarakt,7
296,hilisnähud,7
297,Luxatio,7
298,anterolistees,7
299,Infert,7
300,thoracalis,7
301,pertrochanterica,7
302,persistentne,7
303,Streptococcus,7
304,mixt,7
305,Bilateralis,7
306,organkahj,7
307,explantationem,7
308,ventrikulaarne,7
309,iridotsükliit,7
310,septitseemia,7
311,dekompensatsioon,7
312,Hernia,7
313,karotiidarterisündroom,7
314,dermoides,7
315,ureeteri,7
316,dehistsents,7
317,Komplikaatkatarakt,7
318,postop,7
319,subendokardiaalne,7
320,Melanoma,7
321,Spondüloartroos,7
322,Varices,7
323,Spondyloarthrosis,7
324,missed,7
325,Candida,7
326,vertiigo,7
327,endometrii,7
328,Colica,7
329,ml/min,7
330,Protrusio,7
331,tubulaarne,7
332,Hallux,7
333,radikulaarne,7
334,lobektoomia,7
335,Endoprothesis,7
336,nahaseenhaigustus,6
337,kaavitav,6
338,Crohni,6
339,Preproliferatiivne,6
340,Hulgipaikmed,6
341,tamponaad,6
342,treemor,6
343,fibrillatsioon,6
344,nummularis,6
345,disseminata,6
346,Subduraalne,6
347,makulopaatia,6
348,Meibomi,6
349,Eczema,6
350,gestationalis,6
351,permanens,6
352,Omarthrosis,6
353,secundaria,6
354,talonavicularis,6
355,ventrikulaarsed,6
356,degeneratiiv,6
357,eutüreoidne,6
358,tsüstiit,6
359,plantaris,6
360,Fibrosis,6
361,Naevus,6
362,torakaalosas,6
363,ventriculi,6
364,spinaalstenoos,6
365,papillare,6
366,Aneurysma,6
367,Myoma,6
368,musc,6
369,allavaje,6
370,Mycoplasma,6
371,tendinis,6
372,Arthritis,6
373,lingulas,6
374,Postop,6
375,Proteus,6
376,Enterobacter,6
377,acuta,6
378,Spinaalne,6
379,loco,6
380,resektsioon,6
381,sicca,6
382,Hyperplasia,6
383,koroidea,6
384,acquisitus,5
385,pansinu,5
386,crohni,5
387,hüperlipideemia,5
388,Escherichia,5
389,Proliferatiivne,5
390,köhavariantne,5
391,Konkussioon,5
392,kolangiit,5
393,aPAP,5
394,Capitis,5
395,guttata,5
396,oidne,5
397,eksoftalm,5
398,Taustaretinopaatia,5
399,Õlavarreluukeha,5
400,patellofemoralis,5
401,Makuladruusid,5
402,aPAP-ravi,5
403,dissemineeritud,5
404,atsioon,5
405,paroxysmalis,5
406,rektotseelega,5
407,neurosensoorne,5
408,Epicondylitis,5
409,polypus,5
410,eosinofiilid,5
411,deformans,5
412,tubulovilloosne,5
413,entsefalopaatia,5
414,teleangiektaasiad,5
415,erüteem,5
416,Distorsio,5
417,blefariit,5
418,Polypus,5
419,monokulaarne,5
420,regio,5
421,outr,5
422,Bariaatriline,5
423,Fascitis,5
424,Parox,5
425,Lichen,5
426,alusi,5
427,op-tud,5
428,canalis,5
429,Stenocardia,5
430,negat,5
431,radiocarpalis,5
432,eksudaadiga,5
433,calcarea,5
434,metformiinravi,5
435,abortion,5
436,distalis,5
437,L-thyroxini,5
438,Paroksüsm,5
439,osteopeenia,5
440,paroksüsm,5
441,Dermatitis,5
442,Infectio,5
443,Helicobacter,5
444,Genu,5
445,Uneapnoe,5
446,anterior,5
447,Inferioorne,5
448,atrophica,5
449,metaplaasia,5
450,Dorsalgia,5
451,küfoskolioos,5
452,paratüreoidadenoomi,5
453,.-tud,5
454,Angioma,5
455,fibromüalgia,5
456,koronaaridest,5
457,düsartria,5
458,sfincteri,5
459,recidiva,5
460,formaldehüüd,5
461,inferior,5
462,protrusioon,5
463,diffusa,5
464,Papillaarne,5
465,Transsectio,5
466,hole,5
467,Ulcus,5
468,prostatektoomia,5
469,Hüperkapnia,5
470,ferritiini,5
471,cubiti,5
472,Retentio,5
473,Xarelto,5
474,hereditaarne,5
475,bursiit,5
476,Bentalli,5
477,complicata,5
478,artropaatiaga,5
479,erosiivne,5
480,patol,5
481,Cephalgia,5
482,pulmonum,5
483,Epiretinaalne,5
484,faecium,5
485,albicans,5
486,S. Oxytocini,5
487,tuumornefrektoomia,5
488,Exacerbata,5
489,aortae,5
490,Protesis,5
491,tonsilliit,4
492,dupuytreni,4
493,renum,4
494,patellafraktuur,4
495,eeriv,4
496,bronchiale,4
497,etmoidaalsinu,4
498,preprol,4
499,somatisatsiooniga,4
500,achilleuse,4
501,presbüoopia,4
502,Myopicus,4
503,L-thyroxin,4
504,paravertebraalne,4
505,neuroektodermaalne,4
506,ekstraossaalne,4
507,Ewingi,4
508,Ventrikulaarne,4
509,taustaretinopaatia,4
510,Kolangio- e,4
511,metaboolne,4
512,kortikaalne,4
513,Chondromalatio,4
514,Endoprotesis,4
515,konjuktiviit,4
516,ectopica,4
517,Follikulaarne,4
518,amputatsioon,4
519,interna,4
520,mekooniumiga,4
521,acromioclavicularis,4
522,anti-CCP,4
523,follikulaarne,4
524,anserina,4
525,türeotoksikoos,4
526,fibroepithelialis,4
527,Nyha,4
528,kubitaalkanali,4
529,Insufficientia,4
530,hüpermetroopia,4
531,Raynaud,4
532,Kardio,4
533,Vaskulaarne,4
534,ristatisideme,4
535,mixtus,4
536,sublukseerunud,4
537,cervicis,4
538,lumbaalosas,4
539,anastomoosi,4
540,Supraventrikulaarne,4
541,eosinofiilne,4
542,Larsen-Dale,4
543,spondüliit,4
544,Child-Pugh,4
545,oesophagi,4
546,chemotherapiam,4
547,karotiidsüsteemis,4
548,Bronchitis,4
549,obstr,4
550,communis,4
551,Lentigo,4
552,vestibulopaatia,4
553,tümpanoplastikajärgne,4
554,Astigmat,4
555,fragilis,4
556,occipit,4
557,endoprothesis,4
558,maxillaris,4
559,Quervain,4
560,spinaalkanali,4
561,ureaplasmoos,4
562,Matura,4
563,perikraniaalsete,4
564,bilater,4
565,op.-d,4
566,mitmik-;,4
567,Paroxysmalis,4
568,angiograafia,4
569,bigeminia,4
570,kordaroonist,4
571,Mirena,4
572,ventr,4
573,angioma,4
574,angio-ct-,4
575,düsbakterioos,4
576,femoro-poplitealis,4
577,apicis,4
578,Baker,4
579,coloni,4
580,sigmoidei,4
581,Cardiomyopathia,4
582,Amniotomia,4
583,hemipareesiga,4
584,Thrombosis,4
585,Struma,4
586,nodosa,4
587,aureus,4
588,Hyperemesis,4
589,hemipleegiline,4
590,Intratserebraalne,4
591,imminens,4
592,intramuraalne,4
593,osteomüeliit,4
594,Lewy,4
595,praematurus,4
596,klaudikatsioon,4
597,neuroom,4
598,Cholelithiasis,4
599,corporis,4
600,pannikuliit,4
601,Urosepsis,4
602,Contractiones,4
603,praeparantes,4
604,bronhiektaasid,4
605,eksokriinne,4
606,Morganella,4
607,morganii,4
608,fibulae,4
609,typico,4
610,mortus,4
611,Acinetobacter,4
612,intestinalis,4
613,submandibularis,4
614,carotis,4
615,monopleegia,4
616,lausüvapõletikud,4
617,stellatum,4
618,Intermiteeruv,4
619,plica,4
620,mitraalrike,4
621,puudul,4
622,liitneevus,4
623,biliaarne,4
624,Vulnus,4
625,rubrum,4
626,carpi,4
627,temporomandibularis,4
628,Cystoma,4
629,retensioon,4
630,Tendinosis,4
631,collateralis,4
632,pneumotooraks,4
633,Vestibulaarfunktsiooni,4
634,Hoffa,4
635,Fibrotsüstilised,4
636,prim,4
637,Heberdeni,4
638,oper,4
639,uneapnoe,4
640,spinalis,4
641,foetus,4
642,spondülolistees,4
643,renis,4
644,Uterus,4
645,Candidiasis,4
646,Hüpokseemia,4
647,placentae,4
648,hüperkapnia,4
649,mixta,4
650,Asümptomaatiline,4
651,erosiva,4
652,Oxytocini,4
653,9nmol,4
654,congenita,4
655,monotsütoos,4
656,ferritiin,4
657,motor-],4
658,fluerestseiin,4
659,endomeetriumi,3
660,hüperplaasia,3
661,hemangioom,3
662,Hüperparatüreoos,3
663,paratür,3
664,Magna,3
665,eerivad,3
666,Köhavariantne,3
667,Sicca,3
668,prog,3
669,mükobakternakkused,3
670,varikoossed,3
671,vertebrobasilaarne,3
672,Proliferativa,3
673,Kartageneri,3
674,pilaris,3
675,proovi-C-PAP,3
676,Astigmatismus,3
677,pedum,3
678,invaginatsiooni,3
679,Polüartroos,3
680,fibroadenoomid,3
681,planae,3
682,hüpolaktaasia,3
683,Periostitis,3
684,Multiinfarktne,3
685,kompr,3
686,Dextroscoliosis,3
687,Metformiinravil,3
688,makulopaatiaga,3
689,Retinopaatia,3
690,Metaboolne,3
691,vertebrogeenne,3
692,amiodaroonist,3
693,kornea,3
694,Achillei,3
695,anterolateralis,3
696,Kalaasion,3
697,Erüteem,3
698,Persistentne,3
699,diafüüsi,3
700,gastrosk,3
701,intermiteeruva,3
702,supraspinatus,3
703,diafüüside,3
704,matura,3
705,vertebr,3
706,carcinoma,3
707,squamocellulare,3
708,stenti,3
709,Eksotroopia,3
710,clitoris,3
711,Erosiivne,3
712,mikroprolaktinoom,3
713,nefrektoomia,3
714,mitte-hodgkini,3
715,sebaceus,3
716,dysgalactiae,3
717,Commotio,3
718,salpingiit,3
719,spondüloartropaatia,3
720,sakroiliit,3
721,entesopaatia,3
722,oxytoca,3
723,olecrani,3
724,Anaplastne,3
725,Spinaalstenoos,3
726,anterolateraalne,3
727,pleegia,3
728,Nefropaatia,3
729,manuum,3
730,subkliiniline,3
731,Morgagni,3
732,Makulopaatia,3
733,subseroosne,3
734,Pernitsioosne,3
735,hypermetr,3
736,Opatsitaadid,3
737,musculi,3
738,düstoonia,3
739,pleuropneumoonia,3
740,tendini,3
741,ÖRpos,3
742,PRpos,3
743,aksillaarselt,3
744,Lynchi,3
745,Cystae,3
746,Infiltratiivne,3
747,Puusakontusioon,3
748,mukoosne,3
749,sangvinoosne,3
750,compressiva,3
751,hemikolektoomia,3
752,Löfgreni,3
753,contusio,3
754,Exostosis,3
755,malignum,3
756,ektaasid,3
757,artrodees,3
758,enteriit,3
759,Fixata,3
760,Düsplastiline,3
761,Ruptua,3
762,amputationem,3
763,residuaalne,3
764,Transmuraalne,3
765,Dystocia,3
766,Intestinaalne,3
767,L-Thyroxin,3
768,kolpiit,3
769,Statiinravi,3
770,elektrokardiogramm,3
771,normofrekventne,3
772,syndrome,3
773,regionis,3
774,senile,3
775,Coxalgia,3
776,Basalioma,3
777,shunti,3
778,kahj,3
779,Sactosalpinx,3
780,Polyposis,3
781,Düsartria,3
782,Kondromalaatsia,3
783,Multiformne,3
784,impingement,3
785,urosepsis,3
786,Staphylococcus,3
787,Fibromüalgia,3
788,posterior,3
789,Anterioorne,3
790,Abortus,3
791,koronaartõbi,3
792,alimentaarne,3
793,Dysplasia,3
794,müelinolüüs,3
795,osteiit,3
796,osteoradionekroos,3
797,periostiit,3
798,hemihüpalgeesia,3
799,influenzae,3
800,shunt,3
801,Bradükardia,3
802,Endometrioma,3
803,Mesenteriaalne,3
804,karotiidarteri,3
805,hemodünaamiliselt,3
806,Oedema,3
807,leiomüoom,3
808,styloidei,3
809,tubae,3
810,Thrombembolia,3
811,Foetus,3
812,lutei,3
813,Goxarthrosis,3
814,aksonaalne,3
815,polüpektoomia,3
816,tuhu,3
817,High,3
818,olecranii,3
819,pülori,3
820,trimalleolaris,3
821,follikulaartsüst,3
822,Dissemineerunud,3
823,occlusio,3
824,tibialis,3
825,luxationem,3
826,intratserebraalne,3
827,supranukleaarne,3
828,hordeool,3
829,Pedis,3
830,M.Parkinsoni,3
831,Endometrioos,3
832,Discopathia,3
833,Yasminelle,3
834,Reumokardioskleroos,3
835,komisurotoomia,3
836,aortirike,3
837,melaniinliigpigmentumus,3
838,papillaarne,3
839,hypermtr,3
840,Scoliosis,3
841,dentogeenne,3
842,Fleree,3
843,enukleatsioon,3
844,trombofiilia,3
845,lichen,3
846,Contusio,3
847,rosaatsea,3
848,aterosklerootiline,3
849,lobectomia,3
850,Intramuraalne,3
851,Anembryonia,3
852,artropaatia,3
853,avulsio,3
854,neurinoom,3
855,hyper,3
856,hyperm,3
857,rö-staadium,3
858,Küünrakontusioon,3
859,residuaal-),3
860,supraventrikulaarsed,3
861,Ablatsioon,3
862,dermatofibroom,3
863,lamellaarne,3
864,genit,3
865,transmuralis,3
866,granuloom,3
867,hulgisõlmeline,3
868,perif,3
869,Cervicalis,3
870,sinister,3
871,hüperinsulineemia,3
872,cerv,3
873,maksillaarsiinuses,3
874,claudicatio,3
875,intermittens,3
876,Haemorrhagia,3
877,mortoni,3
878,Lumbaalsel,3
879,Metforali,3
880,angioödeem,3
881,Endomeetriumi,3
882,Neevus,3
883,Hüpermetroopia,3
884,Downi,3
885,glabrata,3
886,stabilis,3
887,Kardiorenaalne,3
888,Episiotomia,3
889,atherosclerotica,3
890,spondülolüüs,3
891,transversi,3
892,neutropeenia,3
893,non-stemi,3
894,bakteriuuria,3
895,praematura,3
896,trikuspidaalklapi,3
897,bakteruuria,3
898,meningioom,3
899,radialis,3
900,epiduralis,3
901,cutis,3
902,müomeetrium,3
903,trombotsütoos,3
904,relat,3
905,3nmol,3
906,8nmol,3
907,0nmol,3
908,5nmol,3
909,Somatoformne,2
910,Anogenitaalsed,2
911,käitumish,2
912,otoksikoosiga,2
913,Diffuusne,2
914,ekstrapüramidaal-,2
915,Essentsiaalne,2
916,Subkortikaalne,2
917,superfitsiaal,2
918,skleroseeriv,2
919,mükobakterioosid,2
920,Marevanravil,2
921,gastrektoomia,2
922,koletsüstektoomia,2
923,immunoglobuliin,2
924,Compos,2
925,spisoonekartsinoom,2
926,thalamuse,2
927,maligniseerunud,2
928,Artroskoopia,2
929,kõrga,2
930,preproliferatiivne,2
931,gluteaaltendiniit,2
932,Recidiva,2
933,inversa,2
934,L-Thyroxinravil,2
935,vaariksid,2
936,Pityriasis,2
937,organkahjustu,2
938,microbicum,2
939,spis,2
940,Keratosis,2
941,Subarahnoidaalne,2
942,renalis,2
943,Seronegatiivne,2
944,Cholecystitis,2
945,divertikuloos,2
946,Haemotransfusio,2
947,osteotoomia,2
948,Chondromalatia,2
949,neoplaasia,2
950,trochanterica,2
951,aCPAP-ravi,2
952,L-thyroxinravil,2
953,VTR-tud,2
954,rivaroksabaanravil,2
955,keratosis,2
956,sinineevus,2
957,hüdrotseele,2
958,metformiinravil,2
959,Subtrohhanteerne,2
960,parox,2
961,Tumor,2
962,Maisenneuve,2
963,Steatohepatiit,2
964,hüpertensiivne,2
965,defekatsiooni,2
966,aCPAP,2
967,koormusindutseeritav,2
968,Neovasculare,2
969,collaterale,2
970,Morbus,2
971,agalactiae,2
972,mediastinaalselte,2
973,alasgaras,2
974,Atoopiline,2
975,lumbalgiaga,2
976,Intermitteeruva,2
977,Tservikogeenne,2
978,Tendinopathia,2
979,resekts,2
980,Kuperoosne,2
981,Turneri,2
982,cornescens,2
983,frontaalsinu,2
984,multisegmentaarne,2
985,Chondropathia,2
986,Eutüreoos,2
987,melanotsüütneevused,2
988,kombinatsiooonravimid,2
989,mucosa,2
990,aorto-bifemoralis,2
991,medius,2
992,revisioonprotees,2
993,kardiomüopaatia,2
994,Bulloosne,2
995,Dikoriaalsed,2
996,Horror,2
997,Küfoskolioos,2
998,Eosinofiilne,2
999,condyli,2
1000,urtikaarne,2
1001,sigillocellulare,2
1002,Osteoarthrosis,2
1003,Meningiitiline,2
1004,Teleangiektaasiad,2
1005,aCCP,2
1006,ungium,2
1007,B27neg,2
1008,high,2
1009,intestinaalne,2
1010,diaphysis,2
1011,Transitoorne,2
1012,Parkinsonistliku,2
1013,Tonsillektoomia,2
1014,konisatsioonijärgne,2
1015,tahhüfrekventne,2
1016,Müelodüsplastiline,2
1017,parkinsonistlik,2
1018,hemisfäär,2
1019,iferioorne,2
1020,intermiteeruv,2
1021,peroneus,2
1022,Medulaarne,2
1023,endomeetrium,2
1024,candida,2
1025,pollicis,2
1026,konkrement,2
1027,sclerosus,2
1028,neevused,2
1029,Diaprel,2
1030,supraventricularis,2
1031,ruptuur,2
1032,humerosacpularis,2
1033,Humeri,2
1034,tend,2
1035,rotaturum,2
1036,rektotseele,2
1037,invaginatsiooniga,2
1038,suspectum,2
1039,Kollaskehatsüst,2
1040,apoplexia,2
1041,Haemorrhoides,2
1042,totalis,2
1043,hüperostoos,2
1044,Blefarokonjunktiviit,2
1045,sensoor,2
1046,pannikuliidile,2
1047,atoopilise,2
1048,Ferritiin,2
1049,Pigmenteeritud,2
1050,Hereditaarne,2
1051,Hüpotüreoos,2
1052,Papilloma,2
1053,seborroica,2
1054,spongiootiline,2
1055,Compressio,2
1056,inferioris,2
1057,articulationis,2
1058,diskogeenne,2
1059,Beeta2,2
1060,endoproteesimise,2
1061,Neurotroofne,2
1062,Intermiteeruva,2
1063,Weissi,2
1064,enterotseele,2
1065,keratotoomia,2
1066,Hüper,2
1067,idroos,2
1068,Köhavarjantne,2
1069,ventricularis,2
1070,Esotroopia,2
1071,Neovaskulaarne,2
1072,Türeotroopne,2
1073,gonadotroopne,2
1074,respiratoria,2
1075,Bypass,2
1076,kardioversiooni,2
1077,duodeenumi,2
1078,Diamniaalsed,2
1079,metallstent,2
1080,kolonoskoopia,2
1081,adrenalektoomia,2
1082,feokromotsütoomide,2
1083,rinokonjunktiviit,2
1084,ladestised,2
1085,Dermatofibroom,2
1086,Lumb,2
1087,protrusiooniga,2
1088,Algstaaadiumis,2
1089,Killip,2
1090,prot,2
1091,Holter-monitooringu,2
1092,anteroseptaalne,2
1093,somatoformsed,2
1094,Subtalaarne,2
1095,adneksidega,2
1096,Holter,2
1097,artrootilised,2
1098,Amplatzer,2
1099,Nephrectomia,2
1100,mikroangiopaatia,2
1101,leukoom,2
1102,Kardiaalne,2
1103,Ptka,2
1104,Polüpoidne,2
1105,ooforiit,2
1106,Pt2a,2
1107,gleason,2
1108,insuff,2
1109,Vateri,2
1110,persist,2
1111,Bartholini,2
1112,Meniere,2
1113,oculomotoriuse,2
1114,Insufficietia,2
1115,Osteomyelitis,2
1116,viii,2
1117,paroxismalis,2
1118,juveniilne,2
1119,spinaalosteokondroos,2
1120,Bulbaarparalüüs,2
1121,Apoplexia,2
1122,glioblastoom,2
1123,dilatativa,2
1124,anasarka,2
1125,medab,2
1126,cervicobrachialis,2
1127,prox,2
1128,bulbaarparalüüs,2
1129,trigemini,2
1130,venosi,2
1131,akäe,2
1132,Amyloidosis,2
1133,ST-elevatsiooniga,2
1134,dilatans,2
1135,Thyreoiditis,2
1136,media,2
1137,Chlamydia,2
1138,pneum,2
1139,nervi,2
1140,facialis,2
1141,hepatica,2
1142,transsfincterica,2
1143,]-sulgus,2
1144,kospupõletik,2
1145,pnuemoniae,2
1146,pertrochantericae,2
1147,mutsinoosadenokartsinoom,2
1148,marevani,2
1149,Hypertonia,2
1150,intraventrikulaarne,2
1151,fossa,2
1152,C1-esteraasi,2
1153,intestini,2
1154,radikulaarse,2
1155,Larsen-Dale´i,2
1156,Reruptura,2
1157,shundi,2
1158,Gonarhtrosis,2
1159,kolestaas,2
1160,Hydrocele,2
1161,articulatio,2
1162,kartsinomatoosne,2
1163,peritoneaalne,2
1164,Anastomoosi,2
1165,Stenotrophomonas,2
1166,gastropaatia,2
1167,lobularis,2
1168,Tserebellaarne,2
1169,ajukontusioon,2
1170,densi,2
1171,tservikalgiaga,2
1172,pulmonaalne,2
1173,compr,2
1174,dermoidtsüst,2
1175,postfracturam,2
1176,Cruris,2
1177,tubaria,2
1178,score,2
1179,emakakaeladüsplaasia,2
1180,transmur,2
1181,caput,2
1182,inferoseptaalne,2
1183,bigeminus,2
1184,Pseudoarthrosis,2
1185,aordidissektsioon,2
1186,ülejuhtega,2
1187,spondülodees,2
1188,Chronica,2
1189,Kathon,2
1190,Incompetentia,2
1191,Polüüpektoomia,2
1192,proc,2
1193,ulnae,2
1194,neuroendokriinsele,2
1195,Kortikobasaalne,2
1196,explantatis,2
1197,Endometrioosi,2
1198,Kõhukeelme,2
1199,dyshidroticum,2
1200,manum,2
1201,folliculare,2
1202,spont,2
1203,paratubaris,2
1204,Sclerosis,2
1205,diskiprolaps,2
1206,liposarkoom,2
1207,Hepatotsellulaarne,2
1208,neuroendokriinse,2
1209,diferentseeringuga,2
1210,sombusharja,2
1211,Ataxia,2
1212,cerebellaris,2
1213,Embolia,2
1214,lobulaarkartsinoom,2
1215,multiipel- e,2
1216,oftalmopleegia,2
1217,brachialis,2
1218,multocida,2
1219,sünehhia,2
1220,foraminaalsest,2
1221,stenoosisit,2
1222,ekstraforaminaalsest,2
1223,prolapsist,2
1224,Urotrakti,2
1225,stadium,2
1226,klaudikatsiooniga,2
1227,submucosum,2
1228,Stadium,2
1229,meniscus,2
1230,bursopaatiad,2
1231,limapaunahaigustused,2
1232,Nocardia,2
1233,Fluidometra,2
1234,polüartroos,2
1235,resectio,2
1236,prolapsid,2
1237,orbita,2
1238,excisio,2
1239,rigidus,2
1240,toimurite,2
1241,müosiit,2
1242,Operata,2
1243,Sialolithiasis,2
1244,diastaas,2
1245,anamnestiliselt,2
1246,flebiit,2
1247,tromboflebiit,2
1248,Dermoidtsüst,2
1249,Braunovidon,2
1250,solaris,2
1251,subscapularis,2
1252,Spinaalkanali,2
1253,radikulopatia,2
1254,Autoimmuune,2
1255,Opatsitaat,2
1256,põial,2
1257,Lyme,2
1258,dorsi,2
1259,retrolistees,2
1260,S1sin,2
1261,Intratserebraalse,2
1262,hemipareesi,2
1263,Paresteetiline,2
1264,meralgia,2
1265,mükoplasmoos,2
1266,Prolactinoma,2
1267,proktalgia,2
1268,prol,2
1269,Tservikogeensed,2
1270,punctum,2
1271,mükoidse,2
1272,acromio-clavicularis,2
1273,metroendometriit,2
1274,protrombiini,2
1275,kardia,2
1276,Mkta,2
1277,Rosaatsea,2
1278,Beckeri,2
1279,vulvae,2
1280,Leberi,2
1281,mitokondriaalses,2
1282,histol,2
1283,spondülartroos,2
1284,spondylolisthesis,2
1285,neurovaskulaarne,2
1286,prolapsus,2
1287,Artephacia,2
1288,Kannadistorsioon,2
1289,angiopaatia,2
1290,Glioblastoma,2
1291,multiforme,2
