analysis_name,analysis_substrate,parameter_code,parameter_name,unit,count
"Allergeenide segu tp9 - puuõite vastased IgE antikehad seerumis (lepp, kask, sarapuu, tamm, paju)",,S-atp9,,kU/l,2
Mikrobioloogia labor (haigla),,43213,Seenemütseel,,7
Mikrobioloogia analüüs,BL - <ANONYM id="15" type="per" morph="_S_ sg n"/>,,Faaskontrast preparaat,,1
Luupusantikoagulandid,,P-LA,Normitud suhe,-,5
Kliinilise keemia uuringud,,1139,S-Na 7(Naatrium),mmol/l,1
Autoimmuunuuringud,,45022,AGA IgA QN,RU/ml,2
Immuunmeetoditel uuringud,täisveri,CD3-16+ja/või56+NK-rakud,CD 3-16+ja/või 56+ NK-rakud,,4
Autoimmuundiagnostika,,147144,S-NMDA Ig,,1
Koronarograafia,"",Verevarustusetüüp,Verevarustuse tüüp,,1
Kliiniline labor,,10195,üleminekuepiteeli,,1
Hematoloogilised uuringud,,7584,RDW,,14
Uriini uuringud,,3877,U-Ery(Erütrotsüüdid uriinis),µl,5
Vaba androgeeni indeks,,,S-FAI,,6
Erütrotsüüdid,,,,,295
Glükoosi taluvuse test-1h pärast glükoosi manustamist,,S-GTT-1h,GTT-1h pärast gllükoosi manustamist,mmol/L,4
Kliiniline vereanalüüs,"",Promüelotsüüdid,Promüelotsüüdid,,2
Biokeemia labor,,10497,B3-AB0+Rh(D) kinnita,,13
ABO-veregrupi ja Rh(D) korduv määramine,,B-ABOd+Rh(D),Rh(D) kuuluvus,-,50
Veregrupp,,780,Sobiv veredoos 1,,2
inhal.paneel,,IgE_inhal.20,tamm,-,1
Hematoloogilised ja uriini uuringud,,11133,RDV-C(RDV-CV),%,2
Vereäige mikroskoopiline uuring,,B-Hemo-m,Provormid,%,3
Hemostasiogramm,"",LA-kinnitavuuring-normitudsuhe,LA-kinnitav uuring - normitud suhe,,6
Hematoloogilised uuringud,,508,PDW,%,2
Kliiniline labor (haigla),,10170,RDW-C,fL,60
Uriini analüüs,1.hommikune uriin,LeuLeukotsüüdidtestribaga,Leu Leukotsüüdid testribaga,,13
"Epidermaalsete allergeenide (paneel 70: merisea, jänese, hamstri epiteel, rott, hiir) vastane IgE",,S-ep70_IgE,,kU/L,1
D-dimeerid,,P-D-Di,P-D-Di,mg/L FEU,116
Spetsiifiline IgE munavalge,,S2-IgE-F1,S2-IgE-F1,kU/L,2
Hematoloogilised ja uriini uuringud,,11040,Ketoonid(Ketoonid),mmol/l,110
Immuunmeetoditel uuringud,täisveri,CandidaglabrataDNART-PCRmeetodiltäisverest,Candida glabrata DNA RT-PCR meetodil täisverest,,1
Vere automaatuuring 5-osalise leukogrammiga,,B-CBC+Diff,RDW,%,230
Mikrobioloogilised uuringud,,1788,Abt-Anaer(Anaeroobse mikrofloora külv (kõhuõõnevedelikust)),,2
Mikrobioloogilised uuringud,,65772,Tsiprofloksatsiin(Tsiprofloksatsiin),,1
HDL -kolesterool,,S-HDL-Chol,S-HDL-Chol,mmol/l,58
Epstein-Barr viiruse kapsiidi antigeeni vastane IgM seerumis,,S-EBV_VCA_IgM,S-EBV VCA IgM,Ratio,4
Kliiniline labor,,10172,MC,pg,433
Biokeemia labor,,10530,2 tunni pärast (2t,mmol/l,2
Hematoloogilised uuringud,,50,Segmentuumseid,%,16
Glükoos 4 kordust,,cB-gluc,Glükoos (kordus) 17.00,-,16
Immuunmeetoditel põhinevad uuringud,,72201,S-HE4(Inimese munandimanuse proteiin 4),pmol/l,22
glükoos paastuveres,,fB-Gluc,fB-Gluc,mmol/l,336
Kolmiktest (AFP ja hCG ja fE3 määramine) PRISCA programmiga,,S-TT-PRISCA,Trisoomia 18 skriining,-,13
Vaba Türoksiin,,S-_fT4,66706 S-fT4,-,80
Tsüklilise tsitrulleritud peptiidi vastased antikehad,,,S-aCCP (Q),U/mL,1
Valkude fraktsioonid seerumis elektroforeetiliselt,,S-Prot-Fr,ß2-globuliin,.,2
Sperma uuringud,,1783,Tsink seminaalplasmas,mmol/ml,9
Mycoplasma pneumoniae IgM antikehad,,S-M.pn_IgM,M.pn IgM,S/CO,20
Hematoloogilised uuringud,,753,Toksogeene sõmeru,,10
Hematoloogilised uuringud,,617,1 B-MPV(Trombotsüütide keskmine maht),fL,5
Mikrobioloogia labor (haigla),,30330,Mikroobi kogus,,1
Glükoos plasmas,,P-Gluc,P-Gluc,mmol/l,29
Tundlikus haigustekitaja ravimtundlikkuse määramine(kuni 6 diski),,Cf-_tundlikus_Ureaplasma,Josamytcin 2mg/l,-,4
Naturaalsed toiduallergeenid,,Sk-T-Na,Kartul,mm,3
Aeroobide uuring keskjoauriinist,,cvU-Aer,cvU-Aer,-,18
CBC-5Diff Hemogramm viieosalise leukogrammiga,,B-CBC-5Diff,BASO#,10^9/l,866
Vereäige mikroskoopia,,B1-Smear-m,Polükromaasia,-,1
Väljaheite uuringud,,1425,"Tärklis, rakuväline",,4
Mikrobioloogia analüüs,WD - <ANONYM id="0" type="per" morph="_S_ sg n"/>,CAZTseftazidiim,CAZ Tseftazidiim,,1
Kliinilise keemia uuringud,,1936,Rau,mkmol/l,1
Virolooga,,132,Adenoviirus,,3
Bordetella pertussise vastane IgG,,S-B_pertussis_IgG,S-B pertussis IgG,-,1
Biol. materjali anaeroobne külv,,anaer.külv,anaer.külv,-,7
Uriini uuringud,,1505,Nitritid,,9
Immuunuuringud,,10476,S-Digox(Digoksiin),ng/ml,4
fPSA Vaba prostataspetsiifiline antigeen seerumis,,S-fPSA,fPSA/PSA,%,2
Uriini analüüs 10-parameetrilise testribaga,,U-Strip,Uriini nitritid,-,350
BASO%,,,,,64
20 toiduallergeeni,,S-Food_IgE,tomat,-,8
Mikrobioloogia analüüs,BL - <ANONYM id="10" type="per" morph="_S_ sg n"/>,MGRMikroskoopiagrammijärgi,MGR Mikroskoopia grammi järgi,,6
Kaltsium (ioniseeritud),,S-iCa,S-iCa,mmol/L,75
PAP test,,4297,Endomeetrium,,4
Mikrobioloogilised uuringud,,61827,Ofloksatsiin(Ofloksatsiin),,1
Etanool vereplasmas,,P-EtOH,P-EtOH,o/oo,1
Mikrobioloogia PCR meetodil,,Bocavirus1/2/3/4DNA,Bocavirus 1/2/3/4 DNA,,1
Aluseline fosfataas seerumis,,,S-ALP,U/L,76
Mikrobioloogia labor (haigla),,30209,Tobramütsiin MIK,,2
Türeoidperoksüdaasivastane IgG seerumis,,S-TPO_IgG,S-TPO IgG,IU/ml,15
Silelihaskoe vastased antikehad,,S-aSMA,S-aSMA,-,2
D-hepatiidi viiruse RNA veres,,B-HDV_RNA,B-HDV RNA,,2
inhal.paneel,,IgE_inhal.20,puju,-,1
Veregrupid,,595,Rh (D),,2
Mikrobioloogilised uuringud,,1748,Th-Ae(Aeroobse mikrofloora külv (kurgulimast)),,4
Uriini uuringud,,764,makrof.,,736
Kliinilise keemia uuringud,,639,S-IgM(Immuunglobuliin M),g/l,69
Viirused,,"Viirused-_IF_meetod,_antigeen",Gripp B,-,1
Tsütomegaloviiruse DNA hulk veres,,B-CMV_DNA_QN,B-CMV DNA QN,copies/mL,1
Ravimtundlikuse määramine diskdifusiooni meetodil kuni 6 prep. suhtes,,66530_Ravimitundlikkuse_määramin,Koagulaaspositiivsete stafülokokkide põhirida-1,-,4
Uriini uuring 10-parameetrilise testribaga,,U-Strip,UBG,-,1
Chlamydia trachomatis Gen-Probe meetodil,,Cx-Ctrachomatis_rRNA,Chlamydia trachomatis Gen-Probe meetodil,-,47
Chlamydia pneumoniae vastased IgG antikehad,,S-aCpnG,Väärtus,EIU,62
HIV ja hepatiidi uuringud,,1443,CMV Ig(Tsütomegaloviiruse vastaste IgM antikehade uuring),COI,19
Vere automaatuuring 3-osalise leukogrammiga,,B1-A3Diff,GR%,%,13
PAP test,,2379,Põletiku tekitajad,,104
Vere automaatuuring 5-osalise leukogrammiga,,B1-CBC+Diff,MONO% Monotsüütide suhtarv,%,3
Glükoos seljaajuvedelikust,,CSF-Gluc,CSF-Gluc,mmol/L,3
adenokortikotroopne hormoon plasmas,,P-ACTH,P-ACTH,-,2
Immuunhematoloogilised uuringud,,11251,1. sobivusproo(1. sobivusproov),,3
Chlamydophila pneumoniae vastane IgA seerumis,,S-C_pneumoniae_IgA,S-C pneumoniae IgA,EIU,17
PAP test: tserv kanal ja portio,,2336,Neutrofiilid,,15
Biokeemia analüüs,,S-Bil-conj(bilirubiinkonjugeeritud),S-Bil-conj (bilirubiin konjugeeritud),,7
Kliinilise keemia uuringud,,110,fS-Crea 7(Kreatiniin),µmol/l,1
Mikrobioloogilised uuringud,,144656,ESB(ESBL),,4
Minimaalse inhibeeriva kontsentratsiooni määramine ühes preparaadis,,Minimaalse_inhibeeriva_kon,Doksütsükliin,-,1
Hematoloogia labori analüüsid,,214,MONO,x 10 9/L,38
Epstein-Barr viiruse vastane IgM IgG seerumis,,S-EBV_IgMG,Epstein-Barr viiruse tuuma vastane antikeha seerumis,-,1
Gram-positiivsete bakterite DNA veres (real-time PCR-meetodil,,B-Gpos_DNA,E.faecium,-,45
Tsütoloogilised uuringud,,1316,Portio,,28
PAP test,,4263,Histiotsüüdid/makrofaagid,,1
Uriini uuringud,,12,1 U-ERY,rakku/µl,1
Erikaal (uriin),,,,,1
Uriini analüüs,ööpäevane uriin,dU-AlbAlbumiinööpäevasesuriinis,dU-Alb Albumiin ööpäevases uriinis,,6
Immuunmeetoditel uuringud,seerum,S-TrM-WB/TreponemapallidumvastIgMseerumis/kinnitav,S-TrM-WB / Treponema pallidum vast IgM seerumis/ kinnitav,,3
Treponema pallidum mittespetsiifilised antikehad,,S-RPR,S-RPR,-,2
VÄL,,41163,Transferriini küllastatus,%,7
Mikrobioloogia labor (haigla),,30109,Vankomütsiin MI,,1
Hemoglobiini fraktsioonid venoosses veres,,B-Hb-Fr,tHb,g/l,3
PAP test,,4213,Mikrofloora,,47
Immuunmeetoditel põhinevad uuringud,,824,S-Prol(Prolaktiin),mU/l,21
Hematoloogilised uuringud,,37,1 PLCR,,6
Immuunmeetoditel uuringud,seerum,f25/spIgEtomatisuhtes,f25 / sp IgE tomati suhtes,,6
HIV ja hepatiidi uuringud,,71579,HSV I&II DNA (seerum),koopiat/ml,1
Allergia uuringud,,3624,Maapähkel,,7
valk uriinis,,U-Prot,U-Prot,g/l,28
Mikrobioloogia labor (haigla),,10216,Ns-Ae(Aeroobide uuring ninaneelulimast),,1
Kliinilise keemia uuringud,,108,fS-Gluc(Gl�koos seerumis),mmol/l,2
Hemogramm patoloogiline (mikroskoopia),,B-Hemo-p,Segmenttuumsed neutrofiilid,%,1
VÄL,,41272,LFR,%,1
"Maksa autoimmuunhaigustega seotud IgA, IgM, IgG seerumis",,S-Liver_IgAMG,LKMA IgAMG,-,82
Uriini analüüs,ööpäevane uriin,dU-OsmolOsmolaalsusööpäevasesuriinis,dU-Osmol Osmolaalsus ööpäevases uriinis,,1
Borrelia IgG,,,,,1
Hematoloogilised uuringud,,4598,Neutrofiilide abs ar,x 10 9/L,1
S-Urea,,,,,4
Doonorvere sobivusproov geeltehnikaga,,B-XmB-g,4.sobivusproov,-,1
Allergia testid,,tursk,tursk,,2
Aeroobide uuring kõrvaeritisest,,Ear-Aer,Ear-Aer,-,4
Uriini sademe mikroskoopia,,U-Sedi-m,Lameepiteel,r/vv,3
Hematoloogilised uuringud,,8560,HGB,g/dl,19
Mikrobioloogilised uuringud,,65080,Tseftasidiim(Tseftasidiim),,3
Uriini sademe mikroskoopia,,U-Sed-m,Lima,-,389
Ureaplasma urealyticum/Ureaplasma parvum PCR meetodil,,Cm-Uu/Up-PCR,Cm-Uu/Up-PCR,-,63
Mikrobioloogilised uuringud,,144297,Amoksitsilliin,,2
Echinococcus-vastane IgE,,S-p2_IgE,S-p2 IgE,,3
Väljast tellitud analüüsid,"",EBVDNA,EBV DNA,,5
Albumiini-kreatiniini suhe uriinis,,U-Alb/Crea,Kreatiniin (U),mmol/L,11
Hemogramm viieosalise leukogrammiga,,B-CBC-Diff,B-LYMPH#,10^9/L,670
Eosinofiilide arv,,,,,134
+Valkude fraktsioonid seerumis elektroforeetiliselt,,S-Prot_fr,Albumiin,-,2
Uriini sademe mikroskoopia,,U-Sedim,Bakterid (ur. sademes),-,25
Happe-aluse tasakaal,,70364,tH(Hemoglobiini fraktsioonid),g/l,23
Hemogramm viieosalise leukogrammiga,,B-CBC-5Diff,,pg,106
"Nesseria gonorrhoeae, PCR, uriinist",,U-Ng-PCR,N.gonorrhoeae määramine PCR meetodil uriinis,-,2
PAP test,,44075,Histiotsüüdid/makrofaagid,,1
Üksikallergeeni f49 (õun) vastased IgE antikehad seerumis,,S-af49,,kU/l,8
Mikrobioloogia analüüs,SW - Kir.haav,MIKMikroobid,MIK Mikroobid,,5
Hematoloogilised uuringud,,607,7 B-Hb(Hemoglobiin veres),g/l,1
Seente uuring kõrvaeritisest,,Ea-Myc,Ea-Myc,-,23
Biokeemia analüüs,1.hommikune uriin,fS-Urea(uurea),fS-Urea (uurea),,4
Prolaktiin,,S-Prol,S-Prol,.,19
Uriini uuringud,,126,"U-Erikaal(Uriini erikaal, üks parameeter 10 parameetriliseltestribal)",,4
"M.tuberculosis, külv, BACTEC MGITsüsteemi, rögast",,Sp-Tbc-BACTEC,"M.tuberculosis, külv BACTEC i, rögast",-,1
Kliiniline vere ja glükohemoglobiini analüüs,"",Lümfoomirakud,Lümfoomi rakud,,1
Elektroforeetiline uuring,"",S-b1-glBeeta-1globuliinid,S-b1-gl Beeta-1 globuliinid,,1
Happe-alus tasakaal,Venoosne veri,Hematokrit,Hematokrit,,12
Vere automaatuuring leukogrammita,,B-CBC,WBC,10^9/L,287
Uriini uuringud,,2171,U-Le(Leukotsüüdid uriinis),µl,11
Mikrobioloogilised uuringud,,144381,Prms Amfoteritsiin MIK,,1
Uriini analüüs 10-param. testribaga,,U-Strip,Urobilinogeen UBG,-,940
Vere automaatuuring 5-osalise leukogrammiga ja retikulotsüütidega,,B-CBC+Diff,PDW,fL,1
Erütrotsütaarsete antikehade sõeltest geeltehnikaga,,B-aRBC,C II,-,48
Tsütoloogilised uuringud,,1328,Histiotsüüdid,,32
Neisseria gonorrhoeae DNA uriinis,,U-Ngo-PCR,Neisseria gonorrhoeae DNA,-,8
Portsio - paneel,,,,,1
Seroloogilised uuringud,,71508,Mycoplasma pneumoniae IgM(Mycoplasma pneumoniae vastased IgM antikehad),,67
"kilpnäärme,insuliini ja muu vastased antikehad",,antikehad,Türeoidperoksüdaasi vastased autoantikehad,U/mL,6
Hematoksüliin-eosiin värvinguga pahaloomulisuse diferentseeringuga biopsiamaterjali uuring,,66823,Hematoksüliin-eosiin värvinguga pahaloomulisuse diferentseeringuga biopsiamaterjali uuring (1 blokk),-,1
Hemogramm viieosalise leukogrammiga,,B-CBC-5Diff,Mono%,%,4922
Uriini sademe mikroskoopia,,U-Sedim,Rasvsilindrid,-,2
Hematoloogilised uuringud,,1891,Ovalotsütoos,"1,2,3",1
Mikrobioloogia analüüs,UR - Keskjoa uriin,,FTX Tsefotaksiim,,5
TBC mikrobioloogia analüüs,PT - Pleura tükk,SMStreptomycin,SM Streptomycin,,1
Mikrobioloogia analüüs,CX - Emakakaela sekreet,AMPAmpitsilliin,AMP Ampitsilliin,,1
PAP test,,4304,Erütrotsüüdid,,3
Valkude fraktsioonid seerumis,,S-Prot-Fr,G globuliin,g/l,105
PAP test,,4210,Plasmarakud,,47
Immuunmeetoditel uuringud,"",,<ANONYM> indeks,,7
Läkaköha IgG,,,,,1
Gram-positiivsete bakterite DNA veres (real-time PCR-meetodil,,B-Gpos_DNA,E.gallinarum,-,45
Biokeemia labor (haigla),,10535,AB,mmol/l,4
Hemogramm kolmeosalise leukogrammiga,,B-CBC-3Diff,Granulotsüütide arv,10E9/l,12
Immuunmeetoditel uuringud,"",S-TRAb/TüreotropiiniretseptorivastaneIgGseerumis,S-TRAb / Türeotropiini retseptori vastane IgG seerumis,,32
LTKH allhanked,,1542,Albumiinid(Relatiivne protsent),%,19
Koe transglutaminaasi vastased IgA antikehad,,S-atTG-A,S-atTG-A,U/ml,1
Kreatiniin kinaasi MB isoensüüm,,66707_CK-MB,66707 CK-MB,ng/ml,2
Uriini sademe mikroskoopia,,U-Sedim,Hüaliinsilindrid (U),s/vv,89
Erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga,,B-aRBC,B-aRBC,-,125
Autoimmuundiagnostika,,147259,Ro-52,,1
Ferritiin seerumis,,S2-Ferritiin,S2-Ferritiin,µg/L,3
Rh-fenotüübi määramine,,B-Rhfen,B-Rhfen,-,4
Antikehad HBsAg vastu,,S-anti-HBc,,,2
Tsütoloogilised uuringud,,1330,Kepid,,103
Mikrobioloogia analüüs,WD - <ANONYM id="10" type="per" morph="_S_ sg n"/>,EPEErtapeneem,EPE Ertapeneem,,1
Spetsiifiline IgE,,IgE_spec.,Penicillium notatum,-,1
Mikrobioloogia analüüs,BL - <ANONYM id="18" type="per" morph="_S_ sg n"/>,FRATsefuroksiim,FRA Tsefuroksiim,,1
Aktiveeritud osalise tromboplastiini aeg,,P-APTT,P-APTT,sek.,399
Mikrobioloogia analüüs,UR - Keskjoa uriin,APamfoteritsiinB,AP amfoteritsiin B,,1
Oligoklonaalsed immuunglobuliinid,,CSF-Ig-oligo,CSF-Ig-oligo,-,8
Narkootikumide kvalitatiivne uuring uriinist,,U-Narco,Kannabinoidid (U),,2
Mikrobioloogilised uuringud,,65336,Tsefuroksiim (parenteraalne)(Tsefuroksiim (parenteraalne)),,3
Autoimmuundiagnostika,,71709,S-AGA IgG(Deamideeritud gliadiini vastane IgG),RU/mL,17
Mikrobioloogia analüüs,SW - Kir.haav,MGRMikroskoopiagrammijärgi,MGR Mikroskoopia grammi järgi,,3
Kliinilise keemia uuringud,,10947,Protrombiini suh(Protrombiini suhe),%,46
VIt B 12,,,,,1
Hematoloogilised uuringud,,10,B-Hct(Hematokrit),%,7
Mikrobioloogia labor (haigla),,30084,Tobramütsiin MIK,,1
Gliadiinivastased IgA antikehad,,S-aGA-A,S-aGA-A,RU/mL,1
Mikrobioloogia analüüs,WD - <ANONYM id="1" type="per" morph="_S_ sg n"/>,CIPTsiprofloksatsiin,CIP Tsiprofloksatsiin,,2
Happe-alus tasakaal,täisveri,Naatrium,Naatrium,,184
Mikrobioloogilised uuringud,,1873,F-CdiB(Clostridium difficile B toksiin imuunmeetodil (väljaheitest)),,9
"Amülaas, pankreasespetsiifiline pleuravedelikus",,PF-AmylP,PF-AmylP,U/L,2
glükoos,,,,,20
Laktoosi taluvuse test,,P-LTT,40 min pärast,mmol/l,13
Uriini uuringud,,2129,Erütrotsüüdi,,1
Välisanalüüsid,,10053,S- HBsA( B hepatiidi viiruse pinnaantigeen),,1
Seroloogilised uuringud,,71430,Puukentsefaliit IgM liikvorist(Puukentsefaliidiviirus IgM liikvorist),S/CO,11
Tsütoloogilised uuringud,,69645,ARHIIVI NR.,,351
Mikrobioloogia analüüs,JT - Liigesvedelik,VANVankomütsiin,VAN Vankomütsiin,,1
Hematoloogilised uuringud,,5642,E-MCH(Keskmine hemoglobiinihulk erütrotsüüdis),pg,5
Happe-alus tasakaal,,Hemoglobiin,Hemoglobiin,,1
Biokeemia labor,,10475,S2-Cre,umol/l,167
Välisanalüüsid,,44004,IGF-(Insuliini sarnane kasvufaktor),,3
Uriini analüüs,"",dU-ProtValkööpäevasesuriinis,dU-Prot Valk ööpäevases uriinis,,46
Kliiniline vereanalüüs,"",Plasmarakud,Plasmarakud,,51
Väljaheite uuringud,,1422,Värvus,,7
Uriini uuringud,,708,Nitritid,,4
Seroloogia,,422,a-HBs,IU/l,2
Valk 24-tunni uriinis,,dU-Prot_,dU-Prot,g/24 t,3
Uriini analüüs 10-parameetrilise testribaga,,U-Strip,Uriini pH,-,350
Hematoloogilised uuringud,,4587,MCH,g/l,1
Immuunmeetoditel uuringud,"",f92/spIgEbanaanisuhtes,f92 / sp IgE banaani suhtes,,3
Mikrobioloogia analüüs,PF - Pleurapunktaat,FUSFusidin,FUS Fusidin,,1
Protrombiini indeks,,P-PT ,P-PT,-,4
Mikrobioloogilised uuringud,,30143,Norfloksatsii,,4
VÄL,,44581,ANA IgG tiiter,,4
Mikrobioloogilised uuringud,,5439,Piperatsillin tazo,,1
Biokeemia analüüs,"",S-LDH,S-LDH,,1
Happe-alus tasakaal,"",FiO2,FiO2,,5
Pleuravedeliku erikaal,,PF-SG,PF-SG,-,2
Biokeemia labor,,10512,S1-fT,pmol/l,6
HIV ja hepatiidi uuringud,,1431,HBc IgM(Hepatiit B viiruse tuuma vastaste IgM antikehade uuring),index,7
Viirused ninaneelukaapest PCR-meetodil,,Ns-Vir-PCR,Influenza A virus,-,9
Hüübimissüsteemi uuringud,,557,P,%,1
VÄL,,41380,Legionella pneumophila DNA ninaneelus,,1
Nakkushaiguste diagnostika,,1454,Chl. pneumoniae IgG,,1
Punktaadi analüüs,"",PlrF-RBC,PlrF-RBC,,3
Aldosteroon seerumis,,S-Aldo,S-Aldo,pmol/L,16
Uriini uuringud,,2234,Ketokehad,,39
Seente DNA veres,,B-Fungi_DNA,C.parapsilosis,-,6
Hemogramm viieosalise leukogrammiga,,B-CBC-Diff,EO#,10^9/L,15
Seroloogia,,127,HBsA,,1
Hematoloogilised uuringud,,2206,%G(Granulotsüütide protsent),%,22
Angiotensiini konverteeriv ensüüm seerumis,,S2-ACE,S2-ACE,U/l,2
Vere automaatuuring leukogrammita,,B-CBC,MCH pg,pg,246
B hepatiidi viiruse pinnaantigeen,,S-HbsAg,,,4
Mikrobioloogilised uuringud,,573,F- enteroviiru(Entroviirusantigeeni määramine immuunmeetodil),,2
PSA Prostataspetsiifiline antigeen,,S-PSA,Prostataspetsiifiline antigeen,ng/mL,1
Hemogramm leukotsüütide diferentsiaalloendusega (vere automaatuuring 5-osalise leukogrammiga) ja normoblastidega,,B-CBC+Diff+NRBC,LYMPH#,10^9/L,4
LTKH allhanked,,1392,S-Cort(Kortisool),nmol/l,23
FT4,,,,,47
Mikrobioloogia analüüs,AB - Kõhuõõne vedelik,MIKMikroobid,MIK Mikroobid,,2
Välisanalüüsid,,10631,B-HLAB2(Leukotsüütide pinnaretseptor HLA B27),,4
Hematoloogilised ja uriini uuringud,,11101,RB(RBC),10 l,2
Immuunuuringud,,40450,CA 19-9,kU/l,1
Erinevad heintaimed (GX),,,,,2
PAP test,,44079,Eosinofiilid,,1
P-BNP,,,P-BNP,ng/l,7
Mikrobioloogia analüüs,WD - <ANONYM id="4" type="per" morph="_S_ sg n"/>,HLKHulk,HLK Hulk,,4
Hematoloogilised uuringud,,1867,Basofiilid,%,1
Punktaadi analüüs,"",PlrF-Mesoteelrakud,PlrF - Mesoteelrakud,,1
Uriini analüüs,"",,U-Bil Bilirubiin,,11
Hematoloogilised ja uriini uuringud,,11051,Hüaliinsilindri(Hüaliinsilindrid),rakku vaateväljas,8
Uriini uuringud,,1220,Pärmirakud,,82
Mikrobioloogia analüüs,SP - Röga,IMPImipeneem,IMP Imipeneem,,3
Muud uuringud,,3934,Transformatsiooni tsoon,,2
Hematoloogilised ja uriini uuringud,,11113,LYMPH#(LYMPH#),10 l,254
Automaatuuring,,M-Automaatuuring,PLT,10 9 /l,127
Immuunuuringud,,10576,S-fT3(Vaba trijoodtüroniin),pmol/l,38
Uriini sademe mikroskoopia,,U-Sedim,Amorfsed uraadid (U),,17
Mikrobioloogilised uuringud,,61574,Norfloksatsiin(Norfloksatsiin),,6
Hematoloogilised uuringud,,620,7 B-Mono%(Monotsüütide suhtarv),%,1
Mikrobioloogia analüüs,WD - <ANONYM id="7" type="per" morph="_S_ sg n"/>,CIPTsiprofloksatsiin,CIP Tsiprofloksatsiin,,2
C-reaktiivne valk,,S-CRP,S-CRP,mg/l,3975
"Hingamisteede bakterid, PCR, kurgulimast",,Th-Hingamisteede_bakterid-PCR,H. influenzae,-,3
Allergia uuringud,,3621,Kaseiin,,7
Uriini uuringud,,708,U-p(Uriini pH),pH,39
Mikrobioloogia analüüs,BL - <ANONYM id="14" type="per" morph="_S_ sg n"/>,,EPE Ertapeneem,,1
Koprogramm ehk väljaheite lihtuuring,,F-Copro,Neutraalrasv (F),,4
Kliinilise keemia uuringud,,7655,ALAT(Alaniini aminotransferaas seerumis),U/l,18
Happe-alus tasakaal,täisveri,"cBase(Ecf,ox)","cBase(Ecf,ox)",,4
Biokeemia analüüs,"",fS-Crea,fS-Crea,,1
Hematoloogilised uuringud,,629,7 B-Mono#(Monotsüütide arv),/nL,1
Veritsusaeg,,B-Veritsusaeg,Veritsusaeg <ANONYM> järgi,min,36
Kliiniline labor,,43900,Selgu,,94
Mikrobioloogia labor (haigla),,30301,Norfloksatsiin,,1
