analysis_name,t_lyhend,t_nimetus,kasutatav_nimetus,loinc_code,substrate,evidence
"AB0, RhD ja erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga (paneel)","B-ABO-RhD, RBC Ab screen I, II panel","AB0-veregrupp, RhD antigeen ja erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga (paneel)","AB0, RhD ja erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga (paneel)",L-4393,,kasutatav_nimetus
AB0-veregrupp ja RhD antigeen (kinnitav uuring),B-ABO-RhD conf panel,AB0-veregrupp ja RhD antigeen (kinnitav uuring),AB0 ja RhD (kinnitav uuring),34530-6,Bld,t_nimetus
AB0-veregrupp ja RhD antigeen (kontrolluuring),B-AB0-RhD ctrl panel,AB0-veregrupp ja RhD antigeen (kontrolluuring),AB0 ja RhD (kontrolluuring),L-2623,,t_nimetus
"AB0-veregrupp (kontrolluuring, paneel)",B-AB0 ctrl panel,"AB0-veregrupp (kontrolluuring, paneel)","AB0 (kontrolluuring, paneel)",L-4394,,t_nimetus
"AB0-veregrupp, RhD antigeen ja erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga (paneel)","B-ABO-RhD, RBC Ab screen I, II panel","AB0-veregrupp, RhD antigeen ja erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga (paneel)","AB0, RhD ja erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga (paneel)",L-4393,,t_nimetus
"AB0-veregrupp, RhD antigeen ja erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga (paneel)","B-ABO-RhD, RBC Ab screen I, II, III panel","AB0-veregrupp, RhD antigeen ja erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga (paneel)","AB0, RhD, erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga (paneel)",L-3548,,t_nimetus
"AB0-veregrupp, RhD antigeen ja otsene anitglobuliintest lootel (paneel)",B-AB0-RhD-DAT-fetal panel,"AB0-veregrupp, RhD antigeen ja otsene anitglobuliintest lootel (paneel)","AB0, RhD ja DAT paneel lootel",L-4900,,t_nimetus
"AB0-veregrupp, RhD antigeen ja otsene antiglobuliintest vastsündinul (paneel)",B-AB0-RhD-DAT-n panel,"AB0-veregrupp, RhD antigeen ja otsene antiglobuliintest vastsündinul (paneel)","AB0, RhD ja DAT paneel vastsündinul",L-170,,t_nimetus
aB-ABB panel,aB-ABB panel,Happe-aluse tasakaalu uuring arteriaalses veres,Happe-aluse tasakaal arteriaalses veres,24336-0,Bld,t_lyhend
"A-, B-gripi viiruse, RSV, adenoviiruse Ag paneel (ribaanalüüs)","XXX-Influenza A, B, RSV, Adenovirus Ag strip panel","A-, B-gripi viiruse, RS-viiruse, adenoviiruse antigeen täpsustamata materjalis (paneel; ribaanalüüs)","A-, B-gripi viiruse, RSV, adenoviiruse Ag paneel (ribaanalüüs)",L-3016,,kasutatav_nimetus
"A-, B-gripi viiruse, RS-viiruse, adenoviiruse antigeen täpsustamata materjalis (paneel; ribaanalüüs)","XXX-Influenza A, B, RSV, Adenovirus Ag strip panel","A-, B-gripi viiruse, RS-viiruse, adenoviiruse antigeen täpsustamata materjalis (paneel; ribaanalüüs)","A-, B-gripi viiruse, RSV, adenoviiruse Ag paneel (ribaanalüüs)",L-3016,,t_nimetus
Acanthamoeba mikroskoopia (Leishman-Giemsa ja natiiv),XXX-Acanthamoeba-m panel,Acanthamoeba mikroskoopia paneel (Leishman-Giemsa ja natiiv) täpsustamata materjalist,Acanthamoeba mikroskoopia (Leishman-Giemsa ja natiiv),L-3671,,kasutatav_nimetus
Acanthamoeba mikroskoopia paneel (Leishman-Giemsa ja natiiv) täpsustamata materjalist,XXX-Acanthamoeba-m panel,Acanthamoeba mikroskoopia paneel (Leishman-Giemsa ja natiiv) täpsustamata materjalist,Acanthamoeba mikroskoopia (Leishman-Giemsa ja natiiv),L-3671,,t_nimetus
Adalimumab (Humira) ja Adalimumab Ab paneel,"S,P-Adalimumab, Adalimumab Ab panel",Adalimumab ja Adalimumabi-vastased antikehad seerumis/plasmas (paneel),Adalimumab (Humira) ja Adalimumab Ab paneel,L-3640,,kasutatav_nimetus
Adalimumab ja Adalimumabi-vastased antikehad seerumis/plasmas (paneel),"S,P-Adalimumab, Adalimumab Ab panel",Adalimumab ja Adalimumabi-vastased antikehad seerumis/plasmas (paneel),Adalimumab (Humira) ja Adalimumab Ab paneel,L-3640,,t_nimetus
"Adeno-, entero-, metapneumo-, paragripiviiruse RNA/DNA paneel","XXX-Adeno-, entero-, metapneumo-, parainfluenza virus RNA/DNA panel","Adeno-, entero-, metapneumo-, paragripiviiruse RNA/DNA (paneel)","Adeno-, entero-, metapneumo-, paragripiviiruse RNA/DNA paneel",L-4564,,kasutatav_nimetus
"Adeno-, entero-, metapneumo-, paragripiviiruse RNA/DNA (paneel)","XXX-Adeno-, entero-, metapneumo-, parainfluenza virus RNA/DNA panel","Adeno-, entero-, metapneumo-, paragripiviiruse RNA/DNA (paneel)","Adeno-, entero-, metapneumo-, paragripiviiruse RNA/DNA paneel",L-4564,,t_nimetus
"Adenoviiruse 40,41 ja rotaviiruse Ag paneel roojas (ribaanalüüs)","St-Adenovirus 40,41, rotavirus Ag panel strip","Adenoviiruse 40,41 ja rotaviiruse Ag roojas (paneel, ribaanalüüs)","Adenoviiruse 40,41 ja rotaviiruse Ag paneel roojas (ribaanalüüs)",L-4071,,kasutatav_nimetus
"Adenoviiruse 40,41 ja rotaviiruse Ag roojas (paneel, ribaanalüüs)","St-Adenovirus 40,41, rotavirus Ag panel strip","Adenoviiruse 40,41 ja rotaviiruse Ag roojas (paneel, ribaanalüüs)","Adenoviiruse 40,41 ja rotaviiruse Ag paneel roojas (ribaanalüüs)",L-4071,,t_nimetus
"Aflatoksiinid (B1, B2, G1, G2) seerumis (paneel)",S-Aflatoxin panel,"Aflatoksiinid (B1, B2, G1, G2) seerumis (paneel)",Aflatoksiinide paneel,L-5014,,t_nimetus
Aflatoksiinide paneel,S-Aflatoxin panel,"Aflatoksiinid (B1, B2, G1, G2) seerumis (paneel)",Aflatoksiinide paneel,L-5014,,kasutatav_nimetus
"AGA IgA, IgG paneel","S,P-AGA IgAG panel",Gliadiinivastased IgA ja IgG seerumis/plasmas (paneel),"AGA IgA, IgG paneel",57776-7,Bld,kasutatav_nimetus
Ainevahetushäirete sõeluuring uriinis,U-Metobolic disorders screen panel,Ainevahetushäirete sõeluuring uriinis,Ainevahetushäirete sõeluuring uriinis,L-3198,,kasutatav_nimetus
A ja B-gripi viiruse Ag paneel (ribaanalüüs),"XXX-Influenza A,B virus Ag strip panel",A ja B-gripi viiruse antigeen täpsustamata materjalis (paneel; ribaanalüüs),A ja B-gripi viiruse Ag paneel (ribaanalüüs),L-2769,,kasutatav_nimetus
A ja B-gripi viiruse antigeen täpsustamata materjalis (paneel; ribaanalüüs),"XXX-Influenza A,B virus Ag strip panel",A ja B-gripi viiruse antigeen täpsustamata materjalis (paneel; ribaanalüüs),A ja B-gripi viiruse Ag paneel (ribaanalüüs),L-2769,,t_nimetus
Alfa-1-antitrüpsiini puudulikkus (AAT) - SERPINA1 geeni p.E342K ja p.E264V mutatsioonide (Z ja S alleelide) paneel,"B-SERPINA1 p.E342K, p.E264V panel","Alfa-1-antitrüpsiini puudulikkus (AAT) - SERPINA1 geeni p.E342K ja p.E264V mutatsioonid (Z ja S alleelid, paneel)",Alfa-1-antitrüpsiini puudulikkus (AAT) - SERPINA1 geeni p.E342K ja p.E264V mutatsioonide (Z ja S alleelide) paneel,L-1422,,kasutatav_nimetus
"Alfa-1-antitrüpsiini puudulikkus (AAT) - SERPINA1 geeni p.E342K ja p.E264V mutatsioonid (Z ja S alleelid, paneel)","B-SERPINA1 p.E342K, p.E264V panel","Alfa-1-antitrüpsiini puudulikkus (AAT) - SERPINA1 geeni p.E342K ja p.E264V mutatsioonid (Z ja S alleelid, paneel)",Alfa-1-antitrüpsiini puudulikkus (AAT) - SERPINA1 geeni p.E342K ja p.E264V mutatsioonide (Z ja S alleelide) paneel,L-1422,,t_nimetus
Alkoholi mõju pakett,"S,P-Alkoholi mõju pakett",Alkoholi mõju pakett,Alkoholi mõju pakett,L-5222,,kasutatav_nimetus
Alkoholi surrogaadid (glükoolid),"S,P-Alcohol surrogates (G)",Alkoholi surrogaadid (glükoolid) seerumis/plasmas,Alkoholi surrogaadid (glükoolid),L-2867,,kasutatav_nimetus
Alkoholi surrogaadid (glükoolid) seerumis/plasmas,"S,P-Alcohol surrogates (G)",Alkoholi surrogaadid (glükoolid) seerumis/plasmas,Alkoholi surrogaadid (glükoolid),L-2867,,t_nimetus
Alkoholi surrogaadid plasmas,"S,P-Alcohol surrogates",Alkoholi surrogaadid seerumis/plasmas,Alkoholi surrogaadid plasmas,L-3681,,kasutatav_nimetus
Alkoholi surrogaadid seerumis/plasmas,"S,P-Alcohol surrogates",Alkoholi surrogaadid seerumis/plasmas,Alkoholi surrogaadid plasmas,L-3681,,t_nimetus
ALL paneel,Bm-B-ALL panel,Ägeda lümfoidse leukeemia paneel luuüdist,ALL paneel,L-4966,,kasutatav_nimetus
"Aminohapped ja karnitiinid vastündinu vereplekist (sõeluuring, MS/MS)","BS-Amino acids, Carnitines screen panel MS/MS","Aminohapped ja karnitiinid vastündinu vereplekist (sõeluuring, MS/MS)","Aminohapped ja karnitiinid vastündinu vereplekist (sõeluuring, MS/MS)",L-3301,,t_nimetus
"AMPA1, AMPA2 IgG paneel","S,P-AMPA1, AMPA2 IgG panel",AMPA1- ja AMPA2-vastane IgG seerumis/plasmas (paneel),"AMPA1, AMPA2 IgG paneel",L-4542,,kasutatav_nimetus
AMPA1- ja AMPA2-vastane IgG seerumis/plasmas (paneel),"S,P-AMPA1, AMPA2 IgG panel",AMPA1- ja AMPA2-vastane IgG seerumis/plasmas (paneel),"AMPA1, AMPA2 IgG paneel",L-4542,,t_nimetus
ANA IgG paneel (IIF),"S,P-ANA IgG panel IIF","Tuumavastane IgG seerumis/plasmas (paneel, kaudne immunofluorestsents)",ANA IgG paneel (IIF),L-4493,,kasutatav_nimetus
ANCA IgG paneel (ELISA),"S,P-ANCA IgG panel ELISA","Neutrofiilide tsütoplasma vastane IgG seerumis/plasmas (paneel, ELISA)",ANCA IgG paneel (ELISA),L-2727,,kasutatav_nimetus
ANCA IgG paneel (IIF),"S,P-ANCA IgG panel IIF","Neutrofiilide tsütoplasma vastane IgG seerumis/plasmas (paneel, kaudne immunofluorestsents)",ANCA IgG paneel (IIF),L-3174,,kasutatav_nimetus
"ANCA IgG paneel III (cANCA, pANCA)","S,P-ANCA IgG panel III","Neutrofiilide tsütoplasma vastane IgG (cANCA, pANCA) seerumis/plasmas (paneel III)","ANCA IgG paneel III (cANCA, pANCA)",L-4415,,kasutatav_nimetus
Aneemia pakett,"B,S,P-Aneemia pakett",Aneemia pakett,Aneemia pakett,L-3741,,kasutatav_nimetus
Antibiootikumtundlikkuse paneel,Is-Ab panel,Antibiootikumtundlikkuse paneel,Antibiootikumtundlikkuse paneel,29576-6,Isolate,kasutatav_nimetus
aP-Electrolytes panel,aP-Electrolytes panel,"Elektrolüüdid (K, Na, iCa)  arteriaalses plasmas (paneel)","Elektrolüütide (K, Na, iCa) paneel arteriaalses plasmas",L-4049,,t_lyhend
auB-ABB panel,auB-ABB panel,Happe-aluse tasakaalu uuring arteriaalses nabaväädi veres,Happe-aluse tasakaal arteriaalses nabaväädi veres,51974-4,Bld,t_lyhend
Autoimmuunreaktsiooni paneel spermas,Sem-Autoimmune reaction panel,Autoimmuunreaktsioon spermas (paneel),Autoimmuunreaktsiooni paneel spermas,L-2203,,kasutatav_nimetus
Autoimmuunreaktsioon spermas (paneel),Sem-Autoimmune reaction panel,Autoimmuunreaktsioon spermas (paneel),Autoimmuunreaktsiooni paneel spermas,L-2203,,t_nimetus
"Autoimmuunsete entsefaliitidega seotud IgG liikvoris (paneel, kaudne immunofluorestsetns)",CSF-Autoimmune encephalitis IgG panel IIF,"Autoimmuunsete entsefaliitidega seotud IgG liikvoris (paneel, kaudne immunofluorestsetns)",Autoimmuunsete entsefaliitide IgG paneel liikvoris (IIF),L-3061,,t_nimetus
"Autoimmuunsete entsefaliitidega seotud IgG (NMDA, AMPA1, AMPA2, Caspr2, LGI1, GABAR) seerumis/plasmas (paneel II)","S,P-Autoimmune encephalitis IgG panel II","Autoimmuunsete entsefaliitidega seotud IgG (NMDA, AMPA1, AMPA2, Caspr2, LGI1, GABAR) seerumis/plasmas (paneel II)","Autoimmuunsete entsefaliitide IgG paneel II (NMDA, AMPA1, AMPA2, Caspr2, LGI1, GABAR)",L-4819,,t_nimetus
"Autoimmuunsete entsefaliitidega seotud IgG seerumis/plasmas (paneel, kaudne immunofluorestsents)","S,P-Autoimmune encephalitis IgG panel IIF","Autoimmuunsete entsefaliitidega seotud IgG seerumis/plasmas (paneel, kaudne immunofluorestsents)",Autoimmuunsete entsefaliitide IgG paneel (IIF),L-3060,,t_nimetus
Autoimmuunsete entsefaliitide IgG paneel (IIF),"S,P-Autoimmune encephalitis IgG panel IIF","Autoimmuunsete entsefaliitidega seotud IgG seerumis/plasmas (paneel, kaudne immunofluorestsents)",Autoimmuunsete entsefaliitide IgG paneel (IIF),L-3060,,kasutatav_nimetus
"Autoimmuunsete entsefaliitide IgG paneel II (NMDA, AMPA1, AMPA2, Caspr2, LGI1, GABAR)","S,P-Autoimmune encephalitis IgG panel II","Autoimmuunsete entsefaliitidega seotud IgG (NMDA, AMPA1, AMPA2, Caspr2, LGI1, GABAR) seerumis/plasmas (paneel II)","Autoimmuunsete entsefaliitide IgG paneel II (NMDA, AMPA1, AMPA2, Caspr2, LGI1, GABAR)",L-4819,,kasutatav_nimetus
Autoimmuunsete entsefaliitide IgG paneel liikvoris (IIF),CSF-Autoimmune encephalitis IgG panel IIF,"Autoimmuunsete entsefaliitidega seotud IgG liikvoris (paneel, kaudne immunofluorestsetns)",Autoimmuunsete entsefaliitide IgG paneel liikvoris (IIF),L-3061,,kasutatav_nimetus
"Autoimmuunsete müosiitidega seotud IgG (Mi2, Ku, PL7, PL12, Jo1, PM/Scl75, PM/Scl100, EJ, OJ, SRP, Ro52) seerumis/plasmas (paneel)","S,P-Myositis IgG panel","Autoimmuunsete müosiitidega seotud IgG (Mi2, Ku, PL7, PL12, Jo1, PM/Scl75, PM/Scl100, EJ, OJ, SRP, Ro52) seerumis/plasmas (paneel)","Müosiitide IgG paneel (Mi2, Ku, PL7, PL12, Jo1, PM/Scl75, PM/Scl100, EJ, OJ, SRP, Ro52)",L-2939,,t_nimetus
"Autoimmuunsete müosiitidega seotud IgG (Mi2, PL7, PL12, Jo1, EJ, SRP, Ro52, HMGCR, MDA5, TIF1g) seerumis/plasmas (paneel II)","S,P-Myositis IgG panel II","Autoimmuunsete müosiitidega seotud IgG (Mi2, PL7, PL12, Jo1, EJ, SRP, Ro52, HMGCR, MDA5, TIF1g) seerumis/plasmas (paneel II)","Müosiitide IgG paneel II (Mi2, PL7, PL12, Jo1, EJ, SRP, Ro52, HMGCR, MDA5, TIF1g)",L-4173,,t_nimetus
"Autoimmuunsete müosiitidega seotud IgG seerumis/plasmas (paneel, immunoblot)","S,P-Myositis IgG panel IB","Autoimmuunsete müosiitidega seotud IgG seerumis/plasmas (paneel, immunoblot)",Müosiitide IgG paneel (IB),L-3968,,t_nimetus
B-AB0 ctrl panel,B-AB0 ctrl panel,"AB0-veregrupp (kontrolluuring, paneel)","AB0 (kontrolluuring, paneel)",L-4394,,t_lyhend
B-AB0-RhD ctrl panel,B-AB0-RhD ctrl panel,AB0-veregrupp ja RhD antigeen (kontrolluuring),AB0 ja RhD (kontrolluuring),L-2623,,t_lyhend
B-AB0-RhD-DAT-fetal panel,B-AB0-RhD-DAT-fetal panel,"AB0-veregrupp, RhD antigeen ja otsene anitglobuliintest lootel (paneel)","AB0, RhD ja DAT paneel lootel",L-4900,,t_lyhend
B-AB0-RhD-DAT-n panel,B-AB0-RhD-DAT-n panel,"AB0-veregrupp, RhD antigeen ja otsene antiglobuliintest vastsündinul (paneel)","AB0, RhD ja DAT paneel vastsündinul",L-170,,t_lyhend
B-AB0 subgroups panel,B-AB0 subgroups panel,AB0-alagrupid (paneel),AB0 alagruppide paneel,L-5260,,t_lyhend
B-ABO-RhD conf panel,B-ABO-RhD conf panel,AB0-veregrupp ja RhD antigeen (kinnitav uuring),AB0 ja RhD (kinnitav uuring),34530-6,Bld,t_lyhend
"B-ABO-RhD, RBC Ab screen I, II, III panel","B-ABO-RhD, RBC Ab screen I, II, III panel","AB0-veregrupp, RhD antigeen ja erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga (paneel)","AB0, RhD, erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga (paneel)",L-3548,,t_lyhend
"B-ABO-RhD, RBC Ab screen I, II panel","B-ABO-RhD, RBC Ab screen I, II panel","AB0-veregrupp, RhD antigeen ja erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga (paneel)","AB0, RhD ja erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga (paneel)",L-4393,,t_lyhend
B-Adhesion panel Fc,B-Adhesion panel Fc,"Leukotsüütide adhesioonivõime veres (voolutsütomeetria, paneel)",Leukotsüütide adhesioonivõime paneel (voolutsütomeetria),L-4191,,t_lyhend
Bakteriaalse vaginoosi tekitajate DNA paneel,XXX-Bacterial vaginosis DNA panel,Bakteriaalse vaginoosi tekitajate DNA (paneel),Bakteriaalse vaginoosi tekitajate DNA paneel,L-3002,,kasutatav_nimetus
Bakteriaalse vaginoosi tekitajate DNA (paneel),XXX-Bacterial vaginosis DNA panel,Bakteriaalse vaginoosi tekitajate DNA (paneel),Bakteriaalse vaginoosi tekitajate DNA paneel,L-3002,,t_nimetus
BalF-Diff,BalF-Diff,Bronhoalveolaarloputuse vedeliku tsütogramm,Bronhoalveolaarloputuse vedeliku tsütogramm,L-4576,,t_lyhend
Bartonella Ab paneel,"S,P-Bartonella Ab panel",Bartonella-vastased antikehad seerumis/plasmas (paneel),Bartonella Ab paneel,L-4960,,kasutatav_nimetus
Bartonella henselae Ab paneel,"S,P-B henselae Ab panel",Bartonella henselae vastased antikehad seerumis/plasmas (paneel),Bartonella henselae Ab paneel,L-5227,,kasutatav_nimetus
Bartonella henselae vastased antikehad seerumis/plasmas (paneel),"S,P-B henselae Ab panel",Bartonella henselae vastased antikehad seerumis/plasmas (paneel),Bartonella henselae Ab paneel,L-5227,,t_nimetus
Bartonella-vastased antikehad seerumis/plasmas (paneel),"S,P-Bartonella Ab panel",Bartonella-vastased antikehad seerumis/plasmas (paneel),Bartonella Ab paneel,L-4960,,t_nimetus
B-BRCA1/2 mut panel,B-BRCA1/2 mut panel,Pärilik rinna- ja munasarjavähk - BRCA1 ja BRCA2 geenide mutatsioonid (paneel),Pärilik rinna- ja munasarjavähk - BRCA1 ja BRCA2 geenide mutatsioonide paneel,L-2566,,t_lyhend
B-CBC,B-CBC,Hemogramm,Hemogramm,58410-2,Bld,t_lyhend
B-CBC-3Diff,B-CBC-3Diff,Hemogramm kolmeosalise leukogrammiga,Hemogramm 3-osalise leukogrammiga,L-2124,,t_lyhend
B-CBC-5Diff,B-CBC-5Diff,Hemogramm viieosalise leukogrammiga,Hemogramm 5-osalise leukogrammiga,57021-8,Bld,t_lyhend
B-CBC-5Diff-NRBC,B-CBC-5Diff-NRBC,Hemogramm viieosalise leukogrammi ja normoblastidega,Hemogramm 5-osalise leukogrammi ja normoblastidega,L-1950,,t_lyhend
B-CBC-5Diff-NRBC-Ret,B-CBC-5Diff-NRBC-Ret,"Hemogramm viieosalise leukogrammi, normoblastide ja retikulotsüütidega","Hemogramm 5-osalise leukogrammi, normoblastide ja retikulotsüütidega",L-1949,,t_lyhend
"B-CCR5del32, CCR2 p.V64I panel","B-CCR5del32, CCR2 p.V64I panel",Kemokiinretseptorite CCR5del32 ja CCR2 p.V64I geenivariandid (paneel),Kemokiinretseptorite CCR5del32 ja CCR2 p.V64I geenivariantide paneel,L-2746,,t_lyhend
B-CD20 panel,B-CD20 panel,B-lümfotsüütide (CD20) arv ja suhtarv (paneel),CD20 paneel,L-3647,,t_lyhend
B-CD4/CD8 panel,B-CD4/CD8 panel,T-helperrakkude (CD4) ja T-supressorrakkude (CD8) suhe seerumis (paneel),CD4/CD8 T-rakkude arv ja suhe (paneel),L-2945,,t_lyhend
"B-CFTR p.F508del, 394delTT, IVS8 5T/7T/9T panel","B-CFTR p.F508del, 394delTT, IVS8 5T/7T/9T panel","Kaasasündinud bilateraalne vas deferensi puudumine (CBAVD) - CFTR geeni p.F508del, 394delTT, IVS8 5T/7T/9T mutatsioonid (paneel)","Kaasasündinud bilateraalne vas deferensi puudumine (CBAVD) - CFTR geeni p.F508del, 394delTT, IVS8 5T/7T/9T mutatsioonide paneel",L-1395,,t_lyhend
"B-CFTR p.F508del, 394delTT panel","B-CFTR p.F508del, 394delTT panel",Tsüstiline fibroos (CF) - CFTR geeni p.F508del ja 394delTT mutatsioonid (paneel),Tsüstiline fibroos (CF) - CFTR geeni p.F508del ja 394delTT mutatsioonide paneel,L-2747,,t_lyhend
B-CLL panel FISH,B-CLL panel FISH,Kroonilise lümfoleukeemia paneel verest (FISH),KLL paneel (FISH),L-4563,,t_lyhend
B-Coeliac panel,B-Coeliac panel,Tsöliaakia - HLA antigeenid (paneel),Tsöliaakia - HLA antigeenide paneel,L-2972,,t_lyhend
B-DAT typ panel,B-DAT typ panel,"Otsene antiglobuliintest (tüpiseerimine, paneel)",DAT tüpiseerimise paneel,L-5209,,t_lyhend
Beetaamüloidide paneel liikvoris,CSF-Beta amyloid panel,Beetaamüloidid liikvoris (paneel),Beetaamüloidide paneel liikvoris,L-5263,,kasutatav_nimetus
Beetaamüloidid liikvoris (paneel),CSF-Beta amyloid panel,Beetaamüloidid liikvoris (paneel),Beetaamüloidide paneel liikvoris,L-5263,,t_nimetus
"B-FLG c.1501C>T, c.2282-2285del panel","B-FLG c.1501C>T, c.2282-2285del panel",Ihtüoos - FLG geeni c.1501C>T ja c.2282-2285del mutatsioonid (paneel),Ihtüoos - FLG geeni c.1501C>T ja c.2282-2285del mutatsioonide paneel,L-5037,,t_lyhend
"B-FLT3 D835, ITD DNA panel","B-FLT3 D835, ITD DNA panel",FLT3 geeni D835 mutatsiooni ja sisemiste tandemduplikatsioonide DNA veres (paneel),"FLT3 D835, ITD DNA paneel",L-1185,,t_lyhend
"B-FVL, PT c.*20210G>A panel","B-FVL, PT c.*20210G>A panel",Trombofiilia - V faktori geeni Leideni ja protrombiini geeni c.*20210G>A mutatsioonid (paneel),Trombofiilia - V faktori geeni Leideni ja protrombiini geeni c.*20210G>A mutatsioonide paneel,L-2745,,t_lyhend
B-HbA1c panel,B-HbA1c panel,Glükohemoglobiin veres (paneel),HbA1c paneel,L-3757,,t_lyhend
B-HbA1c POCT panel,B-HbA1c POCT panel,Glükohemoglobiin veres POCT (paneel),HbA1c POCT paneel,L-3760,,t_lyhend
"B-HbF, Hb panel","B-HbF, Hb panel",Fetaalne hemoglobiin ja hemoglobiin looteveres (paneel),"HbF, Hb paneel",L-4502,,t_lyhend
B-Hb-Fr panel,B-Hb-Fr panel,Hemoglobiini fraktsioonid veres (paneel),Hemoglobiini fraktsioonide paneel,43113-0,Bld,t_lyhend
"B-HFE p.C282Y, p.H63D panel","B-HFE p.C282Y, p.H63D panel",Pärilik hemokromatoos - HFE geeni p.C282Y ja p.H63D mutatsioonid (paneel),Pärilik hemokromatoos - HFE geeni p.C282Y ja p.H63D mutatsioonide paneel,L-1403,,t_lyhend
B-HLA DNA donor panel,B-HLA DNA donor panel,HLA esmane tüpiseerimine sugulasdoonorile (paneel),HLA esmane tüpiseerimine sugulasdoonorile,L-3875,,t_lyhend
B-HLA DNA haplo donor panel,B-HLA DNA haplo donor panel,HLA esmane tüpiseerimine haploidentsele sugulasdoonorile (paneel),HLA esmane tüpiseerimine haploidentsele sugulasdoonorile,L-5341,,t_lyhend
B-HLA DNA panel II SCT,B-HLA DNA panel II SCT,"HLA alleelid tüviraku siirdamiseks (korduv tüpiseerimine, paneel)",HLA korduv tüpiseerimine tüviraku siirdamiseks,L-3454,,t_lyhend
"B-HLA DNA panel I SCT, recipient","B-HLA DNA panel I SCT, recipient","HLA alleelid tüviraku retsipiendile (esmane tüpiseerimine, paneel)",HLA esmane tüpiseerimine tüviraku retsipiendile,L-3453,,t_lyhend
B-HLA DNA panel SCR,B-HLA DNA panel SCR,HLA alleelid (kõrglahutusega; 4 kohta) tüviraku registri doonorile (paneel),HLA tüpiseerimine tüviraku registri doonorile (paneel),L-2852,,t_lyhend
B-IL28B panel,B-IL28B panel,Interleukiin 28B geenivariandid (paneel),IL28B paneel,L-4183,,t_lyhend
Biokeemiliste analüüside paneel seminaalplasmas,SemP-Biochem panel,"Biokeemiliste analüüside paneel seminaalplasmas (tsink, fruktoos, alfaglükosidaas)",Biokeemiliste analüüside paneel seminaalplasmas,L-3878,,kasutatav_nimetus
