parameter_name,t_lyhend,loinc_code,substrate,evidence
Alb - Albumiin Seerumis,"S,P-Alb",61151-7,Ser/Plas,latest_completely_manual_cases
Albumiin,"S,P-Alb",61151-7,Ser/Plas,latest_name_cases
Albumiini ja kr,U-Alb/U-Crea,30000-4,Urine,latest_completely_manual_cases
Albumiini ja kreatin,U-Alb/U-Crea,30000-4,Urine,latest_completely_manual_cases
Albumiini ja kreatiniini,U-Alb/U-Crea,30000-4,Urine,latest_completely_manual_cases
Albumiini ja kreatiniini suhe,U-Alb/U-Crea,30000-4,Urine,latest_completely_manual_cases
Albumiini Ja Kreatiniini Suhe Uriinis,U-Alb/U-Crea,30000-4,Urine,latest_completely_manual_cases
Albumiini-Kreatiniini Suhe Uriinis,U-Alb/U-Crea,30000-4,Urine,latest_completely_manual_cases
Albumiini/Kreatiniini Suhe Uriinis,U-Alb/U-Crea,30000-4,Urine,latest_completely_manual_cases
Albumiin/Kreatiniin,U-Alb/U-Crea,30000-4,Urine,latest_completely_manual_cases
Albumiin/kreatiniin uriin,U-Alb/U-Crea,30000-4,Urine,latest_completely_manual_cases
Albumiin/Kreatiniin Uriinis,U-Alb/U-Crea,30000-4,Urine,latest_completely_manual_cases
Albumiin (Kõrgtundlik),"S,P-Alb-hs",1751-7,Ser/Plas,latest_completely_manual_cases
Albumiin Liikvoris,CSF-Alb,1746-7,CSF,latest_completely_manual_cases
Albumiin Plasmas,"S,P-Alb",61151-7,Ser/Plas,latest_completely_manual_cases
Albumiin_plasmas,"S,P-Alb",61151-7,Ser/Plas,latest_completely_manual_cases
Albumiin Seerum,"S,P-Alb",61151-7,Ser/Plas,latest_completely_manual_cases
Albumiin seerumis,"S,P-Alb",61151-7,Ser/Plas,latest_completely_manual_cases
Albumiin_seerumis,"S,P-Alb",61151-7,Ser/Plas,latest_completely_manual_cases
Albumiin Seerumis/Plasmas,"S,P-Alb",61151-7,Ser/Plas,latest_completely_manual_cases
Albumiin uriini,U-Alb,14957-5,Urine,latest_completely_manual_cases
Albumiin Uriinis,U-Alb,14957-5,Urine,latest_completely_manual_cases
Albumiin Uriinis ( Mikroalbumiin ),U-Alb,14957-5,Urine,latest_completely_manual_cases
Albumiin Ööpäevases Uriinis,dU-Alb,14956-7,Urine,latest_completely_manual_cases
Albuminurinis,U-Alb,14957-5,Urine,latest_completely_manual_cases
Albummiin Urin,U-Alb,14957-5,Urine,latest_completely_manual_cases
Aluseline fosfataas,"S,P-ALP",6768-6,Ser/Plas,latest_name_cases
Amikatsiin(Amikatsiin),Is-Amikacin,18860-7,Isolate,latest_parentheses_one_cases
Amoksitsilliin+klavulaanhape(Amoksitsilliin+klavulaanhape),Is-Amoxicillin+Clavulanate,18862-3,Isolate,latest_parentheses_one_cases
Ampitsillii(Ampitsilliin),Is-Ampicillin,18864-9,Isolate,latest_parentheses_two_cases
Ampitsilliin(Ampitsilliin),Is-Ampicillin,18864-9,Isolate,latest_parentheses_one_cases
Ampitsilliin+sulbaktaa(Ampitsilliin+sulbaktaam),Is-Ampicillin+Sulbactam,18865-6,Isolate,latest_parentheses_two_cases
Ampitsilliin+sulbaktaam(Ampitsilliin+sulbaktaam),Is-Ampicillin+Sulbactam,18865-6,Isolate,latest_parentheses_one_cases
Amulaa(Amulaas uriinis),U-Amyl,1799-6,Urine,latest_parentheses_two_cases
Amulaas(Amulaas uriinis),"S,P-Amyl",1798-8,Ser/Plas,latest_parentheses_one_cases
Angiotensiinikonv.ens.(ACE),"S,P-ACE",2742-5,Ser/Plas,latest_parentheses_two_cases
Angiotensiini konverteeriv ensuum (ACE),"S,P-ACE",2742-5,Ser/Plas,latest_parentheses_two_cases
Antistreptolusiin O,"S,P-ASO",5370-2,Bld,latest_name_cases
aP-K,aP-K,2823-3,Ser/Plas,manual
aP-Lac,aP-Lac,32132-3,Ser/Plas,manual
aP-Na,aP-Na,2951-2,Ser/Plas,manual
APTT(Aktiveeritud osalise tromboplastiini aeg),P-APTT,14979-9,PPP,latest_parentheses_one_cases
ASAT Aspartaadi aminotransferaas,"S,P-ASAT",1920-8,Ser/Plas,latest_manual_cases
ASAT Aspartaadi aminotransferaas plasmas,"S,P-ASAT",1920-8,Ser/Plas,latest_manual_cases
Asitromutsii(Asitromutsiin),Is-Azithromycin,18866-4,Isolate,latest_parentheses_two_cases
Asitromutsiin(Asitromutsiin),Is-Azithromycin,18866-4,Isolate,latest_parentheses_one_cases
Aspartaadi aminotransferaas,"S,P-ASAT",1920-8,Ser/Plas,latest_name_cases
B12(Vitamiin B12),"S,P-Vit B12",14685-2,Bld,latest_parentheses_two_cases
B1-A3Diff,B-CBC-3Diff,L-2124,,latest_completely_manual_cases
B-A3Diff,B-CBC-3Diff,L-2124,,latest_completely_manual_cases
BASO#,B-Baso#,704-7,Bld,latest_prefix_cases
BASO%,B-Baso%,706-2,Bld,latest_prefix_cases
BASO%(BASO%),B-Baso%,706-2,Bld,latest_parentheses_one_cases
BASO Basofiilide absoluutarv,B-Baso#,704-7,Bld,latest_manual_cases
BASO% Basofiilide suhtarv,B-Baso%,706-2,Bld,latest_manual_cases
BASO%_Basofiilide_suhtarv,B-Baso%,706-2,Bld,latest_completely_manual_cases
BASO(Basofiilid protsent)%,B-Baso%,706-2,Bld,latest_parentheses_one_cases
Basofiilid,B-Basofiilid %,30180-4,Bld,latest_prefix_cases
 B-Baso#(Basofiilide arv),B-Baso#,704-7,Bld,latest_parentheses_one_cases
B-Baso(Basofiilide arv),B-Baso#,704-7,Bld,latest_parentheses_one_cases
B-Baso#(Basofiilide arv),B-Baso#,704-7,Bld,latest_parentheses_one_cases
b-BASO#(basofiilidearv),B-Baso#,704-7,Bld,latest_prefix_cases
 B-Baso%(Basofiilide suhtarv),B-Baso%,706-2,Bld,latest_parentheses_one_cases
B-Baso(Basofiilide suhtarv),B-Baso%,706-2,Bld,latest_parentheses_one_cases
B-Baso%(Basofiilide suhtarv),B-Baso%,706-2,Bld,latest_parentheses_one_cases
b-BASO%(basofiilidesuhtarv),B-Baso%,706-2,Bld,latest_prefix_cases
B-Basof??????lid_%,B-Baso%,706-2,Bld,latest_manual_cases
B-Basof????lid_%,B-Baso%,706-2,Bld,latest_completely_manual_cases
b-cbc,B-CBC,58410-2,Bld,latest_name_cases
B-C(Kloriid),"S,P-Cl",2075-0,Ser/Plas,latest_parentheses_two_cases
B-Cl(Kloriid),"S,P-Cl",2075-0,Ser/Plas,latest_parentheses_two_cases
B-Cl(kloriid),"S,P-Cl",2075-0,Ser/Plas,latest_parentheses_two_cases
B-CyA(Tsuklosporiin),B-CyA,3520-4,Bld,latest_parentheses_one_cases
B-CyA(tsuklosporiinA),B-CyA,3520-4,Bld,latest_parentheses_one_cases
B-Diff-LYMPH-arv,B-Lymph#,731-0,Bld,latest_manual_cases
 B-Eo#(Eosinofiilide arv),B-Eo#,711-2,Bld,latest_parentheses_one_cases
B-Eo(Eosinofiilide arv),B-Eo#,711-2,Bld,latest_parentheses_one_cases
B-Eo#(Eosinofiilide arv),B-Eo#,711-2,Bld,latest_parentheses_one_cases
b-EO#(eosinofiilidearv),B-Eo#,711-2,Bld,latest_prefix_cases
 B-Eo%(Eosinofiilide suhtarv),B-Eo%,713-8,Bld,latest_parentheses_one_cases
B-Eo(Eosinofiilide suhtarv),B-Eo%,713-8,Bld,latest_parentheses_one_cases
B-Eo%(Eosinofiilide suhtarv),B-Eo%,713-8,Bld,latest_parentheses_one_cases
b-EO%(eosinofiilidesuhtarv),B-Eo%,713-8,Bld,latest_prefix_cases
B-ES(Erutrotsuutide settekiirus),B-ESR,4537-7,Bld,latest_parentheses_two_cases
b-esr,B-ESR,4537-7,Bld,latest_name_cases
B-ESR(Erutrotsuutide settekiirus),B-ESR,4537-7,Bld,latest_parentheses_one_cases
b-ESR(Erutrotsuutide settekiirus),B-ESR,4537-7,Bld,latest_parentheses_one_cases
 B-GR%(Granulotsuutide protsent),B-Gran%,19023-1,Bld,latest_parentheses_two_cases
B-GR-(Granulotsuutide protsent),B-Gran%,19023-1,Bld,latest_parentheses_two_cases
B-GR%(Granulotsuutide protsent),B-Gran%,19023-1,Bld,latest_parentheses_two_cases
B-HbA1c(glukohemoglobiin),B-HbA1c,4548-4,Bld,latest_parentheses_one_cases
 B-Hb(Hemoglobiin veres),B-Hb,718-7,Bld,latest_parentheses_one_cases
B-Hb(Hemoglobiin veres),B-Hb,718-7,Bld,latest_parentheses_one_cases
B-Hc(Hematokrit),B-Hct,4544-3,Bld,latest_parentheses_two_cases
 B-Hct(Hematokrit),B-Hct,4544-3,Bld,latest_parentheses_one_cases
B-Hct(Hematokrit),B-Hct,4544-3,Bld,latest_parentheses_one_cases
b-HCT(hematokrit),B-Hct,4544-3,Bld,latest_prefix_cases
 B-Hct(Hematokritt),B-Hct,4544-3,Bld,latest_parentheses_one_cases
B-Hct(Hematokritt),B-Hct,4544-3,Bld,latest_parentheses_one_cases
B-Hemo,B-Smear-m panel,L-42,,latest_completely_manual_cases
B-HGB,B-Hb,718-7,Bld,latest_manual_cases
b-HGB(hemoglobiin),B-Hb,718-7,Bld,latest_parentheses_two_cases
 B-Hgb(Hemoglobiin veres),B-Hb,718-7,Bld,latest_parentheses_two_cases
B-Hgb(Hemoglobiin veres),B-Hb,718-7,Bld,latest_parentheses_two_cases
b-HGB(Hemoglobiin veres),B-Hb,718-7,Bld,latest_parentheses_two_cases
B-Hg(Hemoglobiin veres),B-Hb,718-7,Bld,latest_parentheses_two_cases
b-HG(Hemoglobiin veres),B-Hb,718-7,Bld,latest_prefix_cases
B-H(Hemoglobiin veres),B-Hb,718-7,Bld,latest_parentheses_two_cases
b-hla-b*27dna,B-HLA-B*27 DNA,26043-0,Bld,latest_name_cases
B-IG#(Ebak???psete granulots??????tide arv),B-IG#,51584-1,Bld,latest_parentheses_one_cases
B-IG%(Ebak???psete granulots??????tide suhtarv),B-IG%,38518-7,Bld,latest_parentheses_one_cases
b-IG(Ebakupsed granulotsuudid),B-IG#,51584-1,Bld,latest_prefix_cases
 B-IG#(Ebakupsete granulotsuutide arv),B-IG#,51584-1,Bld,latest_parentheses_one_cases
B-IG(Ebakupsete granulotsuutide arv),B-IG#,51584-1,Bld,latest_parentheses_one_cases
B-IG#(Ebakupsete granulotsuutide arv),B-IG#,51584-1,Bld,latest_parentheses_one_cases
b-IG(Ebakupsete granulotsuutide arv),B-IG#,51584-1,Bld,latest_parentheses_one_cases
 B-IG%(Ebakupsete granulotsuutide suhtarv),B-IG%,38518-7,Bld,latest_parentheses_one_cases
B-IG(Ebakupsete granulotsuutide suhtarv),B-IG%,38518-7,Bld,latest_parentheses_one_cases
B-IG%(Ebakupsete granulotsuutide suhtarv),B-IG%,38518-7,Bld,latest_parentheses_one_cases
b-IG%(Ebakupsete granulotsuutide suhtarv),B-IG%,38518-7,Bld,latest_prefix_cases
b-IG%(Ebakups.granulotsuutide %),B-IG%,38518-7,Bld,latest_parentheses_one_cases
Bilirubii(Bilirubiin),U-Bil strip,41016-7,Urine,latest_parentheses_two_cases
Bilirubiin(Bilirubiin),U-Bil strip,41016-7,Urine,latest_parentheses_one_cases
Bilirubiin konjugeeritud,"S,P-Bil-conj",14629-0,Ser/Plas,latest_name_cases
B-IR(Ebakupsete retikulotsuutide fraktsioon),B-IRF,33516-6,Bld,latest_parentheses_two_cases
B-IRF(Ebakupsete retikulotsuutide fraktsioon),B-IRF,33516-6,Bld,latest_parentheses_one_cases
B-K(Kaalium),B-K,75940-7,Bld,latest_parentheses_one_cases
B-Lymph#(L???mfots??????tide arv),B-Lymph#,731-0,Bld,latest_parentheses_one_cases
B-Lymph%(L???mfots??????tide suhtarv),B-Lymph%,736-9,Bld,latest_parentheses_one_cases
 B-Lymph#(Lumfotsuutide arv),B-Lymph#,731-0,Bld,latest_parentheses_one_cases
B-Lymph(Lumfotsuutide arv),B-Lymph#,731-0,Bld,latest_parentheses_one_cases
B-Lymph#(Lumfotsuutide arv),B-Lymph#,731-0,Bld,latest_parentheses_one_cases
 B-Lymph%(Lumfotsuutide suhtarv),B-Lymph%,736-9,Bld,latest_parentheses_one_cases
B-Lymph(Lumfotsuutide suhtarv),B-Lymph%,736-9,Bld,latest_parentheses_one_cases
B-Lymph%(Lumfotsuutide suhtarv),B-Lymph%,736-9,Bld,latest_parentheses_one_cases
B-MC(Erutrotsuutide keskmine maht),B-MCV,787-2,Bld,latest_parentheses_two_cases
B-MCV(Er???trots??????tide keskmine maht),B-MCV,787-2,Bld,latest_parentheses_one_cases
B-MCV(Erutrotsuudi keskmine maht),B-MCV,787-2,Bld,latest_parentheses_one_cases
 B-MCV(Erutrotsuutide keskmine maht),B-MCV,787-2,Bld,latest_parentheses_one_cases
B-MCV(Erutrotsuutide keskmine maht),B-MCV,787-2,Bld,latest_parentheses_one_cases
B-Mn(Mangaan taisveres),B-Mn,5681-2,Bld,latest_parentheses_one_cases
B-Mono#(Monots??????tide arv),B-Mono#,742-7,Bld,latest_parentheses_one_cases
B-Mono%(Monots??????tide suhtarv),B-Mono%,5905-5,Bld,latest_parentheses_one_cases
 B-Mono#(Monotsuutide arv),B-Mono#,742-7,Bld,latest_parentheses_one_cases
B-Mono(Monotsuutide arv),B-Mono#,742-7,Bld,latest_parentheses_one_cases
B-Mono#(Monotsuutide arv),B-Mono#,742-7,Bld,latest_parentheses_one_cases
b-MONO#(monotsuutidearv),B-Mono#,742-7,Bld,latest_parentheses_one_cases
 B-Mono%(Monotsuutide suhtarv),B-Mono%,5905-5,Bld,latest_parentheses_one_cases
B-Mono(Monotsuutide suhtarv),B-Mono%,5905-5,Bld,latest_parentheses_one_cases
B-Mono%(Monotsuutide suhtarv),B-Mono%,5905-5,Bld,latest_parentheses_one_cases
b-MONO%(monotsuutidesuhtarv),B-Mono%,5905-5,Bld,latest_prefix_cases
B-MP(Trombotsuutide keskmine maht),B-MPV,32623-1,Bld,latest_parentheses_two_cases
b-MPV(trombots.keskminemaht),B-MPV,32623-1,Bld,latest_parentheses_one_cases
B-MPV(Trombots??????tide keskmine maht),B-MPV,32623-1,Bld,latest_parentheses_one_cases
 B-MPV(Trombotsuutide keskmine maht),B-MPV,32623-1,Bld,latest_parentheses_one_cases
B-MPV(Trombotsuutide keskmine maht),B-MPV,32623-1,Bld,latest_parentheses_one_cases
B-Na(Naatrium),B-Na,A-3526,,latest_parentheses_one_cases
 B-Neut#(Neutrofiilide arv),B-Neut#,751-8,Bld,latest_parentheses_one_cases
B-Neut(Neutrofiilide arv),B-Neut#,751-8,Bld,latest_parentheses_one_cases
B-Neut#(Neutrofiilide arv),B-Neut#,751-8,Bld,latest_parentheses_one_cases
b-NEUT#(neutrofiilidearv),B-Neut#,751-8,Bld,latest_parentheses_one_cases
 B-Neut%(Neutrofiilide suhtarv),B-Neut%,770-8,Bld,latest_parentheses_one_cases
B-Neut(Neutrofiilide suhtarv),B-Neut%,770-8,Bld,latest_parentheses_one_cases
B-Neut%(Neutrofiilide suhtarv),B-Neut%,770-8,Bld,latest_parentheses_one_cases
b-NEUT%(neutrofiilidesuhtarv),B-Neut%,770-8,Bld,latest_parentheses_one_cases
B-N(Naatrium),"S,P-Na",2951-2,Ser/Plas,latest_parentheses_two_cases
b-NRBC%(normoblastidesuhtarv),B-NRBC%,58413-6,Bld,latest_prefix_cases
"B,P-Cl(kloriid)","S,P-Cl",2075-0,Ser/Plas,latest_parentheses_two_cases
B-PCT(Trombokrit),B-Pct,51637-7,Bld,latest_parentheses_one_cases
b-PCT(trombokrit),B-Pct,51637-7,Bld,latest_parentheses_one_cases
b-PDW(trombotsuutidesuurusjaotuvus),B-PDW,32207-3,Bld,latest_parentheses_one_cases
B-P-LCR,B-LCR,48386-7,Bld,latest_manual_cases
B-P-LC(Trombotsuutide suurte vormide suhtarv),B-LCR,48386-7,Bld,latest_parentheses_two_cases
B-PL(Trombotsuudid),B-Plt,777-3,Bld,latest_parentheses_two_cases
B-Plt(Trombots??????tide arv),B-Plt,777-3,Bld,latest_semimanual_cases
 B-PLT(Trombotsuudid),B-Plt,777-3,Bld,latest_semimanual_cases
B-PLT(Trombotsuudid),B-Plt,777-3,Bld,latest_semimanual_cases
b-PLT(trombotsuudid),B-Plt,777-3,Bld,latest_prefix_cases
 B-Plt(Trombotsuutide arv),B-Plt,777-3,Bld,latest_semimanual_cases
B-Plt(Trombotsuutide arv),B-Plt,777-3,Bld,latest_semimanual_cases
B-PLT(Trombotsuutide uldarv),B-Plt,777-3,Bld,latest_semimanual_cases
B-RBC(Er???trots??????did veres),B-RBC,789-8,Bld,latest_parentheses_one_cases
b-RBC(erutrotsuudid),B-RBC,789-8,Bld,latest_prefix_cases
 B-RBC(Erutrotsuudid veres),B-RBC,789-8,Bld,latest_parentheses_one_cases
B-RBC(Erutrotsuudid veres),B-RBC,789-8,Bld,latest_parentheses_one_cases
b-RBC(Erutrotsuudid veres),B-RBC,789-8,Bld,latest_parentheses_one_cases
b-RDW-CV(erutrotsuutidesuurusjaotuvus),B-RDW-CV,788-0,Bld,latest_parentheses_one_cases
B-RetHb(Retikulotsuutide hemoglobiinisisaldus),B-RetHb,42810-2,Retic,latest_parentheses_one_cases
B-Ret(Retikolotsuutide suhtarv),B-Ret%,17849-1,Bld,latest_parentheses_one_cases
B-Ret(Retikulotsuutide arv),B-Ret#,60474-4,Bld,latest_parentheses_one_cases
B-Ret#(Retikulotsuutide arv),B-Ret#,60474-4,Bld,latest_parentheses_one_cases
b-RET???(retikulotsuutidesuhtarv),B-Ret%,17849-1,Bld,latest_prefix_cases
b-rhfenotype,B-Rh fenotype,10331-7,Bld,latest_name_cases
B-Tbc(Mukobakterite kulv verest),B-Mycobacterium culture,533-0,Bld,latest_parentheses_two_cases
B-WBC(Leukots??????did),B-WBC,6690-2,Bld,latest_parentheses_one_cases
 B-WBC(Leukotsuudid),B-WBC,6690-2,Bld,latest_parentheses_one_cases
B-WBC(Leukotsuudid),B-WBC,6690-2,Bld,latest_parentheses_one_cases
b-WBC(leukotsuudid),B-WBC,6690-2,Bld,latest_parentheses_one_cases
 B-WBC(Leukotsuudid taisverest),B-WBC,6690-2,Bld,latest_parentheses_one_cases
B-WBC(Leukotsuudid taisverest),B-WBC,6690-2,Bld,latest_parentheses_one_cases
b-WBC(Leukotsuudid taisverest),B-WBC,6690-2,Bld,latest_prefix_cases
cB-Gluc-p,fcB-Gluc,14770-2,Bld,latest_manual_cases
Cla Läbipaistvus,,32167-9,Urine,manual
Cm-HPV DNA genot,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Cm-HPV-PCR,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Cm-HPVpos-PCR,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Col Värvus,,5778-6,Urine,manual
C-reaktiivne valk plasmas,"S,P-CRP",1988-5,Ser/Plas,latest_manual_cases
C-reaktiivne valk seerumis/plasmas*,"S,P-CRP",1988-5,Ser/Plas,latest_manual_cases
CSF-Alb(3. Albumiin liikvoris),CSF-Alb,1746-7,CSF,latest_parentheses_one_cases
CSF-Alb(Albumiin liikvoris),CSF-Alb,1746-7,CSF,latest_name_cases
CSF-B burgdorferi IgG(Borrelia burgdorferi vastane IgG liikvoris),CSF-B burgdorferi IgG,22125-9,CSF,latest_parentheses_one_cases
CSF-B burgdorferi IgM(Borrelia burgdorferi vastane IgM liikvoris),CSF-B burgdorferi IgM,22132-5,CSF,latest_parentheses_one_cases
CSF-DiffA(Liikvori tsutoosi uuring analusaatoril),CSF-Diff a,34563-7,CSF,latest_parentheses_one_cases
CSF-Gluc(Glukoos liikvoris),CSF-Gluc,14744-7,CSF,latest_parentheses_one_cases
CSF-Glu(Glukoos liikvoris),CSF-Gluc,14744-7,CSF,latest_parentheses_two_cases
CSF-IgG(3. Immuunglobuliin G liikvoris),CSF-IgG,2464-6,CSF,latest_parentheses_one_cases
CSF-IgG(Immuunglobuliin G liikvoris),CSF-IgG,2464-6,CSF,latest_parentheses_one_cases
CSF-IgG(Immuunoglobuliin G liikvoris),CSF-IgG,2464-6,CSF,latest_parentheses_one_cases
CSF-Lac(Laktaat liikvoris),CSF-Lac,2520-5,CSF,latest_parentheses_one_cases
CSF-La(Laktaat liikvoris),CSF-Lac,2520-5,CSF,latest_parentheses_two_cases
CSF-Prot(3. Valk liikvoris),CSF-Prot,2880-3,CSF,latest_parentheses_one_cases
CSF-Prot(Valk liikvoris),CSF-Prot,2880-3,CSF,latest_parentheses_one_cases
csf-s-igg-ind,CSF-S-IgG-ind,14117-6,Ser+CSF,latest_name_cases
CSF-TBEV IgG(Puukentsefaliidi viiruse vastane IgG liikvoris),CSF-TBEV IgG,69927-2,CSF,latest_parentheses_one_cases
CSF-TBEV IgM(Puukentsefaliidi viiruse vastane IgM liikvoris),CSF-TBEV IgM,69924-9,CSF,latest_parentheses_one_cases
Cx-HPV DNA genot,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Cx-HPV high risk DNA genotüüpide DNA),XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Cx-HPV kõrge riski tüüpide DNA,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
"Cx-HPV kõrge riski tüüpide DNA (HPV-16, 18, 31, 33, 35, 39,",XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Cx-HPV-PCR,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Cx-hrHPV genot,XXX-HPV high risk DNA,49896-4,,latest_manual_cases
Doksutsuklii(Doksutsukliin),Is-Doxycycline,18917-5,Isolate,latest_parentheses_two_cases
Doksutsukliin(Doksutsukliin),Is-Doxycycline,18917-5,Isolate,latest_parentheses_one_cases
dU-ALB(Albumiin ????paevases uriinis),dU-Alb,14956-7,Urine,latest_name_cases
dU-Alb(Albumiin ????paevases uriinis),dU-Alb,14956-7,Urine,latest_parentheses_one_cases
dU-Cort(Kortisool ????paevauriinis),dU-Cort,25884-8,Urine,latest_parentheses_one_cases
dU-Crea(Kreatiniin ????paevases uriinis),dU-Crea,14684-5,Urine,latest_parentheses_one_cases
dU-Creat(Kreatiniin ????paevases uriinis),dU-Crea,14684-5,Urine,latest_parentheses_two_cases
dU-DALA(Delta-amiino-levuliinhape ????paevases uriinis),dU-DALA,25896-2,Urine,latest_name_cases
dU-K(Kaalium ????paevases uriinis),dU-K,2829-0,Urine,latest_parentheses_one_cases
dU-Meta(Metanefriin ????paevauriinis),dU-Meta,19049-6,Urine,latest_parentheses_one_cases
dU-Na(Naatrium ????paevases uriinis),dU-Na,2956-1,Urine,latest_parentheses_one_cases
dU-Normeta(Normetanefriin ????paevauriinis),dU-Normeta,2671-6,Urine,latest_parentheses_one_cases
dU-Prot(Valk),dU-Prot,2889-4,Urine,latest_name_cases
dU-Prot(Valk ????paevases uriinis),dU-Prot,2889-4,Urine,latest_parentheses_one_cases
dU-Prot(valk ????paevases uriinis),dU-Prot,2889-4,Urine,latest_parentheses_one_cases
dU-Pro(valk ????paevases uriinis),dU-Prot,2889-4,Urine,latest_parentheses_two_cases
du-s-crea,dU-S-Crea,2164-2,Urine+Ser/Plas,latest_name_cases
dU-Urea(Uurea ????paevases uriinis),dU-Urea,25550-5,Urine,latest_name_cases
e-GFR,eGFR,33914-3,Ser/Plas,latest_manual_cases
egfr,eGFR,33914-3,Ser/Plas,latest_name_cases
Egfr (Ckd-Epi),eGFR (CKD-EPI),62238-1,Ser/Plas,latest_completely_manual_cases
"Egfr (Crea, Ckd-Epi)",eGFR (CKD-EPI),62238-1,Ser/Plas,latest_completely_manual_cases
"Egfr (Crea, Mdrd)",eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Egfr Hinnanguline Glomerulaarfiltratsiooni Kiirus,eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
eGFR(hinnanguline glomerulaarfiltratsiooni kiirus),eGFR,33914-3,Ser/Plas,latest_name_cases
Egfr (Mdrd),eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
Egfr (Mdrd):,eGFR,33914-3,Ser/Plas,latest_completely_manual_cases
EO#,B-Eo#,711-2,Bld,latest_prefix_cases
EO%,B-Eo%,713-8,Bld,latest_prefix_cases
EO%(EO%),B-Eo%,713-8,Bld,latest_parentheses_one_cases
EO Eosinofiilide absoluutarv,B-Eo#,711-2,Bld,latest_manual_cases
EO% Eosinofiilide suhtarv,B-Eo%,713-8,Bld,latest_manual_cases
EO%_Eosinofiilide_suhtarv,B-Eo%,713-8,Bld,latest_manual_cases
EO(Eosinofiilid protsent)%,B-Eo%,713-8,Bld,latest_parentheses_one_cases
Eosinofiilid,B-Eosinofiilid %,26450-7,Bld,latest_prefix_cases
Erikaa(Erikaal),U-SG strip,53326-5,Urine,latest_parentheses_two_cases
Erikaal(Erikaal),U-SG strip,53326-5,Urine,latest_parentheses_one_cases
Ertapeneem(Ertapeneem),Is-Ertapenem,35802-8,Isolate,latest_parentheses_one_cases
