parameter_unit,parameter_unit_clean,loinc_unit,evidence
OapC,OapC,,
o C,oC,,
o/oo,‰,,
OspC,OspC,,
pH,pH,,
[pH],[pH],,
pM,pM,,
PMÜ/ml,PR/mL,,
PR/mL,PR/mL,,
PR/ml,PR/mL,,
promill,‰,,
pudel,pudel,,
rakku/µL,rakku/µL,,
rakku/µl,r/uL,,
rakku/uL,r/uL,,
rakku/ul,r/uL,,
rakku / vaateväli,r/vv,,
rakku vaateväljas,r/vv,,
rakku/vv,r/vv,,
RASTklass,RASTklass,,
Ratio,suhe,,
ratio,ratio,,
r/µL,r/µL,,
RU,RU,,
RU/mL,RU/mL,,
RU/ml,RU/mL,,
r/vv,r/vv,,
S/CO,S/CO,,
s/co,s/co,,
Suhe(Ratio),suhe,,
s/vv,r/vv,,
tiiter,tiiter,,
{titer},{titer},,
tk/vv,tk/vv,,
ug/dl,ug/dl,,
ug E1/ g faeces,ugE1/ g faeces,,
uIU/mL,uIU/mL,,
ul/ml,uL/mL,,
um/d,um/d,,
µU/ml,uU/mL,,
uU/mL,uU/mL,,
uU/ml,uU/mL,,
valku,valku,,
VE,VE,,
w/h,w/h,,
VIEU/ml,VIEU/mL,,
VMÜ/ mL,VMÜ/mL%,,
vv,vv,,
/vv,/vv,,
v/v,vv,,
x1000/uL,10E3/uL,,
x1000/ul,10E3/uL,,
x10^3 µl,10E3/uL,,
x10^9 l,10E9L,,
x10^9/l,19E9/L,,
x10µl,10uL,,
X 10(sup)9,10000000000,,
x 10x6 rakku/l,10E6r/L,,
μg/g,μg/g,,
μg/L,μg/L,,
μmol/L,μmol/L,,
