parameter_name,t_lyhend,t_nimetus,kasutatav_nimetus,loinc_code,substrate,evidence
1. tüüpi müotooniline düstroofia (MD) - DMPK geeni trinukleotiidsed kordused (fragmentanalüüs),B-DMPK repeats,1. tüüpi müotooniline düstroofia (MD) - DMPK geeni trinukleotiidsed kordused (fragmentanalüüs),1. tüüpi müotooniline düstroofia (MD) - DMPK geeni trinukleotiidsed kordused (fragmentanalüüs),21757-0,Bld,t_nimetus
"1. tüüpi pika QT sündroom - KCNQ1 geeni mutatsioonid 2.-8. ja 13.,15. ja 16. eksonis (sekveneerimine)","B-KCNQ1 ex2-8,13,15-16 seq","1. tüüpi pika QT sündroom - KCNQ1 geeni mutatsioonid 2.-8. ja 13.,15. ja 16. eksonis (sekveneerimine)","1. tüüpi pika QT sündroom - KCNQ1 geeni mutatsioonid 2.-8. ja 13.,15. ja 16. eksonis (sekveneerimine)",43746-7,Bld,kasutatav_nimetus
1. tüüpi spinotserebellaarne ataksia (SCA) - SCA1 geeni trinukleotiidsed kordused (fragmentanalüüs),B-SCA1 repeats,1. tüüpi spinotserebellaarne ataksia (SCA) - SCA1 geeni trinukleotiidsed kordused (fragmentanalüüs),1. tüüpi spinotserebellaarne ataksia (SCA) - SCA1 geeni trinukleotiidsed kordused (fragmentanalüüs),21765-3,Bld,t_nimetus
20:3 omega-6-bishomo-gammalinoleenhape,"S,P-20:3 BHGLA",20:3 omega-6-bishomo-gammalinoleenhape seerumis/plasmas,20:3 omega-6-bishomo-gammalinoleenhape,A-4383,,kasutatav_nimetus
20:3 omega-6-bishomo-gammalinoleenhape seerumis/plasmas,"S,P-20:3 BHGLA",20:3 omega-6-bishomo-gammalinoleenhape seerumis/plasmas,20:3 omega-6-bishomo-gammalinoleenhape,A-4383,,t_nimetus
20:4 oomega-6-arahhidoonhape,"S,P-20:4 AA",20:4 oomega-6-arahhidoonhape seerumis/plasmas,20:4 oomega-6-arahhidoonhape,A-4384,,kasutatav_nimetus
20:4 oomega-6-arahhidoonhape seerumis/plasmas,"S,P-20:4 AA",20:4 oomega-6-arahhidoonhape seerumis/plasmas,20:4 oomega-6-arahhidoonhape,A-4384,,t_nimetus
20:5 oomega-3-eikosapentaeenhape,"S,P-20:5 EPA",20:5 oomega-3-eikosapentaeenhape seerumis/plasmas,20:5 oomega-3-eikosapentaeenhape,A-4380,,kasutatav_nimetus
20:5 oomega-3-eikosapentaeenhape seerumis/plasmas,"S,P-20:5 EPA",20:5 oomega-3-eikosapentaeenhape seerumis/plasmas,20:5 oomega-3-eikosapentaeenhape,A-4380,,t_nimetus
21-hüdroksülaasi IgG,"S,P-21OH IgG",21-hüdroksülaasi vastane IgG seerumis/plasmas,21-hüdroksülaasi IgG,85363-0,Bld,kasutatav_nimetus
21-hüdroksülaasi IgG QN,"S,P-21OH IgG QN",21-hüdroksülaasi vastase IgG hulk seerumis/plasmas,21-hüdroksülaasi IgG QN,17781-6,Bld,kasutatav_nimetus
21-hüdroksülaasi vastane IgG seerumis/plasmas,"S,P-21OH IgG",21-hüdroksülaasi vastane IgG seerumis/plasmas,21-hüdroksülaasi IgG,85363-0,Bld,t_nimetus
21-hüdroksülaasi vastase IgG hulk seerumis/plasmas,"S,P-21OH IgG QN",21-hüdroksülaasi vastase IgG hulk seerumis/plasmas,21-hüdroksülaasi IgG QN,17781-6,Bld,t_nimetus
22:6 oomega-3-dokosaheksaanhape,"S,P-22:6 DHA",22:6 oomega-3-dokosaheksaanhape seerumis/plasmas,22:6 oomega-3-dokosaheksaanhape,A-4381,,kasutatav_nimetus
22:6 oomega-3-dokosaheksaanhape seerumis/plasmas,"S,P-22:6 DHA",22:6 oomega-3-dokosaheksaanhape seerumis/plasmas,22:6 oomega-3-dokosaheksaanhape,A-4381,,t_nimetus
22q12 EWSR1  muutused (FISH),XXX-22q12 EWSR1 break FISH,22q12 EWSR1  muutused (FISH),22q12 EWSR1 muutused (FISH),A-5083,,t_nimetus
22q12 EWSR1 muutused (FISH),XXX-22q12 EWSR1 break FISH,22q12 EWSR1  muutused (FISH),22q12 EWSR1 muutused (FISH),A-5083,,kasutatav_nimetus
"2,4-dinitrofenüülhüdrasiiniga reageerivad ained uriinis",U-DNPH,"2,4-dinitrofenüülhüdrasiiniga reageerivad ained uriinis","2,4-dinitrofenüülhüdrasiini test",9308-8,Urine,t_nimetus
"2,4-dinitrofenüülhüdrasiini test",U-DNPH,"2,4-dinitrofenüülhüdrasiiniga reageerivad ained uriinis","2,4-dinitrofenüülhüdrasiini test",9308-8,Urine,kasutatav_nimetus
2-oksü-3-metüülvaleriaanhape (ketohapete test DNPH-ga),U-2-Oxo-3-Methylvalerate DNPH,"2-oksü-3-metüülvaleriaanhape uriinis (ketohapete test 2,4-dinitrofenüülhüdrasiiniga)",2-oksü-3-metüülvaleriaanhape (ketohapete test DNPH-ga),29864-6,Urine,kasutatav_nimetus
"2-oksü-3-metüülvaleriaanhape uriinis (ketohapete test 2,4-dinitrofenüülhüdrasiiniga)",U-2-Oxo-3-Methylvalerate DNPH,"2-oksü-3-metüülvaleriaanhape uriinis (ketohapete test 2,4-dinitrofenüülhüdrasiiniga)",2-oksü-3-metüülvaleriaanhape (ketohapete test DNPH-ga),29864-6,Urine,t_nimetus
2p23 ALK muutused FISH,Tis-2p23 ALK FISH,2p23 anaplastilise lümfoomi retseptori türosiini kinaasi geeni (ALK) muutused koematerjalis (FISH),2p23 ALK muutused FISH,A-3027,,kasutatav_nimetus
2p23 anaplastilise lümfoomi retseptori türosiini kinaasi geeni (ALK) muutused koematerjalis (FISH),Tis-2p23 ALK FISH,2p23 anaplastilise lümfoomi retseptori türosiini kinaasi geeni (ALK) muutused koematerjalis (FISH),2p23 ALK muutused FISH,A-3027,,t_nimetus
2. tüüpi müotooniline düstroofia (DM2) - CNBP geeni fragmentanalüüs,B-CNBP repeat,2. tüüpi müotooniline düstroofia (DM2) - CNBP geeni fragmentanalüüs,2. tüüpi müotooniline düstroofia (DM2) - CNBP geeni fragmentanalüüs,40871-6,Bld,t_nimetus
2. tüüpi spinotserebellaarne ataksia (SCA) - SCA2 geeni trinukleotiidsed kordused (fragmentanalüüs),B-SCA2 repeats,2. tüüpi spinotserebellaarne ataksia (SCA) - SCA2 geeni trinukleotiidsed kordused (fragmentanalüüs),2. tüüpi spinotserebellaarne ataksia (SCA) - SCA2 geeni trinukleotiidsed kordused (fragmentanalüüs),21766-1,Bld,kasutatav_nimetus
3-O-metüüldopamiin liikvoris,CSF-3-O-Methyldopamine,3-O-metüüldopamiin liikvoris,3-O-metüüldopamiin liikvoris,50139-5,CSF,kasutatav_nimetus
3. tüüpi spinotserebellaarne ataksia (SCA) - SCA3 geeni trinukleotiidsed kordused (fragmentanalüüs),B-SCA3 repeats,3. tüüpi spinotserebellaarne ataksia (SCA) - SCA3 geeni trinukleotiidsed kordused (fragmentanalüüs),3. tüüpi spinotserebellaarne ataksia (SCA) - SCA3 geeni trinukleotiidsed kordused (fragmentanalüüs),21764-6,Bld,t_nimetus
40+ mehe lisapakett,"S,P-40+ mehe lisapakett",40+ mehe lisapakett,40+ mehe lisapakett,L-3540,,kasutatav_nimetus
50+ naise lisapakett,"S,P-50+ naise lisapakett",50+ naise lisapakett,50+ naise lisapakett,L-3539,,t_nimetus
5-Fluorotsütosiin,Is-5-Fluorocytosine,5-Fluorotsütosiin,5-Fluorotsütosiin,18855-7,Isolate,kasutatav_nimetus
5-Fluorotsütosiin Grad,Is-5-Fluorocytosine Grad,5-Fluorotsütosiin Grad,5-Fluorotsütosiin Grad,7014-4,Isolate,t_nimetus
5-fluorouratsiili (5-FU) toksilisus - DPYD geeni IVS14+1G>A mutatsioon,B-DPYD IVS14+1G>A,5-fluorouratsiili (5-FU) toksilisus - DPYD geeni IVS14+1G>A mutatsioon,5-fluorouratsiili (5-FU) toksilisus - DPYD geeni IVS14+1G>A mutatsioon,45284-7,Bld,kasutatav_nimetus
5-HIAA liikvoris,CSF-5-HIAA,5-hüdroksüindooläädikhape liikvoris,5-HIAA liikvoris,47544-2,CSF,kasutatav_nimetus
5-HIAA uriinis,U-5-HIAA,5-hüdroksüindooläädikhape uriinis,5-HIAA uriinis,1694-9,Urine,kasutatav_nimetus
5-HIAA ööpäevases uriinis,dU-5-HIAA,5-hüdroksüindooläädikhape ööpäevases uriinis,5-HIAA ööpäevases uriinis,1695-6,Urine,kasutatav_nimetus
5-hüdroksüindooläädikhape liikvoris,CSF-5-HIAA,5-hüdroksüindooläädikhape liikvoris,5-HIAA liikvoris,47544-2,CSF,t_nimetus
5-hüdroksüindooläädikhape uriinis,U-5-HIAA,5-hüdroksüindooläädikhape uriinis,5-HIAA uriinis,1694-9,Urine,t_nimetus
5-hüdroksüindooläädikhape ööpäevases uriinis,dU-5-HIAA,5-hüdroksüindooläädikhape ööpäevases uriinis,5-HIAA ööpäevases uriinis,1695-6,Urine,t_nimetus
"5. kromosoomi pika õla (q31, q33) deletsioonid (FISH)","XXX-del 5q(q31,q33) FISH","5. kromosoomi pika õla (q31, q33) deletsioonid (FISH)","del 5q(q31,q33) (FISH)",42715-3,Bld,t_nimetus
5-metüültetrahüdrofolaat liikvoris,CSF-5-MTHF,5-metüültetrahüdrofolaat liikvoris,5-metüültetrahüdrofolaat liikvoris,47547-5,CSF,kasutatav_nimetus
5q33 PDGFRB muutused (FISH),XXX-5q33 PDGFRB break FISH,5q33 PDGFRB muutused (FISH),5q33 PDGFRB muutused (FISH),78220-1,Bld,kasutatav_nimetus
6. tüüpi spinotserebellaarne ataksia (SCA) - CACNAIA geeni trinukleotiidsed kordused (fragmentanalüüs),B-SCA6 repeats,6. tüüpi spinotserebellaarne ataksia (SCA) - CACNAIA geeni trinukleotiidsed kordused (fragmentanalüüs),6. tüüpi spinotserebellaarne ataksia (SCA) - CACNAIA geeni trinukleotiidsed kordused (fragmentanalüüs),21755-4,Bld,t_nimetus
"7. kromosoomi pika õla deletsioonid (q22,q36) (FISH)","XXX-del 7q(q22,q36) FISH","7. kromosoomi pika õla deletsioonid (q22,q36) (FISH)","del 7q(q22,q36) (FISH)",42712-0,Bld,t_nimetus
8p12 FGFR1 muutused (FISH),XXX-8p12 FGFR1 break FISH,8p12 FGFR1 muutused (FISH),8p12 FGFR1 muutused (FISH),78915-6,Bld,kasutatav_nimetus
8q24 MYC muutused (FISH),XXX-8q24 MYC break FISH,8q24 MYC muutused (FISH),8q24 MYC muutused (FISH),A-4961,,t_nimetus
9. kromosoomi trisoomia (FISH),XXX-Trisomy 9 FISH,9. kromosoomi trisoomia (FISH),Trisoomia 9 (FISH),21774-5,Bld,t_nimetus
A1 antigeen,B-RBC A1 Ag,A1 antigeen,A1 antigeen,844-1,Bld,t_nimetus
"A-, A(H1N1)-, B-gripi viiruse RNA paneel","XXX-Influenza A, B, A(H1N1) RNA panel","A-, A(H1N1)-, B-gripi viiruse RNA (paneel)","A-, A(H1N1)-, B-gripi viiruse RNA paneel",L-3019,,kasutatav_nimetus
"A-, A(H1N1)-, B-gripi viiruse RNA (paneel)","XXX-Influenza A, B, A(H1N1) RNA panel","A-, A(H1N1)-, B-gripi viiruse RNA (paneel)","A-, A(H1N1)-, B-gripi viiruse RNA paneel",L-3019,,t_nimetus
A alternata IgE,"S,P-m6 IgE",Alternaria alternata vastane IgE seerumis/plasmas,A alternata IgE,6020-2,Bld,kasutatav_nimetus
Aasnurmika õietolmu IgE,"S,P-g8 IgE",Aasnurmika õietolmu vastane IgE seerumis/plasmas,Aasnurmika õietolmu IgE,6153-1,Bld,kasutatav_nimetus
Aasnurmika õietolmu IgG,"S,P-g8 IgG",Aasnurmika õietolmu vastane IgG seerumis/plasmas,Aasnurmika õietolmu IgG,49719-8,Bld,kasutatav_nimetus
Aasnurmika õietolmu IgG4,"S,P-g8 IgG4",Aasnurmika õietolmu vastane IgG4 seerumis/plasmas,Aasnurmika õietolmu IgG4,56296-7,Bld,kasutatav_nimetus
Aasnurmika õietolmu vastane IgE seerumis/plasmas,"S,P-g8 IgE",Aasnurmika õietolmu vastane IgE seerumis/plasmas,Aasnurmika õietolmu IgE,6153-1,Bld,t_nimetus
Aasnurmika õietolmu vastane IgG4 seerumis/plasmas,"S,P-g8 IgG4",Aasnurmika õietolmu vastane IgG4 seerumis/plasmas,Aasnurmika õietolmu IgG4,56296-7,Bld,t_nimetus
Aasnurmika õietolmu vastane IgG seerumis/plasmas,"S,P-g8 IgG",Aasnurmika õietolmu vastane IgG seerumis/plasmas,Aasnurmika õietolmu IgG,49719-8,Bld,t_nimetus
AB0-alagrupid (paneel),B-AB0 subgroups panel,AB0-alagrupid (paneel),AB0 alagruppide paneel,L-5260,,t_nimetus
AB0 alagruppide paneel,B-AB0 subgroups panel,AB0-alagrupid (paneel),AB0 alagruppide paneel,L-5260,,kasutatav_nimetus
AB0 ja RhD (kinnitav uuring),B-ABO-RhD conf panel,AB0-veregrupp ja RhD antigeen (kinnitav uuring),AB0 ja RhD (kinnitav uuring),34530-6,Bld,kasutatav_nimetus
AB0 ja RhD (kontrolluuring),B-AB0-RhD ctrl panel,AB0-veregrupp ja RhD antigeen (kontrolluuring),AB0 ja RhD (kontrolluuring),L-2623,,kasutatav_nimetus
AB0 (kinnitav uuring),B-AB0 conf,AB0-veregrupp (kinnitav uuring),AB0 (kinnitav uuring),57743-7,Bld,kasutatav_nimetus
AB0 (kontrolluuring),B-AB0 ctrl,AB0-veregrupp (kontrolluuring),AB0 (kontrolluuring),883-9,Bld,kasutatav_nimetus
"AB0 (kontrolluuring, paneel)",B-AB0 ctrl panel,"AB0-veregrupp (kontrolluuring, paneel)","AB0 (kontrolluuring, paneel)",L-4394,,kasutatav_nimetus
AB0 lootel,uB-AB0-fetal,AB0-veregrupp lootel,AB0 lootel,51892-8,Bld,kasutatav_nimetus
"AB0, RhD, erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga (paneel)","B-ABO-RhD, RBC Ab screen I, II, III panel","AB0-veregrupp, RhD antigeen ja erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga (paneel)","AB0, RhD, erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga (paneel)",L-3548,,kasutatav_nimetus
"AB0, RhD ja DAT paneel lootel",B-AB0-RhD-DAT-fetal panel,"AB0-veregrupp, RhD antigeen ja otsene anitglobuliintest lootel (paneel)","AB0, RhD ja DAT paneel lootel",L-4900,,kasutatav_nimetus
"AB0, RhD ja DAT paneel vastsündinul",B-AB0-RhD-DAT-n panel,"AB0-veregrupp, RhD antigeen ja otsene antiglobuliintest vastsündinul (paneel)","AB0, RhD ja DAT paneel vastsündinul",L-170,,kasutatav_nimetus
"AB0, RhD ja erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga (paneel)","B-ABO-RhD, RBC Ab screen I, II panel","AB0-veregrupp, RhD antigeen ja erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga (paneel)","AB0, RhD ja erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga (paneel)",L-4393,,kasutatav_nimetus
AB0 vastsündinul,B-AB0-n,AB0-veregrupp vastsündinul,AB0 vastsündinul,14580-5,Bld,kasutatav_nimetus
AB0-veregrupp ja RhD antigeen (kinnitav uuring),B-ABO-RhD conf panel,AB0-veregrupp ja RhD antigeen (kinnitav uuring),AB0 ja RhD (kinnitav uuring),34530-6,Bld,t_nimetus
AB0-veregrupp ja RhD antigeen (kontrolluuring),B-AB0-RhD ctrl panel,AB0-veregrupp ja RhD antigeen (kontrolluuring),AB0 ja RhD (kontrolluuring),L-2623,,t_nimetus
AB0-veregrupp (kinnitav uuring),B-AB0 conf,AB0-veregrupp (kinnitav uuring),AB0 (kinnitav uuring),57743-7,Bld,t_nimetus
AB0-veregrupp (kontrolluuring),B-AB0 ctrl,AB0-veregrupp (kontrolluuring),AB0 (kontrolluuring),883-9,Bld,t_nimetus
"AB0-veregrupp (kontrolluuring, paneel)",B-AB0 ctrl panel,"AB0-veregrupp (kontrolluuring, paneel)","AB0 (kontrolluuring, paneel)",L-4394,,t_nimetus
AB0-veregrupp lootel,uB-AB0-fetal,AB0-veregrupp lootel,AB0 lootel,51892-8,Bld,t_nimetus
"AB0-veregrupp, RhD antigeen ja erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga (paneel)","B-ABO-RhD, RBC Ab screen I, II panel","AB0-veregrupp, RhD antigeen ja erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga (paneel)","AB0, RhD ja erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga (paneel)",L-4393,,t_nimetus
"AB0-veregrupp, RhD antigeen ja erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga (paneel)","B-ABO-RhD, RBC Ab screen I, II, III panel","AB0-veregrupp, RhD antigeen ja erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga (paneel)","AB0, RhD, erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga (paneel)",L-3548,,t_nimetus
"AB0-veregrupp, RhD antigeen ja otsene anitglobuliintest lootel (paneel)",B-AB0-RhD-DAT-fetal panel,"AB0-veregrupp, RhD antigeen ja otsene anitglobuliintest lootel (paneel)","AB0, RhD ja DAT paneel lootel",L-4900,,t_nimetus
"AB0-veregrupp, RhD antigeen ja otsene antiglobuliintest vastsündinul (paneel)",B-AB0-RhD-DAT-n panel,"AB0-veregrupp, RhD antigeen ja otsene antiglobuliintest vastsündinul (paneel)","AB0, RhD ja DAT paneel vastsündinul",L-170,,t_nimetus
AB0-veregrupp vastsündinul,B-AB0-n,AB0-veregrupp vastsündinul,AB0 vastsündinul,14580-5,Bld,t_nimetus
aB-AaDpO2,aB-AaDpO2,Alveolaarse õhu ja arteriaalse vere hapniku osarõhkude vahe,AaDpO2,19991-9,Respiratory system,t_lyhend
aB-AaDpO2 Alveolaarse õhu ja arteriaalse vere hapniku osarõhkude vahe,aB-AaDpO2,Alveolaarse õhu ja arteriaalse vere hapniku osarõhkude vahe,AaDpO2,19991-9,Respiratory system,t_lyhend + t_nimetus
aB-AaDpO2t,aB-AaDpO2t,Alveolaarse õhu ja arteriaalse vere hapniku osarõhkude vahe (kehatemperatuuri järgi kohandatud),AaDpO2 (t),53809-0,Respiratory system,t_lyhend
aB-AaDpO2t Alveolaarse õhu ja arteriaalse vere hapniku osarõhkude vahe (kehatemperatuuri järgi kohandatud),aB-AaDpO2t,Alveolaarse õhu ja arteriaalse vere hapniku osarõhkude vahe (kehatemperatuuri järgi kohandatud),AaDpO2 (t),53809-0,Respiratory system,t_lyhend + t_nimetus
aB-ABB panel,aB-ABB panel,Happe-aluse tasakaalu uuring arteriaalses veres,Happe-aluse tasakaal arteriaalses veres,24336-0,Bld,t_lyhend
aB-ABB panel Happe-aluse tasakaalu uuring arteriaalses veres,aB-ABB panel,Happe-aluse tasakaalu uuring arteriaalses veres,Happe-aluse tasakaal arteriaalses veres,24336-0,Bld,t_lyhend + t_nimetus
Abacavir (gen),P-ABC (gen),Inimese immuunpuudulikkuse viiruse 1. tüübi abakaviir-tundlikkus geneetiliste mutatsioonide alusel,Abacavir (gen),30287-7,Isolate,kasutatav_nimetus
aB-BE,aB-BE,Aluste liig arteriaalses veres,BE,1925-7,Bld,t_lyhend
aB-BE Aluste liig arteriaalses veres,aB-BE,Aluste liig arteriaalses veres,BE,1925-7,Bld,t_lyhend + t_nimetus
aB-BEst,aB-BEst,Aluste liig (standardiseeritud) arteriaalses veres,BE (st),19235-1,Bld,t_lyhend
aB-BEst Aluste liig (standardiseeritud) arteriaalses veres,aB-BEst,Aluste liig (standardiseeritud) arteriaalses veres,BE (st),19235-1,Bld,t_lyhend + t_nimetus
"aB-BEst,ox","aB-BEst,ox","Aluste liig (standardiseeritud, küllastatus hapnikuga 100%) arteriaalses veres","BE (st, sO2 100%)",72721-4,Bld,t_lyhend
"aB-BEst,ox Aluste liig (standardiseeritud, küllastatus hapnikuga 100%) arteriaalses veres","aB-BEst,ox","Aluste liig (standardiseeritud, küllastatus hapnikuga 100%) arteriaalses veres","BE (st, sO2 100%)",72721-4,Bld,t_lyhend + t_nimetus
aB-CO2,aB-CO2,Süsinikdioksiid arteriaalses veres,CO2,41647-9,Bld,t_lyhend
aB-CO2 Süsinikdioksiid arteriaalses veres,aB-CO2,Süsinikdioksiid arteriaalses veres,CO2,41647-9,Bld,t_lyhend + t_nimetus
aB-COHb,aB-COHb,Karboksühemoglobiin arteriaalses veres,COHb,2030-5,Bld,t_lyhend
aB-COHb Karboksühemoglobiin arteriaalses veres,aB-COHb,Karboksühemoglobiin arteriaalses veres,COHb,2030-5,Bld,t_lyhend + t_nimetus
"A-, B-gripi viiruse, RSV, adenoviiruse Ag paneel (ribaanalüüs)","XXX-Influenza A, B, RSV, Adenovirus Ag strip panel","A-, B-gripi viiruse, RS-viiruse, adenoviiruse antigeen täpsustamata materjalis (paneel; ribaanalüüs)","A-, B-gripi viiruse, RSV, adenoviiruse Ag paneel (ribaanalüüs)",L-3016,,kasutatav_nimetus
"A-, B-gripi viiruse, RS-viiruse, adenoviiruse antigeen täpsustamata materjalis (paneel; ribaanalüüs)","XXX-Influenza A, B, RSV, Adenovirus Ag strip panel","A-, B-gripi viiruse, RS-viiruse, adenoviiruse antigeen täpsustamata materjalis (paneel; ribaanalüüs)","A-, B-gripi viiruse, RSV, adenoviiruse Ag paneel (ribaanalüüs)",L-3016,,t_nimetus
aB-MetHb,aB-MetHb,Methemoglobiin arteriaalses veres,MetHb,2615-3,Bld,t_lyhend
aB-MetHb Methemoglobiin arteriaalses veres,aB-MetHb,Methemoglobiin arteriaalses veres,MetHb,2615-3,Bld,t_lyhend + t_nimetus
aB-O2,aB-O2,Hapnik arteriaalses veres,O2,59274-1,Bld,t_lyhend
aB-O2 Hapnik arteriaalses veres,aB-O2,Hapnik arteriaalses veres,O2,59274-1,Bld,t_lyhend + t_nimetus
aB-O2Hb,aB-O2Hb,Oksühemoglobiin arteriaalses veres,Oksühemoglobiin,2714-4,Bld,t_lyhend
aB-O2Hb Oksühemoglobiin arteriaalses veres,aB-O2Hb,Oksühemoglobiin arteriaalses veres,Oksühemoglobiin,2714-4,Bld,t_lyhend + t_nimetus
aB-p50,aB-p50,Hapniku osarõhk (küllastatus hapnikuga 50%) arteriaalses veres,pO2 (sO2 50%),19214-6,Bld,t_lyhend
aB-p50 Hapniku osarõhk (küllastatus hapnikuga 50%) arteriaalses veres,aB-p50,Hapniku osarõhk (küllastatus hapnikuga 50%) arteriaalses veres,pO2 (sO2 50%),19214-6,Bld,t_lyhend + t_nimetus
aB-pCO2,aB-pCO2,Süsinikdioksiidi osarõhk arteriaalses veres,pCO2,2019-8,Bld,t_lyhend
