,analysis_name,system_type
438,Riisivastane IgE,blood
440,Hemogramm viieosalise leukogrammiga ja normoblastidega,blood
445,B-hepatiidi viiruse pinna antigeeni vastane antikeha,blood
446,Soja vastane IgE seerumis,blood
453,Biokeemia labor (haigla),blood
454,"Toiduallergeenide (paneel 1: maa-, sarapuu-, para-, kookospähkel, mandel) vastane IgE",blood
463,fS-HDL-Chol,blood
464,Chlamydophila pneumoniae vastased IgA antikehad,blood
479,Valproaat seerumis,blood
480,"S,P-IgA",blood
497,Rukki vastane IgE seerumis,blood
506,VIII faktor,blood
512,"Toiduallergeenide (paneel 3: nisu, kaer, mais, tatar, seesamiseemned) vastane IgE",blood
517,Troponiin T (kardiaalne) seerumis,blood
519,S-HBsAg,blood
524,Lamotrigiin seerumis,blood
525,Allergeenspetsiifilised IgE antikehad seerumis,blood
531,"Allergiapaneel, spetsiifiliste IgE tüüpi antikehade määramine (immunoblot), vereseerumist",blood
535,Inhaleeritud allergeenispetsiifilised IgE antikehad seerumis,blood
539,Immuunglobuliin G indeks,blood
558,Otsene antiglobuliintest (tüpiseerimine),blood
559,Fibriini D-dimeerid plasmas,blood
560,"Bilirubiin, üldine",blood
562,HIV-1 antiretroviirusravimite genotüüpilise resistentsuse uuring verest,blood
568,Borrelia burgdorferii vastased IgG antikehad (immunoblot),blood
571,Neutrofiilide tsütoplasma vastased antikehad,blood
572,Tsüklilise tsitrulleeritud peptiidi vastane IgG,blood
573,Herpes simplex viiruse 1 ja 2 IgM tüüpi antikehad,blood
576,patol.täisveri,blood
580,Süsteemse skleroosi antigeenide vastane IgG seerumis,blood
586,Immunoloogilised uuringud,blood
591,Chlamydophila pneumoniae vastane IgG seerumis,blood
593,Ektsraheeritavate tuuma- ja tsütoplasmaantigeenide vastased antikehad seerumis,blood
599,"Maksa autoimmuunhaigustega seotud autoantikehade uuring seerumist IF meetodil (ANA, AMA, ASMA,LKMA)",blood
603,"Epidermaalsete allergeenide (paneel 1: kassi epiteel ja kõõm, koera, hobuse, lehma kõõm) vastane IgE",blood
604,glükoos seerumis/plasmas,blood
610,B-tüüpi natriureetiline N-terminaalne propeptiid seerumis,blood
618,Kasvaja-antigeen CA 125,blood
620,Üksikallergeeni f245( MUNA) vastased IgE antikehad seerumis,blood
621,Etanool,blood
630,Erinevad laboratoorsed uuringud,blood
631,Türeotropiini retseptori vastane IgG seerumis,blood
636,Interleukiin-6,blood
639,"Hepatiit B viiruse pinnaantigeeni vastased antikehad, kvantitatiivne",blood
657,Tsütomegaloviirusevastased IgM-antikehad,blood
659,Hematoloogia,blood
662,Parathormoon,blood
673,Neuronaalsete antigeenide vastane IgG seerumis,blood
674,Tsüklilise tsitrulliinitud peptiidi vastased antikehad,blood
684,Magneesium,blood
695,Üksikallergeeni g6 (timut) vastased IgE antikehad seerumis,blood
698,Vere automaatuuring 5-osalise leukogramm,blood
706,Tseruloplasmiin seerumis,blood
710,Hüübimissüsteemi uuringud,blood
726,"Hemogramm viieosalise leukogrammiga, normoblastidega ja retikulotsüütidega",blood
739,Automaatuuring 3 osalise leukogrammiga (polikliinik),blood
740,Türeotropiin ehk kilpnääret stimuleeriv hormoon,blood
741,Üksikallergeeni e1 (kass) vastased IgE antikehad seerumis,blood
745,Bordetella pertussis vastane IgM,blood
746,Follitropiin ehk folliikuleid stimuleeriv hormoon seerumis (ELFA),blood
747,DNA kaksikahela vastane IgG seerumis,blood
752,Foolhape seerumis/plasmas,blood
753,Suguhormoone siduv globuliin,blood
757,Kreatiini kinaas,blood
758,Aluseline fosfataas,blood
764,Hemogramm leukotsüütide diferentsiaalloendusega (vere automaatuuring 5-osalise leukogrammiga),blood
767,"Rakupinnamarkerite immunofenotüpeerimine, verest",blood
770,Automaat uuring 3 osalise leukogrammiga,blood
771,Gram-positiivsete bakterite DNA veres,blood
776,Erlichia vastased IgM antikehad,blood
779,Gram-negatiivsete bakterite DNA veres,blood
781,Tsütomegaloviiruse DNA veres,blood
796,Hematoloogilised ja uriini uuringud,blood
800,"Hemogramm, (mikroskoopia)",blood
801,20 inhalatsiooniallergeeni,blood
804,Borrelia WB IgM kinnitav test seerumis,blood
807,Kasvajaantigeen CA 72-4,blood
834,Bordetella pertussise vastased IgG-antikehad,blood
837,"S,P-Glükoos",blood
838,B-autom5diff,blood
839,D-Dimeerid,blood
845,Yersinia enterocolitica,blood
848,Tomati vastane IgE seerumis,blood
849,Hemogramm (vere automaatuuring leukogrammita),blood
869,SmAb Sm vastane IgG seerumis (ENA IgG paneel),blood
871,Türeoidperoksüdaasi vastased antikehad,blood
874,D-dimeerid plasmas,blood
881,C-hepatiidi viiruse RNA veres,blood
883,C-peptiid,blood
890,"Bilirubiin, glükuroonhappega seotud (direktne bilirubiin)",blood
896,Spetsiifiline IgE virsik,blood
900,Valk seerumis (üldvalk),blood
902,Kasvuhormoon,blood
903,ABO-veregrupi ja Rh(D),blood
912,Allergeenspetsiifilised IgE antikehad,blood
920,Yersinia enterocolitica 03 vastane antikeha seerumis,blood
925,Chlamydia pneumoniae vastased IgM antikehad,blood
935,"Allergeenide segu fp3-teraviljade vastased IgE antikehad seerumis (nisu, kaer, mais,tatar, seesamiseemned)",blood
937,"Beeta-2-glükoproteiin 1 vastane IgA, IgM, IgG seerumis",blood
940,C-hepatiidi viiruse vastane antikeha seerumis,blood
944,S-HE4 Referentsidega,blood
949,Vere automaatuuring leukogrammita X,blood
951,"Aspergillus, antigeen seerumis (galaktomannan)",blood
960,CBC-Diff Vere automaatuuring 5-osalise leukogrammiga,blood
961,Kreatiniin,blood
962,Kardiomarkerid,blood
972,Üksikallergeeni f35 (kartul) vasyased IgE antikehad seerumis,blood
973,Neutrofiilide tsütoplasma vastane IgG seerumis,blood
974,Koorion gonadotropiin,blood
977,Mycoplasma pneumoniae vastased IgA-antikehad,blood
978,Etüülalkohol plasmas,blood
980,"Toiduallergeenide (paneel 15: apelsin, õun, virsik, banaan) vastane IgE",blood
982,Glükeeritud hemoglobiini fraktsioon A1c,blood
996,Chlamydia trachomatis vastane IgG seerumis,blood
1001,Uurea paastuseerumis,blood
1003,C-hepatiidiviirus RNA seerumist,blood
1012,Laktaadi dehüdrogenaas seerumis,blood
1020,17-hüdroksüprogesteroon,blood
1030,Kliiniline labor,blood
1034,Insuliini vastane IgG seerumis,blood
1039,"HLT, elektrolüüdid",blood
1040,Vereäige mikroskoopiline uuring (hemogramm),blood
1048,"Vere automaatuuring 5-osalise leukogrammiga,normoblastidega ja retikulotsüütidega",blood
1059,Puukentsefaliidi viiruse vastane IgM,blood
1064,Vaba prostataspetsiifiline antigeen,blood
1070,Seroloogilised uuringud,blood
1075,Östradiool,blood
1076,B-hepatiidi viiruse pinnaantigeen,blood
1077,Autoimmuunuuringud,blood
1079,Mycoplasma pneumoniae vastased IgM-antikehad,blood
1086,Luteiniseeriv hormoon,blood
1088,Alaniini aminotransferaas,blood
1093,Neutrofiilide tsütoplasma vastased antikehad IF,blood
1095,ABO veregrupi määramine,blood
1107,Antineuronaalsed ja antineuraalsed antikehad seerumist,blood
1112,Üldine immuunoglobuliin G seerumis,blood
1118,Lõhe vastane IgE seerumis,blood
1119,hemogramm,blood
1123,Aktiveeritud proteiini-C resistentsus,blood
1129,"Põletikuliste soolehaigustega seotud IgA, IgG seerumis",blood
1130,Yersinia pseudotuberculosisé vastane antikeha seerumis,blood
1137,Inimese immuunpuudulikkuse viiruse 1. ja 2. tüübi vastane antikeha seerumis (ribaanalüüs),blood
1139,Varicella Zosteri vastased IgG-antikehad seerumis,blood
1146,HLA B27,blood
1148,Allergeenspetsiifiline ja inhaleeritavate allergeenspetsiifilised IgE antikehad seerumis,blood
1150,A-hepatiidiviiruse vastased antikehad,blood
1160,C-peptiid paastuseerumis,blood
1166,INR Protrombiini rahvusvaheline normitud suhtarv,blood
1167,"parathormoon seerumis,plasmas",blood
1174,Süüfilise skriining (T.p IgG+IgM),blood
1178,Spetsiifiline IgE olmetolmu paneel HP1,blood
1193,ABO veregrupi ja Rh(D) kuuluvuse kinnitav määramine,blood
1197,Naatrium seerumis,blood
1198,CK Kreatiini kinaas seerumis,blood
1202,PSA Prostataspetsiifiline antigeen seerumis,blood
1209,Mikrobioloogilised uuringud,blood
1211,Vaba Proteiin S,blood
1216,Chlam. pneum. IgM antikehad,blood
1217,S-TSH,blood
1219,Digoksiin,blood
1220,"Inhaleeritavate allergeenide (paneel 8: Dermatophagoides, Cladosporium, kassi epiteel, koera kõõm, kask, timut, puju, rukis) va",blood
1225,Okskarbasepiin,blood
1240,B hepatiidi viiruse tuuma vastased IgM antikehad,blood
1252,Magneesium seerumis,blood
1257,Vere automaatuuring,blood
1258,B-hepatiidi viiruse ümbrise vastased antikehad,blood
1261,Hemogramm 5-osalise leukogrammiga,blood
1264,Lümfotsüütide alaklassid veres,blood
1270,Kaalium seerumis (ioonselektiivne),blood
1271,S-ALAT,blood
1288,Prostata happeline fosfataas,blood
1290,Spetsiifiline IgE sulgede paneel EP71,blood
1291,antistreptolüsiin O,blood
1293,"Kaltsium, ioniseeritud, seerumis",blood
1300,ferritiin,blood
1307,"Toiduallergeenide (paneel 2: tursk, krevett, ranna-/jõekarp, tuunikala, lõhe) vastane IgE",blood
1314,koe transglutaminaasi IgG tüüpi antikehad,blood
1316,Glükoosi taluvuse test-2h pärast glükoosi manustamist,blood
1318,Antistreptolüsiin O seerumis,blood
1321,Türeoglobuliin,blood
1323,Aspartaadi aminotransferaas,blood
1327,C-reaktiivne valk (medip),blood
1333,Treponema pallidum vastased IgG antikehad seerumis,blood
1334,"Mycoplasma pneumoniae vastased antikehad tiitrina, vereseerumis",blood
1336,EP1 spetsiifiline IgE allergeenide segu suhtes,blood
1337,Antistreptolüsiin O,blood
1340,"Hallitusseente (paneel 1: Penicillium, Cladosporium, Aspergillus, Alternaria, Candida) vastane IgE",blood
1341,Kasvaja-antigeen CA 19-9,blood
1345,Amülaas seerumis,blood
1371,Kartuli vastane IgE seerumis,blood
1374,Immuunhematoloogilised uuringud,blood
1378,Immuunglobuliin G,blood
1381,Kõrge tihedusega lipoproteiini kolesterool,blood
1384,Gliadiinivastased IgG antikehad,blood
1385,Treponema pallidum vastased antikehad,blood
1394,Lihtherpeseviiruse 2. tüübi vastane IgG seerumis,blood
1405,A hepatiidi viiruse vastased IgM antikehad,blood
1420,Glükohemoglobiin,blood
1421,Kreatiini kinaasi MB isoensüümi mass,blood
1423,Toxoplasma gondii vastased IgG-antikehad,blood
1424,Borrelia burgdorferi vastane IgG seerumis ( kinnitav uuring),blood
1441,Antitrombiin III,blood
1450,C-hepatiidi viiruse vastased antikehad seerumis,blood
1451,Erütrotsüütide settekiirus,blood
1458,Liikvori analüüs,blood
1477,Toksikoloogiline analüüs,blood
1480,Gastriin paastuseerumis,blood
1485,C-hepatiidi viiruse genotüüp plasmas,blood
1513,Spetsiifiline IgE koer,blood
1515,"Puude õietolmupaneel 9 (lepp, kask, sarapuu, tamm, paju) vastane IgE seerumis",blood
1516,Folliikuleid stimuleeriv hormoon,blood
1526,Timuti õietolmu vastane IgE seerumis,blood
1541,ABO-veregrupi kontrolluuring,blood
1543,Mycoplasma pneumoniae vastased IgM antikehad,blood
1544,C-hepatiidi viiruse RNA hulk veres,blood
1547,Männi õietolmu vastane IgE seerumis,blood
1559,B-Hct,blood
1560,täisveri,blood
1565,Leideni mutatsiooni uuring V geenis,blood
1569,Transferriin immuunturbidimeetrilisel meetodil,blood
1570,Kusihape seerumis,blood
1575,Neutrofiilide tsütoplasma antikehade paneel,blood
1593,Tsüklilise tsitrullineeritud peptiidi vastased antikehad,blood
1605,Protrombiini indeks (INR),blood
1614,"Allergeenide segu fp73 - liha vastased IgE antikehad seerumis (sea-, looma-,kana-, lambaliha)",blood
1619,Happelise fosfataasi prostata isoensüüm seerumis,blood
1620,"S,P-Kolesterool",blood
1626,Testosteroon seerumis,blood
1639,B-hepatiidi viiruse pinnaantigeeni vastased antikehad,blood
1640,Protrombiini aeg plasmas,blood
1641,Ekstraheeritavate tuuma- ja tsütoplasmaantigeenide vastased antikehad,blood
1643,"Bilirubiin, üldine seerumis",blood
1653,Mutatsioonianalüüs sekveneerimisega,blood
1656,Spetsiifiline IgE toidu paneel FP7,blood
1676,Kreatiniin seerumis,blood
1681,Immuunglobuliini G indeks liikvoris,blood
1693,ABO-veregrupi ja Rh(D) kinnitav uuring,blood
1694,Herne vastane IgE seerumis,blood
1702,Üksikaalergeeni t16 (mänd) vastased IgE antikehad seerumis,blood
1703,Digoksiini sisaldus veres,blood
1706,Arukase õietolmu vastane IgE seerumis,blood
1716,Mandli vastane IgE seerumis,blood
1719,Foolhape erütrotsüütides,blood
1739,Treponema pallidum vastane IgG (kinnitav uuring),blood
1745,Vastsündinu veregrupianalüüs (geeltehnika),blood
1749,Komplemendi komponent C3 seerumis,blood
1753,kasvajaantigeen CA 15-3,blood
1755,Treponema pallidum vastased antikehad seerumis,blood
1756,fS-LDL-Chol,blood
1760,Foliikuleid stimuleeriva hormooni vastased IgG antikehad,blood
1762,Treponema pallidum vastase antikeha tiiter seerumis (henaglutinatsiooni test),blood
1772,fS-Crea,blood
1784,PSA,blood
1798,koe transglutaminaasi IgA tüüpi antikehad,blood
1810,Maksa autoimmuunhaigustega seotud IgG seerumis,blood
1814,Albumiin,blood
1817,B-Diff-LYMPH-arv,blood
1821,Seroloogiline analüüs,blood
1836,Mycoplasma pneumoniae vastased IgA antikehad,blood
1839,C hepatiidi viiruse vastased antikehad,blood
1842,Digoksiin seerumis,blood
1847,Gammaglutamüüli transferaas,blood
1848,Glükohemoglobiin A1c,blood
1849,"Inimese immuunpuudulikkuse viiruse 1. ja 2. tüübi vastased antikehad, p24 antigeen seerumis",blood
1853,Vitamiin B12 (kobalamiin),blood
1854,"Borrelia burgdorferii vastased IgG antikehade immunoblotuuring, seerumis",blood
1889,"Troponiin T, kardiaalne",blood
1890,Erütrotsütaarsete antikehade tüpiseerimine ühel panel,blood
1891,"Hemogramm, lihtne (mikroskoopia)",blood
1894,"Treponema pallidumi vastsed antikehad (IgM, IgG koos) geeltehnikaga (IDPaGIA), seerumist",blood
1895,Üksikaalergeeni w6 (puju) vastased IgE antikehad seerumis,blood
1898,Uurea seerumis,blood
1901,Üksikallergeeni f31 (porgand) vastased IgE antikehad seerumis,blood
1912,Sanglepa õietolmu vastane IgE seerumis,blood
1923,Borrelia burgdorferi vastased IgG antikehad,blood
1924,"EP1 spetsiifiline IgE allergeenide segu (kassiepiteel, hobusekõõm, lehmakõõm, koerakõõm) suhtes",blood
1926,CBC Hemogramm,blood
1933,B-hepatiidi viiruse tuuma antigeeni vastased antikehad,blood
1952,Türeotropiini retseptorite vastased antikehad,blood
1958,Puju õietolmu vastane IgE seerumis,blood
1979,Inimese immuunpuudulikkuseviiruse antigeen p24 ja 1. ja 2. tüübi viiruste vastased antikehad seerumis,blood
1993,Alaniini aminotransferaas seerumis,blood
2009,Hematoloogilised uuringud /Tallinna Labo,blood
2017,C- hepatiidi viiruse RNA kvantitatiivne määramine PCR-ga,blood
2020,Leukotsüütide pinnaantigeen HLA-B27,blood
2026,Naatrium seerumis/plasmas,blood
2028,Adrenokortikotroopne hormoon,blood
2030,C-reaktiivne valk (CRV),blood
2032,S-Bil,blood
2038,Tsütomgaloviiruse vastane IgG seerumis,blood
2042,Erütrotsütaarsete antikehade tüpiseerimine ühel paneelil,blood
2044,Corynebacterium diphtheriae toksiini vastane IgG seerumis,blood
2048,Haemophilus influenzae B vastane IgG seerumis,blood
2079,Aspartaadi aminotransferaas seerumis (kineetika),blood
2090,P-PT-INR,blood
2094,Allergeenide paneelid,blood
2098,Immunoglobuliin M,blood
2102,ABO-veregrupi kontroll veredoosil/patsiendil,blood
2103,B-Vere äigepreparaadi mikroskoopia,blood
2106,fT3 - Vaba trijoodtüroniin,blood
2108,Borrelia burgdorferi vastane IgM seerumis (kinnitav uuring),blood
2117,Interleukiin 6 seerumis,blood
2124,ABO veregrupi ja Rh(D) määramine pöödrreaktsiooniga,blood
2147,Beeta-2-glükoproteiin 1 vastane IgG seerumis,blood
2151,Kasvaja-antigeen 15-3 seerumis,blood
2153,karbamasepiin seerumis,blood
2160,Kartsinoembrüonaalne antigeen,blood
2162,TSH Kilpnääret stimuleeriv hormoon plasmas,blood
2186,Türeoglobuliini vastased antikehad,blood
2203,Kasvajaantigeen CA 15-3,blood
2204,Tsüklilise tsitrulliinitud peptiidi vastased IgG tüüpi antikehad,blood
2209,Prolaktiin seerumis,blood
2218,Mikrobioloogia labor (haigla),blood
2224,Chlamydophila pneumoniae vastane IgM seerumis,blood
2232,Kliiniline labor (haigla),blood
2234,Chl. pneumoniae IgM,blood
2261,Transferriini saturatsioon seerumis,blood
2267,"Reniin, aktiivsus plasmas",blood
2273,Sperma biok uuringud,blood
2275,Borrelia burgdorferi vastane IgG (kinnitav uuring),blood
2276,Kilpnäärme peroksüdaasivastased antikehad,blood
2278,Foolhape paastuseerumis,blood
2280,Vere automaatuuring retikulotsüütidele,blood
2292,Valkude fraktsioonid seerumi elektroforeetiliselt,blood
2299,Laktoosi taluvuse proov 30min pärast laktoosi manustamist,blood
2307,Folaat paastuseerumis,blood
2309,B-tüüpi natriureetilise propeptiidi N-terminaalne fragment plasmas,blood
2315,Süsteemsete sidekoehaigustega seotud IgG seerumis,blood
2332,"Allergeenide segu mp1 - hallitusseente vastased IgE antikehad seerumis(P.notatum,Clados.herbarum, Asp.fum., Alter.alter.,C.alb)",blood
2335,Autom. settega,blood
2337,ABO veregrupi määramine patsiendi identifitseerimisel,blood
2344,Yersinia pseudotuberculosis vastane antikeha seerumis,blood
2346,"Bilirubiin üldine, konjugeeritud ja mittekonjugeeritud, seerumis",blood
2368,"Hemogramm, patoloogiline (mikroskoopia)",blood
2380,Magneesium seerumis (kolorimeetria),blood
2384,Glükoos seerumis,blood
2390,IgG indeks seljaajuvedelikus ja seerumis,blood
2391,proBNP B-tüüpi natritiureetilise propeptiidi N- terminaalne fragment plasmas,blood
2392,Porgandivastane IgE,blood
2396,B hepatiidi viiruse pinnaantigeeni vastased antikehad,blood
2413,Inimese immuunpuudulikkuse 1 ja 2 viiruste vastased antikehad,blood
2416,Vere automaatuuring 5-osalise leukogrammiga X,blood
2422,Tuumavastased antikehad,blood
2435,Toxoplasma gondii vastane IgG seerumis,blood
2442,HDL Kõrge tihedusega lipoproteiini kolesterool seerumis,blood
2452,kaalium,blood
2484,Aktiveeritud osalise tromboplastiini aeg (APTT),blood
2488,Toxoplasma gondii vastane IgM seerumis,blood
2491,VÄL,blood
2498,Albumiin seerumis,blood
2512,Türeoglobuliinivastased antikehad,blood
2521,Epstein-Barri viiruse uuring verest PCR-ga,blood
2548,Nõgese vastane IgE seerumis,blood
2565,Laktaadi dehüdrogenaas seerumis/plasmas,blood
2569,Amülaas,blood
2570,Õuna vastane IgE seerumis,blood
2576,Raud,blood
2577,Kreatiini kinaas (KFK),blood
2590,Neerupealise koore vastane IgG,blood
2604,ABO veregrupi esmane määramine,blood
2607,Ekstraheeritavate tuumaantigeenide vastane Ig G,blood
2611,D2 spetsiifiline IgE üksikallergeei suhtes,blood
2616,Suguhormoone siduv globuliin seerumis,blood
2629,Tsütomegaloviiruse vastane IgG seerumis,blood
2642,Kasvajaantigeen HE4 seerumis,blood
2645,Aktiveeritud proteiini C resistentsus,blood
2646,"MP1 spetsiifiline IgE allergeenide segu (p notatum, cl herbatum, as fumigatus, ca albicans, al tenius) suhtes",blood
2647,Haptoglobiin seerumis,blood
2650,B-hepatiidi viiruse DNA hulk plasmas,blood
2654,"HLA B27 määramine, PCR meetodil",blood
2655,Aktiveeritud osaliste tromboplastiinide aeg plasmas,blood
2659,Üksikallergeeni d2 (DERMATOPH. FARINAE) vastased IgE antikehad seerumis,blood
2664,"Hallitusseente paneel 1 (P.notatum, C.herbarum, A. fumigatus, A. alternata, C. albicans) vastane IgE seerumis",blood
2665,Folliikuleid stimuleeriv hormoon seerumis,blood
2672,Antinukleaarsed antikehad,blood
2677,Antineuronaalsete antikehade paneel seerumist,blood
2684,Spetsiifiline IgE allergeenide segu suhtes,blood
2687,Treponema pallidumi vastased antikehad seerumis,blood
2691,Sarapuu õietolmu vastane IgE seerumis,blood
2696,Borrelia burg. IgM antikehad,blood
2699,Tsüklilise tsitrulleeritud peptiidi vastased IgG,blood
2704,"Epstein-Barr viiruse vastane IgM, IgG seerumis",blood
2715,Tuulerõugeviiruse vastane IgM seerumis,blood
2718,Glükeeritud hemoglobiin A1C fraktsioon,blood
2733,Pankrease amülaas,blood
2746,Gripp A IgA,blood
2772,Bilirubiin,blood
2777,Beeta-2-glükoproteiin1 vastased antikehad seerumis,blood
2790,"RPR (Rapid Plasma Reagin) test, tiiter",blood
2793,"Puukentsefaliidi viiruse vastased antikehad, seerumist",blood
2798,GGT - Gammaglutamüüli transferaas,blood
2800,"Campylobacter sp.IgM antikehad ELISA meetodil, seerumist",blood
2808,Punktaadi analüüs,blood
2812,Tsink seerumis,blood
2821,Epstein-Barr viiruse vastaste antikehade paneel seerumis,blood
2838,Chlam. pneum. IgA antikehad,blood
2839,ABO veregrupi ja Rh(D) määramine tasapinnal,blood
2844,Reumatoidfaktor seerumis,blood
2877,Kasvajaantigeen S-100 seerumis,blood
2879,LDL-kolesterool paastuseerumis,blood
2908,Doonorvere sobivusproov,blood
2918,Müogloglobiin,blood
2923,Alfafetoproteiin,blood
2931,Koliini esteraas seerumis,blood
2942,Uurea,blood
2948,Gram-negatiivsete bakterite DNA veres (real-time PCR-meetodil),blood
2956,Kreatiinkinaasi MB isoensüüm,blood
2968,Papagoi sulgede vastane IgE seerumis,blood
2969,"Allergeenide segu fp5 -toiduallergeenide vastased IgE antikehad seerumis (munavalge, piim, nisu, tursk, maapähkel, sojauba)",blood
2971,Insuliinisarnane kasvufaktor 1 seerumis,blood
2974,Toksikoloogilised uuringud,blood
2981,"Hemoglobiin, glükeeritud, A1C fraktsioon",blood
2983,Borrelia burgdorferi vastane IgM seerumis,blood
3006,Spetsiifiline IgE hallitusseened,blood
3008,Tuulerõugeviiruse vastane IgG seerumis,blood
3013,Forelli vastane IgE seerumis,blood
3018,"Hemoglobiin, glükeeritud A1C suhe",blood
3026,T/B-lümfotsüütide uuring,blood
