analysis_name,parameter_name,parameter_code,unit,analyte,property,system,time_aspect,scale
"AB0-veregrupp, RhD antigeen ja otsene antiglobuliintest vastsündinul",Otsene antiglobuliintest,B-AB0-RhD-DAT-n,-,,,Bld,Pt,Qn
Kliiniline vereanalüüs,Erütrotsüütide ovalotsütoos,Erütrotsüütideovalotsütoos,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,imipenee(PERH antibiogramm mikrobioloogia),4765,,,,urine,,
patol.täisveri,MCH,B-patol.täisveri,pg,MCH,EntMass,Bld,Pt,Qn
Mikrobioloogilised uuringud,"Pss-Ae(Aeroobse mikrofloora külv (mädast, süstlaga))",1754,,,,Bld,Pt,Qn
Uriini uuringud,Erütrotsüüdid,1513,,Erütrotsüüdid,NCnc,urine,,
Mikrobioloogilised uuringud,Gentamütsiin(Gentamütsiin),59393,,,,urine,,
Mikrobioloogilised uuringud,Josamüts. 4,924,,,,urine,,
Mikrobioloogilised uuringud,Ketokonasool,12019,,,,Bld,Pt,Qn
Hematoloogia,B-WBC(Leukotsüütide üldarv),50,10 l,WBC,NCnc,Bld,Pt,Qn
Immuunmeetoditel uuringud,g6 / sp IgE timuti suhtes,g6/spIgEtimutisuhtes,,,,Bld,Pt,Qn
Immuunuuringud,FT4,1974,pmol/l,,,Bld,Pt,Qn
Hematoloogilised uuringud,7 B-Plt(Trombotsüütide arv),609,/nL,PLT,NCnc,Bld,Pt,Qn
Välisanalüüsid,"HSV1, HSV2 DN(Lihtherpesviiruse 1. ja 2. tüübi DNA)",10120,,,,Bld,Pt,Qn
LTKH allhanked,S-C trachomatis Ig(Chlamydia trachomatis vastane IgA),1366,,,,urine,,
Mikrobioloogilised uuringud,GenProbe Neisseria gonorrhoea,1003,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Amoksitsillin/klavulaanhape MI,144207,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,transferrii(transferriin),43991,,,,Bld,Pt,Qn
Hematoloogia,Lümfotsüüdid(Lümfotsüütide absoluutarv),38,10 l,Lymph,Num,Bld,Pt,Qn
Lümfotsüütide alaklassid veres,B-lümfotsüütide (CD19) arv,B-Lymph,x/ul,Lymph,unknown,Bld,Pt,Qn
Laktoosi taluvuse proov,Glükoos paastuplasmas 40 minutit pärast koormust,Lactose-TT,mmol/l,,,Bld,Pt,Qn
Hemogramm,MPV fl,B-CBC,fl,MPV,EntVol,Bld,Pt,Qn
Hematoloogilised uuringud,11 B-RBC(Erütrotsüüdid veres),606,/pL,RBC,NCnc,Bld,Pt,Qn
Glükoosi taluvuse proov,2 tunni pärast (2t) glükoos plasmas mmo/l,GTT,mmol/l,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),F-Salm_Shig(Salmonella ja Shigella uuring väljaheitest),10265,,,,urine,,
Uriini sademe mikroskoopia,Düsmorfsed erütrotsüüdid (ur. sademes),U-Sedim,-,,,urine,,
Uriini sademe mikroskoopia,<ANONYM>,U-Sed-m,umol/l,,,urine,,
Biokeemia analüüs,P-Gluc Lac-TT 60 min,P-GlucLac-TT60min,,,,urine,,
Mikrobioloogilised uuringud,Norfloksatsiin,144305,,,,Bld,Pt,Qn
"Hemogramm, (mikroskoopia)",Target celis,B-Hemo-m,.,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Pristinam. 2,905,,,,urine,,
Immuunmeetoditel uuringud,gx1 /sp IgE heintaimede segu),gx1/spIgEheintaimedesegu),,,,Bld,Pt,Qn
Happe-alus tasakaal,Shunt,,,,,Bld,Pt,Qn
Uriini sademe mikroskoopia,Uriini sademe lameepiteel,U-Sedim,r/vv,,,urine,,
Vereäige mikroskoopia,Erütrotsüütide mikrosfärotsütoos,B-Smear-m,-,,,Bld,Pt,Qn
Immuunhematoloogilised uuringud,Rh (D) kuuluvu(Rh (D) kuuluvus),11253,,,,Bld,Pt,Qn
Immuunmeetodi uuringud,Foolhape** (Fol)(Foolhape**),2704,,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Norfloksatsiin,30143,,,,Bld,Pt,Qn
Immuunmeetoditel uuringud,f94 /sp IgE pirni suhtes,,,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Vankomütsiin,30115,,,,urine,,
Hematoloogilised uuringud,B-PLT(Trombotsüütide üldarv),2486,10 l,PLT,NCnc,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Oxacilli,40091,,,,urine,,
Toksikoloogia analüüs Hiiul,Koproporfüriin,Koproporfüriin,,,,Bld,Pt,Qn
Biokeemia analüüs,S-Immfix (immuunfiksatsioon monoklonaalsetele,,,,,urine,,
Seroloogilised uuringud,Bordetella pertussis IgM(Bordetella pertussis´e vastane IgM),71513,,,,Bld,Pt,Qn
VÄL,Jo-1 antikeha,41394,,,,Bld,Pt,Qn
Autoimmuunuuringud,ENA IgG sõeluuring,2578,,,,Bld,Pt,Qn
VÄL,Mükobakterite Bakterioskoopia (Sp),43162,,,,Bld,Pt,Qn
Uriini ribaanalüüs,Ketokehad,U-Strip,mmol/l,,,urine,,
Immuunmeetodi uuringud,anti-tTG IgG,2133,IU/ml,,,Bld,Pt,Qn
Gram-positiivsete bakterite DNA veres (real-time PCR-meetodil,CoNS,B-Gpos_DNA,-,,,Bld,Pt,Qn
Hematoloogilised uuringud,Hemoglobii,1222,g/l,,,Bld,Pt,Qn
Hematoloogilised uuringud,2 B-Hct(Hematokritt),15,%,HCT,VFr,Bld,Pt,Qn
Autoimmuundiagnostika,Nukleosoomid,71599,,,,urine,,
Väljast tellitud analüüsid,Jersinia enterocolitica 03,Jersiniaenterocolitica03,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Ampitsilliin(Ampitsilliin),57858,,,,urine,,
Hematoloogilised uuringud,8 B-Lymph%(Lümfotsüütide suhtarv),619,%,Lymph,NCnc,Bld,Pt,Qn
vereäige mikroskoopia,lümfots.,B-Smear,-,Lymph,unknown,Bld,Pt,Qn
Hematoloogilised uuringud,B-Diff-NEUT-arv(Neutrofiilide absoluut arv),5633,10 l,Neut,Num,Bld,Pt,Qn
Vereäige mikroskoopia,Blastid,B-Hemo,%,,,Bld,Pt,Qn
Vereäige mikroskoopia,Neutrofiilide hüpersegmentatsioon,B-Hemo,-,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Oxacillin,40091,,,,Bld,Pt,Qn
Uriini uuringud,U-Leu(Leukotsüüdid uriinis),2171,µl,Leukotsüüdid,NCnc,urine,,
Immuunmeetoditel põhinevad uuringud,fPSA/PSA suhe,829,,,,Bld,Pt,Qn
hemogramm,B-MCV,B-CBC-3Diff,fl,MCV,EntVol,Bld,Pt,Qn
Immuunuuringud,Parathormoon,43556,pmol/l,,,Bld,Pt,Qn
Hematoloogilised uuringud,B-HFLC%(High fluorescence lymphocytes),146172,%,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Amoksitsilliin-klavulaanhape MI,30258,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,F-Shi(Shigella sp külv (väljaheitest)),2162,,,,Bld,Pt,Qn
Hematoloogilised uuringud,Lümfotsüütide %,1854,%,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Ampitsilliin,144262,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Mikroobi kogus,145734,,,,urine,,
Mikrobioloogia labor (haigla),Doripeneem MIK,30116,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Vankomütsiin MIK,30276,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,norfloksatsiin(PERH antibiogramm mikrobioloogia),4760,,,,urine,,
Mikrobioloogilised uuringud,Penitsilliin(Penitsilliin),62260,,,,urine,,
Mikrobioloogilised uuringud,Gentamütsii(Gentamütsiin),59330,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Tseftriaksoon MIK,30108,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Mikroobi kogus,145760,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Tsefuroksiim (suukaudne)(Tsefuroksiim (suukaudne)),65463,,,,Bld,Pt,Qn
Hemostasiogramm,Coll - Trombots. agregatsioon kollageeni toimel,,,,,Bld,Pt,Qn
Biokeemia labori analüüsid,Kolesteroo,178,mmol/l,,,Bld,Pt,Qn
Hematoloogilised uuringud,B-Ret#(Retikulotsüütide arv),146168,/nL,Ret,unknown,Bld,Pt,Qn
Kliiniline vere ja glükohemoglobiini analüüs,"B-CBC-5Diff,RET","B-CBC-5Diff,RET",,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Doksots. 8,906,,,,Bld,Pt,Qn
Uriini sademe mikroskoopia,Kusihappe kristallid,U-Sed-m,-,,,urine,,
Hematoloogilised uuringud,PLT(Trombotsüütide arv),699,10 U/l,PLT,unknown,Bld,Pt,Qn
Mikrobioloogilised uuringud,Ampitsilliin+sulbaktaam(Ampitsilliin+sulbaktaam),58080,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Itrakonasoo,71923,,,,Bld,Pt,Qn
Autoimmuundiagnostika,nRNP/Sm,71598,,,,urine,,
Immuunmeetoditel uuringud,tsütomegaloviirus IgM CMV IgM,tsütomegaloviirusIgMCMVIgM,,,,Bld,Pt,Qn
LTKH allhanked,Chlamydia Trachomatis IgG(5. Chlamydia Trachomatis IgG),1367,,,,urine,,
B-autom5diff,RBC,,x10*12/L,RBC,NCnc,Bld,Pt,Qn
Mikrobioloogilised uuringud,hemoglobiin(hemoglobiin),43990,,,,Bld,Pt,Qn
Immuunmeetoditel uuringud,Candida antigeeni mannaan ja vastased antikehad seerumis,,,,,Bld,Pt,Qn
Uriini analüüs,Transitoorse epiteeli rakud,Transitoorseepiteelirakud,,,,urine,,
LTKH allhanked,Anti-amphiphysin,70879,,,,Bld,Pt,Qn
VÄL,Adenoviirus ag ninas,41458,,,,Bld,Pt,Qn
Hematoloogia,Basofiile,133,%,Baso,NCnc,Bld,Pt,Qn
Hematoloogilised uuringud,Kepptuumsed leukotsüüdid,778,%,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Oksatsillii(Oksatsilliin KONS),144199,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Metronidasool MIK(Metronidasool MIK),60949,,,,urine,,
Hematoloogilised uuringud,Monotsüüdid,93,%,Mono,NCnc,Bld,Pt,Qn
Uriini sademe mikroskoopia,ERÜTROTSÜÜDID : muutumata,U-sedim-suprav,-,,,urine,,
Hematoloogilised uuringud,MCH,2691,g/l,MCH,EntMass,Bld,Pt,Qn
Doonorvere sobivusproov geeltehnikaga,(66405)Antikehade tüpiseerimine,B-XmB-g,-,,,Bld,Pt,Qn
"AB0-veregrupp, RhD antigeen ja otsene antiglobuliintest vastsündinul",RhD antigeen,B-AB0-RhD-DAT-n,-,,,Bld,Pt,Qn
Hematoloogilised uuringud,11 B-Neut#(Neutrofiilide arv),624,/nL,Neut,Num,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Kinupristiin-dalfopristiin,30151,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Erütromütsii,144273,,,,Bld,Pt,Qn
Uriini sademe mikroskoopia,Granulotsütaarsed leukotsüüdid (ur. sademes),U-Sed-m,-,,,urine,,
Kliiniline vereanalüüs,IRF% (ebaküpsete retikulots.fraktsioon),IRF%(ebaküpseteretikulots.fraktsioon),,,,Bld,Pt,Qn
Vere automaatuuring 3-osalise leukogrammiga,RBC Erütrotsüüdid,B-A3Diff,*10E12/l,RBC,NCnc,Bld,Pt,Qn
spetsiifiline IgE allergeenide segu suhtes,"IgE fp3 (nisu, kaer, mais, seesami seemned, tatar)",S2-fp3_IgE,kU/L,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Seeneraku,43214,,,,urine,,
Kliiniline labor,hüaliinsilindri,10158,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Rifampitsiin(Rifampitsiin),63014,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Mikroskoopia,697,,,,urine,,
Mikrobioloogilised uuringud,Tetrats.,910,,,,urine,,
Väljast tellitud analüüsid,Sh. Flex I - V,Sh.FlexI-V,,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Amfoteritsiin MI,30233,,,,urine,,
Kliiniline labor,NIT,10191,,,,urine,,
Mikrobioloogia labor (haigla),U-Ae(Aeroobide uuring uriinist (keskjoa)),10229,,,,Bld,Pt,Qn
Kliiniline labor,ülemineku epitee,10149,,,,urine,,
Biokeemia labor (haigla),S2-CR,10462,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Amoksitsillii,146158,,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Imipeneem MIK,30216,,,,urine,,
Mikrobioloogia labor (haigla),Tigetsüklii,30120,,,,Bld,Pt,Qn
Immuunmeetoditel uuringud,Lihtherpesviiruse 1. ja 2. tüübi vastane IgM seerumis,,,,,Bld,Pt,Qn
Uriini uuringud,Hüaliinsilindrid,4880,,,,urine,,
Immuunuuringud,CK-MB mass,1990,ng/ml,,,Bld,Pt,Qn
urilux,värv,U-urilux,-,,,urine,,
Immunoloogilised uuringud,CT-kaltsitoniin,74,pmol/l,,,Bld,Pt,Qn
Immuunmeetoditel uuringud,e5 / sp IgE koera suhtes,e5/spIgEkoerasuhtes,,,,Bld,Pt,Qn
Uriini analüüs,Muud,Muud,,,,urine,,
Hematoloogilised uuringud,4 B-Hct(Hematokrit),608,%,HCT,VFr,Bld,Pt,Qn
Immuunmeetoditel uuringud,g12 / sp IgE rukise suhtes,g12/spIgErukisesuhtes,,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Gentamütsiin,30085,,,,urine,,
Mikrobioloogilised uuringud,Mikroobi kogus,67362,,,,Bld,Pt,Qn
Uriini sademe mikroskoopia,Hüaliinsilindrid,U-Sed-m,-,,,urine,,
Mikrobioloogilised uuringud,Erütrotsüüdi,736,,Erütrotsüüdid,NCnc,urine,,
Hematoloogilised uuringud,%LYMP(Lümfotsüüdid protsent),5707,%,Lymph,NCnc,Bld,Pt,Qn
Mikrobioloogilised uuringud,Amoksitsilliin-klavulaanhape MIK,146227,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Ampitsilliin(Ampitsilliin),57790,,,,Bld,Pt,Qn
Hematoloogilised uuringud,B-RBC(Erütrotsüüdid veres),687,/pL,RBC,NCnc,Bld,Pt,Qn
Biokeemilised uuringud,fs-Ure(Uurea),77,mmol/l,Urea,SCnc,Bld,Pt,Qn
Biokeemia analüüs,fS-Transf-sR (transferriini lahustuvad retseptorid),fS-Transf-sR(transferriinilahustuvadretseptorid),,,,urine,,
Kliiniline vere ja glükohemoglobiini analüüs,Neutrofiilide toks. granulatsioon,Neutrofiilidetoks.granulatsioon,,,,Bld,Pt,Qn
Immuunuuringud,B-pro BN(Btüüpi natriureetiline propeptiid plasmas),10581,pg/ml,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Cf-Myc(Seente külv (emakakaelaeritisest)),2130,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Ertapenee,144315,,,,urine,,
Hematoloogilised ja uriini uuringud,U-Pro(Valk uriinis),10703,,,,urine,,
Mikrobioloogilised uuringud,Eam-Ae(Aeroobse mikrofloora külv (keskkõrvaeritisest)),1743,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Klaritromütsiin,144275,,,,Bld,Pt,Qn
Uriini analüüs,Erikaal,Erikaal,,Erikaal SG,Rden,urine,,
Liikvori analüüs,CSFRBC Erütrotsüüdid liikvoris,CSFRBCErütrotsüüdidliikvoris,,,,Bld,Pt,Qn
Immuunmeetoditel uuringud,"Beeta2-glükoproteiin 1 vastane IgA, IgM, IgG seerumis","Beeta2-glükoproteiin1vastaneIgA,IgM,IgGseerumis",,,,Bld,Pt,Qn
Vereäige mikroskoopiline uuring,Eosinofiilid,B-Hemo-m,%,Eo,NCnc,Bld,Pt,Qn
patol.täisveri,segm.,B-patol.täisveri,-,,,Bld,Pt,Qn
Hematoloogilised uuringud,Neutrofiilide %,509,%,Neut,NCnc,Bld,Pt,Qn
Hemogramm leukotsüütide diferentsiaalloendusega (vere automaatuuring 5-osalise leukogrammiga) ja normoblastidega,NRBC%,B-CBC+Diff+NRBC,%,NRBC,unknown,Bld,Pt,Qn
Hematoloogilised uuringud,B-Diff-Eo-%,2470,%,Eo,NCnc,Bld,Pt,Qn
Uriini sademe mikroskoopia,Transitoorse epiteeli rakud,U-Sed-m,r/vv,,,urine,,
Mikrobioloogia labor (haigla),Doripeneem MIK,30206,,,,urine,,
VÄL,HBs antikehad kvant,41495,IU/l,,,Bld,Pt,Qn
Hemogramm,MCHC g/l,B-CBC,g/l,MCHC,MCnc,Bld,Pt,Qn
Kliinilise keemia uuringud,GTT I(Glükoos seerumis),72257,mmol/l,,,Bld,Pt,Qn
Biokeemilised uuringud,A/,387,,,,Bld,Pt,Qn
Kliiniline vereanalüüs,Hüpersegmentatsioon,Hüpersegmentatsioon,,,,Bld,Pt,Qn
"Hemogramm, (mikroskoopia)",Kepptuumseid,B-Hemo-m_,-,,,Bld,Pt,Qn
Biokeemia analüüs,fS-Transf (transferriin),fS-Transf(transferriin),,,,urine,,
Biokeemia analüüs,S-ALAT (alaniini aminotransferaas),S-ALAT(alaniiniaminotransferaas),,,,urine,,
Biokeemia analüüs,fS-Gluc (glükoos),fS-Gluc(glükoos),,,,urine,,
Mikrobioloogilised uuringud,Klindamütsiin(Klindamütsiin),60003,,,,urine,,
Punktaadi analüüs,PlrF - neutrofiilid,PlrF-neutrofiilid,,,,Bld,Pt,Qn
Immuunmeetoditel uuringud,anti-ENA: anti-Jo-1,anti-ENA:anti-Jo-1,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Mikroobi kogus,67340,,,,Bld,Pt,Qn
Immuunmeetoditel uuringud,c6 / sp IgE amoksitsilliin,c6/spIgEamoksitsilliin,,,,Bld,Pt,Qn
Kliiniline vere ja glükohemoglobiini analüüs,Erütrotsüütide mikrotsütoos,,,,,Bld,Pt,Qn
Hematoloogilised uuringud,Monotsüüdid,1146,%,Mono,NCnc,Bld,Pt,Qn
Hematoloogilised uuringud,MCV,398,fL,MCV,EntVol,Bld,Pt,Qn
Kliiniline labor,S1-CRP,10063,,,,urine,,
Immuunmeetoditel uuringud,C-pept / C-peptiid proinsuliin,,,,,Bld,Pt,Qn
Hematoloogilised uuringud,Metamüelotsiidi,46,%,,,Bld,Pt,Qn
Biokeemia analüüs,S-NT-proBNP (B-tüüpi natriureetilise propeptiidi N-fragment,,,,,urine,,
Uriini sademe mikroskoopia,Bakteriaalsed silindrid,U-Sedim,-,,,urine,,
Mikrobioloogia labor (haigla),Tsefepiim,30137,,,,urine,,
Kliinilise keemia uuringud,IN(INR),10982,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,F- enteroviirus(Entroviirusantigeeni määramine immuunmeetodil),573,,,,Bld,Pt,Qn
Uriini uuringud,U-Creat(Kreatiniin uriinis),1198,mmol/l,Creat,,urine,,
Hematoloogilised uuringud,B-MCH(Keskmine hemoglobiini konsentratsioon erütrotsüüdis),612,g/l,MCHC,MCnc,Bld,Pt,Qn
Mikrobioloogilised uuringud,Gentamütsii,144263,,,,urine,,
Automaatuuring,<ANONYM>,M-Automaatuuring,10 9 /l,,,Bld,Pt,Qn
Biokeemia analüüs,S-CRP (C-reaktiivne valk),,,,,urine,,
Autoimmuundiagnostika,gp210,147254,,,,urine,,
Hematoloogia labori analüüsid,HC,203,%,,,Bld,Pt,Qn
Uriini sademe mikroskoopia,Tripelfosfaadid,U-Sedim,-,,,urine,,
Mikrobioloogilised uuringud,Amikatsiin,30133,,,,urine,,
Kliiniline labor,ülemineku epitee,10149,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Vankomütsii(Vankomütsiin),66063,,,,urine,,
Immuunmeetoditel uuringud,Escherichia coli DNA RT-PCR meetodil täisverest,EscherichiacoliDNART-PCRmeetodiltäisverest,,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Gentamütsii,30126,,,,urine,,
Mikrobioloogilised uuringud,Tseftasidiim(Tseftasidiim),65108,,,,Bld,Pt,Qn
Hematoloogilised uuringud,8 B-HFLC(High fluorescence lymphocytes),146172,%,,,Bld,Pt,Qn
Kliinilise keemia uuringud,Uure,3325,mmol/l,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Mikroobi kogus,146120,,,,urine,,
Hematoloogilised uuringud,B-WBC(Leukotsüüdid),684,/nL,WBC,NCnc,Bld,Pt,Qn
Happe-alus tasakaal,Glükoos korduv,,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,meropenee(PERH antibiogramm mikrobioloogia),4766,,,,Bld,Pt,Qn
Hematoloogilised ja uriini uuringud,MONO(MONO%),11108,%,Mono,NCnc,Bld,Pt,Qn
Immuunuuringud,mandli(mandlid),11210,IU/ml,,,Bld,Pt,Qn
Hematoloogilised uuringud,B-Diff-Eo-arv,2467,10 l,Eo,unknown,Bld,Pt,Qn
Seroloogilised uuringud,BB_K53 (p21 Bb),147102,,,,Bld,Pt,Qn
Vere automaatuuring 3-osalise leukogrammiga,WBC,B-A3Diff,10*3mik/L,WBC,NCnc,Bld,Pt,Qn
Kliinilise keemia uuringud,fS-Transf(Transferriin seerumis),817,g/l,Transf,MCnc,fSP,Pt,Qn
Väljast tellitud analüüsid,Brutseloos: Huddleson,Brutseloos:Huddleson,,,,Bld,Pt,Qn
Kliiniline labor,erütrotsüüdid,10151,,,,urine,,
Biokeemia analüüs,dU-ALB Albumiin ööpäevases uriinis,dU-ALBAlbumiinööpäevasesuriinis,,,,urine,,
Happe-alus tasakaal,pH(st)c,71687,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Penitsilliin MIK,147157,,,,Bld,Pt,Qn
Autoimmuunuuringud,AMA - Mitokondriaalne IgG,1429,,,,Bld,Pt,Qn
Doonorvere sobivusproov geeltehnikaga,7. sobivusproov,B-XmB,-,,,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Gentamütsii,30126,,,,Bld,Pt,Qn
Kliiniline labor,F-Hb,10060,,,,Bld,Pt,Qn
täisveri,HCT,B-täisveri,%,HCT,VFr,Bld,Pt,Qn
Hematoloogilised uuringud,MPV(Trombotsüütide keskmine maht),17,fL,MPV,EntVol,Bld,Pt,Qn
Mikrobioloogilised uuringud,Ampitsilliin MIK,30110,,,,Bld,Pt,Qn
Kliinilise keemia uuringud,HbA1,4708,%,,,Bld,Pt,Qn
Uriini uuringud,1 U-Leu,5,rakku/µl,,,urine,,
Immuunmeetoditel uuringud,Mycoplasma pneumoniae vastane IgG seerumis,,,,,Bld,Pt,Qn
Vereäige mikroskoopia,Eosinofiilid,B-Hemo,%,Eo,NCnc,Bld,Pt,Qn
Mikrobioloogia labor (haigla),Tsiprofloksatsiin MI,30220,,,,Bld,Pt,Qn
Troponiin T,66707 S-cTnT,66707__S-cTnT,-,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Penitsilliin(Penitsilliin),62047,,,,Bld,Pt,Qn
Hematoloogilised uuringud,10 B-Plt(Trombotsüütide arv),609,/nL,PLT,NCnc,Bld,Pt,Qn
Uriini uuringud,"U-Bi(Uriini bilirubiin, üks parameeter 10 parameetrilisel testribal.)",118,µmol/l,,,urine,,
Spermagramm,Trih:vaginalis,Sem-Cyto,-,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Cefdroksiil,556,,,,urine,,
Mikrobioloogilised uuringud,U-Spn-A(Streptococcus pneumoniae antigeen immuunmeetodil (keskjoauriinist)),2169,,,,urine,,
Immuunuuringud,puj(puju),11194,IU/ml,,,Bld,Pt,Qn
Uriini uuringud,U-Bil(Bilirubiin uriinis),2167,µmol/l,Bil,SCnc,urine,,
Liigesevedeliku tsütogramm,Sünoviotsüüdid,SynF-Diff,%,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,külv,828,,,,Bld,Pt,Qn
Uriini sademe mikroskoopia,Lameepiteeli rakud,U-Sed-m,r/vv,Lameepiteeli rakud,Naric,urine,,
Mikrobioloogilised uuringud,Mikroobi kogus,67178,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,TMP-SM,144266,,,,urine,,
Biokeemia analüüs,B-CyA (tsüklosporiin A),,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Mikroobi kogus,145413,,,,Bld,Pt,Qn
Kliiniline labor,lameepiteel,10152,,,,Bld,Pt,Qn
Kliiniline vere ja glükohemoglobiini analüüs,LYM%,LYM%,%,Lymph,NCnc,Bld,Pt,Qn
Mikrobioloogilised uuringud,Mikroobi kogu,145777,,,,Bld,Pt,Qn
