id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la;sentence_analysis_data;peasona;verb;label
83;Train/tea_AA_05_6_ud211.conllu;Teisalt aga , kuna asünkroonses andmeskalaarses protsessoris iga PÜ töötleb käske erinevas ( individuaalses ) järjekorras , siis ajutiselt võib neis loobuda talitlusest ESP-mudeli alusel ning sooritada privaatseid arvutusi , edastades teistele protsessorüksustele vaid töötlustulemeid , mitte aga operande ( s.t sooritada tulemedastust ) .;144;148;neis;free;Teisalt aga , kuna asünkroonses andmeskalaarses protsessoris iga PÜ töötleb käske erinevas ( individuaalses ) järjekorras , siis ajutiselt võib loobuda talitlusest ESP-mudeli alusel ning sooritada privaatseid arvutusi , edastades teistele protsessorüksustele vaid töötlustulemeid , mitte aga operande ( s.t sooritada tulemedastust ) .;86.4;88.6;95.5;('neis', 20, 22, 'loobuda', 22);neis;loobuda;1
85;Train/tea_AA_05_6_ud211.conllu;Teisalt aga , kuna asünkroonses andmeskalaarses protsessoris iga PÜ töötleb käske erinevas ( individuaalses ) järjekorras , siis ajutiselt võib neis loobuda talitlusest ESP-mudeli alusel ning sooritada privaatseid arvutusi , edastades teistele protsessorüksustele vaid töötlustulemeid , mitte aga operande ( s.t sooritada tulemedastust ) .;235;263;teistele protsessorüksustele;free;Teisalt aga , kuna asünkroonses andmeskalaarses protsessoris iga PÜ töötleb käske erinevas ( individuaalses ) järjekorras , siis ajutiselt võib neis loobuda talitlusest ESP-mudeli alusel ning sooritada privaatseid arvutusi , edastades vaid töötlustulemeid , mitte aga operande ( s.t sooritada tulemedastust ) .;90.7;90.7;100.0;('protsessorüksustele', 32, 31, 'edastades', 31);protsessorüksustele;edastades;1
87;Train/aja_ml200247_osa_5_ud211.conllu;Siis minnakse staabist provianti tooma .;14;22;staabist;free;Siis minnakse provianti tooma .;100.0;100.0;100.0;('staabist', 2, 5, 'tooma', 5);staabist;tooma;1
93;Train/arborest_ud211.conllu;Vahepeal oli klaver viie noore mehe jõul ära liigutatud oma kohalt .;20;40;viie noore mehe jõul;free;Vahepeal oli klaver ära liigutatud oma kohalt .;75.0;75.0;75.0;('viie', 3, 6, 'liigutatud', 9);viie;liigutatud;1
94;Train/arborest_ud211.conllu;Vahepeal oli klaver viie noore mehe jõul ära liigutatud oma kohalt .;56;66;oma kohalt;free;Vahepeal oli klaver viie noore mehe jõul ära liigutatud .;100.0;100.0;100.0;('kohalt', 10, 9, 'liigutatud', 9);kohalt;liigutatud;1
95;Dev/aja_luup200009_ud211.conllu;Tomahawk lendab väga pinnalähedaselt u 900 km/h ja teda on radaritega väga raske avastada .;37;47;u 900 km/h;free;Tomahawk lendab väga pinnalähedaselt ja teda on radaritega väga raske avastada .;91.7;91.7;100.0;('km/h', 6, 2, 'lendab', 2);km/h;lendab;1
96;Dev/aja_luup200009_ud211.conllu;Tomahawk lendab väga pinnalähedaselt u 900 km/h ja teda on radaritega väga raske avastada .;59;69;radaritega;free;Tomahawk lendab väga pinnalähedaselt u 900 km/h ja teda on väga raske avastada .;92.9;92.9;92.9;('radaritega', 10, 14, 'avastada', 14);radaritega;avastada;1
101;Train/aja_ee200110_osa_3_ud211.conllu;Lisaks nõuab mees vastavalt Soome seadustele naiselt lapsele elatusraha 500 marka kuus .;18;44;vastavalt Soome seadustele;free;Lisaks nõuab mees naiselt lapsele elatusraha 500 marka kuus .;100.0;100.0;100.0;('seadustele', 5, 2, 'nõuab', 2);seadustele;nõuab;1
104;Train/aja_ee200110_osa_3_ud211.conllu;Lisaks nõuab mees vastavalt Soome seadustele naiselt lapsele elatusraha 500 marka kuus .;72;86;500 marka kuus;free;Lisaks nõuab mees vastavalt Soome seadustele naiselt lapsele elatusraha .;100.0;100.0;100.0;('marka', 10, 2, 'nõuab', 2);marka;nõuab;1
107;Train/ilu_vilep_ud211.conllu;""" Kuidas sul täna muidu päev läks ?";9;12;sul;free;""" Kuidas täna muidu päev läks ?";100.0;100.0;100.0;('sul', 2, 7, 'läks', 7);sul;läks;1
113;Train/ilu_kanep_ud211.conllu;Vahe oli vaid selles , et ühe variandi puhul tuli käia hulga lühem tee , kuid see-eest olulisel määral ebameeldivam .;87;102;olulisel määral;free;Vahe oli vaid selles , et ühe variandi puhul tuli käia hulga lühem tee , kuid see-eest ebameeldivam .;89.5;94.7;94.7;('olulisel', 17, 19, 'käia', 11);olulisel;käia;1
115;Train/tea_toohoive.conllu;Nagu alljärgnevast tabelist näha , on nende puhul , kes kursustel osalevad , kõige tõenäolisem osavõtt suhteliselt lühiajalistest - kuni ühekuulistest kursustest .;38;76;nende puhul , kes kursustel osalevad ,;free;Nagu alljärgnevast tabelist näha , on kõige tõenäolisem osavõtt suhteliselt lühiajalistest - kuni ühekuulistest kursustest .;93.8;93.8;93.8;('puhul', 7, 7, 'näha', 4);puhul;näha;1
122;Train/aja_ee199920_osa_2_ud211.conllu;"Režissöör Kuigi sõnul on väheusutav , et "" Lurjuse "" vaatajate arv kasvab edaspidi .";0;21;Režissöör Kuigi sõnul;free;"on väheusutav , et "" Lurjuse "" vaatajate arv kasvab edaspidi .";100.0;100.0;100.0;('Kuigi', 1, 1, 'on', 4);Kuigi;on;1
124;Train/aja_sloleht20071217_ud211.conllu;Eesti Rahvuskultuuri Fondi ( ERKF ) sponsorite ja stipendiaatide austamiskontserdil eile pärastlõunal Mustpeade Majas andis sihtasutuse nõukogu esimees Eri Klas kätte tänavused elutöö tänuauhinnad .;84;101;eile pärastlõunal;free;Eesti Rahvuskultuuri Fondi ( ERKF ) sponsorite ja stipendiaatide austamiskontserdil Mustpeade Majas andis sihtasutuse nõukogu esimees Eri Klas kätte tänavused elutöö tänuauhinnad .;91.3;95.7;91.3;('eile', 10, 12, 'andis', 15);eile;andis;1
125;Train/aja_sloleht20071217_ud211.conllu;Eesti Rahvuskultuuri Fondi ( ERKF ) sponsorite ja stipendiaatide austamiskontserdil eile pärastlõunal Mustpeade Majas andis sihtasutuse nõukogu esimees Eri Klas kätte tänavused elutöö tänuauhinnad .;102;117;Mustpeade Majas;free;Eesti Rahvuskultuuri Fondi ( ERKF ) sponsorite ja stipendiaatide austamiskontserdil eile pärastlõunal andis sihtasutuse nõukogu esimees Eri Klas kätte tänavused elutöö tänuauhinnad .;95.7;100.0;95.7;('Mustpeade', 12, 14, 'andis', 15);Mustpeade;andis;1
129;Train/tea_AA_05_6_ud211.conllu;kas prohvet Jesaja puhul oli tegemist ainult ühe inimesega ?;4;24;prohvet Jesaja puhul;free;kas oli tegemist ainult ühe inimesega ?;100.0;100.0;100.0;('Jesaja', 2, 2, 'oli', 5);Jesaja;oli;1
132;Train/aja_ee200110_osa_4_ud211.conllu;2000. aasta veebruaris võttis Ameerika Loodusajaloo Muuseum üles kohtuprotsessi indiaanlastega , kes tahavad endale tagasi 15,5 tonni raskust Wilamette'i meteoriiti , väites selle olevat nende kultusobjekti .;109;115;endale;free;2000. aasta veebruaris võttis Ameerika Loodusajaloo Muuseum üles kohtuprotsessi indiaanlastega , kes tahavad tagasi 15,5 tonni raskust Wilamette'i meteoriiti , väites selle olevat nende kultusobjekti .;76.9;88.5;80.8;('endale', 13, 13, 'tahavad', 13);endale;tahavad;1
139;Train/tea_dr8047.conllu;Vutiliha kolesterooli-sisalduseks oli D. Hamm ja C. Ang ( 1982 ) andmetel 57,8 mg / 100 g lihas .;38;73;D. Hamm ja C. Ang ( 1982 ) andmetel;free;Vutiliha kolesterooli-sisalduseks oli 57,8 mg / 100 g lihas .;90.0;90.0;100.0;('andmetel', 11, 2, 'oli', 3);andmetel;oli;1
141;Train/aja_luup200202_osa_1_ud211.conllu;Lõi kontakte kiiresti avaneva laia maailmaga .;13;44;kiiresti avaneva laia maailmaga;free;Lõi kontakte .;100.0;100.0;100.0;('maailmaga', 5, 1, 'Lõi', 1);maailmaga;Lõi;1
143;Dev/aja_luup200009_ud211.conllu;Kui Eestis võis aktsiahullust põhjendada oskamatuse ning kapitalismi tõdede õppimisega , siis USAs toimuv meenutab kerkivate panustega pokkerit .;41;86;oskamatuse ning kapitalismi tõdede õppimisega;free;Kui Eestis võis aktsiahullust põhjendada , siis USAs toimuv meenutab kerkivate panustega pokkerit .;100.0;100.0;100.0;('oskamatuse', 5, 5, 'põhjendada', 5);oskamatuse;põhjendada;1
145;Train/aja_pm20000218_osa_5_ud211.conllu;Iisraeli siseminister Nathan Sharansky on aga keelanud Haideril edaspidi Iisraeli külastada .;55;63;Haideril;free;Iisraeli siseminister Nathan Sharansky on aga keelanud edaspidi Iisraeli külastada .;72.7;90.9;81.8;('Haideril', 7, 7, 'keelanud', 7);Haideril;keelanud;1
154;Train/aja_ee200110_osa_8_ud211.conllu;Diskoteek Patarei tegutses üheksakümnendate alguses Linnahalli ruumides , kuhu hiljem rajati reisiterminal .;27;51;üheksakümnendate alguses;free;Diskoteek Patarei tegutses Linnahalli ruumides , kuhu hiljem rajati reisiterminal .;81.8;90.9;81.8;('alguses', 4, 3, 'tegutses', 3);alguses;tegutses;1
164;Train/aja_luup200106_osa_5_ud211.conllu;Selleks aga tuleb hakata Briti ülikoolides õpetama uute riikide keelt , kirjandust , ajalugu , kultuuri ja ühiskonda .;25;42;Briti ülikoolides;free;Selleks aga tuleb hakata õpetama uute riikide keelt , kirjandust , ajalugu , kultuuri ja ühiskonda .;94.1;94.1;100.0;('Briti', 4, 6, 'õpetama', 7);Briti;õpetama;1
167;Train/aja_horisont2000_osa_2_ud211.conllu;Sikhi mehed lisavad oma nimele liite Singh ( “ lõvi ” ) ja naised Kaur ( “ emalõvi ” ) .;20;30;oma nimele;free;Sikhi mehed lisavad liite Singh ( “ lõvi ” ) ja naised Kaur ( “ emalõvi ” ) .;78.9;89.5;89.5;('nimele', 4, 3, 'lisavad', 3);nimele;lisavad;1
171;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;Patsiendi ravijärjekorda registreerimine peab olema tagatud kõigil tööpäevadel kella 9.00- 17.00 .;60;78;kõigil tööpäevadel;free;Patsiendi ravijärjekorda registreerimine peab olema tagatud kella 9.00- 17.00 .;50.0;70.0;60.0;('tööpäevadel', 7, 6, 'peab', 4);tööpäevadel;peab;1
172;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;Patsiendi ravijärjekorda registreerimine peab olema tagatud kõigil tööpäevadel kella 9.00- 17.00 .;79;96;kella 9.00- 17.00;free;Patsiendi ravijärjekorda registreerimine peab olema tagatud kõigil tööpäevadel .;66.7;88.9;77.8;('kella', 8, 6, 'peab', 4);kella;peab;1
180;Train/aja_ee199920_osa_3_ud211.conllu;Kui tiitel lüheneb kahele aastale , muudab see ka ala aurat .;19;33;kahele aastale;free;Kui tiitel lüheneb , muudab see ka ala aurat .;90.0;90.0;100.0;('aastale', 4, 3, 'lüheneb', 3);aastale;lüheneb;1
182;Train/aja_sloleht20071217_ud211.conllu;Ministri arvates tuleb hiljemalt 2012. aastal nõuda majaomanikelt uut tegevusplaani , et vähendada küttekulu veel 30 % võrra .;23;45;hiljemalt 2012. aastal;free;Ministri arvates tuleb nõuda majaomanikelt uut tegevusplaani , et vähendada küttekulu veel 30 % võrra .;;;;('hiljemalt', 3, 6, 'nõuda', 7);hiljemalt;nõuda;1
185;Train/ilu_valton_ud211.conllu;Inimesed oma koosolekul oleksid nõudnud , et munetagu ikka rohkem , ikka suuremaid mune , nende rebud olgu kollased ja koor kõva .;9;23;oma koosolekul;free;Inimesed oleksid nõudnud , et munetagu ikka rohkem , ikka suuremaid mune , nende rebud olgu kollased ja koor kõva .;90.5;90.5;100.0;('oma', 1, 3, 'nõudnud', 5);oma;nõudnud;1
194;Train/tea_AA_05_6_ud211.conllu;Seejuures on oluline , et operandi mittevaldav protsessorüksus ise ei pöördu teiste protsessorite poole , vaid jääb passiivselt ootama , kuni temani jõuab globaalsiinilt leviedastav operand .;63;66;ise;free;Seejuures on oluline , et operandi mittevaldav protsessorüksus ei pöördu teiste protsessorite poole , vaid jääb passiivselt ootama , kuni temani jõuab globaalsiinilt leviedastav operand .;96.2;96.2;100.0;('ise', 8, 11, 'pöördu', 11);ise;pöördu;1
203;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;Dekompenseeritud südamepuudulikkusega haigetel on nesiritiidil soodne toime ka neurohormonaalsesse süsteemi .;76;107;ka neurohormonaalsesse süsteemi;free;Dekompenseeritud südamepuudulikkusega haigetel on nesiritiidil soodne toime .;100.0;100.0;100.0;('süsteemi', 9, 3, 'on', 4);süsteemi;on;1
205;Train/aja_pm19980926e_ud211.conllu;Need on mitu tuhat aastat vanad varemed esmaklassiliste kivisse raiutud joonistustega , mille esialgse otsatarbe üle vaieldakse veel praegugi .;56;63;kivisse;free;Need on mitu tuhat aastat vanad varemed esmaklassiliste raiutud joonistustega , mille esialgse otsatarbe üle vaieldakse veel praegugi .;94.7;94.7;100.0;('kivisse', 8, 10, 'on', 2);kivisse;on;1
211;Train/ilu_indrikson_ud211.conllu;Tal polnud Saksamaal oma mobiili lihtsalt vaja .;11;20;Saksamaal;free;Tal polnud oma mobiili lihtsalt vaja .;100.0;100.0;100.0;('Saksamaal', 2, 2, 'polnud', 2);Saksamaal;polnud;1
213;Train/tea_AA_05_6_ud211.conllu;Lisaks saadakse selles etapis juba esimesi vihjeid andmete kohta ning moodustatakse väljavõtte , millest võiks hüpoteese genereeruda kõige edukamalt;16;29;selles etapis;free;Lisaks saadakse juba esimesi vihjeid andmete kohta ning moodustatakse väljavõtte , millest võiks hüpoteese genereeruda kõige edukamalt;88.2;94.1;94.1;('etapis', 3, 2, 'saadakse', 2);etapis;saadakse;1
215;Dev/ilu_orlau_ud211.conllu;Purukslennanud aknast paistis suur hall kivi .;0;21;Purukslennanud aknast;free;paistis suur hall kivi .;100.0;100.0;100.0;('Purukslennanud', 0, 2, 'paistis', 3);Purukslennanud;paistis;1
218;Train/tea_eesti_arst_2004_osa_2_ud211.conllu;Põie täitumisel levib impulss detrusor'i pingeretseptoritelt läbi seljaaju ja pons'i ajukoorde - inimene tunnetab vajadust tühjendada põit .;61;84;läbi seljaaju ja pons'i;free;Põie täitumisel levib impulss detrusor'i pingeretseptoritelt ajukoorde - inimene tunnetab vajadust tühjendada põit .;92.9;100.0;92.9;('seljaaju', 7, 3, 'levib', 3);seljaaju;levib;1
224;Train/arborest_ud211.conllu;Valasin piima tagasi ämbrisse .;21;29;ämbrisse;free;Valasin piima tagasi .;100.0;100.0;100.0;('ämbrisse', 3, 1, 'Valasin', 1);ämbrisse;Valasin;1
228;Train/aja_pm19980926e_ud211.conllu;Ja kuigi tõve tippaeg jääb tavaliselt veel jahedamatele kuudele , võiks profülaktika mõttes ennast juba praegu vaktsineerida lasta .;72;91;profülaktika mõttes;free;Ja kuigi tõve tippaeg jääb tavaliselt veel jahedamatele kuudele , võiks ennast juba praegu vaktsineerida lasta .;88.2;88.2;100.0;('profülaktika', 11, 13, 'lasta', 18);profülaktika;lasta;1
230;Train/ilu_kanep_ud211.conllu;"Ma ise põhimõtteliselt hea meelega väldiksin selle küsimuse küsimist ; õigupoolest olen juba ammu otsustanud , et ei küsi seda teistelt , kuna niikuinii nad ei mõista miskit mõistlikku kosta , aga olen ma jee ülejäänud inimestest parem , elik siis kuidas sul endal läheb ? """;127;135;teistelt;free;"Ma ise põhimõtteliselt hea meelega väldiksin selle küsimuse küsimist ; õigupoolest olen juba ammu otsustanud , et ei küsi seda , kuna niikuinii nad ei mõista miskit mõistlikku kosta , aga olen ma jee ülejäänud inimestest parem , elik siis kuidas sul endal läheb ? """;95.7;97.8;97.8;('teistelt', 20, 19, 'küsi', 19);teistelt;küsi;1
231;Train/ilu_kanep_ud211.conllu;"Ma ise põhimõtteliselt hea meelega väldiksin selle küsimuse küsimist ; õigupoolest olen juba ammu otsustanud , et ei küsi seda teistelt , kuna niikuinii nad ei mõista miskit mõistlikku kosta , aga olen ma jee ülejäänud inimestest parem , elik siis kuidas sul endal läheb ? """;209;229;ülejäänud inimestest;free;"Ma ise põhimõtteliselt hea meelega väldiksin selle küsimuse küsimist ; õigupoolest olen juba ammu otsustanud , et ei küsi seda teistelt , kuna niikuinii nad ei mõista miskit mõistlikku kosta , aga olen ma jee parem , elik siis kuidas sul endal läheb ? """;93.3;95.6;97.8;('ülejäänud', 35, 37, 'mõista', 27);ülejäänud;mõista;1
236;Train/tea_toohoive.conllu;Andmetest ilmneb , et ehitistesse tehtud investeeringud mõjutasid tööhõivet mõlemal vaadeldaval aastal tugevalt ja positiivselt .;22;33;ehitistesse;free;Andmetest ilmneb , et tehtud investeeringud mõjutasid tööhõivet mõlemal vaadeldaval aastal tugevalt ja positiivselt .;100.0;100.0;100.0;('ehitistesse', 4, 6, 'mõjutasid', 8);ehitistesse;mõjutasid;1
237;Train/tea_toohoive.conllu;Andmetest ilmneb , et ehitistesse tehtud investeeringud mõjutasid tööhõivet mõlemal vaadeldaval aastal tugevalt ja positiivselt .;76;102;mõlemal vaadeldaval aastal;free;Andmetest ilmneb , et ehitistesse tehtud investeeringud mõjutasid tööhõivet tugevalt ja positiivselt .;100.0;100.0;100.0;('aastal', 11, 8, 'mõjutasid', 8);aastal;mõjutasid;1
244;Train/aja_luup200106_osa_4_ud211.conllu;Tänane kirikupea , järjekorras juba 132. katolikoss Karekin II rõhutab oma läkituses , et 1700. aasta juubel langeb kokku ajaga , mil armeenia rahvas võib pärast 600-aastast võõrvõimu taas iseseisvust nautida .;71;84;oma läkituses;free;Tänane kirikupea , järjekorras juba 132. katolikoss Karekin II rõhutab , et 1700. aasta juubel langeb kokku ajaga , mil armeenia rahvas võib pärast 600-aastast võõrvõimu taas iseseisvust nautida .;93.3;96.7;93.3;('läkituses', 11, 10, 'rõhutab', 10);läkituses;rõhutab;1
