,analysis_name,analysis_substrate,parameter_code,parameter_name,unit,count,System,Pleural,Pericardial,SerPla,VenoseBlood,CapillaryBlood,ArterialBlood,CSF,Blood,Plasma,Serum,Urine
2928,Histoloogia,nan,U-Mopopiaadiduriinis,Kirjeldus,,2,,False,False,False,False,False,False,False,False,False,False,True
2956,Histoloogia,nan,U-M1M-komponent1uriinis,Arhiivi number,,1,,False,False,False,False,False,False,False,False,False,False,True
3045,Histoloogia,nan,U-Sedim-m,Kirjeldus,,6,,False,False,False,False,False,False,False,False,False,False,True
3121,Hematoloogilised uuringud,nan,U-ColVärvus,RDW%,,1476,,False,False,False,False,False,False,False,False,False,False,True
3199,Histoloogia,nan,U-Ampnegamfetamiinjatemaderivaadiduriinis,Diagnoos 1,,23,,False,False,False,False,False,False,False,False,False,False,True
3209,Histoloogia,nan,U-Sed-m,Arhiivi number,,6752,,False,False,False,False,False,False,False,False,False,False,True
3228,Histoloogia,nan,U-PBGPorfobilinogeenuriinis,Kirjeldus,,3,,False,False,False,False,False,False,False,False,False,False,True
3235,Hematoloogilised uuringud,nan,U-M.alb.,PLCR,,1,,False,False,False,False,False,False,False,False,False,False,True
3313,Hematoloogilised uuringud,nan,U-AmylPAmülaasipankreasefraktsioonuriinis,PLCR,,2,,False,False,False,False,False,False,False,False,False,False,True
3345,Hematoloogilised uuringud,nan,U-Barbarbituraadiduriinis,PLCR,,3,,False,False,False,False,False,False,False,False,False,False,True
3373,Histoloogia,nan,U-BilBilirubiin,Arhiivi number,,1484,,False,False,False,False,False,False,False,False,False,False,True
3464,Histoloogia,nan,U-Gluc,Arhiivi number,,177,,False,False,False,False,False,False,False,False,False,False,True
3490,Histoloogia,nan,dU-Ca,Lokatsioon,,6,,False,False,False,False,False,False,False,False,False,False,True
3510,Histoloogia,nan,U-Uu+Up-PCR,Arhiivi number,,6,,False,False,False,False,False,False,False,False,False,False,True
3604,Hematoloogilised uuringud,nan,U-OXYoksükodoonuriinis,PLCR,,9,,False,False,False,False,False,False,False,False,False,False,True
3640,Histoloogia,nan,U-Ca.fos.krKaltsiumfosfaadikristallid,Lokatsioon,,3,,False,False,False,False,False,False,False,False,False,False,True
3676,Hematoloogilised uuringud,nan,U-sedim-suprav,PLCR,,305,,False,False,False,False,False,False,False,False,False,False,True
3718,Histoloogia,nan,U-Ng-PCR,Lokatsioon,,4,,False,False,False,False,False,False,False,False,False,False,True
3799,Histoloogia,nan,U-OsmolOsmolaalsusuriinis,Arhiivi number,,4,,False,False,False,False,False,False,False,False,False,False,True
3899,Hematoloogilised uuringud,nan,U-uriini_valgu_ja_sademega,RDW%,,256,,False,False,False,False,False,False,False,False,False,False,True
3920,Hematoloogilised uuringud,nan,U-Alb,RDW%,,34,,False,False,False,False,False,False,False,False,False,False,True
3944,Hematoloogilised uuringud,nan,U-TCAtritsükloantidepressandiduriinis,PLCR,,11,,False,False,False,False,False,False,False,False,False,False,True
3990,Histoloogia,nan,dU-MA,Kirjeldus,,28,,False,False,False,False,False,False,False,False,False,False,True
4012,Histoloogia,nan,U-Ctr-PCR,Diagnoos 1,,22,,False,False,False,False,False,False,False,False,False,False,True
4073,Histoloogia,nan,U-PPXpropoksüfeenuriinis,Arhiivi number,,8,,False,False,False,False,False,False,False,False,False,False,True
4082,Histoloogia,nan,U-Bupr,Diagnoos 1,,1,,False,False,False,False,False,False,False,False,False,False,True
4086,Histoloogia,nan,U-Prot-FrUriinivalkudeelektroforees,Lokatsioon,,5,,False,False,False,False,False,False,False,False,False,False,True
4092,Histoloogia,nan,dU-ProtValkööpäevasesuriinis,Kirjeldus,,82,,False,False,False,False,False,False,False,False,False,False,True
4094,Histoloogia,nan,U-Alb,Kirjeldus,,34,,False,False,False,False,False,False,False,False,False,False,True
4115,Histoloogia,nan,U-Bil.krBilirubiinikristallid,Kirjeldus,,1,,False,False,False,False,False,False,False,False,False,False,True
4183,Histoloogia,nan,U-Sed-m.,Diagnoos 1,,653,,False,False,False,False,False,False,False,False,False,False,True
4264,Histoloogia,nan,U-Amylaas,Kirjeldus,,15,,False,False,False,False,False,False,False,False,False,False,True
4296,Histoloogia,nan,dU-Cort,Lokatsioon,,1,,False,False,False,False,False,False,False,False,False,False,True
4316,Histoloogia,nan,U-Fylfentanüüluriinis,Diagnoos 1,,10,,False,False,False,False,False,False,False,False,False,False,True
4380,Histoloogia,nan,dU-Cu,Kirjeldus,,1,,False,False,False,False,False,False,False,False,False,False,True
4405,Histoloogia,nan,U-_uriini_suhkur,Kirjeldus,,2,,False,False,False,False,False,False,False,False,False,False,True
4450,Hematoloogilised uuringud,nan,U-PBGPorfobilinogeenuriinis,RDW%,,3,,False,False,False,False,False,False,False,False,False,False,True
4509,Histoloogia,nan,U-uriini_automaat_uriinivalguga,Lokatsioon,,57,,False,False,False,False,False,False,False,False,False,False,True
4547,Histoloogia,nan,dU-CreatKreatiniinööpäevasesuriinis,Kirjeldus,,7,,False,False,False,False,False,False,False,False,False,False,True
4563,Histoloogia,nan,U-Alb/U-Crea,Lokatsioon,,416,,False,False,False,False,False,False,False,False,False,False,True
4577,Hematoloogilised uuringud,nan,dU-Prot-FrUriinivalkudeelektroforees,RDW%,,8,,False,False,False,False,False,False,False,False,False,False,True
4581,Histoloogia,nan,dU-DALA,Lokatsioon,,4,,False,False,False,False,False,False,False,False,False,False,True
4620,Histoloogia,nan,U-METmetamfetamiinuriinis,Kirjeldus,,18,,False,False,False,False,False,False,False,False,False,False,True
4647,Histoloogia,nan,U-Narco,Lokatsioon,,69,,False,False,False,False,False,False,False,False,False,False,True
4655,Histoloogia,nan,U-Alb/glAlbumiinid/globuliiniduriinis,Arhiivi number,,1,,False,False,False,False,False,False,False,False,False,False,True
4674,Histoloogia,nan,U-AmylPAmülaasipankreasefraktsioonuriinis,Kirjeldus,,2,,False,False,False,False,False,False,False,False,False,False,True
4732,Histoloogia,nan,U-Amf.fos.kAmorfsefosfaadikristallid,Lokatsioon,,4,,False,False,False,False,False,False,False,False,False,False,True
4776,Hematoloogilised uuringud,nan,U-Uricult,RDW%,,183,,False,False,False,False,False,False,False,False,False,False,True
4802,Histoloogia,nan,U-AmylP/U-CreaPankr.amülaasijakreatiniinisuheuriinis,Diagnoos 1,,2,,False,False,False,False,False,False,False,False,False,False,True
4861,Histoloogia,nan,dU-Crea,Diagnoos 1,,1,,False,False,False,False,False,False,False,False,False,False,True
4929,Hematoloogilised uuringud,nan,U-Prot-FrUriinivalkudeelektroforees,RDW%,,5,,False,False,False,False,False,False,False,False,False,False,True
4963,Histoloogia,nan,dU-MgMagneesiumööpäevasesuriinis,Diagnoos 1,,1,,False,False,False,False,False,False,False,False,False,False,True
5033,Histoloogia,nan,U-UreaUureauriinis,Diagnoos 1,,1,,False,False,False,False,False,False,False,False,False,False,True
5054,Histoloogia,nan,dU-AlbAlbumiinööpäevasesuriinis,Diagnoos 1,,24,,False,False,False,False,False,False,False,False,False,False,True
5093,Histoloogia,nan,U-GlukGlükoosjuhuslikusuriinis,Arhiivi number,,61,,False,False,False,False,False,False,False,False,False,False,True
5182,Hematoloogilised uuringud,nan,U-BZDbenzodiazepiinuriinis,PLCR,,13,,False,False,False,False,False,False,False,False,False,False,True
5195,Hematoloogilised uuringud,nan,U-KetKetokehad,RDW%,,1483,,False,False,False,False,False,False,False,False,False,False,True
5230,Hematoloogilised uuringud,nan,U-Bupr,PLCR,,1,,False,False,False,False,False,False,False,False,False,False,True
5375,Histoloogia,nan,U-ProtValkuriinis(elektroforees),Diagnoos 1,,1,,False,False,False,False,False,False,False,False,False,False,True
5434,Hematoloogilised uuringud,nan,U-Barbarbituraadiduriinis,RDW%,,3,,False,False,False,False,False,False,False,False,False,False,True
5464,Histoloogia,nan,U-HPV-genotüüp-PCR,Kirjeldus,,1,,False,False,False,False,False,False,False,False,False,False,True
5472,Hematoloogilised uuringud,nan,U-Sedim ,RDW%,,3,,False,False,False,False,False,False,False,False,False,False,True
5504,Hematoloogilised uuringud,nan,U-Uu-PCR,RDW%,,20,,False,False,False,False,False,False,False,False,False,False,True
5527,Histoloogia,nan,U-S-Crea-Cmõõdetav(kretiniinikliirens),Arhiivi number,,13,,False,False,False,False,False,False,False,False,False,False,True
5541,Histoloogia,nan,U-f-kappa/lambda,Diagnoos 1,,15,,False,False,False,False,False,False,False,False,False,False,True
5552,Histoloogia,nan,U-Prot_,Arhiivi number,,74,,False,False,False,False,False,False,False,False,False,False,True
5591,Histoloogia,nan,U-Crea,Kirjeldus,,2,,False,False,False,False,False,False,False,False,False,False,True
5616,Histoloogia,nan,U-ProtValkuriinis,Lokatsioon,,17,,False,False,False,False,False,False,False,False,False,False,True
5643,Hematoloogilised uuringud,nan,U-Strepn,RDW%,,7,,False,False,False,False,False,False,False,False,False,False,True
5821,Histoloogia,nan,dU-Alb-elAlbumiinid(elektroforeesil),Kirjeldus,,6,,False,False,False,False,False,False,False,False,False,False,True
5899,Histoloogia,nan,U-Metmetamfetamiinuriinis,Diagnoos 1,,5,,False,False,False,False,False,False,False,False,False,False,True
5937,Histoloogia,nan,U-Ca.oks.krKaltsiumoksalaadikristallid,Kirjeldus,,16,,False,False,False,False,False,False,False,False,False,False,True
6016,Hematoloogilised uuringud,nan,dU-Kreat/Album,RDW%,,3,,False,False,False,False,False,False,False,False,False,False,True
6042,Hematoloogilised uuringud,nan,U-uriini_valgu_ja_sademega,PLCR,,256,,False,False,False,False,False,False,False,False,False,False,True
6051,Histoloogia,nan,dU-ALBAlbumiinööpäevasesuriinis,Lokatsioon,,6,,False,False,False,False,False,False,False,False,False,False,True
6088,Histoloogia,nan,U-Metmetamfetamiinuriinis,Kirjeldus,,5,,False,False,False,False,False,False,False,False,False,False,True
6089,Histoloogia,nan,U-AmylAmülaasuriinis,Diagnoos 1,,4,,False,False,False,False,False,False,False,False,False,False,True
6090,Histoloogia,nan,U-Myc,Arhiivi number,,9,,False,False,False,False,False,False,False,False,False,False,True
6142,Histoloogia,nan,U-Metmetamfetamiinuriinis,Arhiivi number,,5,,False,False,False,False,False,False,False,False,False,False,True
6207,Histoloogia,nan,U-Mopopiaadiduriinis,Arhiivi number,,2,,False,False,False,False,False,False,False,False,False,False,True
6280,Histoloogia,nan,U-BilBilirubiin,Diagnoos 1,,1484,,False,False,False,False,False,False,False,False,False,False,True
6312,Histoloogia,nan,U-Ampnegamfetamiinjatemaderivaadiduriinis,Lokatsioon,,23,,False,False,False,False,False,False,False,False,False,False,True
6316,Histoloogia,nan,U-Strip,Kirjeldus,,94919,,False,False,False,False,False,False,False,False,False,False,True
6319,Histoloogia,nan,U-EtGlyetüleenglükooluriinis,Lokatsioon,,1,,False,False,False,False,False,False,False,False,False,False,True
6350,Hematoloogilised uuringud,nan,U-Alb-2,RDW%,,7,,False,False,False,False,False,False,False,False,False,False,True
6439,Hematoloogilised uuringud,nan,U-Prot_,RDW%,,74,,False,False,False,False,False,False,False,False,False,False,True
6466,Hematoloogilised uuringud,nan,dU-Alb,RDW%,,6,,False,False,False,False,False,False,False,False,False,False,True
6657,Histoloogia,nan,U-Uu+Up-PCR,Diagnoos 1,,6,,False,False,False,False,False,False,False,False,False,False,True
6708,Histoloogia,nan,U-_Gluc_suhkur,Arhiivi number,,2,,False,False,False,False,False,False,False,False,False,False,True
6736,Histoloogia,nan,U-N_gonorrhoeae_DNA,Lokatsioon,,6,,False,False,False,False,False,False,False,False,False,False,True
6808,Hematoloogilised uuringud,nan,U-Myge-PCR,PLCR,,4,,False,False,False,False,False,False,False,False,False,False,True
6813,Histoloogia,nan,dU-Alb-elAlbumiinid(elektroforeesil),Diagnoos 1,,6,,False,False,False,False,False,False,False,False,False,False,True
6862,Hematoloogilised uuringud,nan,U-_Amyl,RDW%,,3,,False,False,False,False,False,False,False,False,False,False,True
6900,Histoloogia,nan,dU-P,Arhiivi number,,4,,False,False,False,False,False,False,False,False,False,False,True
7033,Hematoloogilised uuringud,nan,U-AmylP,RDW%,,2,,False,False,False,False,False,False,False,False,False,False,True
7062,Hematoloogilised uuringud,nan,dU-CaKaltsiumööpäevasesuriinis,PLCR,,1,,False,False,False,False,False,False,False,False,False,False,True
7142,Histoloogia,nan,U-Prot,Arhiivi number,,442,,False,False,False,False,False,False,False,False,False,False,True
7162,Histoloogia,nan,U-Ecsecstasyuriinis,Lokatsioon,,18,,False,False,False,False,False,False,False,False,False,False,True
7179,Histoloogia,nan,U-uriini_valgu_ja_sademega,Kirjeldus,,256,,False,False,False,False,False,False,False,False,False,False,True
7218,Histoloogia,nan,U-Acetonatsetoonuriinis,Lokatsioon,,1,,False,False,False,False,False,False,False,False,False,False,True
7222,Hematoloogilised uuringud,nan,U-Crea,RDW%,,2,,False,False,False,False,False,False,False,False,False,False,True
7263,Histoloogia,nan,U-AlbAlbumiinuriinis,Arhiivi number,,106,,False,False,False,False,False,False,False,False,False,False,True
7392,Histoloogia,nan,U-Ampamfetamiinjatemaderivaadiduriinis,Diagnoos 1,,1,,False,False,False,False,False,False,False,False,False,False,True
7588,Hematoloogilised uuringud,nan,U-AmylAmülaasuriinis,RDW%,,4,,False,False,False,False,False,False,False,False,False,False,True
7625,Hematoloogilised uuringud,nan,U-Ca.oks.krKaltsiumoksalaadikristallid,PLCR,,16,,False,False,False,False,False,False,False,False,False,False,True
7653,Histoloogia,nan,U-uriini_autom,Kirjeldus,,902,,False,False,False,False,False,False,False,False,False,False,True
7656,Hematoloogilised uuringud,nan,U-_Gluc_suhkur,PLCR,,2,,False,False,False,False,False,False,False,False,False,False,True
7674,Histoloogia,nan,U-PorfPorfüriinid(uro-jakoproporfüriinid)uriinis,Lokatsioon,,3,,False,False,False,False,False,False,False,False,False,False,True
7716,Hematoloogilised uuringud,nan,U-Mopopiaadiduriinis,PLCR,,2,,False,False,False,False,False,False,False,False,False,False,True
7740,Histoloogia,nan,U-Myc,Lokatsioon,,9,,False,False,False,False,False,False,False,False,False,False,True
7768,Histoloogia,nan,dU-OsmolOsmolaalsusööpäevasesuriinis,Kirjeldus,,2,,False,False,False,False,False,False,False,False,False,False,True
7815,Histoloogia,nan,U-Bar,Diagnoos 1,,3,,False,False,False,False,False,False,False,False,False,False,True
7856,Histoloogia,nan,U-Ngo-PCR,Arhiivi number,,10,,False,False,False,False,False,False,False,False,False,False,True
7878,Histoloogia,nan,U-Metmetamfetamiinuriinis,Lokatsioon,,5,,False,False,False,False,False,False,False,False,False,False,True
7914,Hematoloogilised uuringud,nan,dU-DALA-Delta-amiino-levuliinhapeööpäevasesuriinis,RDW%,,1,,False,False,False,False,False,False,False,False,False,False,True
8033,Histoloogia,nan,U-SGErikaal,Kirjeldus,,1458,,False,False,False,False,False,False,False,False,False,False,True
8066,Histoloogia,nan,U-Sedim ,Kirjeldus,,3,,False,False,False,False,False,False,False,False,False,False,True
8130,Histoloogia,nan,U-Prot-FrUriinivalkudeelektroforees,Arhiivi number,,5,,False,False,False,False,False,False,False,False,False,False,True
8137,Histoloogia,nan,U-ImmfixUriinivalkudeimmuunfiksatsioon,Arhiivi number,,1,,False,False,False,False,False,False,False,False,False,False,True
8172,Histoloogia,nan,U-MeOHmetanooluriinis,Arhiivi number,,1,,False,False,False,False,False,False,False,False,False,False,True
8296,Histoloogia,nan,U-Bzdbenzodiazepiinuriinis,Arhiivi number,,3,,False,False,False,False,False,False,False,False,False,False,True
8298,Hematoloogilised uuringud,nan,dU-UreaUureaööpäevasesuriinis,PLCR,,27,,False,False,False,False,False,False,False,False,False,False,True
8325,Hematoloogilised uuringud,nan,U-Mg-PCR,RDW%,,22,,False,False,False,False,False,False,False,False,False,False,True
8396,Histoloogia,nan,dU-Catechol,Arhiivi number,,22,,False,False,False,False,False,False,False,False,False,False,True
8469,Histoloogia,nan,U-Alb/U-CreaMikroalbuminuuria,Kirjeldus,,9,,False,False,False,False,False,False,False,False,False,False,True
8515,Histoloogia,nan,U-Bar,Lokatsioon,,3,,False,False,False,False,False,False,False,False,False,False,True
8539,Hematoloogilised uuringud,nan,U-Aer,PLCR,,50,,False,False,False,False,False,False,False,False,False,False,True
8553,Histoloogia,nan,U-DALADelta-aminolevuliinhapeuriinis,Lokatsioon,,3,,False,False,False,False,False,False,False,False,False,False,True
8559,Hematoloogilised uuringud,nan,U-WBCLeukotsüüdid,RDW%,,1487,,False,False,False,False,False,False,False,False,False,False,True
8722,Histoloogia,nan,U-EtGlyetüleenglükooluriinis,Diagnoos 1,,1,,False,False,False,False,False,False,False,False,False,False,True
8728,Hematoloogilised uuringud,nan,U-THCkannabinoididuriinis,PLCR,,23,,False,False,False,False,False,False,False,False,False,False,True
8760,Histoloogia,nan,U-WBCLeukotsüüdid,Diagnoos 1,,1487,,False,False,False,False,False,False,False,False,False,False,True
8769,Hematoloogilised uuringud,nan,U-BilBilirubiin,RDW%,,1484,,False,False,False,False,False,False,False,False,False,False,True
8778,Histoloogia,nan,U-BZDbenzodiazepiinuriinis,Diagnoos 1,,13,,False,False,False,False,False,False,False,False,False,False,True
8781,Histoloogia,nan,U-OsmolOsmolaalsusuriinis,Kirjeldus,,4,,False,False,False,False,False,False,False,False,False,False,True
8853,Hematoloogilised uuringud,nan,U-Alb/U-Crea,PLCR,,252,,False,False,False,False,False,False,False,False,False,False,True
8901,Hematoloogilised uuringud,nan,U-MeOHmetanooluriinis,PLCR,,1,,False,False,False,False,False,False,False,False,False,False,True
8918,Histoloogia,nan,U-ProValk,Diagnoos 1,,1483,,False,False,False,False,False,False,False,False,False,False,True
8947,Histoloogia,nan,U-OXYoksükodoonuriinis,Kirjeldus,,9,,False,False,False,False,False,False,False,False,False,False,True
8973,Histoloogia,nan,dU-ProtValkööpäevasesuriinis,Arhiivi number,,82,,False,False,False,False,False,False,False,False,False,False,True
8995,Histoloogia,nan,U-Amylaas,Arhiivi number,,15,,False,False,False,False,False,False,False,False,False,False,True
9008,Histoloogia,nan,U-gam-glGammaglobuliiniduriinis,Kirjeldus,,3,,False,False,False,False,False,False,False,False,False,False,True
9214,Histoloogia,nan,U-M1M-komponent1uriinis,Diagnoos 1,,1,,False,False,False,False,False,False,False,False,False,False,True
9279,Histoloogia,nan,dU-UreaUureaööpäevasesuriinis,Arhiivi number,,27,,False,False,False,False,False,False,False,False,False,False,True
9312,Hematoloogilised uuringud,nan,dU-M1M-komponent1uriinis,RDW%,,4,,False,False,False,False,False,False,False,False,False,False,True
9320,Hematoloogilised uuringud,nan,U-KKaaliumuriinis,RDW%,,1,,False,False,False,False,False,False,False,False,False,False,True
9326,Hematoloogilised uuringud,nan,dU-5-HIAA,RDW%,,2,,False,False,False,False,False,False,False,False,False,False,True
9349,Histoloogia,nan,dU-DALA,Arhiivi number,,4,,False,False,False,False,False,False,False,False,False,False,True
9387,Histoloogia,nan,U-Tbc-Bac,Lokatsioon,,13,,False,False,False,False,False,False,False,False,False,False,True
9390,Histoloogia,nan,U-Amf.fos.kAmorfsefosfaadikristallid,Kirjeldus,,4,,False,False,False,False,False,False,False,False,False,False,True
9420,Histoloogia,nan,U-uriini_automaat_uriinivalguga,Diagnoos 1,,57,,False,False,False,False,False,False,False,False,False,False,True
9573,Hematoloogilised uuringud,nan,U-Alb-2,PLCR,,4,,False,False,False,False,False,False,False,False,False,False,True
9598,Histoloogia,nan,U-uriini_autom,Diagnoos 1,,902,,False,False,False,False,False,False,False,False,False,False,True
9607,Histoloogia,nan,dU-Catechol,Diagnoos 1,,22,,False,False,False,False,False,False,False,False,False,False,True
9615,Histoloogia,nan,U-urilux,Diagnoos 1,,290,,False,False,False,False,False,False,False,False,False,False,True
9622,Hematoloogilised uuringud,nan,U-Amyl,PLCR,,49,,False,False,False,False,False,False,False,False,False,False,True
