analysis_name, parameter_name, t_lyhend
Happe-alustasakaal arteriaalses veres,"ABE,c",aB-BE
Happe-aluse tasakaal arteriaalses veres,AaDpO2,aB-AaDpO2
Uriini uuring 10-parameetrilise testribaga,GLU,U-Gluc
Uriini uuring 10-parameetrilise testribaga,SG,U-SG strip
Uriini uuring 10-parameetrilise testribaga,UBG,U-Ubg strip
Uriini uuring 10-parameetrilise testribaga,ERY,U-RBC strip
Uriini uuring 10-parameetrilise testribaga,KET,U-Ket
Uriini uuring 10-parameetrilise testribaga,PRO,U-Prot
Uriini uuring 10-parameetrilise testribaga,LEU,U-WBC strip
Uriini uuring 10-parameetrilise testribaga,BIL,U-Bil strip
Happe-aluse tasakaal arteriaalses veres,ABE,aB-BE
Happe-aluse tasakaalu uuring arteriaalses veres,FiO2,FiO2
Hemogramm,Naatrium,"S,P-Na"
Hemogramm,Kaalium,"S,P-K"
Hemogramm,Glükoos,"S,P-Gluc"
Hemogramm,Anioonide vahe,AnionGap (K+)
Hemogramm,CRP,"S,P-CRP"
Hemogramm,Uurea,"S,P-Urea"
Hemogramm,Kreatiniin,"S,P-Crea"
Hemogramm,eGFR,eGFR
Hemogramm,ALAT,"S,P-ALAT"
Hemogramm,PT%,P-PT%
Hemogramm,CK-MBm,"S,P-CK-Mbm"
Hemogramm,ASAT,"S,P-ASAT"
Hemogramm,Valk,"S,P-Prot"
Hemogramm,Troponiin T (kõrgtundlik),"S,P-cTnT-hs"
Hemogramm,NT-proBNP,"S,P-NT-proBNP"
Hemogramm,eGFR (CKD-EPI),eGFR (CKD-EPI)
Hemogramm,Albumiin,"S,P-Alb"
Hemogramm,Prokaltsitoniin,"S,P-PCT"
Hemogramm,Kaltsium (ioniseeritud),"S,P-iCa"
Hemogramm,ALP,"S,P-ALP"
Hemogramm,Bilirubiin,"S,P-Bil"
Hemogramm,Amülaas,"S,P-Amyl"
Hemogramm,Kolesterool,"S,P-Chol"
Hemogramm,D-dimeerid,P-D-Di
Hemogramm,Erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga,"B-RBC Ab screen I, II. III"
Hemogramm,Triglütseriidid,"fS,fP-Trigl"
Hemogramm,GGT,"S,P-GGT"
Hemogramm,Bilirubiin (konjugeeritud),"S,P-Bil-conj"
Hemogramm,HDL,"S,P-HDL-Chol"
Hemogramm,LDL,"S,P-LDL-Chol"
Hemogramm,Erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga,"B-RBC Ab screen I, II"
Hemogramm,LDH,"S,P-LDH"
Hemogramm,Lipaas,"S,P-Lip"
Hemogramm,CK,"S,P-CK"
Hemogramm,Müoglobiin,"S,P-Myogl"
Hemogramm,Magneesium,"S,P-Mg"
Hemogramm,Vitamiin D (25-OH),"S,P-Vit D (25-OH)"
Hemogramm,APTT,P-APTT
Hemogramm 5-osalise leukogrammiga,Kaalium,"S,P-K"
Hemogramm 5-osalise leukogrammiga,Naatrium,"S,P-Na"
Hemogramm 5-osalise leukogrammiga,CRP,"S,P-CRP"
Hemogramm 5-osalise leukogrammiga,Kreatiniin,"S,P-Crea"
Hemogramm 5-osalise leukogrammiga,eGFR (CKD-EPI),eGFR (CKD-EPI)
Hemogramm 5-osalise leukogrammiga,Glükoos,"S,P-Gluc"
Hemogramm 5-osalise leukogrammiga,Albumiin,"S,P-Alb"
Hemogramm 5-osalise leukogrammiga,ASAT,"S,P-ASAT"
Hemogramm 5-osalise leukogrammiga,ALAT,"S,P-ALAT"
Hemogramm 5-osalise leukogrammiga,Prokaltsitoniin,"S,P-PCT"
Hemogramm 5-osalise leukogrammiga,Uurea,"S,P-Urea"
Hemogramm 5-osalise leukogrammiga,Valk,"S,P-Prot"
Hemogramm 5-osalise leukogrammiga,Kaltsium (ioniseeritud),"S,P-iCa"
Hemogramm 5-osalise leukogrammiga,eGFR,eGFR
Hemogramm 5-osalise leukogrammiga,Kusihape,"S,P-UA"
Hemogramm 5-osalise leukogrammiga,Anioonide vahe,AnionGap (K+)
Hemogramm 5-osalise leukogrammiga,Bilirubiin,"S,P-Bil"
Hemogramm 5-osalise leukogrammiga,LDH,"S,P-LDH"
Hemogramm 5-osalise leukogrammiga,ALP,"S,P-ALP"
Hemogramm 5-osalise leukogrammiga,Kolesterool,"S,P-Chol"
Hemogramm 5-osalise leukogrammiga,GGT,"S,P-GGT"
Hemogramm 5-osalise leukogrammiga,PT%,P-PT%
Hemogramm 5-osalise leukogrammiga,Neutrofiilid %,B-Neutrofiilid %
Hemogramm 5-osalise leukogrammiga,Amülaas,"S,P-Amyl"
Hemogramm 5-osalise leukogrammiga,Lipaas,"S,P-Lip"
Hemogramm 5-osalise leukogrammiga,Fosfaat,"S,P-P"
Hemogramm 5-osalise leukogrammiga,Kepptuumsed neutrofiilid %,B-Kepptuumsed neutrofiilid %
Hemogramm 5-osalise leukogrammiga,Segmenttuumsed neutrofiilid %,B-Segmenttuumsed neutrofiilid %
Hemogramm 5-osalise leukogrammiga,Lümfotsüüdid %,B-Lümfotsüüdid %
Hemogramm 5-osalise leukogrammiga,Monotsüüdid %,B-Monotsüüdid %
Hemogramm 5-osalise leukogrammiga,Kaltsium,"S,P-Ca"
Hemogramm 5-osalise leukogrammiga,CK-MBm,"S,P-CK-MBm"
Hemogramm 5-osalise leukogrammiga,Troponiin T (kõrgtundlik),"S,P-cTnT-hs"
Hemogramm 5-osalise leukogrammiga,Eosinofiilid %,B-Eosinofiilid %
Hemogramm 5-osalise leukogrammiga,NT-proBNP,"S,P-NT-proBNP"
Hemogramm 5-osalise leukogrammiga,Magneesium,"S,P-Mg"
Hemogramm 5-osalise leukogrammiga,Plasmarakud %,B-Plasmarakud %
Hemogramm 5-osalise leukogrammiga,APTT,P-APTT
Hemogramm 5-osalise leukogrammiga,Bilirubiin (konjugeeritud),"S,P-Bil-conj"
Hemogramm 5-osalise leukogrammiga,D-dimeerid,P-D-Di
Hemogramm 5-osalise leukogrammiga,Reaktiivsed lümfotsüüdid %,B-Reaktiivsed lümfotsüüdid %
Hemogramm 5-osalise leukogrammiga,Basofiilid %,B-Basofiilid %
Hemogramm 5-osalise leukogrammiga,Kloriid,"S,P-Cl"
Hemogramm 5-osalise leukogrammiga,Alfa-2-globuliinid,S-a2-glob-Fr
Hemogramm 5-osalise leukogrammiga,Beeta-1-globuliinid %,S-b1-glob-Fr%
Hemogramm 5-osalise leukogrammiga,Gammaglobuliinid %,S-g-glob-Fr%
Hemogramm 5-osalise leukogrammiga,M-komponent 1 %,S-M-spike1-Fr%
Hemogramm 5-osalise leukogrammiga,Beeta-2-globuliinid %,S-b2-glob-Fr%
Hemogramm 5-osalise leukogrammiga,Alfa-2-globuliinid %,S-a2-glob-Fr%
Hemogramm 5-osalise leukogrammiga,M-komponent 1,S-M-spike1-Fr
Hemogramm 5-osalise leukogrammiga,Beeta-1-globuliinid,S-b1-glob-Fr
Hemogramm 5-osalise leukogrammiga,Albumiin %,S-Alb-Fr%
Hemogramm 5-osalise leukogrammiga,Beeta-2-globuliinid,S-b2-glob-Fr
Hemogramm 5-osalise leukogrammiga,Gammaglobuliinid,S-g-glob-Fr
Hemogramm 5-osalise leukogrammiga,Alfa-1-globuliinid,S-a1-glob-Fr
Hemogramm 5-osalise leukogrammiga,"Kaltsium (ioniseeritud, pH 7,4)","S,P-iCa (pH 7,4)"
Hemogramm 5-osalise leukogrammiga,Alfa-1-globuliinid %,Alfa-1-globuliinid %
Hemogramm 5-osalise leukogrammiga,Erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga,"B-RBC Ab screen I, II. III"
Hemogramm 5-osalise leukogrammiga,Triglütseriidid,"fS,fP-Trigl"
Hemogramm 5-osalise leukogrammiga,Trombiini aeg,P-TT
Hemogramm 5-osalise leukogrammiga,Madalmolekulaarne hepariin,P-LMWH
Hemogramm 5-osalise leukogrammiga,HDL,"S,P-HDL-Chol"
Hemogramm 5-osalise leukogrammiga,FiO2,FiO2
Hemogramm 5-osalise leukogrammiga,LDL,"S,P-LDL-Chol"
Hemogramm 5-osalise leukogrammiga,Fibrinogeen,P-Fibr
Hemogramm 5-osalise leukogrammiga,TSH,"S,P-TSH"
Hemogramm 5-osalise leukogrammiga,fT3,"S,P-fT3"
Hemogramm 5-osalise leukogrammiga,fT4,"S,P-fT4"
Hemogramm 5-osalise leukogrammiga,NEUT Neutrofiilide arv,B-Neutrofiilid #
Hemogramm 5-osalise leukogrammiga,Osmolaalsus,"S,P-Osmol"
Hemogramm 5-osalise leukogrammiga,Homotsüsteiin,"S,P-Hcy"
Hemogramm 5-osalise leukogrammiga,Erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga,"B-RBC Ab screen I, II"
Hemogramm 5-osalise leukogrammiga,Ferritiin,"S,P-Fer"
Hemogramm 5-osalise leukogrammiga,Raud,"S,P-Fe"
Hemogramm 5-osalise leukogrammiga,Antitrombiin III,P-AT III
Hemogramm 5-osalise leukogrammiga,Müoglobiin,"S,P-Myogl"
Uriini ribaanalüüs,Erütrotsüüdid,U-RBC strip
Uriini ribaanalüüs,Nitritid,U-Nit strip
Uriini ribaanalüüs,Ketoonid,U-Ket strip
Uriini ribaanalüüs,Leukotsüüdid,U-WBC strip
Uriini ribaanalüüs,Bilirubiin,U-Bil strip
Uriini ribaanalüüs,Urobilinogeen,U-Ubg strip
Uriini ribaanalüüs,Ketokehad,U-Ket strip
Uriini ribaanalüüs,Glükoos,U-Gluc strip
Uriini ribaanalüüs,Valk,U-Prot strip
Uriini ribaanalüüs,U-RBC Erütrotsüüdid,U-RBC strip
Uriini ribaanalüüs,uriini erikaal,U-SG strip
Uriini ribaanalüüs,uriini glükoos,U-Gluc strip
Uriini ribaanalüüs,uriini bilirubiin,U-Bil strip
Uriini ribaanalüüs,uriini erütrotsüüdid,U-RBC strip
Uriini ribaanalüüs,uriini leukotsüüdid,
Uriini ribaanalüüs,uriini valk,U-Prot strip
Uriini ribaanalüüs,uriini nitritid,U-Nit strip
Uriini ribaanalüüs,uriini ketoonid,U-Ket strip
Uriini ribaanalüüs,uriini urobilinogeen,U-Ubg strip
3-diffiga vere automaatuuring,B-Hct:,B-Hct
3-diffiga vere automaatuuring,B-Hgb:,B-Hb
3-diffiga vere automaatuuring,B-Mono-%:,B-Mono%
3-diffiga vere automaatuuring,B-Mono-arv:,B-Mono#
3-diffiga vere automaatuuring,B-PLT:,B-Plt
3-diffiga vere automaatuuring,B-RBC:,B-RBC
3-diffiga vere automaatuuring,B-WBC:,B-WBC
3-diffiga vere automaatuuring,E-MCH:,B-MCH
3-diffiga vere automaatuuring,E-MCHC:,B-MCHC
3-diffiga vere automaatuuring,E-MCV:,B-MCV
3-diffiga vere automaatuuring,MPV:,B-MPV
3-diffiga vere automaatuuring,RDW%:,B-RDW-CV
5-diffiga vere automaatuuring,Abs. arv Eosonofiilid:,B-Eo#
5-diffiga vere automaatuuring,B-Hct:,B-Hct
5-diffiga vere automaatuuring,B-Hgb:,B-Hb
5-diffiga vere automaatuuring,B-PLT:,B-Plt
5-diffiga vere automaatuuring,B-RBC:,B-RBC
5-diffiga vere automaatuuring,B-WBC:,B-WBC
5-diffiga vere automaatuuring,E-MCH:,B-MCH
5-diffiga vere automaatuuring,E-MCHC:,B-MCHC
5-diffiga vere automaatuuring,E-MCV:,B-MCV
5-diffiga vere automaatuuring,Eosinofiilid:%,B-Eo%
5-diffiga vere automaatuuring,MPV:,B-MPV
5-diffiga vere automaatuuring,RDW%:,B-RDW-CV
Abs. arv Eosinofiilid,Abs. arv Eosinofiilid,B-Eo#
Alaniin aminotr,Alaniin aminotr,"S,P-ALAT"
Alaniin aminotransferaas seeru,Alaniin aminotransferaas seeru,"S,P-ALAT"
Alaniini aminot,Alaniini aminot,"S,P-ALAT"
Alaniini aminotransf,Alaniini aminotransf,"S,P-ALAT"
Alaniini aminotransferaas,Alaniini aminotransferaas,"S,P-ALAT"
Alaniini aminotransferaas (ALT,Alaniini aminotransferaas (ALT,"S,P-ALAT"
Alaniini aminotransferaas (GPT,Alaniini aminotransferaas (GPT,"S,P-ALAT"
Alaniini aminotransferaas seer,Alaniini aminotransferaas seer,"S,P-ALAT"
ALAT,ALAT,"S,P-ALAT"
Alb/Crea,Alb/Crea,U-Alb/U-Crea
Albumiini ja kreatiniini suhe,Albumiini ja kreatiniini suhe,U-Alb/U-Crea
Albumiin juhuslikus uriinis,Albumiini ja kreatiniini suhe,U-Alb/U-Crea
Albumiin juhuslikus uriinis,Albumiini ja kreatiniini suhe HK:1111,U-Alb/U-Crea
Albumiin uriinis,Albumiin uriinis,U-Alb
ALP,ALP,"S,P-ALP"
ANA HEp-2,Tuumavastaste antikehade tüpiseerimine HEp-2 rakuliinil,"S,P-ANA IgG titr Hep2"
ANA IgG,ANA IgG,"S,P-ANA IgG"
ANA IgG paneel (blot,ANA IgG paneel,"S,P-ANA IgG panel IIF"
ANA IgG paneel (blot,ANA IgG paneel HK:66715,"S,P-ANA IgG panel IIF"
ANA IgG paneel seerumist,S-ANA IgG panel,"S,P-ANA IgG panel IIF"
ANA IgG paneel seerumist,S-ANA_IgG_panel,"S,P-ANA IgG panel IIF"
ANA IgG tiiter,S-ANA IgG titr,"S,P-ANA IgG titr"
ANA IgG tiiter,S-ANA_IgG_titr,"S,P-ANA IgG titr"
ANA IgG tiiter,Tuumavastase IgG tiiter,"S,P-ANA IgG titr"
ANA - Tuumavastane IgG,ANA - Tuumavastane IgG,"S,P-ANA IgG"
ANA - Tuumavastane IgG,S-ANA-Hep-2,"S,P-ANA IgG titr Hep2"
ANA tüpiseerimine (Immunoblot),S-ANA Typ,"S,P-CTD IgG panel IB"
ANA tüpiseerimine (Immunoblot),S-ANA_Typ_,"S,P-CTD IgG panel IB"
Antinukleaarsed antikehad,S-aNA,"S,P-ANA Ab"
Antinukleaarsed antikehad,S-aNA,"S,P-ANA Ab"
ASAT,ASAT,"S,P-ASAT"
Aspartaadi amin,Aspartaadi amin,"S,P-ASAT"
Aspartaadi aminotran,Aspartaadi aminotran,"S,P-ASAT"
Aspartaadi aminotransferaas,Aspartaadi aminotransferaas,"S,P-ASAT"
Aspartaadi aminotransferaas (A,Aspartaadi aminotransferaas (A,"S,P-ASAT"
Aspartaadi aminotransferaas (G,Aspartaadi aminotransferaas (G,"S,P-ASAT"
Aspartaadi aminotransferaas se,Aspartaadi aminotransferaas se,"S,P-ASAT"
Autoimmuundiagnostika,S-ANA HEp-,"S,P-ANA IgG titr Hep2"
Autoimmuundiagnostika,S-ANA HEp-2,"S,P-ANA IgG titr Hep2"
Autoimmuundiagnostika,S-ANA Ig,"S,P-ANA IgG"
Autoimmuundiagnostika,S-ANA IgG,"S,P-ANA IgG"
Autoimmuunuuringud,ANA - Tuumavastane IgG,"S,P-ANA IgG"
Autoimmuunuuringud,ANA tüpiseerimine,"S,P-CTD IgG panel IB"
Autoimmuunuuringud,Tuumavastased Ak-d,"S,P-ANA Ab"
Autoimmuunuuringud,Tuumavastased Ak-d (ANA,"S,P-ANA Ab"
Autoimmuunuuringud,Tuumavastased antikehad,"S,P-ANA Ab"
Automaatliinil teostatud uuring,fP-GlucP /Glükoos paastuplasmas,"fS,fP-Gluc"
Automaatliinil teostatud uuring,P-ALP Aluseline fosfataas,"S,P-ALP"
Automaatliinil teostatud uuring,P-Chol Kolesterool,"S,P-Chol"
Automaatliinil teostatud uuring,P-CK Kreatiniini kinaas,"S,P-CK"
Automaatliinil teostatud uuring,P-CK-MBm Kreatiini kinaasi MB isoensüümi mass,"S,P-CK-MBm"
Automaatliinil teostatud uuring,P-fT4 Vaba türoksiin plasmas,"S,P-fT4"
Automaatliinil teostatud uuring,P-HDL-Chol HDL kolesterool,"S,P-HDL-Chol"
Automaatliinil teostatud uuring,P-LDL-Chol LDL kolesterool,"S,P-LDL-Chol"
Automaatliinil teostatud uuring,P-PCT Prokaltsitoniin,"S,P-PCT"
Automaatliinil teostatud uuring,P-TSH Kilpnääret stimuleeriv hormoon plasmas,"S,P-TSH"
Automaat uuring 3 osalise leukogrammiga,RDW-CW,B-RDW-CV
B1-A3Diff,HCT:,B-Hct
B1-A3Diff,HGB:,B-Hb
B1-A3Diff,MCH:,B-MCH
B1-A3Diff,MCHC:,B-MCHC
B1-A3Diff,MCV:,B-MCV
B1-A3Diff,MPV:,B-MPV
B1-A3Diff,PCT:,B-Pct
B1-A3Diff,PLT:,B-Plt
B1-A3Diff,RDW%:,B-RDW-CV
B1-A3Diff,RDW-CW:,B-RDW-CV
B1-A3Diff,WBC:,B-WBC
B1-Hemo-s,Segmenttuumsed neutrofiilid:,B-Segmenttuumsed neutrofiilid %
B-A3Diff,HCT:,B-Hct
B-A3Diff,MCH:,B-MCH
B-A3Diff,MCHC:,B-MCHC
B-A3Diff,MCV:,B-MCV
B-A3Diff,MPV:,B-MPV
B-A3Diff,PCT:,B-Pct
B-A3Diff,PLT:,B-Plt
B-A3Diff,RDW-CV:,B-RDW-CV
B-A3Diff,RDW-SD:,B-RDW-SD
BASO#,BASO#,B-Baso#
BASO%,BASO%,B-Baso%
Baso%,Baso%,B-Baso%
BASO% Basofiili,BASO% Basofiili,B-Baso%
BASO Basofiilide absoluutarv,BASO Basofiilide absoluutarv,B-Baso#
BASO Basofiilide arv,BASO Basofiilide arv,B-Baso#
BASO% Basofiilide su,BASO% Basofiilide su,B-Baso%
BASO% Basofiilide suhtarv,BASO% Basofiilide suhtarv,B-Baso%
Basofiilide arv,Basofiilide arv,B-Basofiilid #
Basofiilide suh,Basofiilide suh,B-Basofiilid %
Basofiilide suhtarv,Basofiilide suhtarv,B-Basofiilid %
B-autom5diff,RBC HK:0000,B-RBC
B-autom5diff,RDW HK:0000,B-RDW-CV
B-Baso#,B-Baso#,B-Baso#
B-Baso%,B-Baso%,B-Baso%
B-CBC+Diff,BASO#:,B-Baso#
B-CBC+Diff,BASO%:,B-Baso%
B-CBC+Diff,EO#:,B-Eo#
B-CBC+Diff,EO%:,B-Eo%
B-CBC+Diff,HCT:,B-Hct
B-CBC+Diff,HGB:,B-Hb
B-CBC+Diff,IG#:,B-IG#
B-CBC+Diff,IG%:,B-IG%
B-CBC+Diff,LYMPH#:,B-Lymph#
B-CBC+Diff,LYMPH%:,B-Lymph%
B-CBC+Diff,MCH:,B-MCH
B-CBC+Diff,MCHC:,B-MCHC
B-CBC+Diff,MCV:,B-MCV
B-CBC+Diff,MONO#:,B-Mono#
B-CBC+Diff,MONO%:,B-Mono%
B-CBC+Diff,MPV:,B-MPV
B-CBC+Diff,NEUT#:,B-Neut#
B-CBC+Diff,NEUT%:,B-Neut%
B-CBC+Diff,PLT:,B-Plt
B-CBC+Diff,RDW- CV:,B-RDW-CV
B-CBC+Diff,WBC:,B-WBC
B-Eo#,B-Eo#,B-Eo#
B-Eo%,B-Eo%,B-Eo%
B-HbA1C,B-HbA1c-IFCC:,B-HbA1c (IFCC)
B-HbA1c (IFCC),B-HbA1c,B-HbA1c (IFCC)
B-HbA1c-IFCC,B-HbA1c-IFCC,B-HbA1c (IFCC)
B-Hct,B-Hct,B-Hct
Biokeemia analüüs,Chol,"S,P-Chol"
Biokeemia analüüs,EtOH Etanool,"S,P-EtOH"
Biokeemia analüüs,fP-Ca,"S,P-Ca"
Biokeemia analüüs,fP-Crea,"S,P-Crea"
Biokeemia analüüs,fP-Gluc GTT 0 min,"fS,P-Gluc 0 min (pre 75 g Gluc PO)"
Biokeemia analüüs,fP-Gluc plasma Glükoos plasmas,"fS,fP-Gluc"
Biokeemia analüüs,fP-Trigl,"fS,fP-Trigl"
Biokeemia analüüs,fP-Urea,"S,P-Urea"
Biokeemia analüüs,fS-Chol,"S,P-Chol"
Biokeemia analüüs,Kaltsium plasmas,"S,P-Ca"
Biokeemia analüüs,P-ALP aluseline fosfataas,"S,P-ALP"
Biokeemia analüüs,P-Chol,"S,P-Chol"
Biokeemia analüüs,P-CK,"S,P-CK"
Biokeemia analüüs,P-cTnThs Troponiin T seerumis,"S,P-cTnT-hs"
Biokeemia analüüs,P-LDH,"S,P-LDH"
Biokeemia analüüs,P-NT-proBNP (B-tüüpi natriureetilise propeptiidi N-fragment,"S,P-NT-proBNP"
Biokeemia analüüs,P-Prot,"S,P-Prot"
Biokeemia analüüs,S-cTnThs Troponiin T seerumis,"S,P-cTnT-hs"
Biokeemia analüüs,S-NT-proBNP (B-tüüpi natriureetilise propeptiidi N-fragment,"S,P-NT-proBNP"
Biokeemilised uuringud,S-Chol/HDL,"S,P-HDL-Chol"
B-Lymph#,B-Lymph#,B-Lymph#
B-Lymph%,B-Lymph%,B-Lymph%
B-MCH,B-MCH,B-MCH
B-MCHC,B-MCHC,B-MCHC
B-MCV,B-MCV,B-MCV
B-Mono#,B-Mono#,B-Mono#
B-Mono%,B-Mono%,B-Mono%
B-MPV,B-MPV,B-MPV
B-Neut#,B-Neut#,B-Neut#
B-Neut%,B-Neut%,B-Neut%
B-PCT,B-PCT,B-Pct
B-PLT,B-PLT,B-Plt
B-Plt,B-Plt,B-Plt
B-RBC,B-RBC,B-RBC
B-RDW-CV,B-RDW-CV,B-RDW-CV
B-WBC,B-WBC,B-WBC
B-Vere äigepreparaadi mikroskoopia,Basofiilne sõmerus HK:0000,B-Basofiilne sõmerus
B-Vere äigepreparaadi mikroskoopia,Hüpersegmentatsioon HK:0000,B-Hüpersegmentatsioon
CBC+Diff,Eos %,B-Eo%
CBC+Diff,Eosinofiilide abs arv,B-Eo#
CBC+Diff,PLT x10e9/l,B-Plt
CT-kaltsitoniin,CT-kaltsitoniin,"S,P-CT"
DNA analüüs PCR-meetodil,PCR-Ureaplasma urealyticum antigeen,XXX-U urealyticum DNA
eGFR,eGFR,eGFR
eGFR (CKD-EPI),eGFR (CKD-EPI),eGFR (CKD-EPI)
eGFR kiirus MDR,eGFR kiirus MDR,eGFR
eGFR (MDRD),eGFR,eGFR
eGFR (MDRD),eGFR :,eGFR
Ekstraheeritavate tuumaantigeenide vastane IgG (paneel),S-ENA_IgG_panel,"S,P-ANA IgG panel IIF"
Emakakaelakanalikaapelt PCR Ureaplasma urealyticumile (sh U parvum),Cx-U urealyticum/U parvum-PCR,XXX-U urealyticum/U parvum DNA
Emakakaelakanalikaapelt PCR Ureaplasma urealyticumile (sh U parvum),Cx-U_urealyticum/U_parvum-PCR,XXX-U urealyticum/U parvum DNA
E-MCH,E-MCH,B-MCH
E-MCHC,E-MCHC,B-MCHC
E-MCV,E-MCV,B-MCV
EO#,EO#,B-Eo#
EO%,EO%,B-Eo%
Eo,Eo,B-Eo#
Eo%,Eo%,B-Eo%
EO% Eosinofiili,EO% Eosinofiili,B-Eo%
EO Eosinofiilid,EO Eosinofiilid,B-Eo#
EO Eosinofiilide abs,EO Eosinofiilide abs,B-Eo#
EO Eosinofiilide absoluutarv,EO Eosinofiilide absoluutarv,B-Eo#
EO Eosinofiilide arv,EO Eosinofiilide arv,B-Eo#
EO% Eosinofiilide su,EO% Eosinofiilide su,B-Eo%
EO% Eosinofiilide suhtarv,EO% Eosinofiilide suhtarv,B-Eo%
% Eosinofiilid,Eosinofiilid%,B-Eo%
Eosinofiilid #,Eosinofiilid #,B-Eo#
Eosinofiilid %,Eosinofiilid %,B-Eo%
Eosinofiilide a,Eosinofiilide a,B-Eo#
Eosinofiilide arv,Eosinofiilide arv,B-Eo#
Eosinofiilide s,Eosinofiilide s,B-Eo%
Eosinofiilide suhtar,Eosinofiilide suhtar,B-Eo%
Eosinofiilide suhtarv,Eosinofiilide suhtarv,B-Eo%
Eosinofiilid veres %,Eosinofiilid veres %,B-Eo%
Erinevad laboratoorsed analüüsid,ANA IgG paneel,"S,P-ANA IgG panel IIF"
Erütrotsüüdid,Erütrotsüüdid,B-RBC
fS-Crea,fS-Crea,"S,P-Crea"
"fS,fP-HDL-Chol","fS,fP-HDL-Chol","S,P-HDL-Chol"
"fS,fP-LDL-Chol","fS,fP-LDL-Chol","S,P-LDL-Chol"
"fS,fP-Triglütseriidid","fS,fP-Triglütseriidid","fS,fP-Trigl"
fs-Gluc,fs-Gluc,"fS,fP-Gluc"
