text	y
enesetunnetusest	B_S
selle	B_P
kõige	B_D
laiemas	B_C
tähenduses	B_S
sõltub	B_V
ju	B_D
inimese	B_S
meeleolu	O_S
ja	B_J
käitumine	B_S
.	B_Z
""
Miks	B_D
inimesed	B_S
oma	B_P
vanust	B_S
erinevalt	B_D
tunnetavad	B_V
,	B_Z
on	B_V
püütud	I_V
seletada	O_V
mitut	B_P
moodi	B_S
.	B_Z
""
Teadlaste	B_S
seas	B_K
ühe	B_P
levi	B_S
nuima	I_S
arvamuse	O_S
järgi	B_K
on	B_V
igal	B_P
isiksusel	B_S
nn.	B_Y
aastate	B_S
psühhofüsioloogilise	B_A
aktiivsuse	B_S
tsüklite	O_S
“	B_Z
loendaja	B_S
”	B_Z
,	O_Z
mille	B_P
“	B_Z
näitude	B_S
”	B_Z
alusel	B_S
hinnataksegi	B_V
oma	B_P
psühholoogilist	B_A
vanust	B_S
.	B_Z
""
Teine	B_P
seletus	B_S
opereerib	B_V
saavutustega	B_S
,	B_Z
eneseteostusega	B_S
,	B_Z
mis	B_P
on	B_V
teatud	B_A
eas	B_S
inimestele	O_S
ena	B_I
masti	B_S
omane	B_A
.	B_Z
""
Rõhutatakse	B_V
,	B_Z
et	B_J
kui	O_J
inimese	B_S
saavutused	O_S
ületavad	B_V
sotsiaalsed	B_A
ootused	B_S
,	B_Z
hakkab	B_V
ta	B_P
end	O_P
tundma	B_V
vanemana	B_S
,	B_Z
kui	B_J
ta	B_P
tegelikult	B_D
on	B_V
.	B_Z
""
Juhul	B_S
,	B_Z
kui	B_J
saavutused	B_S
on	B_V
väiksemad	B_C
kui	B_J
teatud	B_A
vanuses	B_S
temalt	B_P
loodetakse	B_V
,	B_Z
tunnetab	B_V
isik	B_S
end	B_P
nooremana	B_C
.	B_Z
""
Katsed	B_S
näitavad	B_V
,	B_Z
e	B_Y
t	O_Y
näiteks	B_S
vallalised	B_A
tunnetavad	B_V
end	B_P
oluliselt	B_D
nooremana	B_C
kui	B_J
abieluinimesed	B_S
.	B_Z
""
Inimesed	B_S
,	B_Z
kes	B_P
tunnetavad	B_V
end	B_P
tegelikust	B_A
tunduvalt	B_D
nooremana	B_C
,	B_Z
on	B_V
sageli	B_D
vähem	O_D
iseseisvad	B_A
ja	B_J
emotsionaalselt	B_D
ebastabiilsemad	B_C
.	B_Z
""
Seega	B_D
võib	B_V
psühholoogilist	B_A
vanust	B_S
defineerida	B_V
ka	B_D
kui	B_J
isiksuse	B_S
psühholoogilise	B_A
aja	B_S
realiseerumise	I_S
astet	O_S
.	B_Z
""
Või	B_J
teisiti	B_D
-	B_Z
psühholoogilise	B_A
aja	B_S
realiseerumist	O_S
ehk	B_J
täitumist	B_S
teadvustab	B_V
iga	B_P
inimene	B_S
oma	B_P
“	B_Z
hingelise	B_A
”	B_Z
vanusena	B_S
,	B_Z
mida	B_P
nimetataksegi	B_V
isiksuse	B_S
psühhol	O_S
oogiliseks	B_A
vanuseks	B_S
.	B_Z
""
Erinevalt	B_D
kronoloogilisest	B_A
ja	B_J
bioloogilisest	B_A
vanusest	B_S
on	B_V
psühholoogiline	B_A
vanus	B_S
pöörduv	B_A
,	B_Z
s.t.	B_Y
et	B_J
inimene	B_S
võib	B_V
muutuda	O_V
järjest	B_D
nooremaks	B_C
.	B_Z
""
See	B_P
toimub	B_V
enamasti	B_D
n.-ö.	B_Y
psühholoogilise	B_A
tuleviku	B_S
suurenemise	O_S
arvel	B_K
:	B_Z
kui	B_J
inimene	B_S
loodab	B_V
kaua	B_D
elad	B_V
a	B_Y
,	B_Z
siis	B_J
ta	B_P
vananeb	B_V
“	B_Z
aeglasemalt	B_D
”	B_Z
.	O_Z
""
Mõtted	B_S
,	B_Z
mis	B_P
teevad	B_V
vanemaks	B_C
või	B_J
nooremaksNagu	B_D
teada	B_V
,	B_Z
elavad	B_V
paljud	B_P
vanad	B_A
inimesed	B_S
oma	B_P
mõtetega	B_S
rohkem	B_D
minevikus	B_S
.	B_Z
""
Sellega	B_P
püüavad	B_V
nad	B_P
kompenseerida	B_V
oma	B_P
bioloogilist	B_A
ja	B_J
sotsiaalset	B_A
vananemist	B_S
.	B_Z
""
Elades	B_D
mineviku	B_S
kujutlustes	O_S
oma	B_P
ilusate	B_A
mälestuste	B_S
keskel	B_K
tunneb	B_V
vana	B_A
inimene	B_S
end	B_P
emotsionaalselt	B_D
tea	B_V
taval	B_S
määral	O_S
nooremana	B_C
.	B_Z
""
Täpsustuseks	B_S
peab	B_V
veel	B_D
lisama	B_V
,	B_Z
et	B_J
see	B_P
,	B_Z
kes	B_P
elab	B_V
mõtetega	B_S
rohkem	B_D
tulevikus	B_S
,	B_Z
kui	B_J
olevikus	B_S
,	B_Z
tunnetab	B_V
end	B_P
vanemana	B_S
,	B_Z
kui	B_J
inimene	B_S
,	B_Z
kes	B_P
“	B_Z
elab	B_V
siin	B_D
ja	B_J
praegu	B_D
”	B_Z
.	O_Z
""
Praktika	B_S
näitab	B_V
veel	B_D
ka	O_D
,	B_Z
et	B_J
lootuse	B_S
kaotanud	B_V
inimese	B_S
ja	B_J
optimistlikult	B_D
meelestatud	B_V
inimese	B_S
psühholoogilise	B_A
mineviku	B_S
ja	B_J
tuleviku	B_S
suhe	O_S
ning	B_J
psühholoogilise	B_A
aja	B_S
täitumus	O_S
erinevad	B_V
oluliselt	B_D
.	B_Z
""
Psühholoogiline	B_A
vanus	B_S
on	B_V
seda	B_P
suurem	B_C
,	B_Z
mida	B_P
vähem	B_D
inimene	B_S
loodab	B_V
veel	B_D
elada	B_V
ja	B_J
mida	B_P
enam	B_D
on	B_V
realiseerunud	O_V
tema	B_P
psühholoogiline	B_A
aeg	B_S
.	B_Z
""
Märkimist	B_S
väärib	B_V
fakt	B_S
,	B_Z
et	B_J
erinevates	B_A
eluvaldkondades	B_S
(	B_Z
tööl	B_S
,	B_Z
kodus	B_S
,	B_Z
sõprade	B_S
keskel	B_K
jne	B_Y
.	B_Z
)	O_Z
hindab	B_V
inimene	B_S
oma	B_P
psühholoogilise	B_A
aja	B_S
täitumust	O_S
erinevalt	B_D
,	B_Z
seega	B_D
on	B_V
vastavalt	B_K
tegutsemise	B_S
sfäärile	O_S
erinev	B_A
ka	B_D
tema	B_P
psühholoogiline	B_A
vanus	B_S
.	B_Z
""
Igal	B_P
juhul	B_S
on	B_V
lootus	B_S
ja	B_J
h	B_Y
uvi	B_S
oma	B_P
tuleviku	B_S
vastu	B_K
isiksuse	B_S
harmooniliseks	B_A
psühholoogiliseks	O_A
arenguks	B_S
väga	B_D
oluline	B_A
.	B_Z
""
Inimene	B_S
,	B_Z
kellele	B_P
tulevik	B_S
ei	B_V
tõota	O_V
meeldivat	B_A
tegevust	B_S
ja	B_J
eneseteostust	B_S
,	B_Z
vananeb	B_V
psühholoogiliselt	B_D
enneaegselt	O_D
.	B_Z
""
LISA	B_S
-	B_Z
Arvutage	B_V
ise	B_P
oma	O_P
psühholoogiline	B_A
vanus	B_S
Kirjutage	B_V
meile	B_P
,	B_Z
mis	B_P
tulemused	B_S
saite	B_V
!	B_Z
""
Eesti	B_H
lähemat	B_C
minevikku	B_S
mäletame	B_V
kõik	B_P
.	B_Z
""
Üheselt	B_D
ja	B_J
täpselt	B_D
on	B_V
see	B_P
siiski	B_D
jäädvustatud	B_V
paberil	B_S
-	B_Z
dokumentides	B_S
,	B_Z
lepingutes	B_S
,	B_Z
kirjavahetustes	B_S
,	B_Z
protokollides	B_S
.	B_Z
""
Kui	B_J
hävivad	B_V
paberid	B_S
,	B_Z
kaob	B_V
osa	B_S
ajaloost	O_S
…	B_Y
Et	B_J
Eesti	B_H
riigi	B_S
lugu	O_S
oleks	B_V
kunagi	B_D
taastatav	B_A
,	B_Z
selle	B_P
nimel	B_K
tegutseb	B_V
tänavu	B_D
seitsmekümneviieseks	B_A
saav	O_A
Riigiarhiiv	B_S
.	B_Z
""
Eesti	B_H
riiklikule	B_A
arhiivindusele	B_S
pandi	B_V
alus	B_S
1920.	B_O
aastate	B_S
alguses	O_S
,	B_Z
alustab	B_V
oma	B_P
juttu	B_S
Riigiarhiivi	I_S
teadusdirektor	O_S
Tiit	B_H
Arumäe	O_H
.	B_Z
""
Ühelt	B_P
poolt	B_K
oli	B_V
varasemast	B_C
ajast	B_S
säilinud	B_V
palju	B_D
“	B_Z
pabereid	B_S
”	B_Z
,	O_Z
mille	B_P
hoidmine	B_S
tuli	B_V
korraldada	O_V
riiklik	B_A
ult	B_S
,	B_Z
teisest	B_P
küljest	B_S
aga	B_J
nägi	B_V
riik	B_S
,	B_Z
et	B_J
ka	B_D
tema	B_P
ise	O_P
hakkab	B_V
“	B_Z
tootma	B_V
”	B_Z
dokumente	B_S
,	B_Z
mis	B_P
tuleb	B_V
kunagi	B_D
arhiivi	B_S
anda	B_V
.	B_Z
""
Vanemate	B_S
dokumentide	I_S
hoidmiseks	O_S
loodi	B_V
Tartusse	B_H
Riigi	B_S
Keskarhiiv	O_S
,	B_Z
Riigiarhiiv	B_S
asutati	B_V
samal	B_P
aastal	B_S
,	B_Z
käskkiri	B_S
selle	B_P
kohta	B_K
k	B_Y
annab	B_V
kuupäeva	B_S
9.	B_O
veebruar	B_S
1921.	B_O
Toompea	B_H
südamesRiigiarhiiv	B_S
asutati	B_V
eeskätt	B_D
ja	B_J
ainult	B_D
riigiasutuste	B_S
dokumentide	I_S
kogumiseks	O_S
ja	B_J
hoidmiseks	B_S
.	B_Z
""
Et	B_J
riigivõim	B_S
asus	B_V
siis	B_D
ja	B_J
asub	B_V
ka	B_D
praegu	O_D
Tallinnas	B_H
,	B_Z
sai	B_V
arhiivigi	B_S
asukohaks	O_S
Tallinn	B_H
.	B_Z
""
Seda	B_P
,	B_Z
kuidas	B_D
riik	B_S
oma	B_P
arhiivindust	B_S
hindas	B_V
,	B_Z
iseloomustab	B_V
kujuk	B_S
alt	B_D
asjaolu	B_S
,	B_Z
et	B_J
1937	B_N
valmis	B_A
Toompea	B_H
lossis	B_S
,	B_Z
riigivõimu	B_S
keskuses	O_S
,	B_Z
spetsiaalne	B_A
arhiivihoone	B_S
,	B_Z
millest	B_P
enamus	B_S
on	B_V
Riigiarhiivi	B_S
käsutuses	O_S
siiani	B_D
.	B_Z
""
Oli	B_V
arvestatud	O_V
,	B_Z
et	B_J
nendest	B_P
ruumidest	B_S
piisab	B_V
mitmekümneks	B_N
aastaks	B_S
.	B_Z
""
1940.	B_O
aasta	B_S
muutis	B_V
olukorda	B_S
ja	B_J
arhiivindust	B_S
tabas	B_V
katastroof	B_S
selleski	B_P
mõttes	B_S
,	B_Z
et	B_J
kuna	O_J
lõpetati	B_V
Eesti	B_H
Vabariigi	B_S
riigiasutuste	I_S
töö	O_S
,	B_Z
lisandus	B_V
arhiividesse	B_S
tohutul	B_A
hulgal	B_S
dokumente	O_S
.	B_Z
""
Riigiarhiivi	B_S
maja	O_S
Toompeal	B_H
sai	B_V
ootamatult	B_D
ruttu	O_D
täis	B_A
.	B_Z
""
Riik	B_S
ja	B_J
ametnikud	B_S
ei	B_V
mõistaKui	B_J
rääkida	B_V
Eesti	B_H
arhiivindusest	B_S
täna	B_D
ja	B_J
tervikuna	B_S
,	B_Z
siis	B_J
tuleb	B_V
tõdeda	O_V
,	B_Z
et	B_J
riiklikul	B_A
tasemel	B_S
ei	B_V
ole	O_V
arhiivindusel	B_S
praegu	B_D
isegi	O_D
seaduslikku	B_A
tuge	B_S
,	B_Z
kehtiv	B_A
valitsusseadus	B_S
ei	B_V
näe	O_V
ette	B_D
sellist	B_P
valdkonda	B_S
kui	B_J
arhiivindus	B_S
.	B_Z
""
Arhiive	B_H
juhib	B_V
üks	B_P
Riigikantselei	B_S
osakond	O_S
.	B_Z
""
Õnneks	B_S
on	B_V
viga	B_S
mõistetud	B_V
ja	B_J
hakatud	B_V
ette	B_D
valmistama	B_V
arhiiviseadust	B_S
,	B_Z
mis	B_P
taastaks	B_V
omaette	B_D
,	B_Z
kogu	B_A
ülejäänud	O_A
riigielu	B_S
läbiva	B_A
arhiivisüsteemi	B_S
.	B_Z
""
Miks	B_D
riik	B_S
arhiividega	O_S
ikkagi	B_D
nii	I_D
üleolevalt	O_D
käitub	B_V
?	B_Z
""
Põhjus	B_S
peitub	B_V
selles	B_P
,	B_Z
et	B_J
ei	B_V
teata	O_V
,	B_Z
mis	B_P
tähtsus	B_S
arhiivindusel	I_S
ühiskonnas	O_S
on	B_V
.	B_Z
""
Kunagi	B_D
oli	B_V
arhiiv	B_S
nii	B_D
oluline	B_A
,	B_Z
et	B_J
see	B_P
ehitati	B_V
“	B_Z
riigi	B_S
keskele	B_K
”	B_Z
,	O_Z
Toompeale	B_H
,	B_Z
rõhutab	B_V
Tiit	B_H
Arumäe	O_H
.	B_Z
""
Tänapäeval	B_S
ei	B_V
ole	O_V
Eestis	B_H
veel	B_D
mõistetud	B_V
,	B_Z
et	B_J
demokraatlik	B_A
ühiskond	B_S
baseerub	B_V
dokumendile	B_S
,	B_Z
paberile	B_S
,	B_Z
et	B_J
dokumendi	B_S
säilitamine	O_S
ja	B_J
hoidmine	B_S
on	B_V
oluline	B_A
riigi	B_S
järjepidevuse	I_S
seisukohalt	O_S
.	B_Z
""
Kui	B_J
1920.	B_O
-	B_Z
1930.	B_O
aastate	B_S
elu	O_S
on	B_V
praegu	B_D
sageli	O_D
võimalik	B_A
detailselt	B_D
jälgida	B_V
,	B_Z
siis	B_J
tulevikus	B_S
jääb	B_V
1980.	B_O
aastate	B_S
lõpp	O_S
ja	B_J
1990.	B_O
aastate	B_S
algus	I_S
uurijatele	O_S
küll	B_D
mõistatuseks	B_S
.	B_Z
""
Arhiivis	B_S
on	B_V
väga	B_D
lünklik	B_A
materjal	B_S
,	B_Z
mille	B_P
alusel	B_S
on	B_V
raske	B_A
mõista	B_V
,	B_Z
mis	B_P
toimus	B_V
,	B_Z
rõhutab	B_V
Aimar	B_H
Altosaar	O_H
.	B_Z
""
Kui	B_J
hinnata	B_V
rahas	B_S
?	B_Z
""
Väga	B_D
raske	B_A
on	B_V
öelda	O_V
,	B_Z
milline	B_P
Riigiarhiivis	B_S
säilitatav	B_A
dokument	B_S
on	B_V
kõige	B_D
tähtsam	B_C
,	B_Z
kõige	B_D
haruldasem	B_C
.	B_Z
""
Dokumendi	B_S
väärtus	O_S
sõltub	B_V
suuresti	B_D
kasutajast	B_S
.	B_Z
""
Ühe	B_P
jaoks	B_K
on	B_V
väärtuslik	B_A
Iseseisvusmanifest	B_S
,	B_Z
teise	B_P
jaoks	B_K
esimese	B_O
klaasi	B_S
õpilaste	I_S
nimekiri	O_S
,	B_Z
kus	B_D
on	B_V
kirjas	B_S
tema	B_P
vanaisa	B_S
.	B_Z
""
Kui	B_J
fantaseeriks	B_V
ja	B_J
kujutaks	B_V
ette	B_D
,	B_Z
et	B_J
oleme	B_V
oksjonil	B_S
,	B_Z
näiteks	B_S
Rios	B_H
?	B_Z
""
Seal	B_D
saaks	B_V
kõige	B_D
suuremat	B_C
raha	B_S
ehk	B_J
mõne	B_P
Hitleri	B_H
allkirjaga	B_S
pöördumise	O_S
eest	B_K
,	B_Z
sest	B_J
see	B_P
nimi	B_S
on	B_V
maailmakuulus	B_A
,	B_Z
arvavad	B_V
vestluskaaslased	B_S
.	B_Z
""
Tegelikult	B_D
on	B_V
arhivaali	B_S
väärtust	I_S
rahas	O_S
pea	B_V
võimatu	B_A
väljendada	B_V
,	B_Z
sest	B_J
riigi	B_S
omanduses	O_S
olevaid	B_A
dokumente	B_S
ei	B_V
müüda	O_V
.	B_Z
""
Ja	B_J
arvatavasti	B_D
ei	B_V
annaks	O_V
paljude	B_P
paberite	B_S
eest	B_K
keegi	B_P
sentigi	B_S
.	B_Z
""
Kuid	B_J
näiteks	B_D
Eesti	B_H
riiklust	B_S
puudutavad	B_A
dokumendid	B_S
on	B_V
kahtlemata	B_D
hin	B_S
damatud	B_A
.	B_Z
""
Piisaks	B_S
ühest	B_P
halvast	B_A
inimesestArhiivis	B_S
säilitatav	B_A
on	B_V
väärtuslik	B_A
.	B_Z
""
Neid	B_P
väärtusi	B_S
tuleb	B_V
kaitsta	O_V
,	B_Z
kuid	B_J
probleeme	B_S
on	B_V
klimaatilise	B_A
turvamisega	B_S
ning	B_J
vahendeid	B_S
nõuaks	B_V
ka	B_D
dokumentide	B_S
kaitsmine	O_S
pahatahtlike	B_A
inimeste	B_S
eest	B_K
,	B_Z
aga	B_J
rohkemaks	B_C
pole	B_V
praegu	B_D
võ	B_Y
imalusi	B_S
(	B_Z
loe	B_V
:	B_Z
raha	B_S
)	B_Z
.	O_Z
""
Tuleb	B_V
siiski	B_D
loota	B_V
,	B_Z
et	B_J
kõigist	B_P
raskustest	B_S
hoolimata	B_K
võimalikult	B_D
palju	O_D
Eesti	B_H
ajalugu	B_S
alles	B_D
jääb	B_V
!	B_Z
""
Vahendas	B_V
Kärt	B_H
Jänes-KappRiigiarhiivis	B_S
kuuldust	O_S
pikemalt	B_D
“	B_Z
Horisondis	B_H
”	B_Z
nr.	B_Y
3	B_N
""
VELJO	B_H
SINIVEEKuumad	B_S
uudisedTeateid	I_S
olnust	O_S
olevatele	B_A
saab	B_V
lugeda	O_V
võrgu	B_S
uudistegruppidest	O_S
(	B_Z
Newsgroups	B_H
)	B_Z
.	O_Z
""
Nendega	B_P
liitumise	B_S
võimalus	O_S
on	B_V
olemas	O_V
kõigis	B_P
“	B_Z
võrgutamise	B_S
”	B_Z
programmides	B_S
.	B_Z
""
Netscape'is	B_H
(	B_Z
versioon	B_S
2.0	B_N
)	B_Z
kargab	B_V
klahvile	B_S
Newsgroups	B_H
vajutamisel	B_S
ekraanile	I_S
aken	I_S
teatega	O_S
,	B_Z
millistesse	B_P
rubriikidesse	B_S
on	B_V
võimalik	B_A
end	B_P
üles	B_D
anda	B_V
.	B_Z
""
Klikkinud	B_V
aknas	B_S
olevale	B_A
nupule	B_S
Viewall	B_H
newsgroups	B_S
,	B_Z
loetakse	B_V
pärast	B_K
mõningast	B_P
mõtlemist	B_S
ja	B_J
vintsi	B_S
kõristamist	O_S
ette	B_D
kõik	B_P
teid	O_P
teenindavale	B_A
serverile	B_S
tuntud	B_A
uudised	B_S
.	B_Z
""
Jutud	B_S
on	B_V
ilusasti	B_D
teemade	B_S
ja	B_J
alamteemade	B_S
kaupa	B_K
ära	B_D
jagatud	B_V
.	B_Z
""
Oma	B_P
huvi	B_S
mõne	B_P
ala	B_S
vastu	B_K
saab	B_V
üles	B_D
näidata	B_V
tema	B_P
nimest	B_S
vasakul	B_A
olevasse	O_A
ruutu	B_S
(	B_Z
hiirega	B_S
)	B_Z
risti	B_S
tehes	B_V
.	B_Z
""
Valitud	B_A
teemale	B_S
vastavaid	B_A
nupukesi	B_S
võib	B_V
lugeda	O_V
ka	B_D
ilma	B_K
igasuguse	B_P
registreerimiseta	B_S
,	B_Z
klikkides	B_V
lihtsalt	B_D
artikli	B_S
nime	O_S
peal	B_K
.	B_Z
""
Sageli	B_D
tasubki	B_V
nii	B_D
teha	B_V
,	B_Z
sest	B_J
huvitavate	B_A
nimede	B_S
all	B_K
on	B_V
palju	B_D
igasugu	O_D
tühja-tähja	B_S
.	B_Z
""
Näiteks	B_S
grupis	O_S
alt	B_D
.	B_Z
destroy	B_S
.	B_Z
""
microsoft	B_S
on	B_V
terve	B_A
hulk	B_S
märkusi	O_S
selle	B_P
kohta	B_K
,	B_Z
kui	B_J
vilets	B_A
Win95	B_Y
ikka	B_D
on	B_V
(	B_Z
see	B_P
pole	B_V
ju	B_D
ammu	O_D
uudis	B_S
!	B_Z
)	I_Z
.	O_Z
""
Nimekirja	B_S
üle	B_K
vaadanud	B_V
,	B_Z
vajutage	B_V
klahvile	B_S
Subscribe	B_H
to	B_Y
selected	B_S
newsgroups	O_S
.	B_Z
""
Edaspidi	B_D
teid	B_P
enam	B_D
kogu	B_A
maailma	B_S
kollase	B_A
kirjandusega	B_S
ei	B_V
tülitata	O_V
.	B_Z
""
Kodu-uudiste	B_S
ülevaate	O_S
leiate	B_V
aadressilt	B_S
.	B_Z
""
Samas	B_P
serveris	B_S
on	B_V
viitasid	O_V
ka	B_D
muudele	B_P
Eesti	B_H
kohta	B_K
infot	B_S
pakkuvatele	B_A
web'i	B_S
lehekülgedele	O_S
:	B_Z
1.	B_O
füüsiliselt	B_D
Soomes	B_H
asuv	B_A
eestimeelne	O_A
ja	B_J
-	B_Z
keelne	B_A
server	B_S
;	B_Z
2.	B_O
""
CIA	B_Y
teateid	B_S
meie	B_P
kohta	B_K
(	B_Z
aastast	B_S
1994	B_N
ja	B_J
varasemad	B_C
)	B_Z
;	O_Z
3.	B_O
""
USA	B_Y
riigidepartemangu	B_S
hoiatused	I_S
reisile	I_S
minejatele	O_S
(	B_Z
ka	B_D
Eesti	B_H
kohta	B_K
!	B_Z
)	I_Z
;	O_Z
4.	B_O
sama	B_P
asutuse	B_S
ülevaade	I_S
inimõiguste	O_S
alasest	B_A
seisust	B_S
Eestis	B_H
gopher	B_S
:	B_Z
/	I_Z
/	O_Z
gopher	B_S
.	B_Z
voa	B_S
.	B_Z
""
gov	B_S
/	B_Z
00	B_N
/	B_Z
pub	B_S
/	B_Z
documents	B_S
/	B_Z
human_rights_94	B_Y
/	B_Z
estonia	B_S
.	B_Z
html	B_Y
.	B_Z
""
Eesti	B_H
uudisteserverite	B_S
loetelu	O_S
on	B_V
saadaval	B_D
EENET'i	B_S
leheküljel	O_S
(	B_Z
)	I_Z
.	O_Z
""
Eespool	B_D
kirjeldatud	B_V
gruppides	B_S
ei	B_V
ole	O_V
tegelikult	B_D
uudiseid	B_S
sellisel	B_P
kujul	B_S
,	B_Z
nagu	B_J
me	B_P
oleme	B_V
harjunud	O_V
lehest	B_S
lugema	B_V
.	B_Z
""
Newsgroup'id	B_H
on	B_V
rohkem	B_D
võrgu	B_S
kasutajate	I_S
vestlusringid	O_S
,	B_Z
kus	B_D
räägitakse	B_V
kõigest	B_P
,	B_Z
mis	B_P
keelel	B_S
ja	B_J
meelel	B_S
.	B_Z
""
Maailmauudiseid	B_S
võib	B_V
leida	O_V
aadressilt	B_S
:	B_Z
?	O_Z
Dcticker	B_H
.	B_Z
html	B_Y
.	B_Z
""
Lugeda	B_V
saab	O_V
nupukeensi	B_S
poliitikast	O_S
,	B_Z
ärist	B_S
,	B_Z
spordist	B_S
jne	B_Y
.	B_Z
""
Enne	B_K
Kanaari	B_H
saartele	B_S
puhkama	B_V
minekut	B_S
võiks	B_V
vaadata	O_V
ilmateadet	B_S
(	B_Z
samal	B_P
aadressil	B_S
,	B_Z
vajutada	B_V
sõnale	B_S
Weather	B_H
)	B_Z
.	O_Z
""
Kogenud	B_A
meteoroloog	B_S
muidugi	B_D
teiste	B_P
kirjutatud	B_V
ennustusi	B_S
ei	B_V
usu	O_V
ja	B_J
koostab	B_V
oma	B_P
.	B_Z
""
Talle	B_P
on	B_V
abiks	B_S
samast	B_P
leitavad	B_A
ja	B_J
iga	B_P
tunni	B_S
tagant	B_K
uuendatavad	B_A
satelliidipildid	B_S
.	B_Z
""
Need	B_P
leheküljed	B_S
kuuluvad	B_V
tegelikult	B_D
CNNile	B_Y
(	B_Z
)	I_Z
.	O_Z
""
Veel	B_D
üks	B_P
silma	B_S
hakanud	B_V
uudiseid	B_S
pakkuv	B_A
lehekülg	B_S
asub	B_V
Eestist	B_H
umbes	B_D
80	B_N
km	B_Y
kaugusel	B_K
,	B_Z
kuid	B_J
on	B_V
kättesaadav	B_A
ka	B_D
aadressil	B_S
.	B_Z
""
Võrgust	B_S
satutakse	B_V
millegi	B_P
asjaliku	B_A
peale	B_K
tavaliselt	B_D
juhuslikult	I_D
ringi	O_D
ekseldes	B_V
.	B_Z
""
Mis	B_P
teha	B_V
siis	B_D
,	B_Z
kui	B_J
pole	B_V
aega	B_S
sihitult	B_D
ringi	O_D
uidata	B_V
?	B_Z
""
Vaatame	B_V
ringi	B_D
EestisOn	B_Y
olemas	B_V
selline	B_P
vahva	B_A
koht	B_S
,	B_Z
nagu	B_J
.	B_Z
""
Seal	B_D
on	B_V
kirjas	B_D
kõik	B_P
eesti	B_G
www-serverid	B_S
.	B_Z
""
Uute	B_A
serverite	B_S
või	B_J
teenuste	B_S
jaoks	B_K
on	B_V
oma	B_P
rubriik	B_S
.	B_Z
""
Nii	B_D
võib	B_V
leida	O_V
ajalehti	B_S
(	B_Z
Sõnumileht	B_H
,	B_Z
Kodukiri	B_H
jne	B_Y
