analysis_name,parameter_unit,elabor_t_lyhend,t_yhik
Albumiin/Kreatiniin Uriinis,mgalb/mmol kreat,U-Alb/U-Crea,g/mol
Albumiin/Kreatiniin Uriinis,mg/d,dU-Alb,mg/d
Albumiin/Kreatiniin Uriinis,mg/L,U-Alb,mg/L
Albumiin/Kreatiniin Uriinis,mg/mmol,U-Alb/U-Crea,g/mol
Albumiin/Kreatiniin Uriinis,mmol/L,U-Crea,mmol/L
Albumiin (Kõrgtundlik),g/L,"S,P-Alb-hs",g/L
Albumiin Liikvoris,mg/L,CSF-Alb,mg/L
Albumiin Pleuravedelikus,g/L,PlrF-Alb,g/L
Albumiin Seerumis,g/L,"S,P-Alb",g/L
Albumiin Seerumis/Plasmas,g/L,"S,P-Alb",g/L
Albumiin Uriinis,mg/L,U-Alb,mg/L
Albumiin Uriinis ( Mikroalbumiin ),mg/L,U-Alb,mg/L
Albumiin Ööpäevases Uriinis,mg/d,dU-Alb,mg/d
Albumiin Ööpäevases Uriinis,mg/L,U-Alb,mg/L
Mikroalbumiin,mg/L,U-Alb,mg/L
Mikroalbumiin Nefelomeetriliselt,mg/L,U-Alb,mg/L
Mikroalbumiin U,mg/L,U-Alb,mg/L
Mikroalbuminuri,mg/L,U-Alb,mg/L
Mikroalbuminuur,mg/mmol,U-Alb/U-Crea,g/mol
Prealbumiin,g/L,"S,P-PreAlb",g/L
U-Albumiin/Kreatiniin Uriinis,mg/L,U-Alb,mg/L
U-Albumiin Ööpäevases Uriinis,mg/L,U-Alb,mg/L
