parameter_unit,parameter_unit_clean,loinc_unit,evidence
<ANONYM id=13 type=per morph=_I_ /> unit,<ANONYMid=13 type=per morph=_I_ /> unit,,
<ANONYM id=13 type=per morph=_I_ /> ühik,<ANONYMid=13 type=per morph=_I_ /> ühik,,
<ANONYM id=14 type=per morph=_H_ sg n/>/mL,<ANONYMid=14 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=14 type=per morph=_I_ /> unit,<ANONYMid=14 type=per morph=_I_ /> unit,,
<ANONYM id=14 type=per morph=_I_ /> ühik,<ANONYMid=14 type=per morph=_I_ /> ühik,,
<ANONYM id=15 type=per morph=_I_ /> unit,<ANONYMid=15 type=per morph=_I_ /> unit,,
<ANONYM id=16 type=per morph=_H_ sg n/>/mL,<ANONYMid=16 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=16 type=per morph=_H_ sg n/>/ml,<ANONYMid=16 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=16 type=per morph=_I_ /> unit,<ANONYMid=16 type=per morph=_I_ /> unit,,
<ANONYM id=16 type=per morph=_I_ /> ühik,<ANONYMid=16 type=per morph=_I_ /> ühik,,
<ANONYM id=17 type=per morph=_H_ sg n/>/ml,<ANONYMid=17 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=17 type=per morph=_I_ /> unit,<ANONYMid=17 type=per morph=_I_ /> unit,,
<ANONYM id=17 type=per morph=_I_ /> ühik,<ANONYMid=17 type=per morph=_I_ /> ühik,,
<ANONYM id=18 type=per morph=_H_ sg n/>/mL,<ANONYMid=18 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=18 type=per morph=_I_ /> unit,<ANONYMid=18 type=per morph=_I_ /> unit,,
<ANONYM id=18 type=per morph=_I_ /> ühik,<ANONYMid=18 type=per morph=_I_ /> ühik,,
<ANONYM id=19 type=per morph=_I_ /> unit,<ANONYMid=19 type=per morph=_I_ /> unit,,
<ANONYM id=19 type=per morph=_I_ /> ühik,<ANONYMid=19 type=per morph=_I_ /> ühik,,
<ANONYM id=1 type=per morph=_H_ sg n/>/mL,<ANONYMid=1 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=1 type=per morph=_H_ sg n/>/ml,<ANONYMid=1 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=1 type=per morph=_I_ /> unit,<ANONYMid=1 type=per morph=_I_ /> unit,,
<ANONYM id=1 type=per morph=_I_ /> ühik,<ANONYMid=1 type=per morph=_I_ /> ühik,,
<ANONYM id=1 type=per morph=_Y_ ?/> U/ml,<ANONYMid=1 type=per morph=_Y_ ?/> U/ml,,
<ANONYM id=20 type=per morph=_H_ sg n/>/mL,<ANONYMid=20 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=20 type=per morph=_H_ sg n/>/ml,<ANONYMid=20 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=20 type=per morph=_I_ /> unit,<ANONYMid=20 type=per morph=_I_ /> unit,,
<ANONYM id=20 type=per morph=_I_ /> ühik,<ANONYMid=20 type=per morph=_I_ /> ühik,,
<ANONYM id=21 type=per morph=_H_ sg n/>/ml,<ANONYMid=21 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=21 type=per morph=_I_ /> unit,<ANONYMid=21 type=per morph=_I_ /> unit,,
<ANONYM id=21 type=per morph=_I_ /> ühik,<ANONYMid=21 type=per morph=_I_ /> ühik,,
<ANONYM id=22 type=per morph=_I_ /> unit,<ANONYMid=22 type=per morph=_I_ /> unit,,
<ANONYM id=22 type=per morph=_I_ /> ühik,<ANONYMid=22 type=per morph=_I_ /> ühik,,
<ANONYM id=23 type=per morph=_I_ /> unit,<ANONYMid=23 type=per morph=_I_ /> unit,,
<ANONYM id=23 type=per morph=_I_ /> ühik,<ANONYMid=23 type=per morph=_I_ /> ühik,,
<ANONYM id=24 type=per morph=_H_ sg n/>/ml,<ANONYMid=24 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=24 type=per morph=_I_ /> unit,<ANONYMid=24 type=per morph=_I_ /> unit,,
<ANONYM id=24 type=per morph=_I_ /> ühik,<ANONYMid=24 type=per morph=_I_ /> ühik,,
<ANONYM id=25 type=per morph=_H_ sg n/>/mL,<ANONYMid=25 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=25 type=per morph=_I_ /> unit,<ANONYMid=25 type=per morph=_I_ /> unit,,
<ANONYM id=25 type=per morph=_I_ /> ühik,<ANONYMid=25 type=per morph=_I_ /> ühik,,
<ANONYM id=26 type=per morph=_I_ /> unit,<ANONYMid=26 type=per morph=_I_ /> unit,,
<ANONYM id=26 type=per morph=_I_ /> ühik,<ANONYMid=26 type=per morph=_I_ /> ühik,,
<ANONYM id=27 type=per morph=_I_ /> unit,<ANONYMid=27 type=per morph=_I_ /> unit,,
<ANONYM id=28 type=per morph=_I_ /> unit,<ANONYMid=28 type=per morph=_I_ /> unit,,
<ANONYM id=28 type=per morph=_I_ /> ühik,<ANONYMid=28 type=per morph=_I_ /> ühik,,
<ANONYM id=29 type=per morph=_I_ /> unit,<ANONYMid=29 type=per morph=_I_ /> unit,,
<ANONYM id=29 type=per morph=_I_ /> ühik,<ANONYMid=29 type=per morph=_I_ /> ühik,,
<ANONYM id=2 type=per morph=_H_ sg n/>/mL,<ANONYMid=2 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=2 type=per morph=_H_ sg n/>/ml,<ANONYMid=2 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=2 type=per morph=_I_ /> unit,<ANONYMid=2 type=per morph=_I_ /> unit,,
<ANONYM id=2 type=per morph=_I_ /> ühik,<ANONYMid=2 type=per morph=_I_ /> ühik,,
<ANONYM id=2 type=per morph=_Y_ ?/> U/ml,<ANONYMid=2 type=per morph=_Y_ ?/> U/ml,,
<ANONYM id=30 type=per morph=_I_ /> unit,<ANONYMid=30 type=per morph=_I_ /> unit,,
<ANONYM id=32 type=per morph=_I_ /> unit,<ANONYMid=32 type=per morph=_I_ /> unit,,
<ANONYM id=33 type=per morph=_I_ /> unit,<ANONYMid=33 type=per morph=_I_ /> unit,,
<ANONYM id=38 type=per morph=_I_ /> unit,<ANONYMid=38 type=per morph=_I_ /> unit,,
<ANONYM id=39 type=per morph=_I_ /> unit,<ANONYMid=39 type=per morph=_I_ /> unit,,
<ANONYM id=3 type=per morph=_H_ sg n/>/mL,<ANONYMid=3 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=3 type=per morph=_H_ sg n/>/ml,<ANONYMid=3 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=3 type=per morph=_I_ /> unit,<ANONYMid=3 type=per morph=_I_ /> unit,,
<ANONYM id=3 type=per morph=_I_ /> ühik,<ANONYMid=3 type=per morph=_I_ /> ühik,,
<ANONYM id=3 type=per morph=_Y_ ?/> U/ml,<ANONYMid=3 type=per morph=_Y_ ?/> U/ml,,
<ANONYM id=40 type=per morph=_I_ /> unit,<ANONYMid=40 type=per morph=_I_ /> unit,,
<ANONYM id=42 type=per morph=_I_ /> unit,<ANONYMid=42 type=per morph=_I_ /> unit,,
<ANONYM id=43 type=per morph=_I_ /> unit,<ANONYMid=43 type=per morph=_I_ /> unit,,
<ANONYM id=4 type=per morph=_H_ sg n/>/mL,<ANONYMid=4 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=4 type=per morph=_H_ sg n/>/ml,<ANONYMid=4 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=4 type=per morph=_I_ /> unit,<ANONYMid=4 type=per morph=_I_ /> unit,,
<ANONYM id=4 type=per morph=_I_ /> ühik,<ANONYMid=4 type=per morph=_I_ /> ühik,,
<ANONYM id=4 type=per morph=_Y_ ?/> U/l,<ANONYMid=4 type=per morph=_Y_ ?/> U/l,,
<ANONYM id=4 type=per morph=_Y_ ?/> U/ml,<ANONYMid=4 type=per morph=_Y_ ?/> U/ml,,
<ANONYM id=5 type=per morph=_H_ sg n/>/mL,<ANONYMid=5 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=5 type=per morph=_H_ sg n/>/ml,<ANONYMid=5 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=5 type=per morph=_I_ /> unit,<ANONYMid=5 type=per morph=_I_ /> unit,,
<ANONYM id=5 type=per morph=_I_ /> ühik,<ANONYMid=5 type=per morph=_I_ /> ühik,,
<ANONYM id=5 type=per morph=_Y_ ?/> U/ml,<ANONYMid=5 type=per morph=_Y_ ?/> U/ml,,
<ANONYM id=6 type=per morph=_H_ sg n/>/mL,<ANONYMid=6 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=6 type=per morph=_H_ sg n/>/ml,<ANONYMid=6 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=6 type=per morph=_I_ /> unit,<ANONYMid=6 type=per morph=_I_ /> unit,,
<ANONYM id=6 type=per morph=_I_ /> ühik,<ANONYMid=6 type=per morph=_I_ /> ühik,,
<ANONYM id=6 type=per morph=_Y_ ?/> U/ml,<ANONYMid=6 type=per morph=_Y_ ?/> U/ml,,
<ANONYM id=7 type=per morph=_H_ sg n/>/mL,<ANONYMid=7 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=7 type=per morph=_H_ sg n/>/ml,<ANONYMid=7 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=7 type=per morph=_I_ /> unit,<ANONYMid=7 type=per morph=_I_ /> unit,,
<ANONYM id=7 type=per morph=_I_ /> ühik,<ANONYMid=7 type=per morph=_I_ /> ühik,,
<ANONYM id=8 type=per morph=_H_ sg n/>/mL,<ANONYMid=8 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=8 type=per morph=_H_ sg n/>/ml,<ANONYMid=8 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=8 type=per morph=_I_ /> unit,<ANONYMid=8 type=per morph=_I_ /> unit,,
<ANONYM id=8 type=per morph=_I_ /> ühik,<ANONYMid=8 type=per morph=_I_ /> ühik,,
<ANONYM id=8 type=per morph=_Y_ ?/> U/ml,<ANONYMid=8 type=per morph=_Y_ ?/> U/ml,,
<ANONYM id=9 type=per morph=_H_ sg n/>/mL,<ANONYMid=9 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=9 type=per morph=_H_ sg n/>/ml,<ANONYMid=9 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=9 type=per morph=_I_ /> unit,<ANONYMid=9 type=per morph=_I_ /> unit,,
<ANONYM id=9 type=per morph=_I_ /> ühik,<ANONYMid=9 type=per morph=_I_ /> ühik,,
arb.unit/l,AU/L,,
arv/ul,AU/mL,,
AU,AU,,
CH50 Eq U/ml,CH50Eq U/ml,,
COI,COI,,
DU,DU,,
EIU,EIU,,
EIÜ,EIU,,
er/µl,er/uL,,
er/µ/l,er/uL,,
Er/uL,er/uL,,
Er/ul,er/uL,,
er/ul,er/uL,,
Ery/mikroL,er/uL,,
Ery/uL,er/uL,,
Ery/ul,er/uL,,
ery/ul,er/uL,,
g/cm3,g/cm3,,
g/cm³,g/cm3,,
µg/d,µg/d,,
g/dL,g/dL,,
µg/dl,ug/dL,,
g/dl,g/dL,,
µgE1/g roojas,µgE1/groojas,,
µgE1/g stool,ugE1/gstool,,
g/g,g/g,,
?g/mL,g/mL,,
GPL-U/ml,GPLU/mL,,
HLA-B*-tüübid,HLA-B*-tüübid,,
/[HPF],/[HPF],,
index,index,,
%INH,%INH,,
INR,INR,,
IU,IU,,
IU/L,IU/L,,
IU/l,IU/L,,
µIU/mL,µIU/mL,,
µIU/ml,uIU/mL,,
IU/mL=EASTklass,IU/mL=EASTklass,,
IU/ml=EASTklass,IU/mL=EASTklass,,
IU/ml=RASTklass,IU/ml=RASTklass,,
kg/L,kg/L,,
kg/l,kg/L,,
% kogu Hb-st,%kogu Hb-st,,
korda,korda,,
kPa,kPa,,
L,L,,
µ/L,µ/L,,
l,L,,
µl,uL,,
Leuk/uL,leu/uL,,
Leu/mikroL,leu/uL,,
Leu/uL,leu/uL,,
Leu/ul,leu/uL,,
lk/µl,leu/uL,,
lk/µ/l,leu/uL,,
lk/ul,leu/uL,,
L/L,L/L,,
µl/l,uL/L,,
lU,IU,,
lU/l,lU/l,,
mg %,mg%,,
mg Alb/mmol Cre,mgalb/mmol kreat,,
mg Alb/mmol/Cre,mgAlb/mmol/Cre,,
mg/mg,mg/mg,,
mg/mL,mg/mL,,
mg/ml,mg/mL,,
mg/mmol Cr,mgalb/mmol kreat,,
mikIU/l,uIU/L,,
mik/L,mik/L,,
mikrg/dl,ug/dL,,
mikrlU/ml,uIU/mL,,
mikrol/l,uL/L,,
milj,milj,,
milj/mL,milj/mL,,
milj/ml,milj/ml,,
m[IU]/mL,m[IU]/mL,,
mIU/mL,mIU/mL,,
mIU/ml,mIU/mL,,
"mL/min/1,73 m2","mL/min/1,73m2",,
"mL/min1,73m³","mL/min1,73m³",,
mlU/ml,mIU/mL,,
mmol,mmol,,
mmol/,mmol/,,
mmol/kg,mmol/kg,,
mmol/ml,mmol/mL,,
mmol/mol Crea,mmol/molCrea,,
mol (Ca)/mol Crea,mol(Ca)/mol Crea,,
µmol/d,µmol/d,,
µmol/mmol Crea,µmol/mmolCrea,,
mol (Na)/mol Crea,mol(Na)/mol Crea,,
mol (P)/mol Crea,mol(P)/mol Crea,,
MoM,MoM,,
mOsm/kg,mOsm/kg,,
mosm/kgH20,mosm/kgH20,,
mU/ml,mU/mL,,
%NEUTR,%NEUTR,,
ng FEU/ml,ngFEU/mL,,
ng/µL,ng/µL,,
ng/mL/h,ng/mL/h,,
ng/ml/h,ng/mL/h,,
ng/mL(RBC)/1h,ng/mL(RBC)/1h,,
nM,nM,,
nmHg,nmHg,,
nmol/g crea,nmol/gcrea,,
nmol/ml,nmol/ml,,
nmol/mmol Crea,nmol/mmolCrea,,
nmpl/mmolCrea,nmpl/mmolCrea,,
normaalset 1 juhu kohta,normaalset1 juhu kohta,,
% norm. aktiivsusest,%norm. aktiivsusest,,
Normitud suhe,normsuhe,,
%o,‰,,
OapC,OapC,,
o C,oC,,
o/oo,‰,,
OspC,OspC,,
pH,pH,,
[pH],[pH],,
pM,pM,,
PMÜ/ml,PR/mL,,
PR/mL,PR/mL,,
PR/ml,PR/mL,,
promill,‰,,
pudel,pudel,,
rakku/µL,rakku/µL,,
rakku/µl,r/uL,,
rakku/uL,r/uL,,
rakku/ul,r/uL,,
rakku / vaateväli,r/vv,,
rakku vaateväljas,r/vv,,
rakku/vv,r/vv,,
RASTklass,RASTklass,,
Ratio,suhe,,
ratio,ratio,,
r/µL,r/µL,,
RU,RU,,
RU/mL,RU/mL,,
RU/ml,RU/mL,,
r/vv,r/vv,,
S/CO,S/CO,,
s/co,s/co,,
Suhe(Ratio),suhe,,
s/vv,r/vv,,
tiiter,tiiter,,
{titer},{titer},,
tk/vv,tk/vv,,
ug/dl,ug/dl,,
ug E1/ g faeces,ugE1/ g faeces,,
uIU/mL,uIU/mL,,
ul/ml,uL/mL,,
um/d,um/d,,
µU/ml,uU/mL,,
uU/mL,uU/mL,,
uU/ml,uU/mL,,
valku,valku,,
VE,VE,,
w/h,w/h,,
VIEU/ml,VIEU/mL,,
VMÜ/ mL,VMÜ/mL%,,
vv,vv,,
/vv,/vv,,
v/v,vv,,
x1000/uL,10E3/uL,,
x1000/ul,10E3/uL,,
x10^3 µl,10E3/uL,,
x10^9 l,10E9L,,
x10^9/l,19E9/L,,
x10µl,10uL,,
X 10(sup)9,10000000000,,
x 10x6 rakku/l,10E6r/L,,
μg/g,μg/g,,
μg/L,μg/L,,
μmol/L,μmol/L,,
,,,
