analysis_name,analysis_substrate,parameter_code,parameter_name,unit,count
Hematoloogilised uuringud,,3603,RDW%,,14
Histoloogia,,3436,Arhiivi number,,1
Histoloogia,,"S-p,cANCA/NeutrofiilidetsütoplasmavastaneIgGseerumis",Arhiivi number,,97
Hematoloogilised uuringud,,377,RDW%,,542
Histoloogia,,S2-B_burgdorferi_IgG,Diagnoos 1,,1
Histoloogia,,NTpro-BNP,Lokatsioon,,120
Histoloogia,,10185,Kirjeldus,,471
Hematoloogilised uuringud,,Prog/Progesteroon,PLCR,,6
Histoloogia,,AntigeenRivastaneIgGseerumis/Neuronaalsedautoantikehad,Arhiivi number,,3
Hematoloogilised uuringud,,10035,RDW%,,11
Histoloogia,,2462,Diagnoos 1,,2
Histoloogia,,60113,Arhiivi number,,1
Histoloogia,,109,Kirjeldus,,835
Histoloogia,,523,Lokatsioon,,496
Histoloogia,,S-sTransf,Arhiivi number,,1
Hematoloogilised uuringud,,S-H.py,RDW%,,2
Hematoloogilised uuringud,,Sy-Diff,PLCR,,3
Histoloogia,,1297,Diagnoos 1,,1
Hematoloogilised uuringud,,58624,PLCR,,1
Histoloogia,,146195,Lokatsioon,,1
Histoloogia,,1422,Arhiivi number,,15
Histoloogia,,e6/spIgEmeriseasuhtes,Kirjeldus,,1
Histoloogia,,"S,P-TSH",Diagnoos 1,,65
Histoloogia,,LA-kinnitavuuring-Luupusantikoagulantidetest/kvant,Diagnoos 1,,10
Histoloogia,,602,Kirjeldus,,1
Hematoloogilised uuringud,,144336,PLCR,,3
Hematoloogilised uuringud,,62727,RDW%,,1
Hematoloogilised uuringud,,S2-C_pneumoniae_IgG,PLCR,,7
Hematoloogilised uuringud,,S1-aLKMA,RDW%,,2
Histoloogia,,Bil.,Arhiivi number,,117
Hematoloogilised uuringud,,S2-CreaC,PLCR,,34
Hematoloogilised uuringud,,S-aBorrM,PLCR,,46
Hematoloogilised uuringud,,2402,PLCR,,1
Histoloogia,,146065,Arhiivi number,,2
Histoloogia,,nP-IL-6,Arhiivi number,,1
Hematoloogilised uuringud,,4884,PLCR,,7
Histoloogia,,2079,Arhiivi number,,1
Histoloogia,,fS-Crea,Kirjeldus,,1184
Histoloogia,,2467,Arhiivi number,,45
Histoloogia,,S-ASO(antistreptolüsiinO),Lokatsioon,,278
Hematoloogilised uuringud,,S-T_gondii_IgG,RDW%,,13
Hematoloogilised uuringud,,Bx-Borrelia_PCR,RDW%,,1
Histoloogia,,Candidaantigeenimannaanjavastasedantikehadseerumis,Lokatsioon,,4
Hematoloogilised uuringud,,10013,RDW%,,3
Hematoloogilised uuringud,,UreaplasmaurealyticumDNAemakakaelakanalikaapest,PLCR,,89
Histoloogia,,CDleukeemiatediagnostika,Diagnoos 1,,14
Hematoloogilised uuringud,,11048,RDW%,,49
Histoloogia,,EBV,Lokatsioon,,4
Histoloogia,,3433,Diagnoos 1,,1
Histoloogia,,"CBC,DIFF(5),RETmikroskoopiliselt",Kirjeldus,,9
Hematoloogilised uuringud,,1585,PLCR,,3
Hematoloogilised uuringud,,F-Noro-Ag,PLCR,,1
Hematoloogilised uuringud,,ViirusmeningiiditekitajatekompleksuuringPCRmeetodilliik,RDW%,,6
Histoloogia,,144386,Diagnoos 1,,2
Histoloogia,,Cx-S_agalactiae,Diagnoos 1,,2
Histoloogia,,568,Arhiivi number,,284
Hematoloogilised uuringud,,132,PLCR,,68
Hematoloogilised uuringud,,P-K,RDW%,,433
Histoloogia,,"S,P-FSH",Kirjeldus,,4
Hematoloogilised uuringud,,HantaviirusIgG,RDW%,,1
Hematoloogilised uuringud,,11527,RDW%,,18
Histoloogia,,30111,Lokatsioon,,3
Histoloogia,,4874,Kirjeldus,,7
Histoloogia,,1029,Diagnoos 1,,228
Hematoloogilised uuringud,,201,PLCR,,64
Hematoloogilised uuringud,,Cf-AerMyc,RDW%,,148
Hematoloogilised uuringud,,5626,RDW%,,5
Histoloogia,,U-Kusih.kr.Kusihappekristallid,Arhiivi number,,6
Histoloogia,,S-cTnT_hs,Diagnoos 1,,33
Hematoloogilised uuringud,,U-Myc,RDW%,,9
Histoloogia,,2004,Arhiivi number,,2
Hematoloogilised uuringud,,147102,RDW%,,9
Hematoloogilised uuringud,,S2-HE4,RDW%,,14
Hematoloogilised uuringud,,11925,PLCR,,1
Hematoloogilised uuringud,,1014,PLCR,,1584
Histoloogia,,S-CK-MBm,Arhiivi number,,499
Hematoloogilised uuringud,,3592,PLCR,,1
Hematoloogilised uuringud,,S-M_pneumoniae_IgA,PLCR,,196
Hematoloogilised uuringud,,758,PLCR,,1
Histoloogia,,71186,Lokatsioon,,1
Histoloogia,,Nm-_Gripp_A+B,Diagnoos 1,,2
Histoloogia,,144341,Lokatsioon,,3
Hematoloogilised uuringud,,44676,RDW%,,2
Histoloogia,,247,Diagnoos 1,,7
Hematoloogilised uuringud,,S1-aToxoG,PLCR,,1
Histoloogia,,"S,P-CK-MBm",Diagnoos 1,,56
Histoloogia,,S-_Prol,Kirjeldus,,23
Hematoloogilised uuringud,,Ea-Aer,RDW%,,24
Histoloogia,,11969,Diagnoos 1,,1
Hematoloogilised uuringud,,22,PLCR,,1243
Histoloogia,,853,Diagnoos 1,,1
Hematoloogilised uuringud,,1325,PLCR,,148
Histoloogia,,2524,Lokatsioon,,1
Histoloogia,,LYM%(lümfotsüütidesuhtarv),Diagnoos 1,,1210
Histoloogia,,S-aCpn-M,Diagnoos 1,,1
Hematoloogilised uuringud,,7344,RDW%,,1
Hematoloogilised uuringud,,StreptococcuspneumoniaeDNA,PLCR,,15
Hematoloogilised uuringud,,67903,PLCR,,1
Histoloogia,,PlrF-SG,Arhiivi number,,6
Histoloogia,,781,Diagnoos 1,,78
Histoloogia,,7654,Lokatsioon,,18
Hematoloogilised uuringud,,E2/Östradiool,RDW%,,21
Hematoloogilised uuringud,,"S,P-CCP_IgG",RDW%,,28
Hematoloogilised uuringud,,PrcF-PMN,RDW%,,1
Histoloogia,,Wdt-Anaer,Lokatsioon,,10
Histoloogia,,1175,Diagnoos 1,,35
Hematoloogilised uuringud,,fP-apoA1(apolipoproteiinA),PLCR,,3
Histoloogia,,1628,Kirjeldus,,4
Hematoloogilised uuringud,,koerakarv,RDW%,,5
Histoloogia,,10226,Lokatsioon,,3
Histoloogia,,594,Diagnoos 1,,2
Histoloogia,,S-f352spIgEmaapähklikomponendirArah8PR-10(Betv1,Diagnoos 1,,2
Hematoloogilised uuringud,,57808,PLCR,,1
Histoloogia,,S-UA(kusihape),Kirjeldus,,1533
Histoloogia,,61174,Arhiivi number,,6
Histoloogia,,103,Lokatsioon,,74
Histoloogia,,2409,Lokatsioon,,1
Histoloogia,,fS-Transf(transferriin),Diagnoos 1,,325
Hematoloogilised uuringud,,4285,PLCR,,1
Histoloogia,,67293,Kirjeldus,,2
Histoloogia,,fS-Trigl(triglütseriidid),Arhiivi number,,2057
Histoloogia,,240,Arhiivi number,,7
Histoloogia,,S-p1_IgE,Lokatsioon,,39
Histoloogia,,1361,Kirjeldus,,2
Hematoloogilised uuringud,,778,RDW%,,82
Histoloogia,,S-Grav_I_trim,Diagnoos 1,,6
Histoloogia,,S-EBV_VCA_IgG,Lokatsioon,,4
Histoloogia,,503,Diagnoos 1,,6
Histoloogia,,S2-B_pertussis_IgG,Lokatsioon,,5
Histoloogia,,IgGSAA,Lokatsioon,,2
Histoloogia,,1158,Kirjeldus,,78
Histoloogia,,4314,Kirjeldus,,4
Histoloogia,,30154,Lokatsioon,,1
Hematoloogilised uuringud,,U-Lepn,RDW%,,5
Histoloogia,,S-Y.ent.O9,Arhiivi number,,4
Hematoloogilised uuringud,,2486,RDW%,,19
Hematoloogilised uuringud,,CK-MB,PLCR,,1
Histoloogia,,"S,P-Myogl",Kirjeldus,,38
Histoloogia,,dU+S-CreaC,Lokatsioon,,2
Hematoloogilised uuringud,,GR,PLCR,,1
Histoloogia,,HantaviirusIgM,Arhiivi number,,1
Histoloogia,,S-25(OH)D,Lokatsioon,,2
Histoloogia,,1399,Kirjeldus,,9
Histoloogia,,S-aHSV-1/2M-Blot,Lokatsioon,,2
Histoloogia,,1898,Kirjeldus,,1
Histoloogia,,IPF-ebaküpsedtrombotsüüdid,Diagnoos 1,,502
Hematoloogilised uuringud,,11115,RDW%,,403
Histoloogia,,S2-IgE-K20,Lokatsioon,,13
Hematoloogilised uuringud,,695,RDW%,,472
Histoloogia,,Sk-T-Na,Lokatsioon,,22
Hematoloogilised uuringud,,mOsm,PLCR,,429
Histoloogia,,F-Campylo,Lokatsioon,,3
Histoloogia,,10191,Arhiivi number,,470
Histoloogia,,CSF-MN,Lokatsioon,,62
Histoloogia,,S1-aToxoG,Diagnoos 1,,1
Hematoloogilised uuringud,,10530,PLCR,,2
Histoloogia,,10695,Diagnoos 1,,33
Hematoloogilised uuringud,,1140,PLCR,,232
Histoloogia,,8572,Arhiivi number,,2
Histoloogia,,S-CDT,Arhiivi number,,9
Histoloogia,,f79spIgEgluteenisuhtes,Arhiivi number,,7
Hematoloogilised uuringud,,10485,PLCR,,13
Hematoloogilised uuringud,,510,RDW%,,260
Histoloogia,,S-H_influenzae_B_IgG,Lokatsioon,,3
Histoloogia,,P-FVII-FaktorVII,Lokatsioon,,2
Histoloogia,,2751,Lokatsioon,,1
Hematoloogilised uuringud,,S-PTH,RDW%,,107
Histoloogia,,41138,Arhiivi number,,1
Hematoloogilised uuringud,,71569,PLCR,,8
Histoloogia,,Alfa-1globuliinid,Kirjeldus,,8
Histoloogia,,144276,Lokatsioon,,7
Histoloogia,,5714,Arhiivi number,,56
Histoloogia,,S-HIV-1/2_Ag/Ab,Arhiivi number,,65
Histoloogia,,Va-Ctr-PCR,Arhiivi number,,2
Histoloogia,,3961,Diagnoos 1,,10
Histoloogia,,4721,Lokatsioon,,6
Hematoloogilised uuringud,,Br-Aer,PLCR,,9
Histoloogia,,10356,Diagnoos 1,,1
Hematoloogilised uuringud,,4283,PLCR,,1
Hematoloogilised uuringud,,Cx-M_hominis-PCR,RDW%,,14
Histoloogia,,41245,Lokatsioon,,3
Hematoloogilised uuringud,,2472,RDW%,,21
Histoloogia,,11055,Diagnoos 1,,40
Hematoloogilised uuringud,,S-d3_IgE,PLCR,,49
Hematoloogilised uuringud,,70358,PLCR,,115
Histoloogia,,1573,Arhiivi number,,3
Hematoloogilised uuringud,,11049,PLCR,,39
Histoloogia,,786,Diagnoos 1,,4
Histoloogia,,714,Kirjeldus,,291
Histoloogia,,"U._urealyticum,_U.parvum_DNA_em",Arhiivi number,,16
Histoloogia,,S-Pinf_IgM,Arhiivi number,,1
Hematoloogilised uuringud,,43562,RDW%,,1
Histoloogia,,7587,Arhiivi number,,14
Histoloogia,,S-_Rf,Lokatsioon,,31
Hematoloogilised uuringud,,57677,RDW%,,1
Hematoloogilised uuringud,,2408,PLCR,,1
Hematoloogilised uuringud,,S-aNeu-IF,RDW%,,21
Histoloogia,,43914,Kirjeldus,,7
Histoloogia,,LDHpunktaadis,Arhiivi number,,5
Histoloogia,,S-Amyl-2,Diagnoos 1,,21
Histoloogia,,S-IgE-F93,Diagnoos 1,,5
Histoloogia,,"Etanoolplasmas,seerumis.",Kirjeldus,,15
Histoloogia,,S-Bil,Diagnoos 1,,4631
Hematoloogilised uuringud,,70364,PLCR,,125
Hematoloogilised uuringud,,10086,RDW%,,23
Histoloogia,,Mycp-pneum_IgA,Arhiivi number,,3
Histoloogia,,71685,Diagnoos 1,,7
Histoloogia,,657,Lokatsioon,,3
Histoloogia,,Metamüelotsüüdid,Kirjeldus,,118
Histoloogia,,Perikardivedelikumakroskoopilineuuring,Kirjeldus,,1
Hematoloogilised uuringud,,CSF-Lümfotsüüdid,RDW%,,12
Histoloogia,,S1-_HIV,Arhiivi number,,3
Histoloogia,,704,Diagnoos 1,,180
Histoloogia,,41420,Diagnoos 1,,4
Histoloogia,,41230,Arhiivi number,,1
Hematoloogilised uuringud,,alb,PLCR,,20
Hematoloogilised uuringud,,S1-Digox,PLCR,,39
Histoloogia,,59276,Lokatsioon,,1
Histoloogia,,TSH,Diagnoos 1,,79
Histoloogia,,IMPImipeneem,Diagnoos 1,,20
Histoloogia,,2186,Diagnoos 1,,241
Histoloogia,,LA-mix2DRVVscreen(120&apos;),Arhiivi number,,3
Histoloogia,,P-PC,Lokatsioon,,23
Hematoloogilised uuringud,,2148,PLCR,,19
Histoloogia,,RET-He,Diagnoos 1,,492
Hematoloogilised uuringud,,147215,RDW%,,1
Histoloogia,,f25/spIgEtomatisuhtes,Kirjeldus,,13
Histoloogia,,P1-APTT,Kirjeldus,,52
Hematoloogilised uuringud,,Uf-PrepG,PLCR,,103
Hematoloogilised uuringud,,PresensibilisatsioonHLAantig,RDW%,,3
Histoloogia,,S2-HBsAg-test,Kirjeldus,,3
Histoloogia,,S-Na_,Kirjeldus,,7
Hematoloogilised uuringud,,S-AmylP(amülaasipankreasefraktsioon),PLCR,,71
Histoloogia,,mesi,Arhiivi number,,4
Histoloogia,,3478,Arhiivi number,,2
Hematoloogilised uuringud,,40074,RDW%,,3
Hematoloogilised uuringud,,3339,PLCR,,1
Histoloogia,,LäkaköhaIgM,Lokatsioon,,3
Histoloogia,,4717,Kirjeldus,,2
Histoloogia,,Kaltsium(ioniseeritud),Lokatsioon,,142
Histoloogia,,632,Lokatsioon,,1
Histoloogia,,CSF-Lac ,Diagnoos 1,,1
Histoloogia,,4321,Kirjeldus,,4
Histoloogia,,1221,Diagnoos 1,,1
Histoloogia,,66704,Lokatsioon,,2
Hematoloogilised uuringud,,147215,PLCR,,1
Hematoloogilised uuringud,,tärpetiinõli(Terpentinöl)10%,RDW%,,2
Histoloogia,,S2-ProBNP,Diagnoos 1,,69
Histoloogia,,69655,Kirjeldus,,5
Hematoloogilised uuringud,,B-Quantiferon-gamma,RDW%,,7
Histoloogia,,11117,Lokatsioon,,401
Hematoloogilised uuringud,,10513,PLCR,,110
Histoloogia,,214,Kirjeldus,,64
Histoloogia,,530,Lokatsioon,,497
Hematoloogilised uuringud,,3976,RDW%,,6
Histoloogia,,1632,Arhiivi number,,4
Histoloogia,,B-hepatiidiviirusetuumaantig.vast.IgMjaIgGant,Kirjeldus,,3
Histoloogia,,61842,Arhiivi number,,21
Histoloogia,,57765,Diagnoos 1,,1
Histoloogia,,774,Kirjeldus,,17
Histoloogia,,1428,Diagnoos 1,,31
Histoloogia,,41428,Kirjeldus,,1
Hematoloogilised uuringud,,S-aHSV-1/2G-Blot,RDW%,,2
Histoloogia,,Cx-Uu+Up-PCR,Diagnoos 1,,4
Histoloogia,,_CRV,Arhiivi number,,588
Histoloogia,,5689,Kirjeldus,,206
Histoloogia,,Normetanefriin,Lokatsioon,,3
Hematoloogilised uuringud,,1357,RDW%,,229
Histoloogia,,"S-HIV1,2Ag+AB",Diagnoos 1,,18
Hematoloogilised uuringud,,2131,RDW%,,12
Histoloogia,,7684,Arhiivi number,,1
Histoloogia,,137,Diagnoos 1,,36
Histoloogia,,2369,Kirjeldus,,104
Hematoloogilised uuringud,,59489,RDW%,,1
Histoloogia,,65056,Kirjeldus,,1
Histoloogia,,144208,Lokatsioon,,2
Hematoloogilised uuringud,,45023,PLCR,,2
Histoloogia,,8310,Diagnoos 1,,5
Histoloogia,,Vereäigemikroskoopia,Diagnoos 1,,646
Histoloogia,,10461,Diagnoos 1,,322
Histoloogia,,"A-gripiviirused,RNA",Lokatsioon,,8
Histoloogia,,B-HCV_RNA-Q,Kirjeldus,,8
Histoloogia,,71497,Kirjeldus,,10
Histoloogia,,30266,Arhiivi number,,14
Histoloogia,,11064,Lokatsioon,,42
Hematoloogilised uuringud,,S-Mg(magneesium),PLCR,,209
Histoloogia,,12431,Arhiivi number,,2
Hematoloogilised uuringud,,B3-ABO+Rh(D),RDW%,,3
Hematoloogilised uuringud,,PlrF-Tbc,RDW%,,5
Histoloogia,,1908,Diagnoos 1,,4
Histoloogia,,f41spIgElõhesuhtes,Arhiivi number,,9
Hematoloogilised uuringud,,B-AB0d+Rh(D),PLCR,,12
Histoloogia,,SynF-DiffAliigesevedelikutsütoosiuuringanalüsaatoril,Kirjeldus,,1
Hematoloogilised uuringud,,vili,RDW%,,5
Hematoloogilised uuringud,,2410,RDW%,,1
Histoloogia,,TSH-türeotropiin,Arhiivi number,,1
Histoloogia,,66609_Hingamisteede_viirusste_RN,Lokatsioon,,7
Histoloogia,,S-T_pallidum_IgM_conf,Lokatsioon,,4
Hematoloogilised uuringud,,1560,RDW%,,45
Histoloogia,,41230,Kirjeldus,,1
Histoloogia,,IgG3,Diagnoos 1,,5
Histoloogia,,5709,Lokatsioon,,56
Hematoloogilised uuringud,,fS-C-pept,PLCR,,19
Histoloogia,,70410,Lokatsioon,,2
Histoloogia,,Valk,Lokatsioon,,23
Histoloogia,,66124,Lokatsioon,,1
Histoloogia,,Vag-HSV2-PCR,Kirjeldus,,1
Hematoloogilised uuringud,,3343,PLCR,,2
Histoloogia,,146066,Arhiivi number,,2
Histoloogia,,Helicobacterpyloriantigeenroojas,Diagnoos 1,,5
Histoloogia,,69476,Lokatsioon,,1
Histoloogia,,4358,Arhiivi number,,6
Histoloogia,,S2-aTrepM-Blot,Arhiivi number,,8
Histoloogia,,5692,Arhiivi number,,206
Histoloogia,,S-MPOAb/MüeloperoksüdaasivastaneIgGseerumis,Kirjeldus,,9
Histoloogia,,1015,Diagnoos 1,,3
Hematoloogilised uuringud,,S2-IgE-IP8,PLCR,,20
Hematoloogilised uuringud,,66732,RDW%,,40
Hematoloogilised uuringud,,Cx-N_gonorrh._DNA,PLCR,,41
Hematoloogilised uuringud,,242,PLCR,,3
Histoloogia,,"S2-HIV1,2Ag/Ab",Lokatsioon,,1
Hematoloogilised uuringud,,3591,RDW%,,1
Histoloogia,,43217,Diagnoos 1,,1
Histoloogia,,S-Liver-IF,Kirjeldus,,52
Histoloogia,,S-Vit_D_(25-OH),Lokatsioon,,9
Histoloogia,,10310,Diagnoos 1,,27
Histoloogia,,146051,Kirjeldus,,1
Histoloogia,,155,Diagnoos 1,,9
Hematoloogilised uuringud,,Cf-Bsk,RDW%,,75
Histoloogia,,S-IgA,Lokatsioon,,312
Histoloogia,,Cm-HPV-genotüüp-PCR,Arhiivi number,,1
Hematoloogilised uuringud,,P4-cTnI,RDW%,,137
Hematoloogilised uuringud,,TT,PLCR,,2
Histoloogia,,7685,Kirjeldus,,1
Histoloogia,,63914,Kirjeldus,,1
Histoloogia,,10305,Kirjeldus,,8
Histoloogia,,Um-Aer,Lokatsioon,,3
Histoloogia,,S-Erlich_IgG,Lokatsioon,,8
Histoloogia,,69582,Diagnoos 1,,2
Histoloogia,,S-gam-glGammaglobuliinid,Kirjeldus,,181
Histoloogia,,673,Diagnoos 1,,1
Hematoloogilised uuringud,,2345,PLCR,,3
Histoloogia,,40,Arhiivi number,,246
Histoloogia,,67889,Lokatsioon,,4
Histoloogia,,NeisseriameningitidisDNA,Kirjeldus,,5
Histoloogia,,Uuringparasiitidemunadele,Lokatsioon,,3
Hematoloogilised uuringud,,D-di,PLCR,,3
Histoloogia,,682,Kirjeldus,,266
Hematoloogilised uuringud,,S2-Salmonella_Ab,PLCR,,1
Histoloogia,,41450,Kirjeldus,,12
Histoloogia,,S-DHES ,Diagnoos 1,,2
Histoloogia,,60677,Lokatsioon,,3
Hematoloogilised uuringud,,U-Uu/Up-PCR,RDW%,,4
Histoloogia,,3861,Arhiivi number,,18
Histoloogia,,EtOHgskEtanoolgaaskromatograafiliselt,Kirjeldus,,2
Histoloogia,,S-Borr-IgG-immunoblot,Lokatsioon,,1
Hematoloogilised uuringud,,4872,PLCR,,7
Histoloogia,,U-ProtValkkvantitatiivselt,Diagnoos 1,,444
Histoloogia,,72123,Diagnoos 1,,2
Histoloogia,,lõhnaineteseguII(Fragrance-mixII)14%,Lokatsioon,,1
Hematoloogilised uuringud,,P-RF,RDW%,,1
Hematoloogilised uuringud,,S-Liver_(panel),PLCR,,423
Histoloogia,,BakteriaalsemeningiiditekitajatekompleksuuringPCRmeetod,Kirjeldus,,5
Hematoloogilised uuringud,,MPO_Ig_G,RDW%,,1
Histoloogia,,Vag-Uu/Up-PCR,Lokatsioon,,4
Histoloogia,,TSH-türeotropiin,Diagnoos 1,,1
Histoloogia,,2334,Arhiivi number,,28
Histoloogia,,43156,Kirjeldus,,1
Hematoloogilised uuringud,,S-Y_enterocolitica_03_Ab,RDW%,,5
Histoloogia,,40175,Diagnoos 1,,8
Histoloogia,,30078,Arhiivi number,,1
Histoloogia,,S-GTT-e,Kirjeldus,,7
Hematoloogilised uuringud,,4316,RDW%,,4
Hematoloogilised uuringud,,S-aHAV-M,PLCR,,1
Histoloogia,,4595,Diagnoos 1,,15
Histoloogia,,CSF-CDrakupinnamarkeriteimmunofenotüpeerimineliikvorist,Diagnoos 1,,1
Hematoloogilised uuringud,,687,RDW%,,267
Histoloogia,,S2-T_pallidum_IgM,Kirjeldus,,3
Histoloogia,,583,Diagnoos 1,,293
Hematoloogilised uuringud,,S-fp5_IgE,PLCR,,31
Histoloogia,,1356,Arhiivi number,,3
Hematoloogilised uuringud,,11263,PLCR,,1
Histoloogia,,ChlamydiapneumoniaeIgG,Kirjeldus,,5
Histoloogia,,1315,Kirjeldus,,4
Histoloogia,,705,Arhiivi number,,180
Hematoloogilised uuringud,,10162,RDW%,,3
Histoloogia,,1663,Arhiivi number,,55
Histoloogia,,3983,Arhiivi number,,2
Histoloogia,,S-t2_IgE,Diagnoos 1,,127
Histoloogia,,B3-XmB-g,Lokatsioon,,177
Histoloogia,,Ul-HSV1/2-PCR,Arhiivi number,,2
Histoloogia,,44075,Diagnoos 1,,1
Histoloogia,,S-AGA_IgA,Kirjeldus,,31
Histoloogia,,613,Arhiivi number,,884
Hematoloogilised uuringud,,7689,RDW%,,1
Histoloogia,,S-i3_IgE,Arhiivi number,,1
Histoloogia,,3475,Diagnoos 1,,2
Histoloogia,,1890,Kirjeldus,,2
Histoloogia,,10136,Lokatsioon,,1
Hematoloogilised uuringud,,1023,RDW%,,1
Histoloogia,,2171,Arhiivi number,,152
Histoloogia,,S-gp4_IgE,Diagnoos 1,,22
Histoloogia,,147094,Lokatsioon,,17
Histoloogia,,St-Shigella,Arhiivi number,,5
Hematoloogilised uuringud,,S-SSB/LA_IgG,RDW%,,1
Hematoloogilised uuringud,,40175,RDW%,,8
Histoloogia,,12,Lokatsioon,,1103
