Oc utr,Z00-Z99,59
"Anogenitaalsed herpesviirusnakkused [herpes simplex], suguelundite ja urogenitaaltrakti herpesviirusnakkused",A00-B99,58
Riskiaste 2,I00-I99,58
"Tür[e]oidiit e kilpnäärmepõletik, muu krooniline tür[e]oidiit",E00-E90,56
Kerge depressioon,F00-F99,55
PR  .,H00-H59,55
"Õlavarreluu proksimaalse [ülaotsa] murd, kinnine",S00-T98,52
Keskmise raskusega,G00-G99,47
"Uinumise ja une säilitamise häired [insomniad]
päevane liigunisus",G00-G99,47
"Lateraalse malleooli [külgmise pekse] murd, kinnine",S00-T98,46
"Eostumist kaavitav [kaasaaitav] käitlus, muu eostumist kaavitav käitlus",Z00-Z99,46
"Liiklusvälises õnnetuses vigastatud juht, puhke- ja vaba aja tegevus",None,46
"Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega II aste (organkahjustus III, ülikõrge kardiovaskulaarne risk)",I00-I99,45
Generaliseerunud (persistentse) lümfadenopaatiana avalduv hiv-tõbi,A00-B99,43
A pk,C00-D48,43
"Täielik v tta, tüsistusteta",None,42
III st.,I00-I99,42
II NYHA,I00-I99,42
R ou,H00-H59,41
Oc. utr,Z00-Z99,41
Nimme-ristluu piirkond,None,40
Krooniline kõripõletik,J00-J99,40
"Tänav ja [maan]tee, muu täpsustatud tegevusega",None,40
"Hüperparatüreoos ja muud paratür[e]oidnäärme haigusseisundid, esmane e primaarne hüperparatüreoos",E00-E90,39
"Nimmelülimurd, kinnine",S00-T98,37
"Küünar- ja kodarluu distaalsete otsade murd, kinnine",S00-T98,37
E healoomuline kasvaja,None,37
Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega; Riskiaste 2,I00-I99,37
"Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega I aste (organkahjustus III, ülikõrge kardiovaskulaarne risk)",I00-I99,37
"Mittetäielik, tüsistusteta",O00-O99,36
Preprol. oc. utr.,None,36
"Kliiniliselt
kliiniliselt",A00-B99,36
"Crohni tõbi [regionaalne e segmentaarne peensoolepõletik], jämesoole crohni tõbi",K00-K93,35
"Kodarluu üla- [proksimaalse] otsa murd, kinnine",S00-T98,35
-ei esine vōi kerge käitumish,None,35
"Preproliferatiivne,osaliselt laserdatud",None,35
"Seksuaalse suhtumise, käitumise ja sättumuse e orienteeritusega seotud nõuandmine [seksuaalnõustamine], muu seksuaalnõustamine",Z00-Z99,34
I pk,C00-D48,34
Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta; Riskiaste 3,I00-I99,34
Tänav ja [maan]tee,V01-Y98,34
"Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta,II",I00-I99,33
"Vililasestressiga [-distressiga] tüsistunud sünnitamine ja sünnitus, vililase südamelöögisageduse anomaaliaga tüsistunud sünnitamine ja sünnitus",O00-O99,32
Ebastabiilne isiksus,F00-F99,32
Vasak õlg,M00-M99,32
"Täpsustamata paik, puhke- ja vaba aja tegevus",None,32
Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega II,I00-I99,31
"Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega I aste (organkahjustus II, kõrge kardiovaskulaarne risk)",I00-I99,31
Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega; Riskiaste 3,I00-I99,31
Trepil(t) või astmetel(t) kukkumine kodus puhke- või vabaaja tegevuse juures,None,31
"Kodu, töötamine tasu eest, teenistus",None,31
Põlveõndla limapaunatsüst [baker],M00-M99,30
Autoimmuunne türeoidiit,E00-E90,30
Os  .,H00-H59,30
Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega III,I00-I99,30
Anaemia gravidarum,O00-O99,30
Muus või täpsustatud kohas puhke- või vabaaja tegevuse juures,None,30
Oc. sin,Z00-Z99,29
F70.1   olulise käitumishäirega,None,28
"Orgaanilised meeleoluhäired, orgaaniline de",None,28
"Trepil(t) või astmetel(t) kukkumine, kodu",V01-Y98,28
Peopesa sidekirme fibromatoos [dupuytreni kontraktuur],M00-M99,27
A pahaloomuline kasvaja,None,27
Vasaku põlveliigese artroos.,M00-M99,27
Ou  .,Z00-Z99,27
"Vitrektoomiajärgne, vesivedelik klaaskeharuumis",H00-H59,27
"Kodu, muu täpsustamata tegevus",None,27
Liiklusvälises õnnetuses vigastatud juht,V01-Y98,27
E pahaloomuline kasvaja,C00-D48,26
"Küünarluu üla- [proksimaalse] otsa murd, kinnine",S00-T98,26
NYHA III,I00-I99,26
I healoomuline kasvaja,None,26
. Hemokromatoos (homosügoot C282Y),E00-E90,26
Rauaainevahetuse häired.  (homosügoot C282Y),E00-E90,26
Ovulatsiooniaegne valu {mittelschmerz},N00-N99,26
Krooniline migreen,G00-G99,26
Oc. sin.,Z00-Z99,26
"Kool, muu asutus ja avalik administratiivpiirkond, töötamine tasu eest, teenistus",None,26
Vasak pool,M00-M99,25
Vasaku põlveliigese endoprotees,Z00-Z99,25
Parem õlg,M00-M99,25
"Krooniline sinu[s]iit e ninakõrvalurkepõletik, muu krooniline sinu[s]iit",J00-J99,24
Täpsustamata reuma,M00-M99,24
Rinnaosa piirkond,None,24
Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta  II,I00-I99,24
"Emaka (v.a emakakael) põletikuline haigus, emaka äge põletikuline haigus",N00-N99,24
Parema põlveliigese artroos.,M00-M99,24
Od  .,H00-H59,24
Mõõdukas depressioon,F00-F99,24
Glomeerulite haigusseisundid melliitdiabeedi korral (e10-e14 ühise neljanda tärgiga.2),N00-N99,24
Status post arthroplasticam coxae bilateralis,Z00-Z99,24
Muud ja täpsustatud kohad,V01-Y98,24
Kergekujuline rasedusaegne iiigoksendamine,O00-O99,23
"Reieluukaela-murd, kinnine",S00-T98,23
"Äge suulae- e kurgumandlipõletik e tonsilliit [angiin], täpsustamata äge suulaemandlipõletik",J00-J99,23
Kanna- [ahilleuse]kõõluse vigastus,S00-T98,23
"Tür[e]oidiit e kilpnäärmepõletik, krooniline tür[e]oidiit mööduva tür[e]otoksikoosiga",E00-E90,23
Parem pool,M00-M99,23
"Muud ja täpsustatud kohad, töötamine tasu eest, teenistus",None,23
Rinnaosa-nimme piirkond,None,22
"Rangluumurd, kinnine",S00-T98,22
Pahaloomuline kasvaja,C00-D48,22
"Emaka (v.a emakakael) põletikuline haigus, emaka krooniline põletikuline haigus",N00-N99,22
"Sõltuvus, käesolevalt kaine",F00-F99,22
"Oc. utr.
oc. utr.",H00-H59,22
A marrastus võõrkeha mainimata,None,22
"Diffuusne
diffuusne",L00-L99,22
Bakteriaalne vaginoos,N00-N99,22
Ou  .,H00-H59,22
"Crohni tõbi [regionaalne e segmentaarne peensoolepõletik], peensoole crohni tõbi",K00-K93,21
Küünar- ja kodarluu distaalsete otsade murd,S00-T98,21
Parem põlv,M00-M99,21
"Sääre hulgimurd, kinnine",None,21
Gonarthrosis sin.,M00-M99,21
Keskmine raskusaste,G00-G99,21
Oc dex,Z00-Z99,21
NYHA II staadium,I00-I99,21
I11.9  Südamekahjustusega hüpertooniatõbi. Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta,I00-I99,21
Spordi- või kehakultuuriväljakul [asutuses] sportliku tegevuse juures,None,21
"Sääre muude osade murrud, kinnine",S00-T98,20
Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta Risk-2,I00-I99,20
Oc sin,Z00-Z99,20
"Aurata migreen [tavaline migreen]
sagedaste hoogudega.",G00-G99,20
"Emaka (v.a emakakael) muud põletikuta haigusseisundid, emaka väärasend",N00-N99,20
Parem põlveliiges endoproteesitud.,Z00-Z99,20
Kirurgiline operatsioon või muud kirurgilised menetlused patsiendi ebaloomuliku reaktsiooni või hilisema tüsistuse põhjusena menetluseaegset äpardust mainimata.,V01-Y98,20
Jälgimine muude kahtlustatud haiguste ja seisundite,None,19
- paroksüsmaalne,I00-I99,19
Gonarthrosis dex.,M00-M99,19
"Tür[e]otoksikoos [hüpertüreoos], tür[e]otoksikoos üksiku toksilise kilpnäärmesõlmega",E00-E90,19
"Raskekujuline, kasutab CPAP aparaati
raskekujuline, kasutab CPAP aparaati",G00-G99,19
"Kokkupuude muude ajamiga [mootoriga] tööriistade ja majapidamisseadmetega, kodu, puhke- ja vaba aja tegevus",None,19
Täpsustamata paik,V01-Y98,19
Patsiendi ebaloomuliku reaktsiooni või hilisema tüsistuse põhjusena menetluseaegset äpardust mainimata,None,19
Mõõdukas korduv depressioon,F00-F99,18
"Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega
II aste, organkahjustus II, kõrge risk",I00-I99,18
Ilma olulise käitumishäireta,F00-F99,18
"Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta
II aste, organkahjustus II, keskmine risk",I00-I99,18
"Od , silmasisese e intraokulaarse läätse olemasolu",Z00-Z99,18
Ja kaelavalu,H60-H95,18
"Näol
näol",L00-L99,18
Täpsustamata paigas muul täpsustamata tegevusel,None,18
"Trepil(t) või astmetel(t) kukkumine, kodu, muu täpsustatud tegevusega",None,18
"Kaubanduse ja teeninduse piirkond, töötamine tasu eest, teenistus",None,18
Hulgipaikmed lülisambas,None,17
"Mittetäielik, hilise või rohke verejooksuga tüsistunud",O00-O99,17
Sil. õli vas. silmas,H00-H59,17
Wegeneri granulomatoos,M00-M99,17
L5 radikulopaatia paremal,M00-M99,17
"Herpesviirusnakkused [herpes simplex], herpesviiruslik villiline dermatiit",A00-B99,17
Äge kõripõletik,J00-J99,17
Oc. sin.,S00-T98,17
Kerge korduv depressioon,F00-F99,17
Krooniline lihtlihhen,L00-L99,17
Oc. dex.,Z00-Z99,17
IV st.,N00-N99,17
Riskiaste 3,I00-I99,17
Ruptura perinei II,O00-O99,17
Ühe silma pimedus,H00-H59,17
II  st.,I00-I99,17
Esineb hüperlipideemia,E00-E90,17
"Muud ja täpsustatud kohad, sportlik tegevus",None,17
Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta III,I00-I99,16
Silikoonõli tamponaad paremal silmal,H00-H59,16
Roiete hulgimurd,S00-T98,16
Insuff renum chr,N00-N99,16
"Ainult pindluumurd, kinnine",None,16
Pahaloomuline kasvaja,None,16
"Akt.f I , liigesfn  puud. I-II",M00-M99,16
Riskiaste 1,I00-I99,16
"Autoimmuunne tür[e]oidiit; hüpotüreoos
hüpotüreoos",E00-E90,16
"Püsivate sümptomidega, mõõduka raskusega
püsivate sümptomidega, mõõduka raskusega",J00-J99,16
Pärilik motoorne ja sensoorne neuropaatia,G00-G99,16
Täpsustamata vaskulaarne dementsus,F00-F99,16
Parem õlaliiges,M00-M99,16
"Tür[e]otoksikoos [hüpertüreoos], täpsustamata tür[e]otoksikoos",E00-E90,16
"Pingutusstenokardia, stenokardia",I00-I99,16
Od  .,Z00-Z99,16
"Kokkupuude muude ajamiga [mootoriga] tööriistade ja majapidamisseadmetega, kodu, muu töö ja tegevus",None,16
"Torakaal- [rinna]lülimurd, kinnine",S00-T98,15
"Crohni tõbi [regionaalne e segmentaarne peensoolepõletik], muu crohni tõbi",K00-K93,15
"Põlvekedramurd [patellafraktuur], kinnine",None,15
Oc. sin,H00-H59,15
Parem põlveliiges,M00-M99,15
Rinna pahaloomuline kasvaja,C00-D48,15
Veresugulase nõustamine,Z00-Z99,15
"Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta
II aste, organkahjustus II, kõrge  risk",I00-I99,15
Vahetult pärast sünnitust,Z00-Z99,15
"A marrastus võõrkeha mainimata
oc.dex.",None,15
Oc. dex,H00-H59,15
"Preprol. oc. utr., laserdatud",None,15
Osteoporoosi skriining,Z00-Z99,15
"Keskmise raskusega
keskmise raskusega",G00-G99,15
In suspectu,N00-N99,15
Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega  II  st.,I00-I99,15
Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta; Riskiaste 1,I00-I99,15
Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega I aste,I00-I99,15
Mitraal(klapi) puudulikkus ( mõõdukas ),I00-I99,15
"Tänav ja [maan]tee, muu töö ja tegevus",None,15
III st. NYHA,I00-I99,14
Lymei tõbi,None,14
-muu käitumishäire,F00-F99,14
Prol. oc. utr.,None,14
"Raskekujuline
raskekujuline",G00-G99,14
"Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta
II aste, organkahjustus II, kõrge risk",I00-I99,14
Magna ou,H00-H59,14
"Status post arthroplasticam genu dex.
Status post arthroplasticam genu dex.",Z00-Z99,14
Noorte reumatoidartriit,M00-M99,14
-> sanata,I00-I99,14
Oc. dex.,S00-T98,14
Parema põlveliigese endoprotees.,Z00-Z99,14
Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta  II  st.,I00-I99,14
"Uinumise ja une säilitamise häired [insomniad]
Vahetustega töö puhune unehäire",G00-G99,14
Fikseerunud kodade virvendusarütmia,I00-I99,14
"Tööstus- või ehituspiirkonnas tasu eest töötamisel, teenistusel",None,14
. Parema puusaliigese endoprotees ( 2005 ),Z00-Z99,14
G25.0  Muud ekstrapüramidaal- ja liigutushäired.,G00-G99,14
G25.0  . Essentsiaalne treemor,G00-G99,14
"Liiklusõnnetuses vigastatud juht, puhke- ja vaba aja tegevus",None,14
"Spordi- ja kehakultuuriväljakud [asutused], puhke- ja vaba aja tegevus",None,14
Redelile(-lilt) kukkumine kodus puhke- või vabaaja tegevuse juures,None,14
"Elamisasutus, sportlik tegevus",None,14
"Kesknärvisüsteemi muud demüelin[is]eerivad haigused, kesknärvisüsteemi täpsustamata demüelin[is]eeriv haigus",G00-G99,13
Parem hüppeliiges,M00-M99,13
Vasak põlveliiges,M00-M99,13
"Kapsulaarne läätse pseudoeksfoliatsiooniga (esmane; residuaal- e) jääkglaukoom
oc. utr.",H00-H59,13
L5 radikulopaatia vasakul,M00-M99,13
Paige täpsustamata,None,13
IV st.,C00-D48,13
"Sääreluu distaalse [ala]otsa murd, kinnine",S00-T98,13
"Krooniline lihtne (esmane; residuaal- e) jääkglaukoom
OU",H00-H59,13
Vasaku puusaliigese artroos.,M00-M99,13
S1 sin,M00-M99,13
"Od  , silmasisese e intraokulaarse läätse olemasolu",Z00-Z99,13
Lihasevalu e müalgia õlavöötmes,M00-M99,13
Escherichia coli [e. coli] mujal klassifitseeritud haiguste tekitajana,A00-B99,13
Gonarthrosis bilateralis,M00-M99,13
Paikmega seotud (fokaalne; partsiaalne) sümptomaatiline epilepsia ja komplekssete osaliste hoogudega epi,G00-G99,13
"Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta II aste (organkahjustus III, ülikõrge kardiovaskulaarne risk)",I00-I99,13
Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta I aste,I00-I99,13
"Uinumise ja une säilitamise häired [insomniad]; mittekosutav uni
mittekosutav uni",G00-G99,13
Parem puusaliiges,Z00-Z99,13
Kodade fibrillatsioon,I00-I99,12
"Emaka (v.a emakakael) muud põletikuta haigusseisundid, endomeetriumi adenomatooshüperplaasia",N00-N99,12
Asthma bronchiale,J00-J99,12
1b genotüüp,A00-B99,12
"Sääreluu proksimaalse [üla]otsa murd, kinnine",S00-T98,12
"Krooniline sinu[s]iit e ninakõrvalurkepõletik, krooniline sõelluu-urkepõletik e etmoidaalsinu[s]iit",J00-J99,12
"Suulae- [kurgu-] ja [nina-]neelumandlite kroonilised haigused, täpsustamata kurgu- ja neelumandli krooniline haigus",J00-J99,12
Algav preprol. oc. utr.,None,12
Parema puusaliigese artroos.,M00-M99,12
Mõlema põlveliigese artroos.,M00-M99,12
"Keskmise raskusega; CPAP-ravi
keskmise raskusega; CPAP-ravi",G00-G99,12
IVF. Gravid in hebd 6,Z00-Z99,12
Krooniline b-viirushepatiit delta-agensita,A00-B99,12
"Aurata migreen [tavaline migreen]; sagedaste hoogudega.
sagedaste hoogudega.",G00-G99,12
"Oc.utr.
oc.utr.",Z00-Z99,12
R  ou,H00-H59,12
"Os , algav seniilkatarakt",H00-H59,12
- fikseerunud,I00-I99,12
Paroksüsmaalne kodade virvendusarütmia,I00-I99,12
"Redelile(-lilt) kukkumine, kodu, puhke- ja vaba aja tegevus",None,12
"Trepil(t) või astmetel(t) kukkumine, kodu, muu töö ja tegevus",None,12
"Elamisasutus, muu töö ja tegevus",None,12
"Kodus puhke- või vabaaja tegevuse juures
od",None,12
"Pertrohhanteerne [pöörlit läbiv] murd, kinnine",S00-T98,11
Täpsustamata dementsus,None,11
"Reieluukeha [-diafüüsi] murd, kinnine",S00-T98,11
"Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta I aste (organkahjustus II, kõrge kardiovaskulaarne risk)",I00-I99,11
Oc. utr.,None,11
"Roidemurd, kinnine",None,11
"Hammaste ja näo arenguhäired [kaasa arvatud hambumushäired], temporomandibulaarse e oimuluu-alalõua liigese haigusseisundid",K00-K93,11
-  myop.,H00-H59,11
E kolangio- e sapisoonekartsinoom,C00-D48,11
Vasak põlv,M00-M99,11
Haiguste somatisatsiooniga,N00-N99,11
"Alajäseme (v.a jalg) entesopaatiad e limapaunade-kõõluste-liigesekihnude (koosesinevad) haigustused, achilleuse kõõlusepõletik",M00-M99,11
Keskmine raskusaste a CPAP-ravi testimine,G00-G99,11
L5 vasakul,M00-M99,11
"PR  , presbüoopia e vanaeanägevus",H00-H59,11
Kodarluu tikkeljätke kõõlusetupepõletik [de quervain],M00-M99,11
Ühekordne või pikaajaline kontakt inimese immuunpuudulikkuse viirusega [hiv],Z00-Z99,11
Myopicus ou,H00-H59,11
"Ou , algav seniilkatarakt",H00-H59,11
Ruptura mucosae vaginae,O00-O99,11
L-thyroxin ravil,E00-E90,11
"Uinumise ja une säilitamise häired [insomniad]
rohked ärkamised öö jooksul",G00-G99,11
"Os  , algav seniilkatarakt",H00-H59,11
Kirurgiliste ja muude meditsiiniliste menetluste,None,11
"Trepil(t) või astmetel(t) kukkumine, muud ja täpsustatud kohad, puhke- ja vaba aja tegevus",None,11
"Kokkupuude ajamita [mootorita] tööriistaga, kodu, puhke- ja vaba aja tegevus",None,11
"Tänav ja [maan]tee, muu täpsustamata tegevus",None,11
"/täielik või täpsustamata,tüsistusteta/",O00-O99,10
Subkortikaalne vaskulaarne dementsus,F00-F99,10
Insuff c/v chr,I00-I99,10
"Th 6-11 paravertebraalne perifeerne primitiivne neuroektodermaalne tuumor/ekstraossaalne Ewingi sarkoom ; c T2 N0 M1B IVBst
Th 6-11 paravertebraalne perifeerne primitiivne neuroektodermaalne tuumor/ekstraossaalne Ewingi sarkoom",C00-D48,10
Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega; 3,I00-I99,10
IgG I A st.,C00-D48,10
Adenocarcinoma  prostatae GS 3+4=7,C00-D48,10
"Rasedust, sünnitust j",None,10
Vasak hüppeliiges,M00-M99,10
Allergia ei kinnitunud,Z00-Z99,10
Varem läbipõetud,I00-I99,10
Proliferatiivne ou,None,10
"Raskekujuline, kasutab CPAP aparaati",G00-G99,10
"Makula (atroofiline; eksudatiivne) seniildegeneratsioon
ou",H00-H59,10
"Köhavariantne
köhavariantne",J00-J99,10
Kaela ja õlavöötmes,M00-M99,10
Krooniline superfitsiaal(ne) -gastriit e pindmine mao(limaskesta)põlet,None,10
"A marrastus võõrkeha mainimata
od",None,10
"Os , silmasisese e intraokulaarse läätse olemasolu",Z00-Z99,10
Druusid ou,H00-H59,10
II st.,M00-M99,10
F71.1   oluliste käitumishäiretega,None,10
Ou .,H00-H59,10
-ei esine või kerge käitumish,None,10
"Emaka (v.a emakakael) muud põletikuta haigusseisundid, emaka täpsustamata põletikuta haigusseisund",N00-N99,10
Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega mikroalbum +,I00-I99,10
"D I-II st, s I st.",M00-M99,10
Kaela-rinnaosa piirkond,None,10
"Rauavaegusaneemia, (Krooniline) verekaotusjärgne teisene rauavaegusaneemia",D50-D89,10
II aste NYHA j.,I00-I99,10
Spordi- ja kehakultuuriväljakud [asutused],V01-Y98,10
"Elamisasutus, töötamine tasu eest, teenistus",None,10
"Spordi- ja kehakultuuriväljakud [asutused], sportlik tegevus",V01-Y98,10
"Kaubanduse ja teeninduse piirkond, puhke- ja vaba aja tegevus",None,10
Spordi- või kehakultuuriväljakul [asutuses] puhke- või vabaaja tegevuse juures,None,10
"Kodus puhke- või vabaaja tegevuse juures
os",None,10
FA persistens,I00-I99,9
"Konkussioon, ilma lahtise koljusisese haavata",S00-T98,9
Raskekujuline müasteenia,G00-G99,9
Täpsustamata sapiteed,C00-D48,9
III NYHA,I00-I99,9
"Primaarne skleroseeriv kolangiit, maksatsirroos",K00-K93,9
"Mediaalse malleooli [keskmise pekse] murd, kinnine",S00-T98,9
"Aterosklerootiline kardiovaskulaarhaigus (nii kirjeldatud)
krooniline isheemiatõbi",I00-I99,9
Laesio menisci medialis genus dex.,M00-M99,9
Vasak õlaliiges,M00-M99,9
Nimme-ristluu piirkond,M00-M99,9
"Dermatofütoos e nahaseenhaigustu[mu]s, kere nahaseenhaigustus e tiinea",A00-B99,9
Funktsionaalne düspepsia,K00-K93,9
Kaela- ja nimmeosas,M00-M99,9
HPV 16,A00-B99,9
"Preprol., laserdatud oc. utr.",None,9
"HPV kõrge riski (31,33,35,39,45,51,52,56,58,59,66,68) DNA Positiivne",A00-B99,9
Sünnitusjärgne kontroll,Z00-Z99,9
"Raskekujuline, aPAP ravi testimine",G00-G99,9
S1 vasakul,M00-M99,9
Tega agorafoobia,None,9
Ventrikulaarne ekstrasüstoolia,I00-I99,9
Sicca ?,H00-H59,9
Osteochondrosis et spondyloarthrosis reg. lumbalis.,M00-M99,9
IVF rasedus,Z00-Z99,9
"Äge suulae- e kurgumandlipõletik e tonsilliit [angiin], streptokokitekkene kurgumandlipõletik",J00-J99,9
Chondromalacia genus dex.,M00-M99,9
"Capitis et guttata et nummularis disseminata  in st.prog.
capitis et guttata et nummularis disseminata  in st.prog.",L00-L99,9
Jälgimine muu kahtlustatud kardiovaskulaarse haiguse,Z00-Z99,9
Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta II aste,I00-I99,9
"Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega, 2 aste,keskmine risk",I00-I99,9
"Sin.
sin.",H60-H95,9
"Kahtlus
kahtlus",J00-J99,9
"Muud mükobakternakkused [mükobakterioosid], muud mükobakternakkused",A00-B99,9
Aordiklapi bioprotees,Z00-Z99,9
"Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta I aste (organkahjustus I, keskmine kardiovaskulaarne risk)",I00-I99,9
- põlveliigesed,M00-M99,9
"Od  , algav seniilkatarakt",H00-H59,9
"Fikseerunud, Marevanravil",I00-I99,9
II st. NYHA,I00-I99,9
Ruptura perinei I.,O00-O99,9
Mitraal(klapi) puudulikkus-mõõdukas,I00-I99,9
Kitsad hammaskaared,K00-K93,9
"Kitsas kõvasuulae kaar
kitsas kõvasuulae kaar",K00-K93,9
Düstür[e]oidne eksoftalm e punnsilmsus (E05.-+),H00-H59,9
"Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta II aste, OK IV",I00-I99,9
"Viirustüükad [soolatüükad]; man dex.
man dex.",A00-B99,9
. Muud kirurgilised menetlused,V01-Y98,9
"Täpsustamata paik, muu täpsustamata tegevus",V01-Y98,9
"Spordi- ja kehakultuuriväljakud [asutused], puhke- ja vaba aja tegevus",V01-Y98,9
"Abordi-, emakavälise raseduse ja",O00-O99,8
"Vililasestressiga [-distressiga] tüsistunud sünnitamine ja sünnitus, vililase südamelöögisageduse an",O00-O99,8
Põlvekedramurd [patellafraktuur],S00-T98,8
III aste NYHA j.,I00-I99,8
NYHA I-II staadium,I00-I99,8
"Mõlema põlveliigese artroos, paremal enam kui vasakul.",M00-M99,8
I/v L3-L4,M00-M99,8
"Ägenemiste ja remissioonidega kulg, ägenemine",G00-G99,8
I/v L4-L5,M00-M99,8
Parem põlveliiges,Z00-Z99,8
Takistatud defekatsioon,K00-K93,8
Infertilitas primaria,N00-N99,8
II f.kl.,I00-I99,8
Olulise käitumishäirega,None,8
L4 radikulopaatia paremal,M00-M99,8
