dirty_code,loinc_code(T-luhend)
Makrofaagi(Makrofaagid),U-Makrofaagid
MC(MCV),B-MCV
MP(MPV),B-MPV
MP(Trombotsuutide keskmine maht),B-MPV
Nitrofurantoii(Nitrofurantoiin),Is-Nitrofurantoin
Norfloksatsii(Norfloksatsiin),Is-Norfloxacin
nP-iCa(pH),U-pH strip
Nuchal translucency (NT),NT
Ofloksatsii(Ofloksatsiin),Is-Ofloxacin
Oksatsillii(Oksatsilliin),Is-Oxacillin
PC(Trombokrit),B-Pct
Penitsillii(Penitsilliin),Is-Penicillin
PMN (polumorfonukleaarid),XXX-Polumorfonukleaarid
p(pH),U-pH strip
Pristinamutsii(Pristinamutsiin),Is-Pristinamycin
Rasvsilindri(Rasvsilindrid),U-Rasvsilindrid
RB(RBC),B-RBC
S2-fPSA(vaba prostataspetsiifiline antigeen),"S,P-fPSA"
Sarapuu (T4),"S,P-T4"
"s,p-AA(Alfa-1-antitrupsiin)","S,P-AAT"
"s,p-AF(Alfa-fetoproteiin)","S,P-AFP"
"s,p-ALA(Alaniini aminotransferaas)","S,P-ALAT"
"s,p-AL(Alaniini aminotransferaas)","S,P-ALAT"
"s,p-Al(Albumiin)","S,P-Alb"
"s,p-AL(Aluseline fosfataas)","S,P-ALP"
"s,p-ALAT 1(Alaniini aminotransferaas)","S,P-ALAT"
"s,p-ALAT 2(Alaniini aminotransferaas)","S,P-ALAT"
"s,p-ALAT 3(Alaniini aminotransferaas)","S,P-ALAT"
"s,p-Alb 1(Albumiin)","S,P-Alb"
"s,p-Alb 2(Albumiin)","S,P-Alb"
"s,p-Alb 3(Albumiin)","S,P-Alb"
"s,p-ALP 1(Aluseline fosfataas)","S,P-ALP"
"s,p-ALP 2(Aluseline fosfataas)","S,P-ALP"
"s,p-ALT(Alaniini aminotransferaas)","S,P-ALAT"
"s,p-AOS(Antistreptolusiin O)","S,P-ASO"
"s,p-ASA(Aspartaadi aminotransferaas)","S,P-ASAT"
"s,p-AS(Antistreptolusiin O)","S,P-ASO"
"s,p-AS(Aspartaadi aminotransferaas)","S,P-ASAT"
"s,p-ASAT 1(Aspartaadi aminotransferaas)","S,P-ASAT"
"s,p-ASAT 2(Aspartaadi aminotransferaas)","S,P-ASAT"
"s,p-ASAT 3(Aspartaadi aminotransferaas)","S,P-ASAT"
"s,p-AST(Aspartaadi aminotransferaas)","S,P-ASAT"
"s,p-B12(Vitamiin B12)","S,P-Vit B12"
"s,p-B1(Vitamiin B12)","S,P-Vit B12"
"s,p-b2-(Beeta-2-mikroglobuliin)","S,P-b2-M"
"s,p-Bi(Bilirubiin)",U-Bil strip
"s,p-Bil 1(Bilirubiin)",U-Bil strip
"s,p-Bil 2(Bilirubiin)",U-Bil strip
"s,p-CA-125(Kasvaja antigeen CA 125)","S,P-CA 125"
"s,p-CA 12(Kasvaja-antigeen CA 125)","S,P-CA 125"
"s,p-CA-12(Kasvaja antigeen CA 125)","S,P-CA 125"
"s,p-CA 15-(Kasvaja-antigeen CA 15-3)","S,P-CA 15-3"
"s,p-CA-19-9(Kasvaja antigeen CA 19-9 )","S,P-CA 19-9"
"s,p-CA-19-9(Kasvaja antigeen CA 19-9)","S,P-CA 19-9"
"s,p-CA-19-9(Kasvaja-antigeen CA 19-9)","S,P-CA 19-9"
"s,p-CA 19-(Kasvaja-antigeen CA 19-9)","S,P-CA 19-9"
"s,p-CA-19-(Kasvaja antigeen CA 19-9)","S,P-CA 19-9"
"s,p-Ca 1(Kaltsium)","S,P-Ca"
"s,p-Ca 2(Kaltsium)","S,P-Ca"
"s,p-Ca 3(Kaltsium)","S,P-Ca"
"s,p-CE(Kartsinoembruonaalne antigeen)","S,P-CEA"
"s,p-Ce(Tseruloplasmiin)","S,P-Cer"
"s,p-Cho(Kolesterool)","S,P-Chol"
"s,p-C(Kaltsitoniin )","S,P-CT"
"s,p-C(Kaltsitoniin)","S,P-CT"
"s,p-C(Kaltsium)","S,P-Ca"
"s,p-C(Kloriid)","S,P-Cl"
"s,p-C(Komplemendi komponent C3)","S,P-C3"
"s,p-C(Komplemendi komponent C4)","S,P-C4"
"s,p-C(Kreatiini kinaas)","S,P-CK"
"s,p-Cor(Kortisool)","S,P-Cort"
"s,p-C-pep(C-peptiid)","S,P-C-pept"
"s,p- C-peptiid(C peptiid)","S,P-C-pept"
"s,p-CR(C-reaktiivne valk)","S,P-CRP"
"s,p-Crea 1(Kreatiniin)","S,P-Crea"
"s,p-Crea 2(Kreatiniin)","S,P-Crea"
"s,p-Crea 3(Kreatiniin)","S,P-Crea"
"s,p-Crea 4(Kreatiniin)","S,P-Crea"
"s,p-Crea 7(Kreatiniin)","S,P-Crea"
"s,p-Crea 8(Kreatiniin)","S,P-Crea"
"s,p-Creat(Kreatiniin)","S,P-Crea"
"s,p-Cre(Kreatiniin)","S,P-Crea"
"s,p-CRP 10(C-reaktiivne valk)","S,P-CRP"
"s,p-CRP 11(C-reaktiivne valk)","S,P-CRP"
"s,p-CRP 12(C-reaktiivne valk)","S,P-CRP"
"s,p-CRP 13(C-reaktiivne valk)","S,P-CRP"
"s,p-CRP 1(C-reaktiivne valk)","S,P-CRP"
"s,p-CRP 2(C-reaktiivne valk)","S,P-CRP"
"s,p-CRP 3(C-reaktiivne valk)","S,P-CRP"
"s,p-CRP 4(C-reaktiivne valk)","S,P-CRP"
"s,p-CRP 7(C-reaktiivne valk)","S,P-CRP"
"s,p-CRP 8(C-reaktiivne valk)","S,P-CRP"
"s,p-CRP 9(C-reaktiivne valk)","S,P-CRP"
"s,p-Digo(Digoksiin)","S,P-Digox"
"s,p-E(?-stradiool)","S,P-E2"
"s,p-Fo(Folaat)","S,P-Fol"
"s,p-(Fosfaat)","S,P-P"
"s,p-fPS( Vaba prostataspetsiifiline antigeen)","S,P-fPSA"
"s,p-F(Raud)","S,P-Fe"
"s,p-FS(Folliikuleid stimuleeriv hormoon)","S,P-FSH"
"s,p-fT(Vaba trijoodturoniin)","S,P-fT3"
"s,p-fT(Vaba turoksiin)","S,P-fT4"
"s,p-GG(Gamma-Glutamuuli transferaas)","S,P-GGT"
"s,p-GG(Gammaglutamuuli transferaas)","S,P-GGT"
"s,p-G(Kasvuhormoon)","S,P-GH"
"s,p-Glu(Glukoos)",U-Gluc strip
"s,p-hCG (totaal)(Koorioni gonadotropiin)","S,P-hCG"
"s,p-Ig(Immuunglobuliin A)","S,P-IgA"
"s,p-Ig(Immuunglobuliin E)","S,P-IgE"
"s,p-Ig(Immuunglobuliin G)","S,P-IgG"
"s,p-Ig(Immuunglobuliin M)","S,P-IgM"
"s,p-In(Insuliin)","S,P-Ins"
"s,p-K 10(Kaalium)","S,P-K"
"s,p-K 11(Kaalium)","S,P-K"
"s,p-K 1(Kaalium)","S,P-K"
"s,p-K 2(Kaalium)","S,P-K"
"s,p-K 3(Kaalium)","S,P-K"
"s,p-K 4(Kaalium)","S,P-K"
"s,p-K 7(Kaalium)","S,P-K"
"s,p-K 8(Kaalium)","S,P-K"
"s,p-K 9(Kaalium)","S,P-K"
"s,p-(Kaalium)","S,P-K"
"s,p-LD(Laktaadi dehudrogenaas )","S,P-LDH"
"s,p-L(Luteiniseeriv hormoon)","S,P-LH"
"s,p-M(Magneesium)","S,P-Mg"
"s,p-Myog(Muoglobiin)","S,P-Myogl"
"s,p-Na 10(Naatrium)","S,P-Na"
"s,p-Na 11(Naatrium)","S,P-Na"
"s,p-Na 1(Naatrium)","S,P-Na"
"s,p-Na 2(Naatrium)","S,P-Na"
"s,p-Na 3(Naatrium)","S,P-Na"
"s,p-Na 4(Naatrium)","S,P-Na"
"s,p-Na 7(Naatrium)","S,P-Na"
"s,p-Na 8(Naatrium)","S,P-Na"
"s,p-Na 9(Naatrium)","S,P-Na"
"s,p-N(Naatrium)","S,P-Na"
"s,p- PC(Prokaltsitoniin)","S,P-PCT"
"s,p-PC(Prokaltsitoniin)","S,P-PCT"
"s,p-Progesteroon(Progesteroon)","S,P-Prog"
"s,p-Prolaktiin(Prolaktiin)","S,P-Prol"
"s,p-Pro(Progesteroon)","S,P-Prog"
"s,p-Pro(Prolaktiin)","S,P-Prol"
"s,p-PS(Prostataspetsiifiline antigeen)","S,P-PSA"
"s,p-PT( Parathormoon)","S,P-PTH"
"s,p-PT(Parathormoon)","S,P-PTH"
"s,p-R(Reumatoidfaktor)","S,P-RF"
"s,p-SHB(Suguhormoone siduv globuliin)","S,P-SHBG"
"s,p-Testosteroon(Testosteroon)","S,P-Testo"
"s,p-Test(Testosteroon)","S,P-Testo"
"s,p-TnI(Troponiin I)","S,P-cTnI"
"s,p-Tn(Troponiin I)","S,P-cTnI"
"s,p-TPO Ig(Tureoidperoksudaasi vastane IgG)","S,P-TPO IgG"
"s,p-Trans(Transferriin)","S,P-Transf"
"s,p-Trigl(Triglutseriidid)","fS,fP-Trigl"
"s,p-Trigl(triglutseriidid)","fS,fP-Trigl"
"s,p-Trig(Triglutseriidid)","fS,fP-Trigl"
"s,p-T(Tureoglobuliin)","S,P-TG"
"s,p-U(Kusihape)","S,P-UA"
"s,p-Urea 1(Uurea)","S,P-Urea"
"s,p-Urea 2(Uurea)","S,P-Urea"
"s,p-Urea 3(Uurea)","S,P-Urea"
"s,p-Urea 4(Uurea)","S,P-Urea"
"s,p-Urea 6(Uurea)","S,P-Urea"
"s,p-Ure(Uurea)","S,P-Urea"
"s,p-Yers03(IgG)","S,P-IgG"
"s,p-Yers09(IGA)","S,P-IgA"
St-Calpr(Kalprotektiin roojas),St-Calpro
Tetratsuklii(Tetratsukliin),Is-Tetracycline
transferrii(transferriin),"S,P-Transf"
Tseftasidii(Tseftasidiim),Is-Ceftazidime
Tsiprofloksatsii(Tsiprofloksatsiin),Is-Ciprofloxacin
T vaginalis DNA tupekaapes(Trichomonas vaginalis DNA),XXX-T vaginalis DNA
U-Al(Albumiin uriinis),U-Alb
U-Alb/U-Cre(Albumiini ja kreatiniini suhe uriinis),U-Alb/U-Crea
U-Ba(Barbituraadid uriinis),U-Bar
U-Bz(Bensodiasepiinid uriinis),U-Bzd
U-Bzo(Bensodiasepiinid uriinis),U-Bzd
U-C(Kaltsium uriinis),U-Ca
U-CO(Kokaiin uriinis),U-Coc
U-Creat(Kreatiniin uriinis),U-Crea
U-Cre(Kreatiniin uriinis),U-Crea
U-Cre(kreatiniin uriinis),U-Crea
U-Fen(Fentanuul uriinis),U-Fent
U-Gl(Glukoos uriinis),U-Gluc
U-Glu(Glukoos uriinis),U-Gluc
U-OPI(Opiaadid uriinis),U-Mop
U-OP(Opiaadid uriinis),U-Mop
U-Pro(Valk uriinis),U-Prot
U-Pr(Valk uriinis),U-Prot
Uricult(aeroobnekulv),XXX-Aerobic culture
Urobilinogee(Urobilinogeen),U-Ubg strip
U-S-Crea-Carvutuslik(kreatiniinikliirens),dU-S-Crea
U-S-Crea-Cmoodetav(kreatiniinikliirens),dU-S-Crea
U-TH(Kannabinoidid uriinis ),U-THC
U-UB(Urobilinogeen    ),U-Ubg strip
U-UB(Urobilinogeen  ),U-Ubg strip
U-Ure(Uurea uriinis),U-Urea
Vahajad silindri(Vahajad silindrid),U-Vahajad silindrid
Val(Valk),U-Prot strip
Vankomutsii(Vankomutsiin),Is-Vancomycin
WB(WBC),B-WBC
Vitamiin B12**(Vitamiin B12**),"S,P-Vit B12"
VZV DN(Tuulerougeviiruse DNA),XXX-VZV DNA
